wonder_amphitheater;Grand Amphitheater;;;;;;;;;;;Âåëèêèé àìôèòåàòð;;x
wonder_mosque;Great Mosque;;;;;;;;;;;Âåëèêàÿ ìå÷åòü;;x
wonder_mosque_construction_desc;A testament to the §YPiety§! and §YPrestige§! of its builder, it can help convert the infidels to the true faith, improve opinion, or even help protect the population from diseases.;;;;;;;;;;;Âîïëîùàÿ §Yáëàãî÷åñòèå§! è §Yïðåñòèæ§! ñâîåãî ñîçäàòåëÿ, ýòà ìå÷åòü ïîìîæåò îáðàòèòü íåâåðíûõ â èñòèííóþ âåðó, ïðèíÿòü íàøó êóëüòóðó, óëó÷øèòü îòíîøåíèå ê ïðàâèòåëþ è äàæå çàùèòèòü íàñåëåíèå îò ýïèäåìèè.;;x
wonder_mosque_desc;This building is a testament to the piousness of its builder.;;;;;;;;;;;Êóïîë ýòîé ìå÷åòè ñëóæèò å¸ ïðèõîæàíàì âòîðûì íåáîì. Áëàãî÷åñòèâ[FromFrom.OriginalOwner.GetAyaYy] [FromFrom.OriginalOwner.GetTitledFirstNameWithNick] ïîñòðîèë[FromFrom.OriginalOwner.GetEndA] å¸, äàáû ïðîäåìîíòðèðîâàòü âñåì âåëè÷èå [_èñëàìà].;;x
wonder_pagan_stones;Great Stone Circle;;;;;;;;;;;Âåëèêèé êàìåííûé êðóã;;x
wonder_pagan_stones_construction_desc;A testament to your §YPiety§! and §YPrestige§!, it can also help  improve your subjects's opinion of you.;;;;;;;;;;;ßâëÿÿñü âîïëîùåíèåì §Yáëàãî÷åñòèÿ§! è §Yïðåñòèæà§!, ýòî âåëèêîå ñîîðóæåíèå ìîæåò óëó÷øèòü îòíîøåíèå ê âàì Âàøèõ ïîääàííûõ.;;x
wonder_pagan_stones_desc;Huge standing rocks are placed in a grand circle, with an opening towards the east, where the sun rises.;;;;;;;;;;;Îãðîìíûå ñòîÿùèå êàìíè, ðàñïîëîæåííûå ïî êðóãó, îòêðûòûì ìåñòîì îáðàùåíû íà âîñòîê, ãäå âîñõîäèò ñîëíöå.;;x
wonder_pagan_stones_stonehenge;Stonehenge;;;;;;;;;;;Ñòîóíõåíäæ;;x
wonder_pagan_stones_stonehenge_desc;Some think the rocks were placed by gods. Others say it's pagan superstition, but refuse to go near them.;;;;;;;;;;;Íåêîòîðûå ñ÷èòàþò, ÷òî ýòè êàìíè áûëè çàëîæåíû áîãàìè. Äðóãèå ãîâîðÿò, ÷òî ýòî ÿçû÷åñêîå ñóåâåðèå, íî îòêàçûâàþòñÿ ïðèáëèæàòüñÿ ê íèì.;;x
wonder_palace;Royal Palace;;;;;;;;;;;Ðîñêîøíûé äâîðåö;;x
wonder_palace_construction_desc;A regal symbol of the Prestigious lineage of its builder, it can also be equipped with a number of facilities that help the builder with their love life or court intrigue.;;;;;;;;;;;ßâëÿÿñü ñèìâîëîâ âåëè÷èÿ äèíàñòèè òîãî, êòî åãî ïîñòðîèò, ýòîò äâîðåö îáåñïå÷èò Âàñ âñåâîçìîæíûìè óäîáñòâàìè, êîòîðûå ïîìîãóò â ëè÷íîé æèçíè èëè èíòðèãàõ ïðè äâîðå.;;x
wonder_palace_desc;A regal symbol of the prestigious lineage of its builder, this palace is one of its kind.;;;;;;;;;;;Ýòîò äâîðåö ëó÷øå ÷åì ÷òî áû òî íè áûëî îòðàæàåò ïðåñòèæ ïðàâÿùåé äèíàñòèè [FromFrom.OriginalOwner.GetOnlyDynastyName].;;x
wonder_pyramid;Great Pyramid;;;;;;;;;;;Âåëèêàÿ ïèðàìèäà;;x
wonder_pyramid_construction_desc;A testament to your §YPiety§! and §YPrestige§!, it can help improve opinion of you and even help protect your treasures.;;;;;;;;;;;ßâëÿÿñü âîïëîùåíèåì §Yáëàãî÷åñòèÿ§! è §Yïðåñòèæà§!, ýòî âåëèêîå ñîîðóæåíèå ìîæåò óëó÷øèòü îòíîøåíèå ê âàì è çàùèòèòü Âàøè ñîêðîâèùà.;;x
wonder_pyramid_desc;Build it taller!, was apparently the last words of its architect.;;;;;;;;;;;Âûøå! Ïîñòðîéòå å¸ âûøå! — ñêàçàë[FromFrom.OriginalOwner.GetEndA] [FromFrom.OriginalOwner.GetTitledFirstNameWithNick]. Ýòî áûëè [FromFrom.OriginalOwner.GetHersHis] ïîñëåäíèå ñëîâà.;;x
wonder_pyramid_giza;Great Pyramid of Khufu;;;;;;;;;;;Âåëèêàÿ ïèðàìèäà Õóôó;;x
wonder_pyramid_giza_desc;The strangely shaped pyramids have always been there.;;;;;;;;;;;Ïèðàìèäû ñòðàííîé ôîðìû âñåãäà áûëè çäåñü.;;x
wonder_statue_horse;Statue of a Horse;;;;;;;;;;;Ñòàòóÿ Êîíÿ;;x
wonder_statue_horse_construction_desc;Immortalizing a horse in a grand statue is a testament to the §YPrestige§! of its builder and their successors, and can improve the opinion from horse loving vassals.;;;;;;;;;;;Ïîñòðîèâ âåëèêóþ ñòàòóþ êîíÿ, ïðàâèòåëü íå òîëüêî óâåêîâå÷èò ïàìÿòü î í¸ì, íî è çàðàáîòàåò §Yïðåñòèæ§! äëÿ ñåáÿ è ñâîèõ ïîòîìêîâ, à òàêæå óëó÷øèò îòíîøåíèå ê íåìó äðóãèõ ÷ëåíîâ äèíàñòèè è âàññàëîâ, åñëè îíè ëþáÿò ëîøàäåé.;;x
wonder_statue_horse_desc;A grand statue of a majestic stallion!;;;;;;;;;;;Ïðåêðàñíàÿ ñòàòóÿ âåëèêîëåïíîãî æåðåáöà!;;x
wonder_statue_ruler;Ruler Statue;;;;;;;;;;;Ñòàòóÿ - [This.GetOrigWOwnerOrRootTitledFirstName];;x
wonder_statue_ruler_construction_desc;Immortalizing a ruler in a grand statue is a testament to the §YPrestige§! of its builder and their successors, and can improve the opinion from your family and vassals.;;;;;;;;;;;Ïîñòðîèâ âåëèêóþ ñòàòóþ ñàìîãî ñåáÿ, ïðàâèòåëü íå òîëüêî óâåêîâå÷èò ïàìÿòü î ñåáå, íî è çàðàáîòàåò §Yïðåñòèæ§! äëÿ ñåáÿ è ñâîèõ ïîòîìêîâ, à òàêæå óëó÷øèò îòíîøåíèå ê íåìó äðóãèõ ÷ëåíîâ äèíàñòèè è âàññàëîâ.;;x
wonder_statue_ruler_desc;A ruler is immortalized in this grand statue.;;;;;;;;;;;[FromFrom.OriginalOwner.GetTitledFirstNameWithNick] óâåêîâå÷èë[FromFrom.OriginalOwner.GetEndA] ñåáÿ ýòîé âåëèêîé ñòàòóåé.;;x
wonder_synagogue;Great Synagogue;;;;;;;;;;;Âåëèêàÿ ñèíàãîãà;;x
wonder_synagogue_construction_desc;A testament to the §YPiety§! and §YPrestige§! of its builder, it can also help improve opinion of you, the morale of the military forces, and reduce revolt risk.;;;;;;;;;;;Âîïëîùàÿ §Yáëàãî÷åñòèå§! è §Yïðåñòèæ§! ñâîåãî ñîçäàòåëÿ, ýòîò õðàì ìîæåò óëó÷øèòü îòíîøåíèå ê âåðõîâíîé âëàñòè, ïîäíÿòü áîåâîé äóõ âîéñê è ñíèçèòü ðèñê âîññòàíèé.;;x
wonder_synagogue_desc;Anyone setting foot in the building will be reminded of the value of a religious community.;;;;;;;;;;;Ëþáîé, êòî ïåðåñ¸ê ïîðîã ýòîãî ïðåêðàñíîãî ñîîðóæåíèÿ, âîî÷èþ óáåäèëñÿ â åãî öåííîñòè äëÿ ðåëèãèîçíîé îáùèíû.;;x
wonder_temple_buddhist;Temple;;;;;;;;;;;Õðàì;;x
wonder_temple_buddhist_construction_desc;A testament to the §YKarma§! of its builder, it can be used to store relics, and in times of trouble its walls can protect the people from danger.;;;;;;;;;;;Âîïëîùàÿ §Yïðåñòèæ§! ñâîåãî ñîçäàòåëÿ, ýòîò õðàì áóäåò õðàíèòü ñâÿùåííûå ðåëèêâèè, à â òðóäíûå âðåìåíà åãî ñòåíû óáåðåãóò íàðîä îò îïàñíîñòè.;;x
wonder_temple_buddhist_desc;The temple is a holy building, a place of devotion and reflection.;;;;;;;;;;;Õðàì - ýòî ñâÿùåííîå ìåñòî, âîïëîùàþùåå ñîáîé ïðåäàííîñòü äåëó è ñàìîîñîçíàíèå.;;x
wonder_temple_hindu;Hindu Temple;;;;;;;;;;;Õðàì;;x
wonder_temple_hindu_construction_desc;A temple that symbolizes the house, seat and body of a God. It is a sign of its builder §YKarma§! and §YPrestige§!, and can also influence the opinion of some of your subjects.;;;;;;;;;;;Õðàì ñèìâîëèçèðóåò äîì, ïðåñòîë è òåëî Áîãà. Îí ÿâëÿåòñÿ âîïëîùåíèåì §Yáëàãî÷åñòèÿ§! è §Yïðåñòèæà§! òîãî, êòî åãî ïîñòðîèë, è âëèÿåò íà îòíîøåíèå ê íåìó ïîääàííûõ.;;x
wonder_temple_hindu_desc;A temple that symbolizes the house, seat and body of a God.;;;;;;;;;;;Õðàì ñèìâîëèçèðóåò äîì, ïðåñòîë è òåëî Áîãà.;;x
wonder_temple_hindu_konark;Konark Sun Temple;;;;;;;;;;;Êîíàðàêñêèé Ñîëíå÷íûé Õðàì;;x
wonder_temple_hindu_konark_desc;This temple was built in the form of a giant ornamented chariot dedicated to the Sun God, Surya.;;;;;;;;;;;Ýòîò õðàì áûë ïîñòðîåí â ôîðìå ãèãàíòñêîé êîëåñíèöû áîãà ñîëíöà Ñóðüè.;;x
wonder_temple_pagan;Great Temple;;;;;;;;;;;Âåëèêèé õðàì;;x
wonder_temple_pagan_construction_desc;A testament to the §YPrestige§! of its builder, the temple can improve your subjects' opinion of you, and lower revolt risk.;;;;;;;;;;;Âîïëîùàÿ §Yïðåñòèæ§! ñâîåãî ñîçäàòåëÿ, ýòîò õðàì ïîìîæåò óëó÷øèòü îòíîøåíèå ïîääàííûõ, ñíèçèòü ðèñê âîññòàíèé è ïðèíåñòè æåðòâû áîãàì.;;x
wonder_temple_pagan_desc;The site of the temple is rumored to be the holiest ground in the realm.;;;;;;;;;;;Ýòîò õðàì íàðÿäó ñ åãî îêðåñòíîñòÿìè, èçâåñòåí âî âñåì ìèðå êàê ñàìûé ñâÿòîé èç âñåõ.;;x
wonder_temple_solomon;Temple of Solomon;;;;;;;;;;;Õðàì Ñîëîìîíà;;x
wonder_temple_solomon_desc;A hill, deeply sacred to Jewish worshipers, as it is said to be the location of the ancient Temple of Solomon.;;;;;;;;;;;Ýòîò õîëì ñâÿùåíåí äëÿ [_èóäååâ], òàê êàê ñ÷èòàåòñÿ, ÷òî çäåñü íàõîäèòñÿ äðåâíèé Õðàì Ñîëîìîíà.;;x
wonder_underground_city;Great Underground City;;;;;;;;;;;Âåëèêèé ïîäçåìíûé ãîðîä;;x
wonder_underground_city_construction_desc;Building an underground city can increase your intrigue capabilities and you can even find a precious metal deposit.;;;;;;;;;;;Ñòðîèòåëüñòâî ïîäçåìíîãî ãîðîäà ìîæåò óâåëè÷èòü Âàøè âîçìîæíîñòè äëÿ èíòðèã, è Âû äàæå ìîæåòå íàéòè ìåñòîðîæäåíèå äðàãîöåííûõ ìåòàëëîâ.;;x
wonder_underground_city_desc;Partially carved from the very rock it sits on, only its owner knows exactly how far these tunnels sprawl.;;;;;;;;;;;×àñòè÷íî âûðåçàííûé èç ñêàëû, ýòîò ãîðîä ïðîñòèðàåòñÿ ãëóáîêî â å¸ íåäðà, è òîëüêî òîò, êòî åãî ïîñòðîèë, çíàåò íàñêîëüêî.;;x
wonder_underground_city_petra;Petra;;;;;;;;;;;Ïåòðà;;x
wonder_underground_city_petra_desc;The great desert city of Petra has existed for hundreds of years;;;;;;;;;;;Âåëèêèé ïóñòûííûé ãîðîä Ïåòðà ñóùåñòâîâàë ñîòíè ëåò.;;x
wonder_university;Grand University;;;;;;;;;;;Âåëèêèé óíèâåðñèòåò;;x
wonder_university_construction_desc;A great place of learning will help with §YCultural§! and other technological advances. The presence of so many learned persons can even increase your personal §YSkills§!.;;;;;;;;;;;Ýòî ïðåâîñõîäíîå ìåñòî äëÿ îáó÷åíèÿ ïîìîæåò âàì îáåñïå÷èòü òåõíè÷åñêèé ïðîãðåññ â §Yêóëüòóðå§! è äðóãèõ íàó÷íûõ ñôåðàõ. Ïðèñóòñòâèå ñòîëüêèõ îáðàçîâàííûõ ëþäåé ìîæåò äàæå óëó÷øèòü Âàøè ëè÷íûå §Yíàâûêè§!.;;x
wonder_university_desc;A high seat of learning, famous throughout the realm.;;;;;;;;;;;Ýòîò óíèâåðñèòåò îáåñïå÷èâàåò âûñîêèé óðîâåíü îáðàçîâàíèÿ, èçâåñòíûé äàëåêî çà ïðåäåëàìè ñòðàíû.;;x
wonder_wall;Great Walls;;;;;;;;;;;Âåëèêèå ñòåíû;;x
wonder_wall_construction_desc;The construction of massive city walls and other defensive structures will surely protect the province against besieging enemy armies.;;;;;;;;;;;Ñòðîèòåëüñòâî ìàññèâíûõ ãîðîäñêèõ ñòåí è äðóãèõ îáîðîíèòåëüíûõ ñîîðóæåíèé, íåñîìíåííî, çàùèòèò îêðóã îò àðìèè ïðîòèâíèêà.;;x
wonder_wall_desc;A mega-project, this is a construction of massive city walls.;;;;;;;;;;;ßâëÿÿñü âîïëîùåíèåì ãðàíäèîçíîãî ïðîåêòà, ýòè ìàññèâíûå ñòåíû çàùèùàþò ìåñòíûõ æèòåëåé è ñëóæàò íàïîìèíàíèåì î ìîãóùåñòâå òîãî, êòî èõ ïîñòðîèë.;;x
# Strings used to set name/description
wonder_desc_text_update;[GetWonderDesc];;;;;;;;;;;[This.GetWonderDesc];;x
wonder_name_text_update;[GetWonderName];;;;;;;;;;;[This.GetWonderName];;x
ruins_of_wonder_name;Ruins of [This.GetName];;;;;;;;;;;Ðàçðóøåíí[This.GetWonderAyaYyYeOe] [This.GetName];;x
ruined_wonder_type;Ruined [This.GetWonderTypeShortCap];;;;;;;;;;;Ðàçðóøåíí[This.GetWonderAyaYyYeOe] [This.GetWonderTypeShortCap];;x
destroyed_wonder_type;Destroyed [This.GetWonderTypeShortCap];;;;;;;;;;;Óíè÷òîæåíí[This.GetWonderAyaYyYeOe] [This.GetWonderTypeShortCap];;x
ruined_wonder_desc_1;This construction has been severely damaged by pillaging, and would require labor to be restored.;;;;;;;;;;;Ýòî ñîîðóæåíèå áûëî ñåðü¸çíî ïîâðåæäåíî âî âðåìÿ ðàçãðàáëåíèÿ è òðåáóåò íåìàëûõ óñèëèé äëÿ âîññòàíîâëåíèÿ.;;x
ruined_wonder_desc_2;This construction has been almost completely destroyed, looted for anything of value, and is now but a shadow of its former glory.;;;;;;;;;;;Ýòî ñîîðóæåíèå áûëî ïî÷òè ïîëíîñòüþ óíè÷òîæåíî âî âðåìÿ ðàçãðàáëåíèÿ. Âñ¸ öåííîå óíåñëè, è òåïåðü ýòî ëèøü òåíü åãî áûëîãî âåëè÷èÿ.;;x
