#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_CK2_209_desc_a;They declined our gift!;;;;;;;;;;;Îíè îòâåðãëè íàø ïîäàðîê!;;x
evt_534_opt_c;Cursed Infidels!;;;;;;;;;;;Ïðîêëÿòûå íåâåðíûå!;;x
EVTDESC150;Narrowly avoiding capture by the forces of [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;;;;;;;;;;;[From.GetTitledFirstName], ýòî âñ¸ [From.GetSheHe]! Ìåíÿ åäâà íå ñõâàòèëè [From.GetHersHis] ëþäè, è òåïåðü ÿ âûíóæäåí[Root.GetEndA] ïîäíÿòü çíàìÿ âîññòàíèÿ.;;x
EVTDESC151;My liege has seen fit to throw me in the dungeon. My life might be forfeit.;;;;;;;;;;;Ìîé ñþçåðåí ïîñ÷èòàë íóæíûì áðîñèòü ìåíÿ â òåìíèöó. ×òî æå ñî ìíîé òåïåðü áóäåò...;;x
EVTDESC152;I managed to flee from imprisonment but my escape from 'justice' caused me to become exiled and I cannot return to the country ever again.;;;;;;;;;;;Ìíå óäàëîñü áåæàòü èç òþðüìû, íî ôàêò òîãî, ÷òî ÿ èçáåæàë[Root.GetEndA] «ïðàâîñóäèÿ», ïðåâðàòèë ìåíÿ â èçãíàííèêà, è ÿ áîëüøå íèêîãäà íå ñìîãó âåðíóòüñÿ â ñòðàíó.;;x
EVTDESC153;I have been released from the dungeons of [From.GetTitledFirstName]!;;;;;;;;;;;[From.GetTitledFirstName] ñîèçâîëèë[From.GetEndA] âûïóñòèòü ìåíÿ èç òåìíèöû!;;x
EVTDESC154;My neck rests uneasily on the headsman's block as I await eternity. [From.GetTitledFirstName] has seen fit to end my life.;;;;;;;;;;;Ìîÿ ãîëîâà òðåâîæíî ëåæèò íà ïëàõå ó ïàëà÷à, è îæèäàíèå ðàñòÿãèâàåòñÿ â âå÷íîñòü. [From.GetTitledFirstName] ñ÷èòàåò íóæíûì çàêîí÷èòü ìîþ æèçíü..;;x
EVTDESC155;[From.GetTitledFirstName] has decided to spare my wretched life and banish me from the realm.;;;;;;;;;;;[From.GetTitledFirstName] ïîùàäèë[From.GetEndA] ìîþ íåñ÷àñòíóþ æèçíü è èçãíàë[From.GetEndA] ìåíÿ èç âëàäåíèé.;;x
EVTDESC156;I woke up to loud shouts in the hallway outside my chambers. My guards had slain a would-be assassin, but another one got away.;;;;;;;;;;;Ìåíÿ ðàçáóäèëè êðèêè â êîðèäîðå. Ìîè ñòðàæíèêè óáèëè îäíîãî èç íåñîñòîÿâøåãîñÿ óáèéöû, íî âòîðîé óñïåë ñáåæàòü.;;x
EVTDESC157;Three assassins disguised as pages jumped me on my way to my chambers. The guards saved my life, but not before I was stabbed in the side.;;;;;;;;;;;Òðè óáèéöû, ïåðåîäåòûå ïàæàìè, íàïàëè íà ìåíÿ ïî ïóòè â ì[Root.GetMyChamberACC]. Ñòðàæíèêè ñïàñëè ìîþ æèçíü, íî îíè óñïåëè âîòêíóòü ìíå íîæ â áîê.;;x
EVTDESC158;The pain is almost too much to bear. [Root.Religion.GetRandomGodName] curse the assailant who maimed me and managed to escape!;;;;;;;;;;;Áîëü ïî÷òè íåâûíîñèìà. Äà ïðîêëÿí¸ò [Root.Religion.GetRandomGodName] òîãî, êòî èñêàëå÷èë ìåíÿ è ñìîã áåæàòü!;;x
EVTDESC159;My trusty cook caught one of the kitchen staff poisoning my wine! Under torture, he admitted that [From.GetTitledFirstName] had paid him.;;;;;;;;;;;Ìîé âåðíûé ïîâàð ïîéìàë îäíîãî èç ðàáîòíèêîâ êóõíè ïðè ïîïûòêå îòðàâèòü ìî¸ âèíî! Ïîä ïûòêàìè îí ïðèçíàëñÿ, ÷òî åãî íàíèìàòåëü — [From.GetTitledFirstName].;;x
EVTDESC160;I woke up to find a shadowy figure climbing in through the window. I yelled for help and the guards burst in, seizing the assassin just as he stabbed me in the shoulder.;;;;;;;;;;;Ìåíÿ ðàçáóäèë øîðîõ, êàê îêàçàëîñü, îò òåìíîé ôèãóðû, âëåçàþùåé â îêíî. Íà ìîè êðèêè î ïîìîùè â [Root.GetChamberACC] âîðâàëèñü ñòðàæíèêè è ñõâàòèëè óáèéöó, íî òîò óñïåë ðàíèòü ìåíÿ â ïëå÷î.;;x
EVTDESC161;My new chambermaid attacked me with a nasty little dagger. She took an eye out before the guards could subdue her. Before her speedy execution, she gave up the name of her employer - [From.GetBestName].;;;;;;;;;;;Ìîÿ íîâàÿ ãîðíè÷íàÿ íàïàëà íà ìåíÿ ñ ìàëåíüêèì, íî ãðîçíûì êèíæàëîì. Îíà óñïåëà ïîðàíèòü ìíå ãëàç, ïðåæäå ÷åì ñòðàæíèêè ñìîãëè ñõâàòèòü å¸. Ïåðåä å¸ ñêîðåéøåé êàçíüþ, îíà âûäàëà èìÿ ñâîåãî ðàáîòîäàòåëÿ - [From.GetBestName].;;x
EVTDESC162;The hooded assassin got me! My vision is fading fast. May my kin avenge me!;;;;;;;;;;;Óáèéöà â êàïþøîíå äîñòàë ìåíÿ! Ìî¸ çðåíèå áûñòðî óãàñàåò. Ïóñòü æå ìîè ðîäñòâåííèêè îòîìñòÿò çà ìåíÿ!;;x
EVTDESC163;I am dying! The veal was laced with poison! Such excruciating pain... but I die knowing who murdered me.;;;;;;;;;;;ß óìèðàþ! Òåëÿòèíà áûëà ïðîïèòàíà ÿäîì! Òàêèå ìó÷èòåëüíûå áîëè... Íî ÿ çíàþ, êòî óáèë[From.GetEndA] ìåíÿ.;;x
EVTDESC200;His Holiness, [Root.GetTitledFirstName], has been swayed by the cries for help from the Christian population in the [crusade_title.GetFullName]. He urges all able-bodied men of Europe to take up arms against the evil [crusade_character.GetTitledName] in order to secure [crusade_title.GetName] from the clutches of the Mahommedan infidels.\n\n God will grant the pilgrims remission of sins in Heaven!;;;;;;;;;;;íà çåìëþ [From.GetName]! [Root.GetHersHisCap] Ñâÿòåéøåñòâî, [Root.GetTitledFirstName], âíÿë[Root.GetEndA] ìîëüáàì î ïîìîùè îò õðèñòèàíñêîãî íàñåëåíèÿ [From.GetAdjective]ñêîé çåìëè. [Root.GetSheHeCap] ïðèçûâàåò âñåõ áîåñïîñîáíûõ ìóæåé Åâðîïû ïîäíÿòü îðóæèå ïðîòèâ èõ ïðàâèòåëÿ ([New.GetTitledName]). [From.GetName] èçáàâèòñÿ îò êîãòåé ìàãîìåòàíñêèõ èíîâåðöåâ.\nÃîñïîäü äàðóåò ïàëîìíèêàì îòïóùåíèå âñåõ ãðåõîâ â Ðàþ!;;x
EVTDESC201;His Holiness, [Root.GetTitledFirstName], is worried about the state of the souls in the [crusade_title.GetFullBaseName]. The heathens under [crusade_character.GetTitledName] have no hope for salvation and will suffer the eternal fires unless they can be brought to Christ in this life. Any Christian so willing is offered complete absolution of sins in the armed mission against the [crusade_character.Religion.GetName] barbarians!;;;;;;;;;;;[Root.GetHersHisCap] Ñâÿòåéøåñòâî, [Root.GetTitledFirstName], îáåñïîêîåí[Root.GetEndA] íàëè÷èåì ìíîãèõ íåïðèÿêàÿííûõ äóø íà çåìëå [From.GetName]. Íå÷åñòèâöû, êîòîðûìè ïðàâèò [New.GetTitledFirstName], íå èìåþò íàäåæäû íà ñïàñåíèå, è áóäóò ñòðàäàòü â âå÷íîì îãíå, åñëè òîëüêî íå îáðåòóò âåðó âî Õðèñòà ïðè æèçíè. Âñå æåëàþùèå õðèñòèàíå ìîãóò çàñëóæèòü îòïóùåíèå ãðåõîâ â âîîðóæ¸ííîì ïîõîäå ïðîòèâ âàðâàðîâ èñïîâåäóþùèõ [New.GetReligionFullName]!;;x
EVTDESC202;I submit to your wise counsel and will convert to the [This.Religion.GetName] faith forthwith.;;;;;;;;;;;ß ïðèñëóøàþñü ê Âàøèì ìóäðûì ñîâåòàì, è íåìåäëåííî ïðèìó [This.GetReligionFullName].;;x
EVTDESC203;I refuse to convert to your false religion, the [From.Religion.GetName] faith is the true faith.;;;;;;;;;;;ß îòêàçûâàþñü ïðèíèìàòü Âàøó ëîæíóþ ðåëèãèþ, [From.GetReligionFullName] - èñòèííàÿ âåðà.;;x
EVTDESC204;I humbly accept your decision to revoke the [Root.GetFullName], though it grieves me deeply.;;;;;;;;;;;ß ñìèðåííî ïðèíèìàþ Âàøå ðåøåíèå ëèøèòü ìåíÿ òèòóëà [Root.GetFullName], õîòÿ ýòî ãëóáîêî îãîð÷àåò ìåíÿ.;;x
EVTDESC205;I will not allow you to steal my titles without a fight! You are no longer my liege lord.;;;;;;;;;;;ß íå ïîçâîëþ Âàì êðàñòü ìîè òèòóëû áåç áîÿ! Âû - áîëüøå íå ìîé ñþçåðåí.;;x
EVTDESC206;I accept your offer of peace.;;;;;;;;;;;ß ïðèíèìàþ Âàøå ìèðíîå ïðåäëîæåíèå.;;x
EVTDESC207;I reject your offer of peace.;;;;;;;;;;;ß îòâåðãàþ Âàøå ìèðíîå ïðåäëîæåíèå.;;x
EVTDESC208;Please accept this humble gift of §Y[GetDiploGiftSize]§!¤.;;;;;;;;;;;Ïîæàëóéñòà, ïðèìèòå ýòîò ñêðîìíûé ïîäàðîê: §Y[GetDiploGiftSize]§W¤.;;x
EVTDESC210;I accept to swear fealty to you and to serve as your vassal lord.;;;;;;;;;;;ß ïðèñÿãàþ Âàì íà âåðíîñòü, è áóäó ñëóæèòü âåðîé è ïðàâäîé â êà÷åñòâå âàññàëà.;;x
EVTDESC211;I reject your offer of vassalization. I do not need your 'protection'.;;;;;;;;;;;"ß îòâåðãàþ Âàøå ïðåäëîæåíèå î âàññàëèòåòå. Ìíå íå íóæíà Âàøà ""çàùèòà"".";;x
EVTDESC212;I have decided to accept your suggestion of a betrothal between [Root.GetTitledFirstName] and [New.GetTitledFirstName].;;;;;;;;;;;ß ïðèíèìàþ Âàøå ïðåäëîæåíèå î ïîìîëâêå, [Root.GetTitledFirstName] è [New.GetTitledFirstName] ñòàíóò ïðåêðàñíîé ïàðîé.;;x
EVTDESC213;I reject your insulting suggestion. [New.GetTitledFirstName] will never marry [Root.GetTitledFirstName].;;;;;;;;;;;ß îòâåðãàþ Âàøå îñêîðáèòåëüíîå ïðåäëîæåíèå. [New.GetTitledFirstName] è [Root.GetTitledFirstName] íèêîãäà íå ïîæåíÿòñÿ.;;x
EVTDESC214;I have decided to accept your suggestion that [Root.GetTitledFirstName] and [New.GetTitledFirstName] get married. All children of the union will be of her Dynasty.;;;;;;;;;;;ß ïðèíèìàþ Âàøå ïðåäëîæåíèå î òîì, ÷òîáû [Root.GetTitledFirstName] è [New.GetTitledFirstName] âñòóïèëè â áðàê. Âñå äåòè èõ áðàêà áóäóò ïðèíàäëåæàòü äèíàñòèè ìàòåðè.;;x
EVTDESC215;Regrettably, I feel it would not be in my best interests for [Root.GetTitledFirstName] to marry [New.GetTitledFirstName] under those terms.;;;;;;;;;;;Âîçìîæíî, [Root.GetTitledFirstName] è [New.GetTitledFirstName] ñòàëè áû ïðåêðàñíîé ïàðîé, íî, ê ñîæàëåíèþ, áðàê íà òàêèõ óñëîâèÿõ íå â ìîèõ èíòåðåñàõ.;;x
EVTDESC216;I accept your suggestion that [Root.GetTitledFirstName] and [New.GetTitledFirstName] get married.;;;;;;;;;;;ß ïðèíèìàþ Âàøå ïðåäëîæåíèå, î òîì, ÷òîáû [Root.GetTitledFirstName] è [New.GetTitledFirstName] âñòóïèëè â áðàê.;;x
EVTDESC217;Regrettably, I feel it would not be in my best interests for [Root.GetTitledFirstName] to marry [New.GetTitledFirstName].;;;;;;;;;;;Âîçìîæíî, [Root.GetTitledFirstName] è [New.GetTitledFirstName] ñòàëè áû ïðåêðàñíîé ïàðîé, íî, ê ñîæàëåíèþ, áðàê íà òàêèõ óñëîâèÿõ íå â ìîèõ èíòåðåñàõ.;;x
EVTDESC218;I accept paying your ransom for the safe return of [Root.GetTitledFirstName].;;;;;;;;;;;Åñëè [Root.GetTitledFirstName] áåçîïàñíî âåðí¸òñÿ, ÿ ñîãëàñ[From.GetNaEn] çàïëàòèòü ñóììó âûêóïà.;;x
EVTDESC219;I refuse to pay your extortionate ransom demand for [Root.GetTitledFirstName].;;;;;;;;;;;[Root.GetTitledFirstName] áåçóñëîâíî çàñëóæèâàåò ñâîáîäû, íî ÿ îòêàçûâàþñü ïëàòèòü âûêóï, Âàøè òðåáîâàíèÿ ïðîñòî ãðàáèòåëüñêèå!;;x
EVTDESC220;I gladly accept the Guardianship contract between [Root.GetTitledFirstName] and [New.GetTitledFirstName].;;;;;;;;;;;ß ñ ðàäîñòüþ ïðèíèìàþ ïðåäëîæåíèå îá îïåêóíñòâå ([Root.GetTitledFirstName] è [New.GetTitledFirstName]).;;x
EVTDESC221;I fear that I cannot accept accept the Guardianship contract between [Root.GetTitledFirstName] and [New.GetTitledFirstName].;;;;;;;;;;;ß íå ìîãó ïðèíÿòü Âàøå ïðåäëîæåíèå îá îïåêóíñòâå ([Root.GetTitledFirstName] è [New.GetTitledFirstName]).;;x
EVTDESC222;Your demand is just. My scheming was obviously misdirected. I hope you will find it in you to forgive me.;;;;;;;;;;;Âàøå òðåáîâàíèå ñïðàâåäëèâî. Ìîè èíòðèãè áûëè íåâåðíî íàöåëåíû. ß íàäåþñü, Âû íàéä¸òå â ñåáå áëàãîðîäñòâî ïðîñòèòü ìåíÿ.;;x
EVTDESC223;I will eventually [From.GetPlot]! You cannot stop me.;;;;;;;;;;;[From.GetPlot] — ìîÿ ãëàâíàÿ öåëü! È Âû íå ñìîæåòå îñòàíîâèòü ìåíÿ.;;x
EVTDESC224;I accept your demand. I will no longer back [Root.GetTitledFirstName]'s dubious plot to [Root.GetPlot].;;;;;;;;;;;ß âûïîëíþ Âàøå òðåáîâàíèå. ß áîëüøå íå áóäó ó÷àñòâîâàòü â ñîìíèòåëüíîì çàãîâîðå [Root.GetPlot], êîòîðûé çàäóìàë[Root.GetEndA] [Root.GetTitledFirstName].;;x
EVTDESC225;I will not withdraw my support for [Root.GetTitledFirstName]'s plan to [Root.GetPlot].;;;;;;;;;;;[Root.GetTitledFirstName] - ïðàâ[Root.GetEndA], è ÿ íå ïåðåñòàíó ïîääåðæèâàòü [Root.GetHersHis] ñòðåìëåíèÿ [Root.GetPlot].;;x
EVTDESC226;An intriguing scheme! I believe I will indeed back your plot to [This.GetPlot].;;;;;;;;;;;Èíòðèãóþùàÿ ñõåìà! Äà, êîíå÷íî, ÿ ïðèñîåäèíÿþñü ê çàãîâîðó [This.GetPlot].;;x
EVTDESC227;I refuse to back your foolish plot to [This.GetPlot].;;;;;;;;;;;Âû õîòèòå [This.GetPlot]? ß îòêàçûâàþñü ó÷àñòâîâàòü â Âàøåì ãëóïîì çàãîâîðå.;;x
EVTDESC228;I have decided to grant you the [Root.GetFullName] in recognition of your service and your nobility of spirit.;;;;;;;;;;;ß ïðåäîñòàâëÿþ Âàì òèòóë è çåìëè îáëàñòè [Root.GetName] â çíàê ïðèçíàíèÿ Âàøèõ çàñëóã è áëàãîðîäñòâà äóõà.;;x
EVTDESC229;REMOVED;;;;;;;;;;;ÓÄÀËÅÍÎ.;;x
EVTDESC230;I would be honored to serve on your Council!;;;;;;;;;;;Äëÿ ìåíÿ áóäåò ÷åñòüþ ñëóæèòü â Âàøåì ñîâåòå!;;x
EVTDESC231;Regrettably, I must decline your gracious offer to serve on your Council.;;;;;;;;;;;Ê ñîæàëåíèþ, ÿ îòêëîíÿþ Âàøå ìèëîñòèâîå ïðåäëîæåíèå ñëóæèòü â Âàøåì ñîâåòå.;;x
EVTDESC232;Your request has merit. In the name of [From.Religion.GetRandomGodName], I grant you the right to invade the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;;;Âàøà ïðîñüáà îáîñíîâàíà. Äà ïðåáóäåò ñ Âàìè [From.Religion.GetRandomGodName], Ìû äà¸ì Âàì ïðàâî âòîðãíóòüñÿ â [Root.PrimaryTitle.GetAdjective]ñêèå çåìëè.;;x
EVTDESC233;I fear I must refuse your request to invade [Root.GetTitledFirstName]'s lands.;;;;;;;;;;;Áîþñü, Ìû äîëæíû îòêàçàòü Âàì â ïðîñüáå âòîðãíóòüñÿ â [Root.PrimaryTitle.GetAdjective]ñêèå çåìëè.;;x
EVTDESC234;After much prayer and meditation, I have decided to grant your request to divorce your spouse on the grounds of consanguinity.;;;;;;;;;;;Ïîñëå äîëãèõ ìîëèòâ è ðàçìûøëåíèé, Ìû ðåøèëè óäîâëåòâîðèòü Âàøó ïðîñüáó î ðàçâîäå íà îñíîâàíèè êðîâíîãî ðîäñòâà.;;x
EVTDESC235;Matrimony is a holy bond. Under the laws of the Church, I cannot grant you divorce.;;;;;;;;;;;Áðàê - ýòî ñâÿòûå óçû. Ïî çàêîíàì öåðêâè, ÿ íå ìîãó ïðåäîñòàâèòü Âàì ðàçâîä.;;x
EVTDESC236;The vile excesses of [Root.GetTitledFirstName] can no longer be tolerated! We agree that [Root.GetSubjectPronoun] should be denied communion and be excommunicated!;;;;;;;;;;;Ãíóñíûå âûõîäêè, ê êîòîðûì ïðèáåãàåò [Root.GetTitledFirstName], áîëåå íå ìîãóò èãíîðèðîâàòüñÿ. Ìû ñîãëàñíû ñ òåì, ÷òî [Root.GetHersHis] ñëåäóåò îòëó÷èòü îò íàøåé Câÿòîé Öåðêâè.;;x
EVTDESC236_NC;The vile excesses of [Root.GetTitledFirstName] can no longer be tolerated! We agree that [Root.GetSubjectPronoun] should be excommunicated!;;;;;;;;;;;[Root.GetTitledFirstName] è [Root.GetHersHis] ìåðçêèå âûõîäêè áîëüøå íå ìîãóò èãíîðèðîâàòüñÿ. Ìû ñîãëàñíû - [Root.GetHersHis] ñëåäóåò îòëó÷èòü îò íàøåãî ñâÿùåííîãî ñîþçà.;;x
EVTDESC237;We refuse to excommunicate the gentle and pious [Root.GetTitledFirstName].;;;;;;;;;;;[Root.GetTitledFirstName] - êðîòê[Root.GetAyaIy] è áëàãî÷åñòèâ[Root.GetAyaYy] ñëóãà Öåðêâè. Ìû ñ÷èòàåì, ÷òî íè â êîåì ñëó÷àå íåëüçÿ îòëó÷àòü [Root.GetHersHis].;;x
EVTDESC238;Of course I will honor my obligation and answer your call to war!;;;;;;;;;;;Êîíå÷íî, ÿ âûïîëíþ ñâîé äîëã è îòâå÷ó íà ïðèçûâ ê âîéíå!;;x
EVTDESC239;We can unfortunately not join your wars at this time.;;;;;;;;;;;Ñåé÷àñ ìû, ê ñîæàëåíèþ, íå ìîæåì ïîìî÷ü Âàì â âîéíå.;;x
EVTDESC240;This is a formal declaration of WAR. Our armies shall meet on the field of battle!;;;;;;;;;;;Ýòî îôèöèàëüíîå îáúÿâëåíèå âîéíû. Íàøè àðìèè âñòðåòÿòñÿ íà ïîëå áîÿ!;;x
EVTDESC241;You have not fulfilled your obligations as a liege lord, thus leaving me little choice but to declare WAR.;;;;;;;;;;;Âû íå âûïîëíèëè ñâîè îáÿçàòåëüñòâà êàê ñþçåðåí, â ðåçóëüòàòå ÷åãî íå îñòàâèëè ìíå èíîãî âûáîðà, êðîìå êàê îáúÿâèòü Âàì âîéíó.;;x
EVTDESC274;My liege, I accept your decision to retract my vassal, [Root.GetBestName], though it grieves me deeply.;;;;;;;;;;;Ì[FromFrom.GetOyaOy] [FromFrom.GetLordLady], ÿ ïðèíèìàþ Âàøå ðåøåíèå îòîçâàòü ìîåãî âàññàëà, èçâåñòí[Root.GetUyuOgo] êàê [Root.GetTitledFirstNameWithNick], õîòÿ ýòî ãëóáîêî îãîð÷àåò ìåíÿ.;;x
EVTDESC275;Your breach of the feudal contract is unacceptable, I will not give up my vassals without a fight!;;;;;;;;;;;Ïîäîáíîå íàðóøåíèå ôåîäàëüíîãî äîãîâîðà íåäîïóñòèìî, ÿ íå îòêàæóñü îò ñâîèõ âàññàëîâ áåç áîÿ!;;x
EVTDESC280;I accept your gracious invitation and will join your court forthwith!;;;;;;;;;;;ß ïðèíèìàþ Âàøå ëþáåçíîå ïðèãëàøåíèå, è ïðèñîåäèíþñü ê Âàøåìó äâîðó íåìåäëåííî!;;x
EVTDESC281;I cannot in good conscience abandon my current liege to join your court.;;;;;;;;;;;ß íå ìîãó ñ ÷èñòîé ñîâåñòüþ áðîñèòü ñâîåãî ñþçåðåíà, äàáû ïðèñîåäèíèòüñÿ ê Âàøåìó äâîðó.;;x
EVTDESC282;I accept you as my vassal. Henceforth, you will enjoy my protection as your liege lord.;;;;;;;;;;;ß ïðèíèìàþ Âàñ, êàê ñâîåãî âàññàëà. Îòíûíå ÿ, êàê ñþçåðåí, áóäó çàùèùàòü Âàñ.;;x
EVTDESC283;Your offer is tempting, but I have to decline your offer to become my vassal.;;;;;;;;;;;Âàøå ïðåäëîæåíèå çàìàí÷èâî, íî ÿ îòêëîíÿþ Âàøå ïðåäëîæåíèå ñòàòü ìîèì âàññàëîì.;;x
EVTDESC284;I will gladly lift the excommunication of [Root.GetTitledFirstName] and allow [Root.GetObjectPronoun] back into the Church!;;;;;;;;;;;ß ñ óäîâîëüñòâèåì ñíèìó îòëó÷åíèå. [Root.GetTitledFirstName] âåðí¸òñÿ â ëîíî Ñâÿòîé Ìàòåðè Öåðêâè.;;x
EVTDESC285;I am afraid that the depravity of [Root.GetTitledFirstName] precludes a return to the embrace of Holy Mother Church.;;;;;;;;;;;ß áîþñü, ÷òî [Root.GetTitledFirstName] ñëèøêîì ïîðî÷[Root.GetNaEn], ÷òî èñêëþ÷àåò [Root.GetHersHis] âîçâðàùåíèå â ëîíî Ñâÿòîé Ìàòåðè Öåðêâè.;;x
EVTDESC286;But of course I accept such a generous ransom. [Root.GetTitledFirstName] has been released!;;;;;;;;;;;Íó, êîíå÷íî, ÿ ïðèìó ñòîëü ùåäðûé âûêóï. [Root.GetTitledFirstName] áóäåò îòïóùåí[Root.GetEndA] íåìåäëåííî!;;x
EVTDESC287;I am afraid I cannot accept your offer. [Root.GetTitledFirstName] had better remain in my custody.;;;;;;;;;;;ß áîþñü, ÷òî íå ìîãó ïðèíÿòü Âàøå ïðåäëîæåíèå. Ïóñòü ëó÷øå [Root.GetTitledFirstName] ïîñèäèò ïîêà â òåìíèöå.;;x
EVTDESC288;I accept your offer of settling down.;;;;;;;;;;;ß ïðèíèìàþ Âàøå ïðåäëîæåíèå îñåñòü íà ýòèõ çåìëÿõ.;;x
EVTDESC289;I refuse to accept your offer of settling down.;;;;;;;;;;;ß îòâåðãàþ Âàøå ïðåäëîæåíèå îñåñòü íà ýòèõ çåìëÿõ. Ìû - âîëüíûå ëþäè, à íå äîìàøíèé ñêîò.;;x
EVTDESC290;I have decided to institute the [From.GetProposedLaw] Law. All that is needed is the support of yourself and my other loyal vassals.\n\nYour [From.Holder.GetTitle];;;;;;;;;;;"ß ïðèíèìàþ çàêîí ""[From.GetProposedLaw]"". Âñå ÷òî ìíå íóæíî, ýòî ïîääåðæêà ëîÿëüíûõ âàññàëîâ.\n Âàø[From.Holder.GetEndA] [From.Holder.GetTitle]";;x
EVTDESC291;I have decided to institute the [From.GetProposedLaw] Law in the [From.GetFullName]. Your status as my de jure vassal entitles you to vote on the matter.\n\n[From.Holder.GetTitledName];;;;;;;;;;;ß óñòàíàâëèâàþ Çàêîí [From.GetProposedLaw] â ãîñóäàðñòâå [From.GetName]. Âàø ñòàòóñ, êàê ìîåãî äå-þðå âàññàëà, äà¸ò ïðàâî Âàì ãîëîñîâàòü ïîýòîìó âîïðîñó.\n [From.Holder.GetTitledName];;x
EVTDESC292;I have decided to institute the [From.GetProposedLaw] Law in the [From.GetFullName]. Since this is a Crown Law and you are a formal elector of [From.GetName], you may vote, even though you are not my vassal... yet.\n\n[From.Holder.GetTitledName];;;;;;;;;;;ß óñòàíàâëèâàþ Çàêîí [From.GetProposedLaw] â ãîñóäàðñòâå [From.GetName]. Òàê êàê ýòî Çàêîí Êîðîíû, è ôîðìàëüíî Âû - [From.GetAdjective]ñêèé âûáîðùèê, Âû ìîæåòå ãîëîñîâàòü, äàæå ïðè òîì, ÷òî Âû íå ìîé âàññàë... ïîêà åù¸.\n [From.Holder.GetTitledName];;x
EVTDESC293;I gladly accept your offer of assistance in my war. Let our enemies tremble!\n\n[From.GetTitledFirstName];;;;;;;;;;;ß ñ ðàäîñòüþ ïðèíèìàþ Âàøå ïðåäëîæåíèå ïðèñîåäèíèòüñÿ ê íàøåé âîéíå. Ïóñòü æå òðåïåùóò íàøè âðàãè!\n [From.GetTitledFirstName];;x
