EVTOPTA_CM_4013;Spare me your lamentations!;;;;;;;;;;;Èçáàâüòå ìåíÿ îò ñâîèõ ñòåíàíèé!;;x
EVTTITLE_CM_4309;The Haruriyyah;;;;;;;;;;;Xàðóðèéÿ;;x
EVTDESC_CM_4000;A new holy order has been founded for the defense and preservation of the reformed and expanding Zunist religion. They call themselves 'Knights of the Sun' and are sworn to stand steadfast in battle, protect the faithful and help spread the light of Zun the Justice-Giver to new lands. Many young warriors are already flocking to their golden standard.;;;;;;;;;;;"Íîâûé äóõîâíûé îðäåí áûë îñíîâàí äëÿ çàùèòû è ðàñøèðåíèÿ ðåôîðìèðîâàííîé ðåëèãèè. Îíè íàçûâàþò ñåáÿ ""Ðûöàðè Ñîëíöà"" è ïîêëÿëèñü ñòîÿòü òâ¸ðäî â áîþ, çàùèùàòü âåðóþùèõ è ïîìî÷ü ðàñïðîñòðàíÿòü ñâåò Çóíà, äàðóþùèé íîâûå çåìëè. Ìíîãèå ìîëîäûå âîèíû óæå ñòåêàþòñÿ ïîä èõ çíàì¸íà.";;x
EVTOPTA_CM_4000;Praise [target_grandmaster.Religion.GetRandomGodName]!;;;;;;;;;;;Íåñè ñâîé ñâåò, î, [zun_leader.Religion.GetRandomGodName]!;;x
EVTDESC_CM_4309;A new order of Muslim warriors has been founded, claiming descent from the old Haruri traditions and swearing to protect Islam and combat infidels and polytheists of all kinds. It was a Haruri who killed the Caliph Ali with a poisoned sword since they saw him as corrupting Islam, and this new group now vows to show the same courage and detemination in fighting any enemies of the true faith. They call themselves simply 'The Haruriyyah'.;;;;;;;;;;;"Ìóñóëüìàíñêèå âîèíû îñíîâàëè íîâûé äóõîâíûé îðäåí. Îíè óòâåðæäàþò, ÷òî ñëåäóþò òðàäèöèè ó÷åíèÿ Õàðóðè, ïîêëÿâøèñü çàùèùàòü èñëàì, ñðàæàÿñü ñ íåâåðíûìè è ìíîãîáîæíèêàìè âñåõ ìàñòåé, âåäü èìåííî Õàðóðè óáèë õàëèôà Àëè îòðàâëåííûì ìå÷îì, óâèäåâ, êàê òîò âðåäèë èñëàìó. Òåïåðü ýòà íîâàÿ ñèëà îáåùàåò ïîêàçàòü òàêîå æå ìóæåñòâî è ñòîéêîñòü â áîðüáå ñ ëþáûìè âðàãàìè èñòèííîé âåðû. Îíè íàçûâàþò ñåáÿ ""Õàðóðèéÿ"".";;x
EVTDESC_CM_4311;Most righteous [Root.GetTitledFirstName], of course we, the Haruriyyah, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\n[target_grandmaster.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], êîíå÷íî, Õàðóðèéÿ ìîæåò îäîëæèòü Âàì 300 çîëîòûõ. Âñ¸, ÷òî ìû ïðîñèì âçàìåí - Âàøà áóäóùàÿ ïîìîùü â íåêîòîðûõ âîïðîñàõ ïî ìåðå èõ âîçíèêíîâåíèÿ. Ñàëàì àëåéêóì,\n\n [From.GetTitledName];;x
EVTDESC_CM_4323;Great [Root.GetTitledFirstName], the Order needs more castles in order to train recruits and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [target_province.GetName]. Peace be with you,\n\n[target_grandmaster.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß ïîâåëþ ïðîñòèòü âñå Âàøè äîëãè îðäåíó â ñëó÷àå, åñëè Âû ïîçâîëèòå íàì ïîñòðîèòü çàìîê â ìåñòå ïîä íàçâàíèåì [FromFrom.GetName]. Ìèð Âàì,\n\n [From.GetTitledName];;x
EVTDESC_CM_4331;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Haruriyyah to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â îðäåí Õàðóðèéÿ, ÷òîáû ñðàæàòüñÿ ñ íåâåðíûìè! Îí èñêëþ÷èòñÿ èç ëèíèè íàñëåäîâàíèÿ è íèêîãäà íå ñìîæåò îïîçîðèòü äèíàñòèþ.;;x
EVTDESC_CM_4303;Peace be upon you, most magnificent [Root.GetTitledFirstName]. As you may know, our order is in need of leaders, and, considering your debt to us, I would like to request that your able and noble son [demanded_child.GetFirstName] serve in our ranks. Naturally, this would disinherit him. Allah be with you,\n\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ìèð Âàì. Êàê Âû íàâåðíîå çíàåòå, íàø îðäåí íóæäàåòñÿ â ëèäåðàõ, è, ó÷èòûâàÿ Âàø äîëã ïåðåä íàìè, ÿ áû ïðåäïî÷¸ë ïîïðîñèòü, ÷òîáû Âàø áëàãîðîäíûé ñûí [FromFrom.GetFirstName] âñòóïèë â íàøè ðÿäû. Ðàçóìååòñÿ, ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ. Àëëàõ ñ Âàìè,\n\n [From.GetTitledName];;x
EVTOPTA_CM_4309;I am sure we can make use of them.;;;;;;;;;;;Îíè ìîãóò íàì ïðèãîäèòüñÿ.;;x
EVTOPTB_CM_4309;Poisoned swords? Hmm...;;;;;;;;;;;Îòðàâëåííûì ìå÷îì? Õì...;;x
EVTTOOLTIP_CM_4003;[This.GetTitledFirstName] becomes a Knight of the Sun.;;;;;;;;;;;[This.GetTitledFirstName] ñòàíåò Ðûöàðåì Ñîëíöà.;;x
EVTTOOLTIP_CM_4332;[This.GetTitledFirstName] becomes a member of the Haruriyyah Order;;;;;;;;;;;[This.GetTitledFirstName] ñòàíåò ÷ëåíîì äóõîâíîãî îðäåíà Õàðóðèéÿ;;x
EVTDESC_SOA_1003;Most righteous [Root.GetTitledFirstName], I have a humble request for you in light of your debt to us. There is no rest in our defense against the infidel and we have desperate need of knights to lead our men. Thus, I would like to extend this opportunity to your able and noble son [demanded_child.GetFirstName] to serve in our ranks. Naturally, this would disinherit him. Sincerely Yours in Christ,\n\nGrand Master [demanding_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ó ìåíÿ ñêðîìíàÿ ïðîñüáà ê Âàì â ñâåòå Âàøåãî äîëãà ïåðåä íàìè. Îáîðîíà îò èíîâåðöåâ íå çíàåò ïîêîÿ è ìû èñïûòûâàåì îñòðóþ íóæäó â ðûöàðÿõ, ÷òîáû âåñòè íàøèõ ëþäåé. ß äóìàþ, íàøè âîçìîæíîñòè ðàñøèðÿòñÿ, åñëè Âàø óìåëûé è áëàãîðîäíûé ñûí [FromFrom.GetFirstName] ïîïîëíèò íàøè ðÿäû. Ðàçóìååòñÿ, ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ. Èñêðåííå Âàø âî Õðèñòå,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1011;Most virtuous [Root.GetTitledFirstName], of course we, the Poor Fellow-Soldiers of Christ and of the Temple of Solomon, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Pax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], êîíå÷íî, ìû, Áåäíûå Ðûöàðè Õðèñòà è Õðàìà Ñîëîìîíà, ìîæåì îäîëæèòü Âàì 300 çîëîòûõ. Âñ¸, ÷òî ìû ïðîñèì âçàìåí - Âàøà áóäóùàÿ ïîìîùü â íåêîòîðûõ âîïðîñàõ ïî ìåðå èõ âîçíèêíîâåíèÿ. Pax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1016;My liege, the Poor Fellow-Soldiers of Christ and of the Temple of Solomon stand ready to serve you in defense of Christianity and the Holy Land! Pax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Áåäíûå Ðûöàðè Õðèñòà è Õðàìà Ñîëîìîíà ãîòîâû ñëóæèòü Âàì, çàùèùàÿ õðèñòèàíñòâî è Ñâÿòóþ Çåìëþ! Pax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1023;My dear [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [target_province.GetName]. Pax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îõîòíî àííóëèðóþ Âàø äîëã ïåðåä íàìè, åñëè Âû òîëüêî ïîçâîëèòå ïîñòðîèòü çàìîê â ìåñòå ïîä íàçâàíèåì [FromFrom.GetName]. Pax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1024;The Knights Templar have constructed a castle in [Root.GetName]!;;;;;;;;;;;Òàìïëèåðû ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1031;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights Templar in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â ðÿäû Òàìïëèåðîâ, ÷òîáû ñðàæàòüñÿ ïðîòèâ èíîâåðöåâ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_1053;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nPax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1054;The Knights Templar have constructed a castle in [Root.GetName]!;;;;;;;;;;;Òàìïëèåðû ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1061;Your majesty, this antagonism is completely unwarranted! The Order serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íåîïðàâäàí! Îðäåí ñëóæèò Õðèñòó, íî ñòîèò çàäàòüñÿ âîïðîñîì - ñëóæèòå ëè Åìó Âû?\nÂ ãíåâå è ïå÷àëè,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1116;My liege, the Order of Saint John - the Knights Hospitaller - stands ready to serve you in defense of Christianity and the Holy Land! Pax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí Ñâÿòîãî Èîàííà, Ãîñïèòàëüåðû, ãîòîâû ñëóæèòü Âàì, çàùèùàÿ õðèñòèàíñòâî è Ñâÿòóþ Çåìëþ! Pax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1131;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights Hospitaller in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â ðÿäû Ãîñïèòàëüåðîâ, ÷òîáû ñðàæàòüñÿ ïðîòèâ èíîâåðöåâ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_1141;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Church. Rest assured that you will be rewarded in Heaven, if not on Earth!\nPax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â äàëüíåéøåé çàùèòå íàøåé âåðû! Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó ñâÿòîé Öåðêâè. Áóäüòå óâåðåíû, Âàì âîçäàñòñÿ íà Íåáåñàõ, åñëè íå íà Çåìëå!\nPax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1153;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to defend Christianity against the Infidel. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ äëÿ çàùèòû õðèñòèàíñòâà îò èíîâåðöåâ. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nPax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1154;The Knights Hospitaller have constructed a castle in [Root.GetName]!;;;;;;;;;;;Ãîñïèòàëüåðû ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1203;Peace be upon you, most magnificent [Root.GetTitledFirstName]. As you may know, our order is in need of leaders, and, considering your debt to us, I would like to request that your able and noble son [demanded_child.GetFirstName] serve in our ranks. Naturally, this would disinherit him. Allah be with you,\n\nGrand Master [demanding_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ìèð Âàì. Êàê Âû íàâåðíîå çíàåòå, íàø îðäåí íóæäàåòñÿ â ëèäåðàõ, è, ó÷èòûâàÿ Âàø äîëã ïåðåä íàìè, ÿ áû ïðåäïî÷[From.GetLaYol] ïîïðîñèòü, ÷òîáû Âàø áëàãîðîäíûé ñûí [FromFrom.GetFirstName] âñòóïèë â íàøè ðÿäû. Ðàçóìååòñÿ, ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ. Àëëàõ ñ Âàìè,\nÂåëèêèé ìàñòåð [From.GetFirstName];;x
EVTDESC_SOA_1209;A Sufi sect of dervishes has arisen under the leadership of a certain Hadji Baktash Wali, a mystic from Khorasan. Striving for 'Unity of Being', Bektashis train the soul through meditation and contemplation of the inner meaning of the Koran. The Bektashi Order is warlike and especially popular among [Root.Religion.GetName] Muslim soldiers. The Order has sworn to protect Islam and to combat infidels and polytheists of all kinds.;;;;;;;;;;;"Õàäæè Áàêòàø Âàëè, ìèñòèê èç Õîðàñàíà, îñíîâàë ñóôèéñêóþ ñåêòó äåðâèøåé. Ñòðåìÿñü ê ""Åäèíñòâó Áûòèÿ"", åãî ïîñëåäîâàòåëè òðåíèðóþò äóøó ñ ïîìîùüþ ìåäèòàöèè è ñîçåðöàíèÿ âíóòðåííåé ñóòè Êîðàíà. Îðäåí Áåêòàøè âîèíñòâåíåí è îñîáåííî ïîïóëÿðåí ñðåäè âîèíîâ-ìóñóëüìàí, èñïîâåäóþùèõ [Root.GetReligionFullName]. Îðäåí ïîêëÿëñÿ çàùèùàòü èñëàì è áîðîòüñÿ ñ íåâåðíûìè è ìíîãîáîæíèêàìè âñåõ ìàñòåé.";;x
EVTDESC_SOA_1211;Most righteous [Root.GetTitledFirstName], of course we, the Bektashi Order, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], êîíå÷íî, îðäåí Áåêòàøè ìîæåò îäîëæèòü Âàì 300 çîëîòûõ. Âñ¸, ÷òî ìû ïðîñèì âçàìåí - Âàøà áóäóùàÿ ïîìîùü â íåêîòîðûõ âîïðîñàõ ïî ìåðå èõ âîçíèêíîâåíèÿ. Ñàëàì àëåéêóì,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1223;Great [Root.GetTitledFirstName], the Order needs more castles in order to train recruits and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [target_province.GetName]. Peace be with you,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß ïîâåëþ ïðîñòèòü âñå Âàøè äîëãè îðäåíó â ñëó÷àå, åñëè Âû ïîçâîëèòå íàì ïîñòðîèòü çàìîê â ìåñòå ïîä íàçâàíèåì [FromFrom.GetName]. Ìèð Âàì,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1224;The Bektashi Order have constructed a castle in [Root.GetName]!;;;;;;;;;;;Îðäåí Áåêòàøè ïîñòðîèë çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1231;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Bektashi Order to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â îðäåí Áåêòàøè, ÷òîáû ñðàæàòüñÿ ñ íåâåðíûìè! Îí èñêëþ÷èòñÿ èç ëèíèè íàñëåäîâàíèÿ è íèêîãäà íå ñìîæåò îïîçîðèòü äèíàñòèþ.;;x
EVTDESC_SOA_1253;Most wise [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÌèð Âàì,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1331;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Teutonic Order in their struggle against the heathens, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â Òåâòîíñêèé îðäåí è ñðàæàòüñÿ ïðîòèâ ÿçû÷íèêîâ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_1353;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to defend Christianity against the vicious heathens. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ äëÿ çàùèòû õðèñòèàíñòâà îò âåðîëîìíûõ ÿçû÷íèêîâ. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nPax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1354;The Teutonic Order have constructed a castle in [Root.GetName]!;;;;;;;;;;;Òåâòîíñêèé îðäåí ïîñòðîèë çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1411;Most righteous [Root.GetTitledFirstName], of course we, the Nizari Ismailis, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], êîíå÷íî, Íèçàðèòû ìîãóò îäîëæèòü Âàì 300 çîëîòûõ. Âñ¸, ÷òî ìû ïðîñèì âçàìåí - Âàøà áóäóùàÿ ïîìîùü â íåêîòîðûõ âîïðîñàõ ïî ìåðå èõ âîçíèêíîâåíèÿ. Ñàëàì àëåéêóì,\nÂåëèêèé ìàñòåð [From.GetFirstName];;x
EVTDESC_SOA_1424;The Nizari Ismaili Hashshashins have constructed a castle in [Root.GetName]!;;;;;;;;;;;Íèçàðèòñêèå Õàøàøèíû ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
