AbrahamDLC;Sons of Abraham;;;;;;;;;;;Sons of Abraham;;x
Zeus;Conclave;;;;;;;;;;;Conclave;;x
DLC_dlc001_EXAMPLE_IMAGE_1_TOOLTIP;King Philippe of France \nDynasty: Capet \nDate: 1066 AD;;;;;;;;;;;Ôèëèïï I, êîðîëü Ôðàíöèè\nÄèíàñòèÿ: Êàïåò\nÄàòà: 1066 ãîä í.ý.;;x
DLC_dlc001_EXAMPLE_IMAGE_1_TOOLTIP_DELAYED;Philippe I, nicknamed the Amorous, was King of the Franks from 1060 until his death. After marrying another woman while already married, the pope excommunicated him in 1095. A significant portion of his reign was spent on his power-hungry vassals, putting down their frequent revolts.;;;;;;;;;;;Ôèëèïï I, êîòîðîãî íàçûâàëè Âëþá÷èâûì, áûë êîðîë¸ì ôðàíêîâ ñ 1060 ãîäà è äî ñàìîé åãî ñìåðòè. Îí áûë îòëó÷¸í îò öåðêâè â 1095 ãîäó ïîñëå æåíèòüáû íà äðóãîé æåíùèíå, â òî âðåìÿ, êàê óæå áûë æåíàò. Çíà÷èòåëüíóþ ÷àñòü åãî ïðàâëåíèÿ çàíÿëà áîðüáà ñ âëàñòîëþáèâûìè âàññàëàìè, âîññòàíèÿ êîòîðûõ ïðèõîäèëîñü ÷àñòî ïîäàâëÿòü.;;x
DLC_dlc001_EXAMPLE_IMAGE_2_TOOLTIP;King Boleslaw the Bold \nDynasty: Piast \nDate: 1066 AD;;;;;;;;;;;Êîðîëü Áîëåñëàâ II Ñìåëûé\nÄèíàñòèÿ: Ïÿñò\nÄàòà: 1066 ãîä í.ý.;;x
DLC_dlc001_EXAMPLE_IMAGE_2_TOOLTIP_DELAYED;King Boleslaw II of Poland had many nicknames, 'the Generous' and 'the Bold' are two examples. Boleslaw II is considered to be one of the most capable Piast rulers as he was the first Polish monarch to produce his coinage in quantity high enough to replace the foreign coins.;;;;;;;;;;;"Ó êîðîëÿ Ïîëüøè Áîëåñëàâà II áûëî ìíîãî ïðîçâèù, ""Ñìåëûé"" è ""Ùåäðûé"" - äâà íàèáîëåå èçâåñòíûõ èç íèõ. Ñ÷èòàåòñÿ, ÷òî Áîëåñëàâ II áûë îäíèì èç ñàìûõ îäàð¸ííûõ ïðàâèòåëåé äèíàñòèè Ïÿñò, âåäü èìåííî îí áûë ïåðâûì ïîëüñêèì ìîíàðõîì, êîòîðûé ñòàë ÷åêàíèòü ñâîè ìîíåòû â äîñòàòî÷íîì êîëè÷åñòâå, ÷òîáû ïîëíîñòüþ çàìåíèòü èíîñòðàííûå.";;x
DLC_dlc001_EXAMPLE_IMAGE_3_TOOLTIP;King Henry of England \nDynasty: Plantagenet \nDate: 1155 AD;;;;;;;;;;;Ãåíðè II, êîðîëü Àíãëèè\nÄèíàñòèÿ: Ïëàíòàãåíåò\nÄàòà: 1155 ãîä í.ý.;;x
DLC_dlc001_EXAMPLE_IMAGE_3_TOOLTIP_DELAYED;Henry II was a driven man who was involved in many intrigues during his reign. While compelled to restore the lands of his grandfather, his family were plotting on how they would inherit the realm.;;;;;;;;;;;Ãåíðè II áûë âåäîìûì ÷åëîâåêîì, êîòîðûé áûë âîâëå÷¸í âî ìíîãèå èíòðèãè â ïåðèîä ñâîåãî ïðàâëåíèÿ. Ïîêà îí ñîñðåäîòà÷èâàë ñâîè ñèëû íà âîçâðàùåíèè çåìåëü ñâîåãî äåäà, åãî ñåìüÿ ïëåëà çàãîâîðû ñ öåëüþ ïîëó÷åíèÿ êîíòðîëÿ çà ñòðàíîé ÷åðåç íàñëåäîâàíèå.;;x
DLC_dlc001_EXAMPLE_IMAGE_4_TOOLTIP;Grand Prince Iziaslav of Kiev \nDynasty: Rurikid \nDate: 1066 AD;;;;;;;;;;;Èçÿñëàâ, âåëèêèé êíÿçü Êèåâñêèé\nÄèíàñòèÿ: Ðþðèêîâè÷\nÄàòà: 1066 ãîä í.ý.;;x
DLC_dlc001_EXAMPLE_IMAGE_4_TOOLTIP_DELAYED;Iziaslav Yaroslavich was a son of Yaroslav I. Iziaslav and his brother succeeded their father, and the realm was divided into three, creating the Yaroslavichi triumvirate that ruled the country for the next 20 years. Iziaslav was deposed twice by his brothers but managed to retake Kiev both times.;;;;;;;;;;;Èçÿñëàâ ßðîñëàâîâè÷ áûë ñûíîì ßðîñëàâà Ìóäðîãî. Ñ áðàòîì îíè ñìåíèëè îòöà íà òðîíå, è èõ çåìëè áûëè ðàçäåëåíû íà òðè ÷àñòè, òàê âîçíèê òðèóìâèðàò ßðîñëàâè÷åé, êîòîðûé ñîõðàíÿëñÿ â òå÷åíèè 20 ëåò. Èçÿñëàâ äâàæäû áûë ñâåðãíóò ñâîèìè áðàòüÿìè, íî îáà ðàçà åìó óäàâàëîñü âåðíóòü ñåáå Êèåâ.;;x
DLC_dlc001_RECOMMENDATION_MEDIEVAL_EUROPE;§YThe Dynasty Shields§! pack contains 50 Coat of Arms of the most famous and prestigious families of Medieval Europe.\n;;;;;;;;;;;Íàáîð §YThe Dynasty Shields§! ñîäåðæèò 50 ãåðáîâ äëÿ äèíàñòèé ñðåäíåâåêîâîé Åâðîïû.\n;;x
DLC_dlc001_TOOLTIP_DELAYED;- 50 unique dynastic shields for the 50 most famous families of Medieval Europe;;;;;;;;;;;- 50 óíèêàëüíûõ ãåðáîâ äëÿ äèíàñòèé ñðåäíåâåêîâîé Åâðîïû;;x
DLC_dlc001_TOOLTIP_INSTANT;§YDynasty Coat of Arms Pack 1§!;;;;;;;;;;;§YDynasty Coat of Arms Pack 1§!;;x
DLC_dlc002_RECOMMENDATION_MONGOL;The §Y$DLC_NAME$§! will make the characters of §Y[Root.Culture.GetName]§! culture appear unique in your game, with thousands of face combinations for both male and female characters.\n;;;;;;;;;;;Íàáîð §Y$DLC_NAME$§! ïðèäàñò ïåðñîíàæàì §Y[Root.GetCultureAdj]îé§! êóëüòóðû óíèêàëüíûé âèä, äîáàâèâ òûñÿ÷è êîìáèíàöèé ëèö.\n;;x
DLC_dlc002_TOOLTIP_DELAYED;- Many unique face combinations for characters of Mongol cultures \n- Seven new unit sprites;;;;;;;;;;;- Ìíîæåñòâî óíèêàëüíûõ âèäîâ ëèö äëÿ ïåðñîíàæåé ìîíãîëüñêèõ êóëüòóð\n- Ñåìü íîâûõ ôèãóðîê äëÿ âîéñê;;x
DLC_dlc002_TOOLTIP_INSTANT;§YMongol Face Pack§!;;;;;;;;;;;§YMongol Face Pack§!;;x
DLC_dlc003_RECOMMENDATION_SAXON;The songs tracks in §YSongs of Albion§! were composed with the Kingdom of England in mind, and you can listen to the songs when playing as an English ruler.\n;;;;;;;;;;;Ìóçûêà íàáîðà §YSongs of Albion§! áûëà ñîçäàíà äëÿ èãðû çà Àíãëèþ. Âû ìîæåòå ñëûøàòü å¸, êîãäà èãðàåòå àíãëèéñêèì ïðàâèòåëåì.\n;;x
DLC_dlc003_TOOLTIP_DELAYED;- Four soundtracks for characters in the Kingdom of England;;;;;;;;;;;- ×åòûðå çâóêîâûõ äîðîæêè äëÿ ïåðñîíàæåé êîðîëåâñòâà Àíãëèÿ;;x
DLC_dlc003_TOOLTIP_INSTANT;§YSongs of Albion§!;;;;;;;;;;;§YSongs of Albion§!;;x
DLC_dlc004_RECOMMENDATION_NO_HERETIC;The song tracks in §YSongs of Faith§! play in the background for religious characters. Let these powerful songs guide you when playing as a devout ruler.\n;;;;;;;;;;;Ìóçûêà íàáîðà §YSongs of Faith§! ñîïðîâîæäàåò èãðó çà ðåëèãèîçíûõ ïåðñîíàæåé.\n;;x
DLC_dlc004_TOOLTIP_DELAYED;- Two soundtracks for religious and devout characters;;;;;;;;;;;- Äâå çâóêîâûõ äîðîæêè äëÿ ðåëèãèîçíûõ ïåðñîíàæåé;;x
DLC_dlc004_TOOLTIP_INSTANT;§YSongs of Faith§!;;;;;;;;;;;§YSongs of Faith§!;;x
DLC_dlc005_TOOLTIP_DELAYED;- Customize your portrait \n- Name your Dynasty and design a Coat of Arms \n- Assign skill points and traits \n- Create a spouse and offspring \n- Replace a historical character with your own;;;;;;;;;;;- Ñìåíà ñâîåãî ïîðòðåòà\n- Ïåðåèìåíîâàíèå ñâîåé äèíàñòèè è ñìåíà å¸ ãåðáà\n- Äîáàâëåíèå ÷åðò õàðàêòåðà è õàðàêòåðèñòèê\n- Äîáàâëåíèå ñóïðóãîâ è äåòåé\n- Ðåäàêòèðóéòå èñòîðè÷åñêîãî ïåðñîíàæà íà ñâîé âêóñ;;x
DLC_dlc005_TOOLTIP_INSTANT;§YRuler Designer§!;;;;;;;;;;;§YRuler Designer§!;;x
DLC_dlc006_RECOMMENDATION_CRUSADE;The song tracks in §YSongs of the Holy Land§! play in the background for crusading characters or when your land is the crusading target of others. Reclaim or protect the Holy Land!\n;;;;;;;;;;;Ìóçûêà íàáîðà §YSongs of the Holy Land§! ñîïðîâîæäàåò êðåñòîâûå ïîõîäû â èãðå. Çàâîþéòå èëè çàùèòèòå Ñâÿòóþ Çåìëþ!\n;;x
DLC_dlc006_TOOLTIP_DELAYED;- Two soundtracks for characters in the Middle East;;;;;;;;;;;- Äâå çâóêîâûå äîðîæêè äëÿ Áëèæíåãî Âîñòîêà;;x
DLC_dlc006_TOOLTIP_INSTANT;§YSongs of the Holy Land§!;;;;;;;;;;;§YSongs of the Holy Land§!;;x
DLC_dlc007_RECOMMENDATION_REQUIRED;§YThe Sword of Islam§! adds playable Muslim rulers to the game, and with them comes new unique gameplay to the Islamic religions.\n;;;;;;;;;;;Äîïîëíåíèå §YSword of Islam§! äîáàâëÿåò âîçìîæíîñòü èãðàòü çà ïðàâèòåëåé-ìóñóëüìàí.\n;;x
DLC_dlc007_TOOLTIP_DELAYED;- New playable religious group: Islam \n- Decadence System \n- Polygamy \n- Muslim unique Casus Bellis \n\nAdditional Features: \n- Updated interface for playable Muslim characters \n- 100+ new story events focusing on the region;;;;;;;;;;;- Äåëàåò èñëàì äîñòóïíûì äëÿ èãðû\n- Ñèñòåìà óïàäêà äèíàñòèè\n- Ìíîãîæ¸íñòâî\n- Ìóñóëüìàíñêèå ïîâîäû äëÿ âîéíû\n\nÊðîìå òîãî:\n- Íîâûé èíòåðôåéñ äëÿ ìóñóëüìàí\n- Áîëåå 100 íîâûõ ñîáûòèé, ñâÿçàííûõ ñ ýòîé ðåëèãèåé;;x
DLC_dlc007_TOOLTIP_INSTANT;§YThe Sword of Islam§!;;;;;;;;;;;§YThe Sword of Islam§!;;x
DLC_dlc008_RECOMMENDATION_AFRICAN;The §Y$DLC_NAME$§! contains exclusive unit models for the §Y[Root.Culture.GetName]§! culture. Now meaning that you can easily distinguish your culture unique armies on the map.\n;;;;;;;;;;;Íàáîð §Y$DLC_NAME$§! ñîäåðæèò óíèêàëüíûå ôèãóðêè âîéñê §Y[Root.GetCultureAdj]îé§! êóëüòóðû. Ýòî îçíà÷àåò, ÷òî Âû ñìîæåòå ëåãêî ðàçëè÷àòü èõ íà êàðòå.\n;;x
DLC_dlc008_TOOLTIP_DELAYED;- Unique graphic units for characters of African cultures;;;;;;;;;;;- Óíèêàëüíûå ôèãóðêè âîéñê äëÿ àôðèêàíñêèõ êóëüòóð;;x
DLC_dlc008_TOOLTIP_INSTANT;§YAfrican Unit Pack§!;;;;;;;;;;;§YAfrican Unit Pack§!;;x
DLC_dlc009_RECOMMENDATION_MUSLIM;The song tracks in Songs of Caliph play in the background for muslim characters. Let these thematic songs immerse you further when playing as a devout ruler.\n;;;;;;;;;;;Ìóçûêà íàáîðà Songs of Caliph ñîïðîâîæäàåò èãðó çà ìóñóëüìàí.\n;;x
DLC_dlc009_TOOLTIP_DELAYED;- Two soundtracks for characters of the Islamic faith;;;;;;;;;;;- Äâå çâóêîâûõ äîðîæêè äëÿ èñëàìà;;x
DLC_dlc009_TOOLTIP_INSTANT;§YSongs of the Caliph§!;;;;;;;;;;;§YSongs of the Caliph§!;;x
DLC_dlc010_EXAMPLE_IMAGE_1_TOOLTIP;King Charles the Bald \nDynasty: Karling \nDate: 867 AD;;;;;;;;;;;Êîðîëü Êàðë II Ëûñûé\nÄèíàñòèÿ: Êàðëèíã\nÄàòà: 867 ãîä í.ý.;;x
DLC_dlc010_EXAMPLE_IMAGE_1_TOOLTIP_DELAYED;Charles the Bald had many titles, King of West Francia, King of Italy and Holy Roman Emperor. His father, Louis the Pious, had unsuccessfully tried to assign Charles a subkingdom for many years. It's thought that Charles’ nickname was a facetious reference to his landlessness while growing up.;;;;;;;;;;;Ó Êàðëà Ëûñîãî áûëî ìíîãî òèòóëîâ, òàêèõ êàê êîðîëü Çàïàäíîé Ôðàíêèè, êîðîëü Èòàëèè è èìïåðàòîð Ñâÿùåííîé Ðèìñêîé èìïåðèè. Îòåö Êàðëà, Ëþäîâèê I Áëàãî÷åñòèâûé, ìíîãî ëåò áåçóñïåøíî ïûòàëñÿ ñäåëàòü åãî âàññàëüíûì êîðîë¸ì. Ýòî ïîäðàçóìåâàëî, ÷òî ïðîçâèùå Êàðëà áûëî àëëåãîðèåé ê åãî áåççåìåëüíîñòè â ïåðèîä âçðîñëåíèÿ.;;x
DLC_dlc010_EXAMPLE_IMAGE_2_TOOLTIP;Kaiser Heinrich of the Holy Roman Empire \nDynasty: Salian \nDate: 1066 AD;;;;;;;;;;;Ãåíðèõ IV, êàéçåð Ñâÿùåííîé Ðèìñêîé èìïåðèè\nÄèíàñòèÿ: Ñàëè÷åñêàÿ\nÄàòà: 1066 ãîä í.ý.;;x
DLC_dlc010_EXAMPLE_IMAGE_2_TOOLTIP_DELAYED;Heinrich IV is considered to be one of the most influential and important figures of the 11th century. One of the most famous events in his reign was the Investiture Controversy with the Papacy which made him unpopular with the church. He was excommunicated five times by three different popes.;;;;;;;;;;;Ãåíðèõ IV ÿâëÿåòñÿ îäíîé èç ñàìûõ âëèÿòåëüíûõ è çíà÷èòåëüíûõ ëè÷íîñòåé XI âåêà. Îäíèì èç ñàìûõ èçâåñòíûõ ñîáûòèé çà âðåìÿ åãî ïðàâëåíèÿ ñòàëà áîðüáà çà èíâåñòèòóðó ñ ïàïñêèì ïðåñòîëîì, êîòîðàÿ ñäåëàëà åãî âðàãîì öåðêâè. Îí áûë îòëó÷¸í ïÿòü ðàç òðåìÿ ðàçíûìè Ïàïàìè.;;x
DLC_dlc010_EXAMPLE_IMAGE_3_TOOLTIP;Basileus Ioannes of the Byzantine Empire \nDynasty: Batatzes \nDate: 1241 AD;;;;;;;;;;;Èîàíí III, áàçèëåâñ Íèêåéñêîé Èìïåðèè\nÄèíàñòèÿ: Âàòàö\nÄàòà: 1241 ãîä í.ý.;;x
DLC_dlc010_EXAMPLE_IMAGE_3_TOOLTIP_DELAYED;Ioannes III Doukas Batatzes was Emperor of Nicaea from 1222 to 1254. The Batatzes was a noble Byzantine family that become prominent during the Komnenian period. He is a canonized saint, under the name John the Merciful.;;;;;;;;;;;Èîàíí III Äóêà Âàòàö áûë íèêåéñêèì èìïåðàòîðîì ñ 1222 ïî 1254 ãîä íàøåé ýðû. Âàòàöè áûëè çíàòíîé âèçàíòèéñêîé ñåìüåé, êîòîðàÿ âîçâûñèëàñü â êîìíåíñêèé ïåðèîä. Îí áûë ïðèçíàí ñâÿòûì, ïîä èìåíåì Èîàíí Ìèëîñåðäíûé.;;x
DLC_dlc010_EXAMPLE_IMAGE_4_TOOLTIP;King Fernando of Castille \nDynasty: d'Ivrea \nDate: 1241 AD;;;;;;;;;;;Ôåðäèíàíä III, êîðîëü Êàñòèëèè\nÄèíàñòèÿ: Èâðåè\nÄàòà: 1241 ãîä í.ý.;;x
DLC_dlc010_EXAMPLE_IMAGE_4_TOOLTIP_DELAYED;Ferdinand III, nicknamed the Saint (El Santo), was one of the most successful kings of Castile and León but also the mastermind of the most expansive campaign of Reconquista. He led a twenty-year onslaught against the al-Andalus, taking all the Muslim part of Spain but the Emirate of Granada.;;;;;;;;;;;Ôåðäèíàíä III, êîòîðîãî íàçûâàëè Ñâÿòûì (El Santo), áûë íå òîëüêî îäíèì èç âåëè÷àéøèõ êîðîëåé Êàñòèëèè è Ëåîíà, íî è òàéíûì ëèäåðîì ñàìîãî óñïåøíîãî ïîõîäà ðåêîíêèñòû. Äâàäöàòü ëåò îí â¸ë íàñòóïëåíèå íà Àëü-Àíäàëóñ, â ðåçóëüòàòå êîòîðîãî çàõâàòèë âñþ ìóñóëüìàíñêóþ ÷àñòü Èñïàíèè, êðîìå Ãðàíàäñêîãî ýìèðàòà.;;x
DLC_dlc010_RECOMMENDATION_MEDIEVAL_EUROPE;The second §YDynasty Shields§! pack contains the additional 50 Coat of Arms for famous and prestigious families of Medieval Europe.\n;;;;;;;;;;;Âòîðîé íàáîð §YDynasty Shields§! ñîäåðæèò åù¸ 50 ãåðáîâ äèíàñòèé ñðåäíåâåêîâîé Åâðîïû.\n;;x
DLC_dlc010_TOOLTIP_DELAYED;- 50 unique dynastic shields for 50 famous families of Medieval Europe;;;;;;;;;;;- 50 óíèêàëüíûõ ãåðáîâ äëÿ äèíàñòèé ñðåäíåâåêîâîé Åâðîïû;;x
DLC_dlc010_TOOLTIP_INSTANT;§YDynasty Coat of Arms Pack 2§!;;;;;;;;;;;§YDynasty Coat of Arms Pack 2§!;;x
DLC_dlc011_RECOMMENDATION_LEGASY_OF_ROME_CULTURE;The §YLegacy of Rome§! expansion focuses on the rich political world of Byzantine Empire. Will you restore the old Roman lands and glory?\n;;;;;;;;;;;Äîïîëíåíèå §YLegacy of Rome§! íàïîëíÿåò èãðó çà Âèçàíòèþ íîâûìè êðàñêàìè. Âû ñìîæåòå âîññòàíîâèòü Ðèìñêóþ èìïåðèþ â å¸ áûëîé ñëàâå.\n;;x
DLC_dlc011_RECOMMENDATION_LEGASY_OF_ROME_RELIGION;The §YLegacy of Rome§! expansion allows Orthodox rulers to mend the great schism, reuniting the Western and Eastern halves of the church.\n;;;;;;;;;;;Äîïîëíåíèå §YLegacy of Rome§! äà¸ò âîçìîæíîñòü ïðàâîñëàâíûì ïðàâèòåëÿì ïðåîäîëåòü Âåëèêóþ ñõèçìó, îáúåäèíèâ õðèñòèàíñêèå êîíôåññèè Âîñòîêà è Çàïàäà.\n;;x
DLC_dlc011_RECOMMENDATION_LOR_CULTURE;Retinues are regiments of troops that unlike levies don’t need to be dismissed before declaring war. The §Y[Root.Culture.GetName]§! culture has a unique type of retinue, [Root.GetCultureArmyNamePlural].\n;;;;;;;;;;;Ãâàðäèÿ, êàê è äðóãèå ðåãóëÿðíûå âîéñêà íå íóæíî ðàñïóñêàòü ïåðåä îáúÿâëåíèåì âîéíû. §Y[Root.GetCultureAdj]àÿ§! êóëüòóðà èìååò îñîáûé òèï ãâàðäèè: §Y[Root.GetCultureArmyNamePlural]§Y.\n;;x
DLC_dlc011_RECOMMENDATION_LOR_CULTURE_UNSPECIFIC;Retinues are regiments of troops that unlike levies don’t need to be dismissed before declaring war. The §Y[Root.Culture.GetName]§! culture has a unique type of retinue.\n;;;;;;;;;;;Ãâàðäèÿ, êàê è äðóãèå ðåãóëÿðíûå âîéñêà íå íóæíî ðàñïóñêàòü ïåðåä îáúÿâëåíèåì âîéíû. Íåêîòîðûå êóëüòóðû èìåþò îñîáûé òèï ãâàðäèè.\n;;x
DLC_dlc011_TOOLTIP_DELAYED;- Retinues, your private standing army \n- Ability to restore the Rome Empire \n- Mend the great schism via decisions \n\nAdditional Features: \n- Improve Your Ruler \n- Orthodox councilor models \n- New Events and Decisions with the Byzantine Empire as the focus;;;;;;;;;;;- Ðåãóëÿðíàÿ àðìèÿ\n- Âîçìîæíîñòü âîññòàíîâëåíèÿ Ðèìñêîé èìïåðèè\n- Ïðåîäîëåíèå Âåëèêîé ñõèçìû ÷åðåç èãðîâûå ñîáûòèÿ\n\nÊðîìå òîãî:\n- Óëó÷øåíèÿ äëÿ Âàøåãî ïðàâèòåëÿ\n- Ôèãóðêè ïðàâîñëàâíûõ ñîâåòíèêîâ\n- Íîâûå ñîáûòèÿ è ðåøåíèÿ äëÿ Âèçàíòèè;;x
DLC_dlc011_TOOLTIP_INSTANT;§YLegacy of Rome§!;;;;;;;;;;;§YLegacy of Rome§!;;x
DLC_dlc012_RECOMMENDATION_BYZANTINE;The §Y$DLC_NAME$§! contains exclusive unit models for the §Y[Root.Culture.GetName]§! culture. Now meaning that you can easily distinguish your culture unique armies on the map.\n;;;;;;;;;;;Íàáîð §Y$DLC_NAME$§! ñîäåðæèò óíèêàëüíûå ôèãóðêè âîéñê §Y[Root.GetCultureAdj]îé§! êóëüòóðû. Ýòî îçíà÷àåò, ÷òî Âû ñìîæåòå ëåãêî ðàçëè÷àòü èõ íà êàðòå.\n;;x
DLC_dlc012_TOOLTIP_DELAYED;- Unique graphic units for characters of Byzantine cultures;;;;;;;;;;;- Óíèêàëüíûå ôèãóðêè âîéñê äëÿ âèçàíòèéñêèõ êóëüòóð;;x
DLC_dlc012_TOOLTIP_INSTANT;§YByzantine Unit Pack§!;;;;;;;;;;;§YByzantine Unit Pack§!;;x
DLC_dlc013_RECOMMENDATION_AFRICAN;The §Y$DLC_NAME$§! will make the characters of §Y[Root.Culture.GetName]§! culture appear unique in your game, with a wide arrange of face combinations for both male and female characters.\n;;;;;;;;;;;Íàáîð §Y$DLC_NAME$§! ïðèäàñò ïåðñîíàæàì §Y[Root.GetCultureAdj]îé§! êóëüòóðû óíèêàëüíûé âèä, äîáàâèâ òûñÿ÷è êîìáèíàöèé ëèö.\n;;x
DLC_dlc013_TOOLTIP_DELAYED;- Unique face combinations for characters of African cultures;;;;;;;;;;;- Óíèêàëüíûå âèäû ëèö äëÿ ïåðñîíàæåé àôðèêàíñêèõ êóëüòóð;;x
DLC_dlc013_TOOLTIP_INSTANT;§YAfrican Portraits§!;;;;;;;;;;;§YAfrican Portraits§!;;x
DLC_dlc014_RECOMMENDATION_MEDITERRANEAN;The §Y$DLC_NAME$§! will make the characters of §Y[Root.Culture.GetName]§! culture appear unique in your game, with thousands of face combinations for both male and female characters.\n;;;;;;;;;;;Íàáîð §Y$DLC_NAME$§! ïðèäàñò ïåðñîíàæàì §Y[Root.GetCultureAdj]îé§! êóëüòóðû óíèêàëüíîñòü â âàøåé èãðå, áëàãîäàðÿ ìíîæåñòâó êîìáèíàöèé ëèö ïåðñîíàæåé.\n;;x
DLC_dlc014_TOOLTIP_DELAYED;- Unique face combinations for characters of Mediterranean cultures;;;;;;;;;;;- Óíèêàëüíûå âèäû ëèö äëÿ ïåðñîíàæåé ñðåäèçåìíîìîðñêèõ êóëüòóð;;x
DLC_dlc014_TOOLTIP_INSTANT;§YMediterranean Portraits§!;;;;;;;;;;;§YMediterranean Portraits§!;;x
