#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_TITLE_LT_60001;A Town is Born;;;;;;;;;;;Hîâîå ïîñåëåíèå;;x
EVTDESC_LT_60301;"Warm light, accompanied by the lively murmur of conversation, spills out of the tavern close to the [target_wonder.GetName] as [drinking_buddy.GetTitledName] and I walk past.\n\n""What do you say about a cup of something soothing?""";;;;;;;;;;;[target_wonder.GetName], ò¸ïëûé ñâåò, ñîïðîâîæäàåìûé æèâûì øóìîì ðàçãîâîðà, ðàçëèâàåòñÿ èç òàâåðíû, ìèìî êîòîðîé ïðîõîäèì ÿ è [drinking_buddy.GetTitledName].\n\n— Íå õî÷åøü ïðîïóñòèòü ïî êðóæå÷êå? — ïðåäëîæèë[drinking_buddy.GetEndA] [drinking_buddy.GetSheHe].;;x
EVTDESC_LT_60302;After my initial visit to the tavern close to the [target_wonder.GetName] I have not been able to keep away. More often than not I find myself seeking the comfort of a big cup of [Root.GetAlcohol] after a long day.;;;;;;;;;;;Ïîñëå ïåðâîãî æå ïîñåùåíèÿ òàâåðíû ÿ ïîíÿë[Root.GetEndA], ÷òî ìîãó îòêàçàòü ñåáå â ýòîì óäîâîëüñòâèè. Ïîñëå äîëãîãî äíÿ, ÿ ñíîâà è ñíîâà çàãëÿäûâàþ ñþäà ðàäè êðóæêè [Root.GetAlcoholGEN].;;x
EVTDESC_LT_60401;While exploring the depths of the [target_wonder.GetName], both [target_courtier.GetTitledName] and [target_courtier_2.GetTitledName] were caught in one of the deadly traps spread within the structure. What we recovered was barely enough to recognize them by...;;;;;;;;;;;Èññëåäóÿ ãëóáèíû [target_wonder.GetWonderTypeShortCapGEN], [target_courtier.GetTitledName] è [target_courtier_2.GetTitledName] íàïîðîëèñü íà ñìåðòåëüíûå ëîâóøêè, ðàññòàâëåííûå ïî êîðèäîðàì. Òî, ÷òî îò íèõ îñòàëîñü, ïîçâîëèëî îïîçíàòü òåëà.;;x
EVTDESC_LT_60402;Word has reached me that the traps I installed in the depths of the [target_wonder.GetName] have claimed [target_courtier.GetTitledName] and [target_courtier_2.GetTitledName] as victims! Apparently they were both mangled almost past recognition.;;;;;;;;;;;Äî ìåíÿ äîøëè ñëóõè, ÷òî ëîâóøêè, êîòîðûå ÿ óñòàíîâèë[Root.GetEndA] â ãëóáèíå [target_wonder.GetWonderTypeShortCapGEN] ñðàáîòàëè, [target_courtier.GetTitledName] è [target_courtier_2.GetTitledName] ñòàëè èõ æåðòâàìè! ×òîáû îïîçíàòü òåëà, èõ ïðèøëîñü ñîáèðàòü ïî ÷àñòÿì.;;x
EVTDESC_LT_60501;[target_vassal.GetTitledName], I want to express my admiration and satisfaction in your handling of the [target_wonder.GetName]!\n\nSincerely,\n[target_liege.GetBestName];;;;;;;;;;;[target_vassal.GetTitledName], õî÷ó âûðàçèòü ñâî¸ âîñõèùåíèå è óäîâëåòâîðåíèå òåì, êàê Âû çàáîòèòåñü î[target_wonder.GetWonderPREP_O_EndB] [target_wonder.GetWonderTypeShortCapPREP_O]!\nÈñêðåííå Âàø[target_liege.GetEndA],\n [target_liege.GetTitledFirstName];;x
EVTDESC_LT_60502;My liege, the [target_wonder.GetName] is bringing prosperity and fame to the area, and I am grateful that you entrusted such a magnificent structure to my province.\n\nSincerely,\n[target_vassal.GetBestName];;;;;;;;;;;Ì[Root.GetOyaOy] [Root.GetLordLady], [target_wonder.GetName] ïðèíîñ[target_wonder.GetWonderItYat] ñëàâó è ïðîöâåòàíèå ýòîìó ðåãèîíó, è ÿ áëàãîäàð[target_vassal.GetNaEn], ÷òî Âû äîâåðèëè ìíå ñòîëü âåëèêîå ñîîðóæåíèå.\nÈñêðåííå Âàø[target_vassal.GetEndA],\n [target_vassal.GetTitledFirstName];;x
EVTDESC_LT_60601;A piece of the [target_wonder.GetName] has fallen off – almost hitting a bystander in the head! Certain areas of the magnificent structure seem to be in dire need of upkeep.;;;;;;;;;;;×àñòü [target_wonder.GetWonderTypeShortCapGEN] îáâàëèëàñü. Åù¸ áû ÷óòü-÷óòü è îáëîìêè óïàëè ïðîõîæåìó íà ãîëîâó! Íåêîòîðûå îáëàñòè ýòîãî âåëèêîëåïíîãî ñîîðóæåíèÿ îñòðî íóæäàþòñÿ â ðåìîíòå.;;x
EVTDESC_LT_60701;The soothing sounds of the [target_wonder.GetName] embrace me as I walk through the greenery. Reportedly some local herbs have sprouted in the garden, but a secluded patch of grass present an alternative end to this excursion.;;;;;;;;;;;[target_wonder.GetName] âîèñòèíó ÷óäåñíîå ìåñòî. Ïðîãóëèâàÿñü ïî ñàäó è íàñëàæäàÿñü åãî àòìîñôåðîé, ÿ çàìåòèë[Root.GetEndA] íåîáû÷íûå ðàñòåíèÿ, âûäåëÿþùèåñÿ â îáùåé ìàññå.;;x
EVTOPTA_LT_60001;They are welcome to stay in [target_province.GetName]!;;;;;;;;;;;[target_province.GetName] ñ ðàäîñòüþ ïðèìåò âñåõ!;;x
EVTOPTA_LT_60101;My scribes will shine with this [target_wonder.GetWonderAdj] construction's help!;;;;;;;;;;;Âïðåäü ïóñòü ÷åðïàþò òàì âäîõíîâåíèå.;;x
EVTOPTA_LT_60201;The years fall off me as I drink.;;;;;;;;;;;Äàâíî íå ÷óâñòâîâàë[Root.GetEndA] ñåáÿ òàê[Root.GetOyIm] ìîëîä[Root.GetOyYm]!;;x
EVTOPTA_LT_60301;Lead the way!;;;;;;;;;;;ß òîëüêî çà.;;x
EVTOPTA_LT_60301_TT;There might be consequences to this;;;;;;;;;;;Ó ýòîãî ðåøåíèÿ áóäóò ïîñëåäñòâèÿ;;x
EVTOPTA_LT_60302;Pour me another one!;;;;;;;;;;;Ïðèíåñèòå ìíå åù¸!;;x
EVTOPTA_LT_60401;Curse you, [old_owner.GetFirstName]!;;;;;;;;;;;Áóäü òû ïðîêëÿò[old_owner.GetEndA], [old_owner.GetFirstName]!;;x
EVTOPTA_LT_60402;Hah! That's what you get!;;;;;;;;;;;Õà! Òàê âàì è íàäî!;;x
EVTOPTA_LT_60501;It's all due to your guidance, my liege.;;;;;;;;;;;Ëèøü áëàãîäàðÿ Âàøåìó ìóäðîìó ðóêîâîäñòâó, ì[target_liege.GetOyaOy] [target_liege.GetLordLady].;;x
EVTOPTA_LT_60502;I am glad!;;;;;;;;;;;ß ðàä[Root.GetEndA]!;;x
EVTOPTA_LT_60601;Repairs will be started at once!;;;;;;;;;;;Ïðèñòóïàéòå íåìåäëåííî!;;x
EVTOPTA_LT_60701;I will get the herbs.;;;;;;;;;;;Íàäî ñîáðàòü ýòè òðàâû.;;x
EVTOPTA_TT_LT_60101;You encourage your scribes to use the [target_wonder.GetName], guaranteeing a better quality of work;;;;;;;;;;;Ïóñòü [target_wonder.GetName] ïîñëóæèò âäîõíîâåíèåì äëÿ Âàøèõ ïèñöîâ, ÷òî óëó÷øèò êà÷åñòâà Âàøåé êíèãè.;;x
EVTOPTB_LT_60001;Drive out the rabble and confiscate their possessions!;;;;;;;;;;;Ðàçãîíèòå ýòîò ñáðîä è êîíôèñêóéòå ó íèõ âñ¸!;;x
EVTOPTB_LT_60201;I've never felt this old before!;;;;;;;;;;;Íèêîãäà íå ÷óâñòâîâàë[Root.GetEndA] ñåáÿ òàê[Root.GetOyIm] ñòàð[Root.GetOyYm]!;;x
EVTOPTB_LT_60301;I am more interested in continuing our discussion.;;;;;;;;;;;Ïîæàëóé íåò. Ìíå óæå ïîðà.;;x
EVTOPTB_LT_60501;I have done good, haven't I!;;;;;;;;;;;Ñòàðàþñü!;;x
EVTOPTB_LT_60601;Hm, I bet these pieces would fetch a decent price...;;;;;;;;;;;Õììì... Ïîëàãàþ, ýòè îáëîìêè âåñüìà öåííû...;;x
EVTOPTB_LT_60701;A restful nap is exactly what I need!;;;;;;;;;;;Ýòî ïðåêðàñíî, íî ñåé÷àñ ìíå íàäî îòäîõíóòü.;;x
