desc_job_chancellor;The §Y$JOB$§! is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;;;;;;;;;;;§Y$JOB$§! ðåøàåò âñå äèïëîìàòè÷åñêèå âîïðîñû. Ýòà äîëæíîñòü ñ÷èòàåòñÿ ãëàâíåéøåé â ñîâåòå;;x
city_job_spiritual_baltic_pagan_reformed;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
city_job_spiritual_christian;Court Chaplain;;;;;;;;;;;Êàïåëëàí;;x
city_job_spiritual_female_norse_pagan;Seeress;;;;;;;;;;;Ïðîâèäèöà;;x
city_job_spiritual_female_norse_pagan_reformed;Seeress;;;;;;;;;;;Ïðîâèäèöà;;x
city_job_spiritual_finnish_pagan;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
city_job_spiritual_finnish_pagan_reformed;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
city_job_spiritual_muslim;Court Imam;;;;;;;;;;;Ìóôòèé;;x
city_job_spiritual_norse_pagan;Seer;;;;;;;;;;;Ïðîâèäåö;;x
city_job_spiritual_norse_pagan_reformed;Seer;;;;;;;;;;;Ïðîâèäåö;;x
city_job_spiritual_orthodox;Ecclesiarch;;;;;;;;;;;Ýêêëåçèàðõ;;x
city_job_spiritual_pagan;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
city_job_spiritual_pagan_group;Chief Diviner;;;;;;;;;;;Ãëàâíûé ïðîðèöàòåëü;;x
city_job_spiritual_shiite;Court Mullah;;;;;;;;;;;Ìóôòèé;;x
city_job_spiritual_slavic_pagan;Diviner;;;;;;;;;;;Âîëõâ;;x
city_job_spiritual_slavic_pagan_reformed;Diviner;;;;;;;;;;;Âîëõâ;;x
city_job_spiritual_tengri_pagan;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
city_job_spiritual_tengri_pagan_reformed;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
city_job_spiritual_zoroastrian;Mobad;;;;;;;;;;;Ìîáåä;;x
city_job_spiritual_zoroastrian_group;Mobad;;;;;;;;;;;Ìîáåä;;x
city_job_spymaster_aztec;Tillancalqui;;;;;;;;;;;Òèëëàíêàëêè;;x
city_job_spymaster_greek;Mystikos;;;;;;;;;;;Ìèñòèê;;x
city_job_treasurer_aztec;Petlacalcatl;;;;;;;;;;;Ïåòëàêàëüêàòëü;;x
city_job_treasurer_greek;Sakellarios;;;;;;;;;;;Ñàêåëëàðèé;;x
city_job_treasurer_zoroastrian_group;Darik-Pat;;;;;;;;;;;Äàðèê-Ïàò;;x
job_chancellor;Chancellor;;;;;;;;;;;Êàíöëåð;;x
job_chancellor_arabic;Grand Vizier;;;;;;;;;;;Âåëèêèé âèçèðü;;x
job_chancellor_aztec;Cihuacoatl;;;;;;;;;;;Ñèóàêîàòëü;;x
job_chancellor_bodpa;Lönchen;;;;;;;;;;;Ëîí÷åí;;x
job_chancellor_female_bodpa;Lönchen;;;;;;;;;;;Ëîí÷åí;;x
job_chancellor_female_tangut;Lönchen;;;;;;;;;;;Ëîí÷åí;;x
job_chancellor_greek;Magistros;;;;;;;;;;;Ìàãèñòð;;x
job_chancellor_han;Chief Minister;;;;;;;;;;;Ãëàâíûé ìèíèñòð;;x
job_chancellor_iranian;Grand Vizier;;;;;;;;;;;Âåëèêèé âèçèðü;;x
job_chancellor_jurchen;Chief Minister;;;;;;;;;;;Ãëàâíûé ìèíèñòð;;x
job_chancellor_tangut;Lönchen;;;;;;;;;;;Ëîí÷åí;;x
job_chancellor_taoist;Chief Minister;;;;;;;;;;;Ãëàâíûé ìèíèñòð;;x
job_chancellor_turkish;Grand Vizier;;;;;;;;;;;Âåëèêèé âèçèðü;;x
job_chancellor_west_african;Grand Vizier;;;;;;;;;;;Âåëèêèé âèçèðü;;x
job_chancellor_zoroastrian_group;Astabadh;;;;;;;;;;;Àñòàáàäõ;;x
job_commander;Commander;;;;;;;;;;;Ïîëêîâîäåö;;x
job_marshal;Marshal;;;;;;;;;;;Ìàðøàë;;x
job_marshal_aztec;Tlacateccatl;;;;;;;;;;;Òëàêàòýêêàòëü;;x
job_marshal_greek;Protostrator;;;;;;;;;;;Ïðîòîñòðàòîð;;x
job_marshal_han;Xingjun Sima;;;;;;;;;;;Ñèíöçþíü Ñûìà;;x
job_marshal_jurchen;Marshal;;;;;;;;;;;Ìàðøàë;;x
job_marshal_taoist;Xingjun Sima;;;;;;;;;;;Ñèíöçþíü Ñûìà;;x
job_marshal_zoroastrian_group;Eran Spahbod;;;;;;;;;;;Ýðàíñêèé ñïàõáåä;;x
job_spiritual;Court Chaplain;;;;;;;;;;;Äóõîâíèê;;x
job_spiritual_aztec;Sahagun;;;;;;;;;;;Ìåøèêàòëü òåîóàöèí;;x
job_spiritual_baltic_pagan;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
job_spiritual_baltic_pagan_reformed;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
job_spiritual_bodpa;Banchenpo;;;;;;;;;;;Áàí÷åíïî;;x
job_spiritual_christian;Court Chaplain;;;;;;;;;;;Êàïåëëàí;;x
job_spiritual_female_bodpa;Banchenmo;;;;;;;;;;;Áàí÷åíìî;;x
job_spiritual_female_hellenic_pagan;Seeress;;;;;;;;;;;Ïðîâèäèöà;;x
job_spiritual_female_hellenic_pagan_reformed;Seeress;;;;;;;;;;;Ïðîâèäèöà;;x
job_spiritual_female_indian_group;Upadhyayani;;;;;;;;;;;Óïàäõüÿÿíè;;x
job_spiritual_female_norse_pagan;Seeress;;;;;;;;;;;Ïðîâèäèöà;;x
job_spiritual_female_norse_pagan_reformed;Seeress;;;;;;;;;;;Ïðîâèäèöà;;x
job_spiritual_female_tangut;Banchenmo;;;;;;;;;;;Áàí÷åíìî;;x
job_spiritual_finnish_pagan;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
job_spiritual_finnish_pagan_reformed;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
job_spiritual_han;Libationer;;;;;;;;;;;Âîçëèÿòåëü;;x
job_spiritual_hellenic_pagan;Augur;;;;;;;;;;;Àâãóð;;x
job_spiritual_hellenic_pagan_reformed;Augur;;;;;;;;;;;Àâãóð;;x
job_spiritual_indian_group;Upadhyaya;;;;;;;;;;;Óïàäõàéÿ;;x
job_spiritual_jewish_group;Court Rabbi;;;;;;;;;;;Ïðèäâîðíûé ðàââèí;;x
job_spiritual_jurchen;Libationer;;;;;;;;;;;Âîçëèÿòåëü;;x
job_spiritual_khurmazta;Moypat;;;;;;;;;;;Ìîéïàò;;x
job_spiritual_manichaean;Didaskalos;;;;;;;;;;;Äèäàñêàëîñ;;x
job_spiritual_muslim;Court Imam;;;;;;;;;;;Ìóôòèé;;x
job_spiritual_norse_pagan;Seer;;;;;;;;;;;Ïðîâèäåö;;x
job_spiritual_norse_pagan_reformed;Seer;;;;;;;;;;;Ïðîâèäåö;;x
job_spiritual_orthodox;Ecclesiarch;;;;;;;;;;;Ýêêëåçèàðõ;;x
job_spiritual_pagan;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
job_spiritual_pagan_group;Chief Diviner;;;;;;;;;;;Ãëàâíûé ïðîðèöàòåëü;;x
job_spiritual_shiite;Court Mullah;;;;;;;;;;;Ìóôòèé;;x
job_spiritual_slavic_pagan;Diviner;;;;;;;;;;;Âîëõâ;;x
job_spiritual_slavic_pagan_reformed;Diviner;;;;;;;;;;;Âîëõâ;;x
job_spiritual_tangut;Banchenpo;;;;;;;;;;;Áàí÷åíïî;;x
job_spiritual_taoist;Libationer;;;;;;;;;;;Âîçëèÿòåëü;;x
job_spiritual_tengri_pagan;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
job_spiritual_tengri_pagan_reformed;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
job_spiritual_zoroastrian;Mobad;;;;;;;;;;;Ìîáåä;;x
job_spiritual_zoroastrian_group;Mobad;;;;;;;;;;;Ìîáåä;;x
job_spiritual_zun_pagan;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
job_spiritual_zun_pagan_reformed;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
job_spymaster;Spymaster;;;;;;;;;;;Òàéíûé ñîâåòíèê;;x
job_spymaster_aztec;Tillancalqui;;;;;;;;;;;Òèëëàíêàëüêè;;x
job_spymaster_greek;Mystikos;;;;;;;;;;;Ìèñòèê;;x
job_spymaster_han;Spymaster;;;;;;;;;;;Òàéíûé ñîâåòíèê;;x
job_spymaster_jurchen;Spymaster;;;;;;;;;;;Òàéíûé ñîâåòíèê;;x
job_spymaster_taoist;Spymaster;;;;;;;;;;;Òàéíûé ñîâåòíèê;;x
job_treasurer;Steward;;;;;;;;;;;Óïðàâëÿþùèé;;x
job_treasurer_aztec;Petlacalcatl;;;;;;;;;;;Ïåòëàêàëüêàòëü;;x
job_treasurer_bodpa;Gnyer;;;;;;;;;;;Ãíüåð;;x
job_treasurer_female_bodpa;Gnyer;;;;;;;;;;;Ãíüåð;;x
job_treasurer_female_tangut;Gnyer;;;;;;;;;;;Ãíüåð;;x
job_treasurer_greek;Sakellarios;;;;;;;;;;;Ñàêåëëàðèé;;x
job_treasurer_han;Treasurer;;;;;;;;;;;Êàçíà÷åé;;x
job_treasurer_jurchen;Treasurer;;;;;;;;;;;Êàçíà÷åé;;x
job_treasurer_tangut;Gnyer;;;;;;;;;;;Ãíüåð;;x
job_treasurer_taoist;Treasurer;;;;;;;;;;;Êàçíà÷åé;;x
job_treasurer_zoroastrian_group;Darik-Pat;;;;;;;;;;;Äàðèê-Ïàò;;x
# Unused (?), Conclave feature
council_altaic;Kurultai;;;;;;;;;;;Êóðóëòàé;;x
council_greek;Consistorium;;;;;;;;;;;Êîíñîðöèóì;;x
council_jewish_group;Sanhedrin;;;;;;;;;;;Ñàíõåäðèí;;x
council_muslim;Majlis;;;;;;;;;;;Ìåäæëèñ;;x
council_shiite;Council;;;;;;;;;;;Ñîâåò;;x
