#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTTITLEHF25200;The Arm-wrestling Challenge;;;;;;;;;;;Àðìðåñòëèíã;;x
EVTDESCHF25216;With a loud thud, [wl_arm_wrestling_winner.GetFirstName] slams my fist against the table, earning a shower of cheers from the other warriors gathered around us. As if defeating me wasn't enough, [wl_arm_wrestling_winner.GetSheHe] starts mocking me openly.;;;;;;;;;;;Ñ ãðîìêèì ñòóêîì [wl_arm_wrestling_winner.GetFirstName] áü¸ò ðóêîé ïî ñòîëó, âûçûâàÿ áóðþ àïëîäèñìåíòîâ ñî ñòîðîíû äðóãèõ âîèíîâ, ñîáðàâøèõñÿ âîêðóã íàñ. Êàê áóäòî ïîáåäèòü ìåíÿ áûëî íåäîñòàòî÷íî, [wl_arm_wrestling_winner.GetSheHe] íà÷èíàåò îòêðûòî èçäåâàòüñÿ íàäî ìíîé.;;x
EVTDESCHF25217;With a loud thud, [wl_arm_wrestling_winner.GetFirstName] slams my fist against the table, earning a shower of cheers from the other warriors gathered around us. Luckily, [wl_arm_wrestling_winner.GetFirstName] decides to not rub in [wl_arm_wrestling_winner.GetHerHis] victory, and gives me a bit of praise for holding on this much against [wl_arm_wrestling_winner.GetHerHim].;;;;;;;;;;;Ñ ãðîìêèì ñòóêîì [wl_arm_wrestling_winner.GetFirstName] áü¸ò ðóêîé ïî ñòîëó, âûçûâàÿ áóðþ àïëîäèñìåíòîâ ó äðóãèõ âîèíîâ, ñîáðàâøèõñÿ îêîëî íàñ. Ê ñ÷àñòüþ, [wl_arm_wrestling_winner.GetFirstName] ðåøàåò íå êè÷èòñÿ ñâîåé ïîáåäîé è íåìíîãî ïîõâàëèë[wl_arm_wrestling_winner.GetEndA] ìåíÿ çà òî, ÷òî ÿ òàê äîëãî äåðæà[Root.GetLasLsya] ïðîòèâ í[wl_arm_wrestling_winner.GetHerHis].;;x
EVTDESCHF25226;A few of my fellow warriors have been spending the night at the Lodge, playing dice games while drinking. Noticing me watching them, they immediately invite me to join them. Initially, I refuse, but then they start teasing me, insinuating I am afraid of a simple betting game.;;;;;;;;;;;Íåñêîëüêî ìîèõ òîâàðèùåé-âîèíîâ ïðîâåëè íî÷ü â Ëîæå, èãðàÿ â êîñòè è âûïèâàÿ. Çàìåòèâ, ÷òî ÿ íàáëþäàþ çà íèìè, îíè òóò æå ïðèãëàøàþò ìåíÿ ïðèñîåäèíèòüñÿ ê íèì. Ñíà÷àëà ÿ îòêàçûâàþñü, íî ïîòîì îíè íà÷èíàþò äðàçíèòü ìåíÿ, íàìåêàÿ, ÷òî ÿ áîþñü îáû÷íîé èãðû â êîñòè.;;x
EVTDESCHF25227;As I take the four-sided die inscribed with the intricate faces of the gods, I am asked how much I wish to bet before starting the game.;;;;;;;;;;;Êîãäà ÿ áåðó ÷åòûð¸õãðàííûé êóáèê ñ çàìûñëîâàòûìè ëèêàìè áîãîâ, ìåíÿ ñïðàøèâàþò, êàêîå ÷èñëî ÿ õî÷ó ïîñòàâèòü ïåðåä íà÷àëîì èãðû.;;x
EVTDESCHF25228;As I take the four-sided die inscribed with the intricate faces of the gods, I wonder who should I put my faith in. Some combinations will reward me more than others, yet they are harder to come by.;;;;;;;;;;;Êîãäà ÿ áåðó ÷åòûð¸õãðàííûé êóáèê ñ çàìûñëîâàòûìè ëèêàìè áîãîâ, ÿ äóìàþ, íà êîãî ìíå ñëåäóåò ïîñòàâèòü. Íåêîòîðûå êîìáèíàöèè âîçíàãðàäÿò ìåíÿ áîëüøå, ÷åì äðóãèå, íî èõ òðóäíåå ïîëó÷èòü.;;x
EVTDESCHF25229;Having set all the bets, the warriors gathered around the table incite me to throw the die, eager to see what face will come up.;;;;;;;;;;;Ñäåëàâ âñå ñòàâêè, âîèíû, ñîáðàâøèåñÿ âîêðóã ñòîëà, ïîäñòðåêàþò ìåíÿ áðîñèòü êîñòü, æåëàÿ óâèäåòü, êàêàÿ ãðàíü ìíå âûïàäåò.;;x
EVTDESCHF25230;My attempt to change the regular die with a weighted one did not pass unnoticed. After a bit of squabbling, one of the other fighters manages to pick the die away from me and throws it on the table a few times, revealing my intent.;;;;;;;;;;;Ìîÿ ïîïûòêà çàìåíèòü îáû÷íóþ èãðàëüíóþ êîñòü íà óòÿæåë¸ííóþ íå ïðîøëà íåçàìå÷åííîé. Ïîñëå íåáîëüøîé ññîðû îäíîìó èç äðóãèõ áîéöîâ óäà¸òñÿ îòîáðàòü ó ìåíÿ êóáèê è íåñêîëüêî ðàç áðîñèòü åãî íà ñòîë, ðàñêðûâ ìîè íàìåðåíèÿ.;;x
EVTDESCHF25230_B;My attempt to change the regular die with a weighted one did not pass unnoticed. After a bit of squabbling, [random_society_winner.GetBestName] manages to pick the die away from me and throws it on the table a few times, revealing my intent and calling me a cheater.;;;;;;;;;;;Ìîÿ ïîïûòêà çàìåíèòü îáû÷íûé êóáèê íà óòÿæåë¸ííûé íå îñòàëàñü íåçàìå÷åííîé. Ïîñëå íåáîëüøîé ïåðåïàëêè [random_society_winner.GetTitledFirstNameWithNick] óäà¸òñÿ îòîáðàòü ó ìåíÿ êóáèê è íåñêîëüêî ðàç áðîñèòü åãî íà ñòîë, ðàñêðûâ ìîè íàìåðåíèÿ è íàçâàâ ìåíÿ ìîøåííè[Root.GetTseyKom].;;x
EVTDESCHF25231;Was there any doubt that [Root.GetWLDieBetName] would come up when I am using my lucky die? A chorus of cheers and groans accompany the result of the game and money is exchanged.;;;;;;;;;;;Ðàçâå ìîæíî áûëî ñîìíåâàòüñÿ, ÷òî [Root.GetWLDieBetName] âûïàäåò, êîãäà ÿ èñïîëüçóþ ñâîé ñ÷àñòëèâûé êóáèê? Õîð âîçãëàñîâ è ñòîíîâ ñîïðîâîæäàåòñÿ àïëîäèñìåíòàìè, è äåíüãè ïåðåõîäÿò èç îäíèõ ðóê â äðóãèå.;;x
EVTDESCHF25232;Unfortunately, I was too indiscreet with my leg, and several warriors noticed my attempt to move the die after it was cast. After a bit of squabbling, I am forced to accept defeat and pay up.;;;;;;;;;;;Ê ñîæàëåíèþ, ÿ áûë[Root.GetEndA] ñëèøêîì íåîñòîðîæ[Root.GetNaEn] ñî ñâîåé íîãîé, è íåñêîëüêî âîèíîâ çàìåòèëè ìîþ ïîïûòêó ïåðåäâèíóòü êîñòü ïîñëå òîãî, êàê îíà áûëà áðîøåíà. Ïîñëå íåáîëüøîé ïåðåïàëêè ìíå ïðèøëîñü ïðèçíàòü ñâî¸ ïîðàæåíèå è çàïëàòèòü.;;x
EVTDESCHF25232_B;Unfortunately, I was too indiscreet with my leg, and several warriors noticed my attempt to move the die after it was cast. After a bit of squabbling, I am forced to accept defeat and recognize that [random_society_winner.GetBestName] has won the bet.;;;;;;;;;;;Ê ñîæàëåíèþ, ÿ áûë[Root.GetEndA] ñëèøêîì íåîñòîðîæ[Root.GetNaEn] ñî ñâîåé íîãîé, è íåñêîëüêî âîèíîâ çàìåòèëè ìîþ ïîïûòêó ïåðåäâèíóòü êóáèê ïîñëå òîãî, êàê îí áûë áðîøåí. Ïîñëå íåáîëüøîé ïåðåïàëêè ìíå ïðèøëîñü ïðèçíàòü ïîðàæåíèå è ñîãëàñèòñÿ ñ òåì, ÷òî [random_society_winner.GetTitledFirstNameWithNick] âûèãðàë[random_society_winner.GetEndA] ïàðè.;;x
EVTDESCHF25233;Despite the other warriors not noticing me kneeing the table, fate played me for a fool and I ended up accidentally pushing the die away from [Root.GetWLDieBetName], much to my disappointment.;;;;;;;;;;;Íåñìîòðÿ íà òî, ÷òî äðóãèå âîèíû íå çàìåòèëè, êàê çàäåâàþ ñòîë ñâîèì êîëåíîì, ñóäüáà ñûãðàëà ñî ìíîé çëóþ øóòêó, è â èòîãå ÿ ñëó÷àéíî îòòîëêíóë[Root.GetEndA] êóáèê îò [Root.GetWLDieBetNameGEN], ê ìîåìó áîëüøîìó ðàçî÷àðîâàíèþ.;;x
EVTDESCHF25233_B;Despite the other warriors not noticing me kneeing the table, fate played me for a fool and I ended up accidentally pushing the die away from [Root.GetWLDieBetName], much to my disappointment. [random_society_winner.GetBestName] smiles triumphantly, crossing [random_society_winner.GetHerHis] arms and demanding me to pay up.;;;;;;;;;;;Íåñìîòðÿ íà òî, ÷òî äðóãèå âîèíû íå çàìåòèëè, êàê ÿ äâèãàþ êîëåíîì, çàäåâàÿ ñòîë, ñóäüáà ñûãðàëà ñî ìíîé çëóþ øóòêó, è, â èòîãå, ÿ ñëó÷àéíî îòòîëêíóë[Root.GetEndA] êóáèê îò [Root.GetWLDieBetNameGEN], ê ñâîåìó áîëüøîìó ðàçî÷àðîâàíèþ. [random_society_winner.GetTitledFirstNameWithNick] òîðæåñòâóþùå óëûáàåòñÿ, ñêðåùèâàåò ñâîè ðóêè è òðåáóåò, ÷òîáû ÿ çàïëàòèë[Root.GetEndA].;;x
EVTDESCHF25234;With just a little help, my die rolled exactly as I hoped it would, landing to show [Root.GetWLDieBetName]. A chorus of cheers and groans accompany the result of the game and money is exchanged.;;;;;;;;;;;Ñ íåáîëüøîé ïîìîùüþ, ìîé êóáèê óïàë èìåííî òàê, êàê ÿ íàäåÿ[Root.GetLasLsya], ïðèçåìëèâøèñü, ÷òîáû ïîêàçàòü [Root.GetWLDieBetNameACC]. Ðåçóëüòàò èãðû ñîïðîâîæäàåòñÿ õîðîì àïëîäèñìåíòîâ è ñòîíîâ, è äåíüãè ïåðåòåêàþò èç îäíèõ ðóê â äðóãèå.;;x
EVTDESCHF25235;A moment of silence falls upon our group as the die rolls from my hand and bounces a few times on the table, rolling to a halt to show the face of [Root.GetWLDieName].;;;;;;;;;;;Ìèíóòà òèøèíû íàñòóïàåò â íàøåé ãðóïïå, ïîñëå òîãî, êàê êóáèê âûïàäàåò èç ìîåé ðóêè è íåñêîëüêî ðàç ïîäïðûãèâàåò íà ñòîëå, îñòàíàâëèâàÿñü, ÷òîáû ïîêàçàòü [Root.GetWLDieNameGEN] ëèöî.;;x
EVTDESCHF25235_B;A moment of silence falls upon our group as the die rolls from my hand and bounces a few times on the table, rolling to a halt to show the face of [Root.GetWLDieName]. As the realization catches [random_society_winner.GetHerHim], [random_society_winner.GetBestName] cheers triumphantly, immediately asking me for [random_society_winner.GetHerHis] money.;;;;;;;;;;;Ìèíóòà òèøèíû íàñòóïàåò â íàøåé ãðóïïå, êîãäà êóáèê âûïàäàåò èç ìîåé ðóêè è íåñêîëüêî ðàç ïîäïðûãèâàåò íà ñòîëå, îñòàíàâëèâàÿñü, ÷òîáû ïîêàçàòü ëèöî [Root.GetWLDieNameGEN]. Êîãäà îñîçíàíèå ýòîãî íàñòèãàåò [random_society_winner.GetHerHis], [random_society_winner.GetTitledFirstNameWithNick] òîðæåñòâóþùå ëèêóåò è òóò æå ïðîñèò ó ìåíÿ ñâîè äåíüãè.;;x
EVTDESCHF25236;After the money from the first bets exchanges hands, I pick up the die and cast it again, trying to throw it exactly in the same way. The die rolls around the table and finally stops, showing the face of [Root.GetWLDieName].;;;;;;;;;;;Ïîñëå òîãî, êàê äåíüãè îò ïåðâûõ ñòàâîê ïåðåõîäÿò èç ðóê â ðóêè, ÿ áåðó êîñòü è êèäàþ å¸ ñíîâà, ñòàðàÿñü áðîñèòü òî÷íî òàê æå. Êóáèê êàòèòñÿ ïî ñòîëó è, íàêîíåö, îñòàíàâëèâàåòñÿ, ïîêàçûâàÿ ëèöî [Root.GetWLDieNameGEN].;;x
EVTDESCHF25236_B;After the money from the first bets exchanges hands, I pick up the die and cast it again, trying to throw it exactly in the same way. The die rolls around the table and finally stops, showing the face of [Root.GetWLDieName]. As the realization catches [random_society_winner.GetHerHim], [random_society_winner.GetBestName] cheers triumphantly, immediately asking me for [random_society_winner.GetHerHis] money.;;;;;;;;;;;Ïîñëå òîãî, êàê äåíüãè îò ïåðâûõ ñòàâîê ïåðåõîäÿò èç ðóê â ðóêè, ÿ áåðó êîñòü è áðîñàþ å¸ ñíîâà, ñòàðàÿñü áðîñèòü òî÷íî òàê æå. Êóáèê êàòèòñÿ ïî ñòîëó è, íàêîíåö, îñòàíàâëèâàåòñÿ, ïîêàçûâàÿ ëèöî [Root.GetWLDieNameGEN]. Êîãäà îñîçíàíèå ýòîãî ïîñòèãàåò [random_society_winner.GetHerHim], [random_society_winner.GetTitledFirstNameWithNick] òîðæåñòâóþùå âîñêëèöàåò, íåìåäëåííî ïîòðåáîâàâ ó ìåíÿ ñâîè äåíüãè.;;x
EVTDESCHF25236_C;After the money from the first bets exchanges hands, I pick up the die and cast it again, trying to throw it exactly in the same way. The die rolls around the table and finally stops, showing the face of [Root.GetWLDieName]. As the realization catches him, one of the other warriors cheers triumphantly, immediately asking me for his money.;;;;;;;;;;;Ïîñëå òîãî, êàê äåíüãè îò ïåðâûõ ñòàâîê ïåðåõîäÿò èç ðóê â ðóêè, ÿ áåðó êîñòü è ñíîâà áðîñàþ å¸, ñòàðàÿñü êèíóòü òî÷íî òàê æå, êàê ðàíüøå. Êóáèê êàòèòñÿ ïî ñòîëó è, íàêîíåö, îñòàíàâëèâàåòñÿ, ïîêàçûâàÿ ëèöî [Root.GetWLDieNameGEN]. Êîãäà îñîçíàíèå ýòîãî íàñòèãàåò åãî, îäèí èç äðóãèõ âîèíîâ òîðæåñòâóþùå âîñêëèöàåò, ñðàçó æå òðåáóåò ó ìåíÿ ñâîè äåíüãè.;;x
EVTDESCHF25237;I confidently throw my lucky die a second time and to the chagrin of all the other warriors, collect all bets a second time.;;;;;;;;;;;ß óâåðåííî áðîñàþ ñâîé ñ÷àñòëèâûé êóáèê âî âòîðîé ðàç è, ê ðàçî÷àðîâàíèþ âñåõ îñòàëüíûõ âîèíîâ, îïÿòü âûèãðûâàþ è çàáèðàþ âñå ñòàâêè.;;x
EVTDESCHF25238;I let the die bounce on the table twice and, just as it is about to stop, I give a little nudge to the table, ensuring my victory a second time.;;;;;;;;;;;ß ïîçâîëÿþ êóáèêó äâàæäû ïîäïðûãíóòü íà ñòîëå è, êîãäà îí âîò-âîò îñòàíîâèòñÿ, ñëåãêà ïîäòàëêèâàþ ñòîë, îáåñïå÷èâàÿ ñåáå ïîáåäó âî âòîðîé ðàç.;;x
EVTDESCHF25239;[From.GetBestName] and I spent last evening playing dice games with some of the other warriors in the main hall. Fortune did not smile to [From.GetFirstName], and by the end of the night, I had managed to empty [From.GetHerHis] purse quite a bit.;;;;;;;;;;;[From.GetTitledFirstNameWithNick] è ÿ ïðîâåëè ïðîøëûé âå÷åð, èãðàÿ â êîñòè ñ íåñêîëüêèìè äðóãèìè âîèíàìè â ãëàâíîì çàëå. Óäà÷à íå óëûáíóëàñü [From.GetFirstName], è ê êîíöó íî÷è ÿ óñïåë[Root.GetEndA] èçðÿäíî îïóñòîøèòü [From.GetHerHis] êîøåë¸ê.;;x
EVTDESCHF25240;[From.GetBestName] and I spent last evening playing dice games with some of the other warriors in the main hall. Fortune did not smile to [From.GetFirstName], and by the end of the night, [From.GetSheHe] begged me to call in the favor I owned [From.GetHerHim], just to avoid paying all of the debt [From.GetSheHe] had accumulated.;;;;;;;;;;;[From.GetTitledFirstNameWithNick] è ÿ ïðîâåëè ïðîøëûé âå÷åð, èãðàÿ â êîñòè ñ äðóãèìè âîèíàìè â ãëàâíîì çàëå. Óäà÷à íå óëûáíóëàñü [From.GetFirstName], è ê êîíöó íî÷è [From.GetSheHe] óìîëÿë[From.GetEndA] ìåíÿ ïðèíÿòü îò [From.GetFirstName] óñëóãó, ëèøü áû íå ïëàòèòü âåñü äîëã, êîòîðûé [From.GetSheHe] íàêîïèë[From.GetEndA].;;x
EVTDESCHF25241;[From.GetBestName] and I spent last evening playing dice games with some of the other warriors in the main hall. Fortune did not smile to [From.GetFirstName], and by the end of the night, [From.GetSheHe] begged me to ask [From.GetHerHim] anything else rather than paying all of the debt [From.GetSheHe] had accumulated.;;;;;;;;;;;[From.GetTitledFirstNameWithNick] è ÿ ïðîâåëè ïðîøëûé âå÷åð, èãðàÿ â êîñòè ñ äðóãèìè âîèíàìè â ãëàâíîì çàëå. Óäà÷à íå óëûáíóëàñü [From.GetFirstName], è ê êîíöó íî÷è [From.GetSheHe] óìîëÿë[From.GetEndA] ìåíÿ ïîïðîñèòü [From.GetHerHis] î ÷¸ì-íèáóäü åù¸, ëèøü áû íå ïëàòèòü âåñü äîëã, êîòîðûé [From.GetSheHe] íàêîïèë[From.GetEndA].;;x
EVTDESCHF25250;Many warriors have gathered in the great hall tonight. The dinner has just started, and I already feel eager to test my mettle against one of them. It has been some time since we had a good Flyting, and there are plenty of candidates known for their crude manners and their sharp-tongue for me to choose from.;;;;;;;;;;;Âåëèêîå ìíîæåñòâî ñëàâíûõ âîèíîâ ñîáðàëîñü ñåãîäíÿ â áîëüøîì çàëå. Äàâíåíüêî ó íàñ íå áûëî õîðîøåé ïåðåáðàíêè, óæèí òîëüêî íà÷àëñÿ, à ìíå óæå íå òåðïèòñÿ èñïûòàòü ñâîè ñèëû ïðîòèâ êîãî-íèáóäü èç íèõ. Ìíîãèå ñëàâÿòñÿ ãðóáûìè ìàíåðàìè è îñòðûì ÿçûêîì, íî êîãî æå ìíå âûáðàòü â êà÷åñòâå îïïîíåíòà?;;x
EVTDESCHF25251;Right in the middle of a dinner, [From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables. [From.GetSheHeCap] challenges me to a Flyting, encouraging me to stand up and prepare myself to be thoroughly humiliated.;;;;;;;;;;;Ïðÿìî âî âðåìÿ óæèíà [From.GetTitledFirstName] âäðóã âûêðèêíóë[From.GetEndA] ìî¸ èìÿ ñ äðóãîé ñòîðîíû çàëà. [From.GetSheHeCap] âûçâàë[From.GetEndA] ìåíÿ íà ôëèòèíã, òðåáóÿ âñòàòü èç-çà ñòîëà, ÷òîáû ïðèãîòîâèòüñÿ ê ïóáëè÷íîìó óíèæåíèþ.;;x
EVTDESCHF25252;[From.GetTitledFirstName] has decided to refuse my challenge. Muttering some poor excuse about not being in the mood for insulting anyone, the [From.GetManWoman] shrinks back in the crowd, amongst the derision of all the other warriors in the room.;;;;;;;;;;;[From.GetTitledFirstName] íå ïðèíÿë[From.GetEndA] ìîé âûçîâ íà ôëèòèíã, îòìàõíóâøèñü íåëåïûìè îïðàâäàíèÿìè. Ñêàçàë[From.GetEndA], ÿêîáû [From.GetSheHe] íå â íàñòðîåíèè, ÷òî âûçâàëî ëèøü íàñìåøêè ñðåäè ïðèñóòñòâóþùèõ.;;x
EVTDESCHF25253;[From.GetTitledFirstName] takes a last drink and throws away [From.GetHerHis] tankard. [From.GetSheHeCap] stands up in front of me, claiming that [From.GetSheHe] is ready to turn me in the laughing stock of [Root.Society.GetName].;;;;;;;;;;;[From.GetTitledFirstName] îïóñòîøèë[From.GetEndA] êðóæêó [From.GetAlcoholGEN] è, îòøâûðíóâ å¸ â ñòîðîíó, âñêî÷èë[From.GetEndA] ñî ñâîåãî ìåñòà. [From.GetSheHeCap] âûêðèêíóë[From.GetEndA] ìî¸ èìÿ è çàÿâèë[From.GetEndA], ÷òî ãîòîâ[From.GetEndA] ñäåëàòü èç ìåíÿ ïîñìåøèùå ïåðåä ïðèñóòñòâóþùèìè.;;x
EVTDESCHF25254;I stand up and shout [From.GetFirstName]'s name in the dining hall, catching many warriors' attention, and challenge [From.GetHerHim] to a Flyting. Now I only need to decide what subject will cut deeper under [From.GetFirstName]'s skin.;;;;;;;;;;;"ß ãðîìêî ïðîêðè÷àë[Root.GetEndA] ""[From.GetFirstName]!"", ÷òî òóò æå ïðèâëåêëî âíèìàíèå âñåõ ïðèñóòñòâóþùèõ â çàëå âîèíîâ, è âûçâàë[Root.GetEndA] [Root.GetHersHis] íà ôëèòèíã - òðàäèöèîííóþ ïåðåáðàíêó. Îñòàëîñü òîëüêî âûáðàòü, ÷åì [From.GetHersHis] çàöåïèòü.";;x
EVTDESCHF25268;I lost my temper. Seeing that I was unable to rebuke [From.GetFirstName]'s insults, the crowd quickly sided with [From.GetHerHim] ensuring [From.GetHerHis] victory. As if it weren't enough, [From.GetFirstName] continued mocking me, even after I admitted defeat, reveling in shaming me for my loss!;;;;;;;;;;;ß ïîòåðÿë[Root.GetEndA] ñàìîîáëàäàíèå, áóäó÷è íåñïîñîáí[Root.GetOyYm] ïðèäóìàòü äîñòîéíûé îòâåò, è òîëïà áûñòðî îòðåàãèðîâàëà íà ýòî. [From.GetFirstName] ñòàë[From.GetEndA] ïîáåäèòåëåì ôëèòèíãà, íî ýòîãî [From.GetHerHim] îêàçàëîñü ìàëî. [From.GetSheHeCap] ðåøèë[From.GetEndA] íàïîñëåäîê ïîñìåÿòüñÿ íàä ìîèì ïîçîðîì!;;x
EVTDESCHF25269;I lost my temper. Seeing that I was unable to rebuke [From.GetFirstName]'s insults, the crowd quickly sided with [From.GetHerHim] ensuring [From.GetHerHis] victory. At the very least, after I admit defeat, [From.GetFirstName] calms me down and orders a drink for both of us, ensuring that it was all done in good fun and it was not [From.GetHerHis] intention to seriously offend me.;;;;;;;;;;;ß ïîòåðÿë[Root.GetEndA] ñàìîîáëàäàíèå, áóäó÷è íåñïîñîáí[Root.GetOyYm] ïðèäóìàòü äîñòîéíûé îòâåò, è òîëïà áûñòðî îòðåàãèðîâàëà íà ýòî. [From.GetFirstName] ñòàë[From.GetEndA] ïîáåäèòåëåì ôëèòèíãà, îäíàêî íà óäèâëåíèå ïðîÿâèë[From.GetEndA] âåæëèâîñòü è äàæå çàêàçàë[From.GetEndA] íàì âûïèòü. [From.GetSheHeCap] ñêàçàë[From.GetEndA], ÷òî ïðîñòî äóðà÷è[From.GetLasLsya] è íå õîòåë[From.GetEndA] áû, ÷òîáû ÿ çàòàèë[Root.GetEndA] íà í[From.GetHersHis] îáèäó èç-çà êàêîé-òî èãðû.;;x
