#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_TITLE_LT_20010;The Lost Book;;;;;;;;;;;Aíòè÷íûå òåêñòû?;;x
EVTDESC_LT_20060_fake_book;Many scholars accepted my invitation and gathered for several days discussing not only the book by [Root.GetAuthorName], but also other ancient knowledge. Unfortunately, after much discussion, the book was considered as a forgery, but my court is famous now as a center for scholarly debate, culture and knowledge.;;;;;;;;;;;Ìíîãèå ó÷¸íûå ïðèíÿëè ìî¸ ïðèãëàøåíèå è íåñêîëüêî äíåé îáñóæäàëè íå òîëüêî êíèãó [Root.GetAuthorNameGEN], íî è äðåâíèå çíàíèÿ â öåëîì. Ê ñîæàëåíèþ, ïîñëå äîëãèõ ñïîðîâ êíèãó ïðèçíàëè ïîääåëêîé, íî ìîé äâîð îáð¸ë èçâåñòíîñòü êàê öåíòð êóëüòóðû, íàó÷íûõ äåáàòîâ è çíàíèé.;;x
EVTDESC_LT_20060_real_book;Many scholars accepted my invitation and gathered for several days discussing not only the book by [Root.GetAuthorName], but also other ancient knowledge. The book was considered as a lost masterpiece and my court is famous now as a center of culture, scholarly debate and knowledge.;;;;;;;;;;;Ìíîãèå ó÷¸íûå ïðèíÿëè ìî¸ ïðèãëàøåíèå è íåñêîëüêî äíåé îáñóæäàëè íå òîëüêî êíèãó [Root.GetAuthorNameGEN], íî è äðåâíèå çíàíèÿ â öåëîì. Êíèãà îêàçàëàñü óòðà÷åííûì øåäåâðîì è ìîé äâîð òåïåðü ñòàë èçâåñòíûì öåíòðîì êóëüòóðû, íàó÷íûõ äåáàòîâ è çíàíèé.;;x
EVTDESC_LT_20101.1;While digging the ground during the building of [wonder_or_upgrade.GetName], the workers came across some kind of door for what seems to be a closed chamber.;;;;;;;;;;;[wonder_or_upgrade.GetName] ñåé÷àñ â ïðîöåññå ñòðîèòåëüñòâà. Ðàñêàïûâàÿ çåìëþ íà ñòðîéïëîùàäêå, ðàáî÷èå íàòêíóëèñü íà ïîòàéíóþ äâåðü, âåäóùóþ â ñêðûòîå ïîìåùåíèå.;;x
EVTDESC_LT_20101.2;The construction overseer on my [wonder_or_upgrade.GetName] just told me a worker fell in a hole while digging and found some bones. It seems to be some kind of old grave.;;;;;;;;;;;[wonder_or_upgrade.GetName] ñåé÷àñ â ïðîöåññå ñòðîèòåëüñòâà. Ñîâåòíèê, âåäóùèé íàäçîð, ñîîáùèë ìíå, ÷òî îäèí èç ðàáî÷èõ ïðîâàëèëñÿ â êàêóþ-òî ÿìó, â êîòîðîé áûëà ãðóäà êîñòåé. Ïîõîæå íà äðåâíþþ ìîãèëó.;;x
EVTDESC_LT_20110_accident;While the workers were trying to dig there was a cave-in and several men were buried in the debris. And now we need to clear everything.;;;;;;;;;;;Ïîêà ðàáî÷èå êîïàëè, â ïåùåðå ïðîèçîø¸ë îáâàë, è íåñêîëüêî ÷åëîâåê áûëè ïîõîðîíåíû â îáëîìêàõ. Òåïåðü íàì íóæíî âñå î÷èñòèòü.;;x
EVTDESC_LT_20110_found_artifact;The workers dug their way into a large chamber where some old lord was put to rest. In there they found some gold objects and a [found_artifact.GetName].;;;;;;;;;;;Ðàáî÷èå íàøëè áîëüøóþ êîìíàòó, ãäå áûë çàõîðîíåí êàêîé-òî äðåâíèé ïðàâèòåëü. Òàì îíè íàøëè íåñêîëüêî çîëîòûõ ïðåäìåòîâ, íî ñàìàÿ öåííàÿ íàõîäêà - [found_artifact.GetName].;;x
EVTDESC_LT_20110_found_nothing;After a few days digging, all that was found were old bones and broken vases. A waste of time and gold.;;;;;;;;;;;Ñïóñòÿ íåñêîëüêî äíåé ðàñêîïîê âñ¸, ÷òî óäàëîñü íàéòè - ëèøü ñòàðûå êîñòè è ðàçáèòûå âàçû. Ïóñòàÿ òðàòà âðåìåíè è çîëîòà.;;x
EVTDESC_LT_20110_found_valuables_1;After some digging, a big stone appeared, blocking an entrance. When the workers removed the stone, an old tomb was discovered, with a small quantity of silver and gold objects in it.;;;;;;;;;;;Ñïóñòÿ íåñêîëüêî äíåé ðàñêîïîê, Âàøè ëþäè îáíàðóæèëè áîëüøîé âàëóí, áëîêèðóþùèé ïðîõîä. Êîãäà ðàáî÷èå óáðàëè êàìåíü, îíè îáíàðóæèëè äðåâíþþ ãðîáíèöó ñ íåáîëüøèì êîëè÷åñòâîì ñåðåáðÿíûõ è çîëîòûõ ïðåäìåòîâ.;;x
EVTDESC_LT_20110_found_valuables_2;The workers found a number of small connected underground chambers under the [wonder_or_upgrade.GetName] construction site with old burial remains, and a fair amount of silver and gold objects!;;;;;;;;;;;Ðàáî÷èå îáíàðóæèëè íåñêîëüêî íåáîëüøèõ ïîäçåìíûõ êàìåð ñî ñòàðûìè çàõîðîíåíèÿìè è áîëüøèì êîëè÷åñòâîì ïðåäìåòîâ èç ñåðåáðà è çîëîòà!;;x
EVTDESC_LT_20201;My master [GetWeaponArmorSmith] came to see me in the throne room. [smith.GetSheHeCap] gestured towards [smith.GetHerHis] numerous assistants, who all carried examples of [smith.GetHerHis] work. 'Does my [Root.GetTitle] have anything special in mind?';;;;;;;;;;;"[Root.GetWeaponArmorSmith] ïðèáûë â [Root.GetRulersRoomACC]. [smith.GetSheHeCap] æåñòîì óêàçàë[smith.GetEndA] ñâîèì àññèñòåíòàì ïîêàçàòü ìíå ïðèìåðû [smith.GetHersHis] ðàáîò.\n""Æåëàåò ëè [Root.PrimaryTitle.GetFOA] íå÷òî îñîáîå?"" — ñïðîñèë[smith.GetEndA] [smith.GetSheHe].";;x
EVTDESC_LT_20301;I invited [target_character.GetBestName] for a stroll today, saying I had something to show [target_character.GetHerHim]. Eventually we came to stop near my [target_upgrade.GetName]. I waited there in silence for several minutes, while [target_character.GetBestName] grew more and more uncomfortable, before I leaned in to say...;;;;;;;;;;;[target_character.GetBestName] ñîãëàñè[target_character.GetLasLsya] âñòðåòèòüñÿ ñî ìíîé ñåãîäíÿ, êîãäà ÿ ïðèãëàñèë[Root.GetEndA] [target_character.GetHersHis] íà ïðîãóëêó. [target_upgrade.GetName] óæå ìîæíî áûëî âèäåòü ïî ïðàâóþ ñòîðîíó îò íàñ. Ìû îñòàíîâèëèñü ðÿäîì è íåñêîëüêî ìèíóò ïðîâåëè â ïîëíîé òèøèíå. ß âûæäàë[Root.GetEndA] ìîìåíò, êîãäà [target_character.GetSheHe] ïðîÿâèò ïåðâûå ïðèçíàêè òðåâîãè, à ïîòîì ñêàçàë[Root.GetEndA]:;;x
EVTDESC_LT_20301_evil_reaction;I invited [target_character.GetBestName] on a stroll today, saying I had something to show [target_character.GetHerHim]. Eventually we came to stop near my [target_upgrade.GetName]. I waited there in silence for several minutes, but [target_character.GetSheHe] seemed to be enjoying the view. Then I said...;;;;;;;;;;;[target_character.GetBestName] ñîãëàñè[target_character.GetLasLsya] âñòðåòèòüñÿ ñî ìíîé ñåãîäíÿ, êîãäà ÿ ïðèãëàñèë[Root.GetEndA] [target_character.GetHersHis] íà ïðîãóëêó. [target_upgrade.GetName] óæå ìîæíî áûëî âèäåòü ïî ïðàâóþ ñòîðîíó îò íàñ. Ìû îñòàíîâèëèñü ðÿäîì è íåñêîëüêî ìèíóò ïðîâåëè â ïîëíîé òèøèíå. ß âûæäàë[Root.GetEndA] ìîìåíò, êîãäà [target_character.GetSheHe] ïðîÿâèò ïåðâûå ïðèçíàêè òðåâîãè, íî, ïîõîæå, [target_character.GetSheHe] ïðîñòî íàñëàæäà[target_character.GetLasLsya] âèäîì. Òîãäà ÿ ñêàçàë[Root.GetEndA]:;;x
EVTDESC_LT_20310;[target_character.GetBestName] just laughed at me! A lot! How dare [target_character.GetSheHe]?! I even shouted at a servant this morning, when her giggling woke me up. I... I can still hear [target_character.GetTitledFirstName] laughing, mocking me in my dreams.;;;;;;;;;;;[target_character.GetBestName] ëèøü ðàññìåÿ[target_character.GetLasLsya] ìíå â ëèöî! Äà êàê [target_character.GetSheHe] ïîñìåë[target_character.GetEndA]?! Ýòîò æóòêèé õîõîò äî ñèõ ïîð ñíèòñÿ ìíå â êîøìàðàõ.;;x
EVTDESC_LT_20405;[From.GetBestName] invited me to meet [From.GetHerHim] in the [target_upgrade.GetName] of the [target_wonder.GetName].;;;;;;;;;;;[From.GetBestName] ïðèãëàñèë[From.GetEndA] ìåíÿ âñòðåòèòüñÿ ñ í[From.GetEyIm] â íàçíà÷åííîì ìåñòå: [target_upgrade.GetName], [target_wonder.GetName].;;x
EVTDESC_LT_20410;[target_character.GetBestName] accepted my invitation to meet in the seclusion of the [target_upgrade.GetName] in the [target_wonder.GetName]. After some time talking...;;;;;;;;;;;[target_character.GetBestName] ïðèíÿë[target_character.GetEndA] ìî¸ ïðèãëàøåíèå âñòðåòèòüñÿ ñ í[target_character.GetEyIm] â íàçíà÷åííîì ìåñòå. Ìû ïîãîâîðèëè íåìíîãî è...;;x
EVTDESC_LT_20412;[target_character.GetBestName] [target_character.GetPoliteRefuse] declined my invitation me to meet in the seclusion of the [target_upgrade.GetName] in the [target_wonder.GetName].;;;;;;;;;;;[target_character.GetBestName] [target_character.GetPoliteRefuse] îòêàçà[target_character.GetLasLsya] îò ìîåãî ïðèãëàøåíèÿ ïîáåñåäîâàòü îäèí íà îäèí â íàçíà÷åííîì ìåñòå ([target_upgrade.GetName], [target_wonder.GetName]).;;x
EVTDESC_LT_20421;I went to meet [From.GetBestName] in the seclusion of the [target_upgrade.GetName], in the [target_wonder.GetName]. We are having a pleasant conversation.;;;;;;;;;;;[From.GetBestName] âñòðåòèë[From.GetEndA] ìåíÿ â óêðîìíîì ìåñòå ([target_upgrade.GetName]/[target_wonder.GetName]). Ìû ïðèÿòíî ïîáåñåäîâàëè.;;x
EVTDESC_LT_20422;I think [From.GetBestName] was impressed with our conversation.;;;;;;;;;;;ß äóìàþ, [From.GetBestName] áûë[From.GetEndA] âïå÷àòëåí[From.GetEndA] íàøåé áåñåäîé.;;x
EVTDESC_LT_20431;"I'm meeting [From.GetTitledFirstName] in [target_wonder.Location.GetName], in the seclusion of the [target_upgrade.GetName]. After the usual pleasantries, [From.GetSheHe] pauses. ""[Root.GetFirstName], there is something I have wanted to do for a long time"", [From.GetSheHe] says, [From.GetHerHis] eyes wandering.";;;;;;;;;;;[target_upgrade.GetName] - èäåàëüíîå ìåñòî, ÷òîáû ïîãîâîðèòü ñ ãëàçó íà ãëàç. [From.GetTitledFirstName] ñåãîäíÿ âñòðåòèë[From.GetEndA] ìåíÿ òàì, è ìû ðàçãîâîðèëèñü. Ñïóñòÿ êàêîå-òî âðåìÿ [From.GetSheHe] îáíÿë[From.GetEndA] ìåíÿ è ïîïûòà[From.GetLasLsya] ïîöåëîâàòü.;;x
EVTDESC_LT_20432_A;"[target_character.GetFirstName] returned my kiss, and more. ""When will I see you again?"" I asked, as we were parting. The [From.GetManWoman] chuckled, and said that this was fun, but that is all it was.";;;;;;;;;;;[target_character.GetFirstName] ïîääåðæàë[target_character.GetEndA] ìîé ïîöåëóé.\n— Óâèäèìñÿ ëè ìû ñíîâà? — ñïðîñèë[Root.GetEndA] ÿ.\n[From.GetSheHeCap] óõìûëüíó[From.GetLasLsya] è ñêàçàë[From.GetEndA], ÷òî ýòî áûëî âåñåëî, íî [From.GetSheHe] íå çàèíòåðåñîâàí[From.GetEndA] â äîëãèõ îòíîøåíèÿõ.;;x
EVTDESC_LT_20432_B;[target_character.GetFirstName] returned my kiss, and more. Afterwards, we talked for hours, and I found myself fascinated by [From.GetHerHis] [From.GetLoverEnjoyableQuirk]. As we part, my heart is singing with [From.GetHerHis] name and I cannot wait until I can see [From.GetHerHim] again. I must learn everything about [From.GetHerHim]!;;;;;;;;;;;[target_character.GetFirstName] ïîääåðæàë[target_character.GetEndA] ìîé ïîöåëóé, è ìû ÷óäåñíî ïðîâåëè âðåìÿ. Íå çíàþ, ÷åì èìåííî [target_character.GetSheHe] ìåíÿ òàê ïðèâëåê[target_character.GetNoneE]. Ìîæåò, äåëî â [target_character.GetHersHis] [From.GetLoverEnjoyableQuirk], íî ïî îêîí÷àíèè âñòðå÷è ÿ íèêàê íå ìîã[Root.GetNoneE] ïåðåñòàòü äóìàòü î í[target_character.GetEyYom], ïðåäâêóøàÿ ìîìåíò, êîãäà ìû âñòðåòèìñÿ ñíîâà.;;x
EVTDESC_LT_20433;I went to the [target_wonder.GetName], to meet [From.GetFirstName] in the seclusion of the [target_upgrade.GetName]. I didn't have to wait long for the [From.GetManWoman] to pull me towards [From.GetHerHim], eager to demonstrate how much [From.GetSheHe] has missed me.;;;;;;;;;;;[target_upgrade.GetName] - èäåàëüíîå ìåñòî äëÿ ëþáîâíûõ äåë, è êàê òîëüêî [From.GetTitledFirstName] ïðèø[From.GetLasYol] êî ìíå, ÿ áðîñè[Root.GetLasLsya] â [From.GetHersHis] îáúÿòüÿ.;;x
EVTDESC_LT_20434;I tried to kiss [target_character.GetHerHim], but [target_character.GetSheHe] recoiled from me with disgust and fear on [target_character.GetHerHis] face.;;;;;;;;;;;Êîãäà ÿ ïîïûòà[Root.GetLasLsya] [target_character.GetHersHis] ïîöåëîâàòü, [target_character.GetSheHe] îòòîëêíóë[target_character.GetEndA] ìåíÿ. Âûðàæåíèå [target_character.GetHersHis] ëèöà îòðàæàëî ñòðàõ è îòâðàùåíèå.;;x
EVTDESC_LT_20441;I went to meet [From.GetBestName] in the seclusion of the [target_upgrade.GetName], in the [target_wonder.GetName]. After some pleasantries, [From.GetSheHe] pulls a dagger from under [From.GetHerHis] clothes and tries to stab me!;;;;;;;;;;;[From.GetBestName] âñòðåòèë[From.GetEndA] ìåíÿ â óêðîìíîì ìåñòå ([target_upgrade.GetName]/[target_wonder.GetName]). Ïîñëå îáìåíà ëþáåçíîñòÿìè, [From.GetSheHe] âûíóë[From.GetEndA] ñâîé êèíæàë è ïîïûòà[From.GetLasLsya] çàðåçàòü ìåíÿ!;;x
EVTDESC_LT_20441_murderer_target;"[From.GetTitledFirstName] blinks in surprise as I step closer to [From.GetHerHim]. But when I move to caress [From.GetHerHis] cheek, I catch the glint of steel in the [From.GetManWoman]'s hand! ""You.. You were going to use that on ME?!""";;;;;;;;;;;Âî âðåìÿ íàøåé âñòðå÷è ÿ çàìåòèë[Root.GetEndA], êàê [From.GetTitledFirstName] äåðæèò ÷òî-òî áëåñòÿùåå â ðóêå. Ýòî... Êèíæàë?! [From.GetSheHeCap] õî÷åò ìåíÿ çàðåçàòü!;;x
EVTDESC_LT_20450;It was a very bad idea to go meet to meet [From.GetTitledFirstName] in the seclusion of the [target_upgrade.GetName]. I barely escaped with my life. My hands still tremble when I think of it.;;;;;;;;;;;Íåñìîòðÿ íà òî, ÷òî [target_upgrade.GetName] - õîðîøåå ìåñòî äëÿ áåñåäû òåò-à-òåò, èäåÿ îêàçàëàñü ïðîñòî óæàñíîé. [murderer.GetTitledFirstName] ÷óòü íå óáèë[murderer.GetEndA] ìåíÿ. ß åëå óíåñ[Root.GetNoneE] íîãè. Ðóêè äî ñèõ ïîð òðÿñóòñÿ, êîãäà âñïîìèíàþ îá ýòîì.;;x
EVTDESC_LT_20450_wounded;Fortunately [From.GetTitledFirstName]'s dagger missed my heart, and I managed to escape with my life. The physician says I will survive. Let us see.;;;;;;;;;;;Ê ñ÷àñòüþ [murderer.GetTitledFirstName] ïðîìàõíó[murderer.GetLasLsya]. [murderer.GetHersHisCap] êèíæàë ðàíèë ìåíÿ, íî íå ïîïàë â ñåðäöå. Ëåêàðü ãîâîðèò, ÷òî ÿ âûæèâó. Íàäåþñü, íà ýòî.;;x
EVTDESC_LT_20455;As I see the blood slowly leaving my body, forming a pool on the ground, and the hands of death reaching for me, I now think of all the things I could have done if I knew this day would end like this.;;;;;;;;;;;ß íàáëþäàþ, êàê êðîâü ìåäëåííî ïîêèäàåò ìî¸ òåëî, ñîáèðàÿñü â ëóæó, è êàê ñìåðòü ïðîòÿãèâàåò êî ìíå ñâîè êîñòëÿâûå ïàëüöû. ß ìîã[Root.GetNoneE] áû ïîäóìàòü îáî âñåõ òåõ âåùàõ, êîòîðûå íå óñïåë[Root.GetEndA] ñäåëàòü, íî ó ìåíÿ íåò íèêàêèõ ìûñëåé, ëèøü âñåïîãëîùàþùåå îùóùåíèå öåëîñòíîñòè è ÿñíîñòè óñêîëüçàþùåãî áûòèÿ.;;x
EVTDESC_LT_20460;As my dagger is going for [From.GetHerHis] heart, [From.GetTitledFirstName] raises the arm and I miss my mark. Then [From.GetSheHe] just runs away. Now I will have to deal with the consequences.;;;;;;;;;;;Ìîé êèíæàë ïî÷òè äîñòèã [From.GetHersHis] ñåðäöà, êàê âäðóã [From.GetTitledFirstName] ðåçêî ïîäíÿë[From.GetEndA] ðóêó. ß ïðîìàõíó[Root.GetLasLsya], à [From.GetSheHe] ñáåæàë[From.GetEndA]. Òåïåðü ìíå ïðèäåòñÿ ñòîëêíóòüñÿ ñ ïîñëåäñòâèÿìè.;;x
EVTDESC_LT_20460_wounded;As my dagger is going for [From.GetHerHis] heart, [From.GetTitledFirstName] raises the arm and I miss the mark. I wound [From.GetHerHim], but [From.GetSheHe] manages to run away, leaving a trail of blood behind. Now I will have to deal with the consequences.;;;;;;;;;;;Ìîé êèíæàë ïî÷òè äîñòèã [From.GetHersHis] ñåðäöà, êàê âäðóã [From.GetTitledFirstName] ðåçêî ïîäíÿë[From.GetEndA] ðóêó. ß ðàíèë[Root.GetEndA] [From.GetHersHis], íî [From.GetHerHim] óäàëîñü ñáåæàòü, îñòàâèâ çà ñîáîé êðîâàâûé ñëåä. Òåïåðü ìíå ïðèäåòñÿ ñòîëêíóòüñÿ ñ ïîñëåäñòâèÿìè.;;x
