EVTTITLE23910;The Offering;;;;;;;;;;;Ïîäíîøåíèå;;x
EVTDESCHFA23811;The period of festivities is about to start. All sorts of peddlers, bards and fortunetellers are gathering in [great_tribal_festival_host.Capital.GetName], bringing their tales and offerings. I should make sure to prepare myself before traveling to meet my tribesmen.;;;;;;;;;;;Íà÷èíàåòñÿ ïåðèîä ïðàçäíåñòâ. Âñåâîçìîæíûå òîðãîâöû, áàðäû è ãàäàëêè ñîáèðàþòñÿ â [great_tribal_festival_host.Capital.GetName], ïðèíîñÿ ñâîè ðàññêàçû è ïîäíîøåíèÿ. ß äîëæ[Root.GetNaEn] óáåäèòüñÿ, ÷òî ïîäãîòîâè[Root.GetLasLsya], ïðåæäå ÷åì îòïðàâèòüñÿ íà âñòðå÷ó ñî ñâîèìè ñîïëåìåííèêàìè.;;x
EVTDESCHFA23814;A hoarse voice calls for my name from the crowd of peddlers, catching my attention. An old Seer is waiting for me sitting near an old runic stone. He claims that he will read my future for a small price.;;;;;;;;;;;Õðèïëûé ãîëîñ çîâ¸ò ìåíÿ ïî èìåíè èç òîëïû òîðãîâöåâ, ïðèâëåêàÿ ìî¸ âíèìàíèå. Ïîæèëîé ïðîâèäåö æä¸ò ìåíÿ, ñèäÿ âîçëå ñòàðîãî ðóíè÷åñêîãî êàìíÿ. Îí óòâåðæäàåò, ÷òî çà íåáîëüøóþ öåíó ñìîæåò ïðåäñêàçàòü ìî¸ áóäóùåå.;;x
EVTDESCHFA23815;The fortuneteller surprises me by predicting that extraordinary opportunities are about to present themselves to me in my near future, and I need only to pay close attention to find my good fortune.;;;;;;;;;;;Ãàäàëêà óäèâëÿåò ìåíÿ, ïðåäñêàçûâàÿ, ÷òî â áëèæàéøåì áóäóùåì ïåðåäî ìíîé îòêðîþòñÿ íåîáûêíîâåííûå âîçìîæíîñòè, è ìíå íóæíî òîëüêî áûòü âíèìàòåëüí[Root.GetOyYm], ÷òîáû íàéòè ñâîþ óäà÷ó.;;x
EVTDESCHFA23816;The fortuneteller assures me that a period of good luck is just around the corner, and that I need only look for the right opportunities in order to change my life for the better.;;;;;;;;;;;Ãàäàëêà óâåðÿåò ìåíÿ, ÷òî ïåðèîä óäà÷è íå çà ãîðàìè, è ÷òî ìíå íóæíî òîëüêî èñêàòü ïîäõîäÿùèå âîçìîæíîñòè, ÷òîáû èçìåíèòü ñâîþ æèçíü ê ëó÷øåìó.;;x
EVTDESCHFA23817;After giving a thorough look to the signs, the fortuneteller warns me that my future looks grim and I should be very careful about my next choices to avoid any calamity befalling upon me and my family.;;;;;;;;;;;Òùàòåëüíî èçó÷èâ çíàêè, ãàäàëêà ïðåäóïðåæäàåò, ÷òî ìî¸ áóäóùåå âûãëÿäèò ìðà÷íî, è ÿ äîëæ[Root.GetNaEn] áûòü î÷åíü îñòîðîæ[Root.GetNaEn] â ñâîèõ ñëåäóþùèõ ðåøåíèÿõ, ÷òîáû èçáåæàòü ëþáîãî áåäñòâèÿ, êîòîðîå ìîæåò ïîñòè÷ü ìåíÿ è ìîþ ñåìüþ.;;x
EVTDESCHFA23818;As I walk around the crowded streets of [great_tribal_festival_host.Capital.GetName], a strange aroma catches my attention, leading me to the obscure stand of an old alchemist. Seeing my curiosity, the man shows me some of his wares and their prodigious effects.;;;;;;;;;;;Êîãäà ÿ èäó ïî ìíîãîëþäíûì óëèöàì [great_tribal_festival_host.Capital.GetName], ìî¸ âíèìàíèå ïðèâëåêàåò ñòðàííûé àðîìàò, êîòîðûé ïðèâîäèò ìåíÿ ê ìàëîèçâåñòíîé ëàâêå ñòàðîãî àëõèìèêà. Âèäÿ ìî¸ ëþáîïûòñòâî, ìóæ÷èíà ïîêàçûâàåò ìíå íåêîòîðûå èç ñâîèõ òîâàðîâ è èõ ïîòðÿñàþùèå ýôôåêòû.;;x
EVTDESCHFA23819;As I walk around the crowded streets of [great_tribal_festival_host.Capital.GetName], a strange aroma catches my attention, leading me to the obscure stand of an old alchemist. Seeing my curiosity, the man shows me some of his wares and their prodigious effects.;;;;;;;;;;;Êîãäà ÿ èäó ïî ëþäíûì óëèöàì [great_tribal_festival_host.Capital.GetName], ìî¸ âíèìàíèå ïðèâëåêàåò ñòðàííûé àðîìàò, êîòîðûé ïðèâîäèò ìåíÿ ê çàãàäî÷íîìó ïðèëàâêó ñòàðîãî àëõèìèêà. Âèäÿ ìî¸ ëþáîïûòñòâî, ìóæ÷èíà ïîêàçûâàåò ìíå íåêîòîðûå èç ñâîèõ òîâàðîâ è èõ ïîòðÿñàþùèå ýôôåêòû.;;x
EVTDESCHFA23820;An old merchant has set up a large stand in the middle of [great_tribal_festival_host.Capital.GetName] this year, selling all sorts of amulets and trinkets to use at the end of the festival as offerings to the gods of our ancestors. I wonder if I should buy something to burn myself...;;;;;;;;;;;Â ýòîì ãîäó ñòàðûé òîðãîâåö óñòàíîâèë áîëüøîé ïðèëàâîê ïîñðåäè [great_tribal_festival_host.Capital.GetName], ïðîäàâàÿ âñåâîçìîæíûå àìóëåòû è áåçäåëóøêè, êîòîðûå ìîæíî èñïîëüçîâàòü â êîíöå ïðàçäíèêà â êà÷åñòâå ïîäíîøåíèé äëÿ áîãîâ íàøèõ ïðåäêîâ. ß äóìàþ, íå êóïèòü ëè ìíå ÷òî-íèáóäü, ÷òîáû ñæå÷ü ó ñåáÿ...;;x
EVTDESCHFA23821;I stumbled on [tribal_festival_potential_friend_1.GetTitledFirstName] in the main hall with a group of other distinguished guests. I have heard quite a few good things about [tribal_festival_potential_friend_1.GetHerHim] in the past, and I wonder if this festival is the right occasion to earn [tribal_festival_potential_friend_1.GetHerHis] friendship.;;;;;;;;;;;ß íàòêíó[Root.GetLasLsya] íà [tribal_festival_potential_friend_1.GetTitledFirstName] â ãëàâíîì çàëå ñ ãðóïïîé äðóãèõ ïî÷¸òíûõ ãîñòåé. ß ñëûøàë[Root.GetEndA] äîâîëüíî ìíîãî õîðîøèõ îòçûâîâ î [tribal_festival_potential_friend_1.GetTitledFirstName] â ïðîøëîì, è ìíå èíòåðåñíî, ÿâëÿåòñÿ ëè ýòîò ïðàçäíèê ïîäõîäÿùèì ïîâîäîì äëÿ òîãî, ÷òîáû çàñëóæèòü [tribal_festival_potential_friend_1.GetHerHis] äðóæáó.;;x
EVTDESCHFA23822;[From.GetTitledFirstName] and I spent the evening telling old tales of our clans to each other, having a very good time alongside the other guests of [great_tribal_festival_host.GetTitledFirstName]'s feast. I never noticed how likable [From.GetFirstName] was before...;;;;;;;;;;;[From.GetTitledFirstName] è ÿ ïðîâåëè âå÷åð, ðàññêàçûâàÿ äðóã äðóãó ñòàðûå èñòîðèè î íàøèõ êëàíàõ, ïðåêðàñíî ïðîâîäÿ âðåìÿ âìåñòå ñ äðóãèìè ãîñòÿìè ïðàçäíèêà [great_tribal_festival_host.GetTitledFirstName]. Ðàíüøå ÿ íèêîãäà íå çàìå÷àë[Root.GetEndA], íàñêîëüêî ñèìïàòè÷í[From.GetOyYm] áûë[From.GetEndA] [From.GetFirstName]...;;x
EVTDESCHFA23823;For some reason, [tribal_festival_potential_friend_1.GetFirstName] has entirely rejected my offer of friendship. I think [tribal_festival_potential_friend_1.GetHerHis] paranoid nature might have gotten the best of [tribal_festival_potential_friend_1.GetHerHim]...;;;;;;;;;;;Ïî êàêîé-òî ïðè÷èíå [tribal_festival_potential_friend_1.GetFirstName] ïîëíîñòüþ îòâåðã[tribal_festival_potential_friend_1.GetNoneE] ìî¸ ïðåäëîæåíèå î äðóæáå. ß äóìàþ, [tribal_festival_potential_friend_1.GetHerHis] ïàðàíîèäàëüíàÿ íàòóðà ñìîãëà âçÿòü âåðõ íàä [tribal_festival_potential_friend_1.GetFirstName]...;;x
EVTDESCHFA23824;[tribal_festival_potential_friend_1.GetFirstName] spent a great evening in the long-house, telling old legends and drinking with the other tribesmen. When finally leaving, right before dawn, we swore an oath of friendship.;;;;;;;;;;;Ìû ñ [tribal_festival_potential_friend_1.GetFirstName] ïðîâåëè îòëè÷íûé âå÷åð â äëèííîì äîìå, ðàññêàçûâàÿ ñòàðûå ëåãåíäû è âûïèâàÿ ñ äðóãèìè ñîïëåìåííèêàìè. Êîãäà ìû íàêîíåö óõîäèëè, ïåðåä ñàìûì ðàññâåòîì, òî ïîêëÿëèñü â äðóæáå.;;x
EVTDESCHFA23825;[tribal_festival_potential_friend_1.GetFirstName] and I spent a very pleasant evening in the long-house, telling old legends and drinking with the other tribesmen. We left the hall at dawn, both glad to have had this opportunity to strengthen our relation.;;;;;;;;;;;[tribal_festival_potential_friend_1.GetFirstName] è ÿ ïðîâåëè î÷åíü ïðèÿòíûé âå÷åð â äëèííîì äîìå, ðàññêàçûâàÿ ñòàðûå ëåãåíäû è âûïèâàÿ ñ äðóãèìè ñîïëåìåííèêàìè. Ìû ïîêèíóëè çàë íà ðàññâåòå, îáà ðàäóÿñü âîçìîæíîñòüþ óêðåïèòü íàøè îòíîøåíèÿ.;;x
EVTDESCHFA23826;I was busy exchanging tales with some of the other tribesmen, when [From.GetTitledFirstName] approaches me with a smile, offering me a drink, claiming that [From.GetSheHe] wishes to make a toast to new friendships.;;;;;;;;;;;ß áûë[Root.GetEndA] çàíÿò[Root.GetEndA] îáìåíîì áàéêàìè ñ äðóãèìè ñîïëåìåííèêàìè, êîãäà [From.GetTitledFirstName] ñ óëûáêîé ïîäõîäèò êî ìíå, ïðåäëàãàåò âûïèòü è çàÿâëÿåò, ÷òî [From.GetSheHe] õî÷åò ïîäíÿòü òîñò çà íîâóþ äðóæáó.;;x
EVTDESCHFA23828;Seeing [tribal_festival_potential_enemy_1.GetTitledFirstName] having such a good time with the other tribesmen, laughing and drinking in the long-house, is an unbearable sight. I wish I could do something to bring [tribal_festival_potential_enemy_1.GetHerHis] insufferable merriment to an end.;;;;;;;;;;;Íàáëþäàòü, êàê [tribal_festival_potential_enemy_1.GetTitledFirstName] ñòîëü õîðîøî ïðîâîäèò âðåìÿ ñ äðóãèìè ñîïëåìåííèêàìè, ñìå¸òñÿ è ïü¸ò â äëèííîì äîìå, ýòî íåâûíîñèìîå çðåëèùå. Õîòåë[Root.GetEndA] áû ÿ ñäåëàòü ÷òî-íèáóäü, ÷òîáû ïîëîæèòü êîíåö [tribal_festival_potential_enemy_1.GetHerHis] íåâûíîñèìîìó âåñåëüþ.;;x
EVTDESCHFA23830;It looks like [tribal_festival_potential_enemy_1.GetFirstName] is smarter than [tribal_festival_potential_enemy_1.GetSheHe] looks. [tribal_festival_potential_enemy_1.GetSheHeCap] was able to see through my deception and reject my false offer of friendship.;;;;;;;;;;;Ïîõîæå, ÷òî [tribal_festival_potential_enemy_1.GetFirstName] óìíåå, ÷åì [tribal_festival_potential_enemy_1.GetSheHe] âûãëÿäèò. [tribal_festival_potential_enemy_1.GetSheHeCap] ñìîã[tribal_festival_potential_enemy_1.GetNoneE] ðàçãëÿäåòü ìîé îáìàí è îòâåðãíóòü ìî¸ ëîæíîå ïðåäëîæåíèå äðóæáû.;;x
EVTDESCHFA23831;Just as I hoped, I was able to get [tribal_festival_potential_enemy_1.GetTitledFirstName] completely drunk and isolate [tribal_festival_potential_enemy_1.GetHerHim] from [tribal_festival_potential_enemy_1.GetHerHis] friends. Now is the time to reveal my true intentions...;;;;;;;;;;;Êàê ÿ è íàäåÿ[Root.GetLasLsya], ìíå óäàëîñü ïîëíîñòüþ íàïîèòü [tribal_festival_potential_enemy_1.GetTitledFirstName] è èçîëèðîâàòü [tribal_festival_potential_enemy_1.GetHerHim] îò äðóçåé [tribal_festival_potential_enemy_1.GetHerHis]. Íàñòàëî âðåìÿ ðàñêðûòü ìîè èñòèííûå íàìåðåíèÿ...;;x
EVTDESCHFA23832;[From.GetTitledFirstName] fooled me! After getting me drunk, [From.GetSheHe] abandoned me in the wilderness, in the dead of night. I am too tired and confused to find my way back to the tribe, and I think I hear something growling nearby...;;;;;;;;;;;[From.GetTitledFirstName] îáìàíóë[From.GetEndA] ìåíÿ! Íàïîèâ ìåíÿ, [From.GetSheHe] áðîñèë[From.GetEndA] ìåíÿ â ãëóøè ñðåäè íî÷è. ß ñëèøêîì óñòàë[Root.GetEndA] è ñáèò[Root.GetEndA] ñ òîëêó, ÷òîáû íàéòè äîðîãó îáðàòíî ê çåìëÿì ïëåìåíè, è ìíå êàæåòñÿ, ÷òî ÿ ñëûøó ÷ü¸-òî ðû÷àíèå ïîáëèçîñòè...;;x
EVTDESCHFA23833;I do not understand. One moment [From.GetTitledFirstName] and I are having fun, drinking and exchanging tales, and the moment after [From.GetSheHe] is insulting me, shaming me for being nothing but a drunken fool in front of everybody.;;;;;;;;;;;ß íå ïîíèìàþ. Òîëüêî ÷òî [From.GetTitledFirstName] è ÿ âåñåëèñü, ïèëè è îáìåíèâàëèñü áàéêàìè, à ÷åðåç ìãíîâåíèå [From.GetSheHe] ìåíÿ îñêîðáëÿåò, ñòûäèò ìåíÿ ïåðåä âñåìè. Óòâåðæäàÿ, ÷òî ÿ âñåãî ëèøü ãëóï[Root.GetAyaYy] ïüÿíèöà;;x
EVTDESCHFA23834;We were all happily celebrating our good fortune in [great_tribal_festival_host.GetTitledFirstName]'s long-house, when [From.GetTitledFirstName] decided to ruin the mood of the feast by yelling my name and showering me with insults, clearly trying to upset me.;;;;;;;;;;;Ìû âñå ðàäîñòíî ïðàçäíîâàëè ñâîþ óäà÷ó â äëèííîì äîìå [great_tribal_festival_host.GetTitledFirstName], êîãäà [From.GetTitledFirstName] ðåøèë[From.GetEndA] èñïîðòèòü ïðàçäíè÷íîå íàñòðîåíèå, âûêðèêèâàÿ ìî¸ èìÿ è îñûïàÿ ìåíÿ îñêîðáëåíèÿìè, ÿâíî ïûòàÿñü çàäåòü.;;x
EVTDESCHFA23835;I have received several complaints from my guests in the last days regarding [warrior_lodge_guest.GetTitledFirstName]. Apparently, [warrior_lodge_guest.GetSheHe] has been going around town, picking fights, bragging about [warrior_lodge_guest.GetHerHis] great feats and shaming my own tribesmen for lacking in strength and courage.;;;;;;;;;;;Çà ïîñëåäíèå äíè ÿ ïîëó÷èë[Root.GetEndA] íåñêîëüêî æàëîá îò ìîèõ ãîñòåé îòíîñèòåëüíî [warrior_lodge_guest.GetTitledFirstName]. Ñóäÿ ïî âñåìó, [warrior_lodge_guest.GetSheHe] õîäèò ïî ãîðîäó, óñòðàèâàÿ äðàêè, õâàñòàÿñü ñâîèìè âåëèêèìè ïîäâèãàìè è ñòûäÿ ñîïëåìåííèêîâ çà îòñóòñòâèå ñèëû è ìóæåñòâà.;;x
EVTDESCHFA23836;The priests are preparing a large feast to offer to our ancestors tonight. I have been spying at the servants bringing in the offerings in the great hall for some time. Some of my friends have dared me to see if I can sneak in and out under the priests' noses without being spotted.;;;;;;;;;;;Æðåöû ãîòîâÿò áîëüøîé ïèð, ÷òîáû ïðåïîäíåñòè æåðòâó íàøèì ïðåäêàì ñåãîäíÿ âå÷åðîì. ß óæå íåêîòîðîå âðåìÿ ñëåæó çà ñëóãàìè, ïðèíîñÿùèìè ïîäíîøåíèÿ â áîëüøîé çàë. Íåêîòîðûå èç ìîèõ äðóçåé îñìåëèëèñü ñïðîñèòü, ñìîãó ëè ÿ íåçàìåòíî ïðîêðàñòüñÿ ïîä íîñîì ó æðåöîâ è îñòàòüñÿ íåçàìå÷åíí[Root.GetOyYm].;;x
EVTDESCHFA23837;I am only a few step into the main hall when I hear somebody call for me. One of the priests has spotted me! With my face growing red, I manage to run away just in time to avoid being caught. My playmates welcome me with a shower of chuckles.;;;;;;;;;;;ß äåëàþ âñåãî íåñêîëüêî øàãîâ â ãëàâíûé çàë, êîãäà ñëûøó, êàê ìåíÿ êòî-òî çîâ¸ò. Îäèí èç æðåöîâ çàìåòèë ìåíÿ! Ñ ïîêðàñíåâøèì ëèöîì ÿ óñïåâàþ óáåæàòü êàê ðàç âîâðåìÿ, ÷òîáû ìåíÿ íå ïîéìàëè. Òîâàðèùè ïî èãðå ïðèâåòñòâóþò ìåíÿ ñìåõîì.;;x
EVTDESCHFA23838;With just a bit of care, I manage to sneak past the servants and get into the main hall. The weird statues of the ancestors are all assembled near the long table, decorated with trinkets and surrounded by food.;;;;;;;;;;;Ïðîÿâèâ íåáîëüøóþ îñòîðîæíîñòü, ìíå óäà¸òñÿ ïðîêðàñòüñÿ ìèìî ñëóã è ïîïàñòü â ãëàâíûé çàë. Ñòðàííûå ñòàòóè ïðåäêîâ ñîáðàíû âîçëå äëèííîãî ñòîëà, óêðàøåííîãî áåçäåëóøêàìè è îêðóæ¸ííîãî åäîé.;;x
EVTDESCHFA23839;I was surprised to hear that the statues in the temple of [great_tribal_festival_host.Capital.GetName] have moved to a nefarious position. The priests wander around town informing everyone of the prodigious event for several hour before news comes out that the misplacement was just the result of [From.GetFirstName] sneaking into the temple and rearranging them.;;;;;;;;;;;ß áûë[Root.GetEndA] óäèâëåí[Root.GetEndA], óçíàâ, ÷òî ñòàòóè â õðàìå [great_tribal_festival_host.Capital.GetName] ñìåñòèëèñü â íåïðèãëÿäíîå ïîëîæåíèå. Æðåöû áðîäÿò ïî ãîðîäó, ñîîáùàÿ âñåì îá óäèâèòåëüíîì ñîáûòèè â òå÷åíèå íåñêîëüêèõ ÷àñîâ, ïðåæäå ÷åì ïîÿâëÿþòñÿ íîâîñòè î òîì, ÷òî ýòà íåóìåñòíîñòü áûëà ïðîñòî ðåçóëüòàòîì òîãî, ÷òî [From.GetFirstName] ïðîáðà[From.GetLasLsya] â õðàì è ïåðåñòàâèë[From.GetEndA] èõ.;;x
EVTDESCHFA23840;[From.GetFirstName] and some of [From.GetHerHis] playmates have stolen the offerings for tonight's feast of the ancestors. The priests were furious to find the little piglets sleeping in the woods near [great_tribal_festival_host.Capital.GetName], surrounded by the remains of their loot.;;;;;;;;;;;[From.GetFirstName] è íåêîòîðûå [From.GetHerHis] òîâàðèùè ïî èãðàì óêðàëè ïîäíîøåíèÿ äëÿ ñåãîäíÿøíåãî ïèðà âî ñëàâó ïðåäêîâ. Æðåöû ïðèøëè â ÿðîñòü, îáíàðóæèâ ìàëåíüêèõ ïîðîñÿò, ñïÿùèõ â ëåñó âîçëå [great_tribal_festival_host.Capital.GetName], îêðóæ¸ííûõ îñòàòêàìè íàãðàáëåííîãî.;;x
EVTDESCHFA23841;A particularly wealthy and obnoxious merchant has been drawn to town due to the great festival, and one of my playmates has challenged me to steal one of his trinkets while he is distracted haggling, to make up for all the times that he mistreated us children in the past.;;;;;;;;;;;Èç-çà áîëüøîãî ïðàçäíèêà â ãîðîäå ïîÿâèëñÿ îñîáåííî áîãàòûé è íåñíîñíûé òîðãîâåö, è îäèí èç ìîèõ òîâàðèùåé ïî èãðå ïðåäëîæèë ìíå óêðàñòü êàêóþ-òî èç åãî áåçäåëóøåê, ïîêà êóïåö îòâëåêàåòñÿ íà òîðã, ÷òîáû çàãëàäèòü âèíó çà âñå òå ñëó÷àè, êîãäà îí ïëîõî îáðàùàëñÿ ñ íàìè, äåòüìè, â ïðîøëîì.;;x
EVTDESCHFA23842;Just as I stretch my arm to pick the item from the stand, the merchant grabs me by the wrist and pushes me aside, warning me to keep away from his wares. Trying again now that he has been put on alert would just be a waste of time, so I am forced to return to my playmates empty-handed.;;;;;;;;;;;Êàê òîëüêî ÿ ïðîòÿãèâàþ ðóêó, ÷òîáû âçÿòü òîâàð ñ ïðèëàâêà, òîðãîâåö õâàòàåò ìåíÿ çà çàïÿñòüå è îòòàëêèâàåò â ñòîðîíó, ïðåäóïðåäèâ äåðæàòüñÿ ïîäàëüøå îò åãî òîâàðîâ. Ïûòàòüñÿ äåëàòü ýòî ñíîâà, êîãäà îí íàñòîðîæèëñÿ, áûëî áû ïóñòîé òðàòîé âðåìåíè, ïîýòîìó ÿ âûíóæäåí[Root.GetEndA] âåðíóòüñÿ ê ñâîèì òîâàðèùàì ñ ïóñòûìè ðóêàìè.;;x
EVTDESCHFA23843;It takes just a few moments of distraction for me to snatch one of the merchant's amulets and run away in the crowd before he can even realize that he has been robbed. I return triumphant to my playmates, and we spend the rest of the afternoon looking from a safe distance the old merchant scrambling through his wares, trying to find the missing trinket.;;;;;;;;;;;Ìíå õâàòàåò âñåãî íåñêîëüêî ìãíîâåíèé, êîãäà òîðãîâåö îòâë¸êñÿ, ÷òîáû ñõâàòèòü îäèí èç åãî àìóëåòîâ è ñêðûòüñÿ â òîëïå, ïðåæäå ÷åì îí óñïååò ïîíÿòü, ÷òî åãî îãðàáèëè. ß ñ òðèóìôîì âîçâðàùàþñü ê ñâîèì òîâàðèùàì ïî èãðàì, è îñòàòîê äíÿ ìû ïðîâîäèì, íàáëþäàÿ ñ áåçîïàñíîãî ðàññòîÿíèÿ çà ñòàðûì òîðãîâöåì, êîòîðûé ðûùåò â ñâîèõ òîâàðàõ, ïûòàÿñü íàéòè ïðîïàâøóþ áåçäåëóøêó.;;x
EVTDESCHFA23844;Today's festivities were disrupted by the complaints of a foreign merchant. The old man spent most of the afternoon claiming that one of the town's kids had stolen a precious amulet from his stand and would not leave until he received compensation for his losses.;;;;;;;;;;;Ñåãîäíÿøíåå ïðàçäíåñòâî áûëî ñîðâàíî æàëîáàìè èíîñòðàííîãî êóïöà. Ñòàðèê ïðîâ¸ë áîëüøóþ ÷àñòü äíÿ, óòâåðæäàÿ, ÷òî îäèí èç ãîðîäñêèõ äåòåé óêðàë äðàãîöåííûé àìóëåò ñ åãî ïðèëàâêà è êóïåö íå óéä¸ò, ïîêà íå ïîëó÷èò êîìïåíñàöèþ çà ñâîè ïîòåðè.;;x
