emperor_title_queen_mother_female;Empress Dowager;;;;;;;;;;;Âäîâñòâóþùàÿ èìïåðàòðèöà;;x
title_canjun;Canjun;;;;;;;;;;;Öàíüöçóíü;;x
title_canjun_desc;The Staff Officer of an army, the position of Canjun is granted to trustworthy deputies in a military body or sometimes a political arm, and is a prestigious title to hold.;;;;;;;;;;;Øòàáíîé îôèöåð àðìèè. Äîëæíîñòü Öàíüöçþíü ïðåäîñòàâëÿåòñÿ äîâåðåííûì çàìåñòèòåëÿì èç âîåííûõ îðãàíèçàöèé èëè èíîãäà èç ïîëèòè÷åñêîé ãðóïïû. Ýòî ïðåñòèæíûé òèòóë.;;x
title_cardinal;Cardinal;;;;;;;;;;;Êàðäèíàë;;x
title_castellan;Castellan;;;;;;;;;;;Êàñòåëÿí;;x
title_castellan_desc;This honorific is awarded to a vassal that is held in high regard by their liege. As Castellan they are responsible for the maintenance and daily ongoings of the Fortress.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äàðóåòñÿ âàññàëó, ñíèñêàâøåìó îñîáîå óâàæåíèå ñâîåãî ñþçåðåíà. Êàñòåëÿí íåñ¸ò îòâåòñòâåííîñòü çà ïîääåðæàíèå è åæåäíåâíîå ñòðîèòåëüñòâî êðåïîñòè.;;x
title_champion;Champion;;;;;;;;;;;×åìïèîí;;x
title_champion_desc;The person that this title is bestowed upon is considered to be the Champion of the Realm. There is surely no greater honor for mortal men to aspire to.;;;;;;;;;;;×åëîâåê, óäîñòîèâøèéñÿ ýòîãî òèòóëà, ñ÷èòàåòñÿ ëó÷øèì â ãîñóäàðñòâå. Äëÿ ñìåðòíîãî ìóæà íå ñóùåñòâóåò ÷åñòè áîëüøåé, ÷åì îáëàäàíèå òèòóëîì ×åìïèîíà.;;x
title_cherbi;Cherbi;;;;;;;;;;;×åðáè;;x
title_cherbi_desc;The Cherbi is the leader of the Kheshig, the imperial guard of the Mongol Empire. They are charged with the protection of the empire's most important nobility, and the position as their commander is a very prestigious one.;;;;;;;;;;;×åðáè ÿâëÿåòñÿ ëèäåðîì êåøèêòåíîâ, èìïåðàòîðñêîé ãâàðäèè Ìîíãîëüñêîé èìïåðèè. Îíè çàùèùàþò íàèáîëåå âàæíûõ ïðåäñòàâèòåëåé çíàòè èìïåðèè, è ïîñò èõ êîìàíäèðà ÿâëÿåòñÿ î÷åíü ïðåñòèæíûì.;;x
title_chief_architect;Chief Architect;;;;;;;;;;;Ãëàâíûé àðõèòåêòîð;;x
title_chief_architect_desc;The Chief Architect is responsible for designing and overseeing the construction of palaces, mosques and grand monuments.;;;;;;;;;;;Ãëàâíûé àðõèòåêòîð îòâåòñòâåíåí çà ïðîåêòèðîâàíèå è íàáëþäåíèå çà ñòðîèòåëüñòâîì äâîðöîâ, ìå÷åòåé è âåëèêèõ ïàìÿòíèêîâ.;;x
title_chief_qadi;Chief Qadi;;;;;;;;;;;Âåðõîâíûé êàäèé;;x
title_chief_qadi_desc;The Chief Qadi is the supreme judge and authority of the Law (Sharia) in the realm. The most prestigious of all Muslim honorary titles, it is only open to characters with a proper religious education.;;;;;;;;;;;Âåðõîâíûé êàäèé - âûñøèé ñóäüÿ è àâòîðèòåò â çàêîíàõ Øàðèàòà. Ñàìîå ïðåñòèæíîå èç âñåõ ìóñóëüìàíñêèõ ïî÷¸òíûõ çâàíèé, äîñòóïíîå òîëüêî ëþäÿì ñ îòëè÷íûì ðåëèãèîçíûì îáðàçîâàíèåì.;;x
title_china_emperor;Emperor;;;;;;;;;;;Èìïåðàòîð;;x
title_china_emperor_female;Empress;;;;;;;;;;;Èìïåðàòðèöà;;x
title_commander;Commander;;;;;;;;;;;Ïîëêîâîäåö;;x
title_commander_desc;§YCommanders§! are the only ones after the §YMarshal§! and the ruler who are allowed to command armies.;;;;;;;;;;;§YÏîëêîâîäöàìè§! ìîãóò áûòü òîëüêî òå, êîìó ïðàâèòåëü äàðóåò ýòîò òèòóë, à òàêæå åãî §Yñîâåòíèêè§! ïî âîåííûì äåëàì.;;x
title_councilmember_emperor;Advisor;;;;;;;;;;;Ñîâåòíèê;;x
title_councilmember_emperor_desc;The Advisor is a respected member of the realm's council and is responsible for giving sound advice on any matters that the ruler has to deal with.;;;;;;;;;;;Ñîâåòíèê - óâàæàåìàÿ äîëæíîñòü â ãîñóäàðñòâåííîì ñîâåòå. Íà í¸ì ëåæèò îòâåòñòâåííîñòü çà ðåøåíèÿ, ïî êîòîðûì ïðàâèòåëü ïîëó÷àåò îò íåãî ðåêîìåíäàöèè.;;x
title_councilmember_king;Advisor;;;;;;;;;;;Ñîâåòíèê;;x
title_councilmember_king_desc;The Advisor is a respected member of the realm's council and is responsible for giving sound advice on any matters that the ruler has to deal with.;;;;;;;;;;;Ñîâåòíèê - óâàæàåìàÿ äîëæíîñòü â ãîñóäàðñòâåííîì ñîâåòå. Íà í¸ì ëåæèò îòâåòñòâåííîñòü çà ðåøåíèÿ, ïî êîòîðûì ïðàâèòåëü ïîëó÷àåò îò íåãî ðåêîìåíäàöèè.;;x
title_court_architect;Court Architect;;;;;;;;;;;Ïðèäâîðíûé àðõèòåêòîð;;x
title_court_architect_desc;As 'the Grand Axe of Craftsmanship', the position of Court Architect holds much prestige.;;;;;;;;;;;"Òàêæå èçâåñòåí, êàê ""Ãëàâíûé òîïîð ðåìåñëà"" - âåñüìà ïðåñòèæíàÿ äîëæíîñòü.";;x
title_court_calligrapher;Court Calligrapher;;;;;;;;;;;Ïðèäâîðíûé êàëëèãðàô;;x
title_court_calligrapher_desc;Islamic suspicion of figurative art makes skilled calligraphers highly respected.;;;;;;;;;;;Ñïîñîáíîñòü ðàñïîçíàâàòü ïîääåëêó ïî÷åðêà äåëàåò ñóäåé-êàëëèãðàôîâ î÷åíü óâàæàåìûìè â èñëàìñêîì ìèðå.;;x
title_court_dwarf;Court Dwarf;;;;;;;;;;;Ïðèäâîðíûé êàðëèê;;x
title_court_dwarf_desc;Dwarves are objects of fascination and curiosity. Having one at court is a matter of prestige.;;;;;;;;;;;Êàðëèêè - îáúåêòû âîñõèùåíèÿ è ëþáîïûòñòâà. Èìåòü îäíîãî ïðè äâîðå äåëî ïðåñòèæà.;;x
title_court_eunuch;Court Eunuch;;;;;;;;;;;Ïðèäâîðíûé åâíóõ;;x
title_court_eunuch_desc;Eunuchs perform many valued court functions and can be trusted in the presence of women.;;;;;;;;;;;Åâíóõè âûïîëíÿëè ìíîæåñòâî ôóíêöèé ïðè äâîðå è èì ìîæíî áûëî äîâåðÿòü â ïðèñóòñòâèè æåíùèí.;;x
title_court_jester;Court Jester;;;;;;;;;;;Ïðèäâîðíûé øóò;;x
title_court_jester_desc;The court Jester is kept around to provide general entertainment to the court. Also known as a fool it is generally not considered to be the most prestigious office at court.;;;;;;;;;;;Ïðèäâîðíûé øóò îòâå÷àåò çà ðàçâëå÷åíèÿ. Îí èìååò ñëàâó äóðàêà, è ïîòîìó åãî äîëæíîñòü ñ÷èòàåòñÿ äàëåêî íå ñàìîé ïðåñòèæíîé ïðè äâîðå.;;x
title_court_musician;Court Musician;;;;;;;;;;;Ïðèäâîðíûé ìóçûêàíò;;x
title_court_musician_desc;The Court Musician is always ready to entertain with soothing or stirring music.;;;;;;;;;;;Ìóçûêàíòû âñåãäà ãîòîâû ðàçâëå÷ü ñïîêîéíîé èëè âåñ¸ëîé ìóçûêîé.;;x
title_court_physician;Court Physician;;;;;;;;;;;Ïðèäâîðíûé ëåêàðü;;x
title_court_physician_desc;Responsible for the well-being of your courtiers, the Court Physician will attempt to diagnose and cure any ailments which affect your court. Court Physicians are typically learned individuals with education in medicinal arts.;;;;;;;;;;;Ïðèäâîðíûé ëåêàðü, îòâåòñòâåííûé çà çäîðîâüå Âàøèõ ïðèäâîðíûõ, áóäåò ïûòàòüñÿ äèàãíîñòèðîâàòü è ëå÷èòü ëþáûå íåäóãè, êîòîðûå èõ ïîñòèãíóò. Ëåêàðè îáû÷íî çíàþò ñâî¸ äåëî è îáëàäàþò íåîáõîäèìûì îáðàçîâàíèåì.;;x
title_court_poet;Court Poet;;;;;;;;;;;Ïðèäâîðíûé ïîýò;;x
title_court_poet_desc;Islamic poets enjoy a great deal of respect and prestige, often religious, but sometimes pushing the limits of what is acceptable under Islam.;;;;;;;;;;;Èñëàìñêèå ïîýòû ïîëüçóþòñÿ áîëüøèì ïî÷¸òîì è óâàæåíèåì, çà÷àñòóþ è â ðåëèãèîçíûõ âîïðîñàõ, íî èíîãäà îíè âûõîäÿò çà ðàìêè äîçâîëåííîãî.;;x
title_court_poet_india;Court Poet;;;;;;;;;;;Ïðèäâîðíûé ïîýò;;x
title_court_poet_india_desc;Poetry is an art much respected in Indian culture, and thus the Court Poet has always been a position of prestige.;;;;;;;;;;;Ïîýçèÿ ÿâëÿåòñÿ ïðèçíàííûì èñêóññòâîì â èíäèéñêîé êóëüòóðå, ïîýòîìó äîëæíîñòü ïðèäâîðíîãî ïîýòà âñåãäà áûëà ïðåñòèæíîé ïîçèöèåé.;;x
title_court_skald;Court Skald;;;;;;;;;;;Ïðèäâîðíûé Ñêàëüä;;x
title_court_skald_desc;Skaldic poetry is a greatly respected art, and the Court Skald is regarded as the realm's foremost expert on verse and prose. The Skald is ultimately responsible for chronicling the ruler's deeds for posterity.;;;;;;;;;;;Ïîýçèÿ Ñêàëüäîâ - î÷åíü óâàæàåìîå èñêóññòâî, è Ïðèäâîðíûé Ñêàëüä ñ÷èòàåòñÿ ãëàâíûì ñïåöèàëèñòîì ïî ñòèõàì è ïðîçå. Ñêàëüä îòâå÷àåò çà âåäåíèå ëåòîïèñè äåÿíèé ñâîåãî õîçÿèíà äëÿ ïîòîìêîâ.;;x
title_courtesan;Concubine;;;;;;;;;;;Íàëîæíèöà;;x
title_cupbearer;Cupbearer;;;;;;;;;;;Ïîä÷àøèé;;x
title_cupbearer_desc;Poison is always a danger, so being entrusted with serving drinks is a great honor.;;;;;;;;;;;Â íàïèòêè ìîãóò ïîäñûïàòü ÿä, ïîýòîìó ïîïðîáîâàòü èõ ëè÷íî, ïðåæäå ÷åì ïîäàâàòü ïðàâèòåëþ - âåëèêàÿ ÷åñòü.;;x
title_custodian_of_the_mosque;Custodian of the Mosque;;;;;;;;;;;Ñìîòðèòåëü ìå÷åòè;;x
title_custodian_of_the_mosque_desc;This honorific is awarded to a person who has shown exceptional devotion to [Root.Religion.GetHighGodNameCap].;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äàðóåòñÿ ëèøü òîìó, êòî ïðîÿâèë èñêëþ÷èòåëüíóþ ïðåäàííîñòü [Root.GetReligionHighGodDAT].;;x
title_custodian_of_the_temple;Custodian of the Temple;;;;;;;;;;;Ñìîòðèòåëü õðàìà;;x
title_custodian_of_the_temple_desc;This honorific is awarded to a person who has shown exceptional devotion to [Root.Religion.GetHighGodNameCap].;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äàðóåòñÿ ëèøü òîìó, êòî ïðîÿâèë èñêëþ÷èòåëüíóþ ïðåäàííîñòü [Root.GetReligionHighGodDAT].;;x
title_darkhan;Darkhan;;;;;;;;;;;Äàðõàí;;x
title_darkhan_desc;Darkhan is a prestigious Mongolian title bestowed by the Khan upon those who have served him exceptionally well. Genghis Khan awarded this title to those allies who aided him during his rise to power.;;;;;;;;;;;Äàðõàí - ïðåñòèæíûé òèòóë, êîòîðûé äàðîâàë õàí òåì, êòî ñëóæèë åìó èñêëþ÷èòåëüíî õîðîøî. ×èíãèñõàí óäîñòîèë ýòîãî çâàíèÿ òåõ ñîþçíèêîâ, êîòîðûå ïîìîãàëè åìó ïðèäòè ê âëàñòè.;;x
title_designated_heir;Designated Heir;;;;;;;;;;;Íàçíà÷åííûé íàñëåäíèê;;x
title_designated_heir_desc;Designate this Character as Your Heir;;;;;;;;;;;Íàçíà÷èòü ýòîãî ïåðñîíàæà Âàøèì íàñëåäíèêîì;;x
title_despot;Despot;;;;;;;;;;;Äåñïîò;;x
title_despot_desc;Despot is the highest honorary title in the Byzantine Empire, second only to the Emperor. It can only be granted to close relatives, traditionally the oldest son.;;;;;;;;;;;Äåñïîò ÿâëÿåòñÿ âûñøèì ïî÷¸òíûì çâàíèåì â Âèçàíòèéñêîé èìïåðèè, óñòóïàÿ òîëüêî èìïåðàòîðó. Îíî ìîæåò áûòü ïåðåäàíî èñêëþ÷èòåëüíî áëèçêèì ðîäñòâåííèêàì, îáû÷íî ñòàðøåìó ñûíó.;;x
title_drottseti;Dróttseti;;;;;;;;;;;Äðîòñåò;;x
title_drottseti_desc;The Dróttseti serves as a steward of the realm in a function similar to a seneschal, and it is considered to be a very prestigious post.;;;;;;;;;;;Äðîòñåò ñëóæèò ñòþàðäîì ãîñóäàðñòâà: îáÿçàííîñòè åãî ñõîæè ñ ñåíåøàëÿìè, è ïîñò åãî ñ÷èòàåòñÿ âåñüìà ïðåñòèæíûì.;;x
title_eran_ambaragbed;Eran Ambaragbed;;;;;;;;;;;Ýðàíñêèé Àìáàðàãáåä;;x
title_eran_ambaragbed_desc;As the minister of the magazines, it is the responsibility of the Eran Ambaragbed to see to the arms and armaments of the realm's warriors.;;;;;;;;;;;Áóäó÷è ñìîòðèòåëåì íàä àðìåéñêèìè ñêëàäàìè, Ýðàíñêèé Àìáàðàãáåä îòâå÷àåò çà âîîðóæåíèå âîèíîâ ãîñóäàðñòâà.;;x
title_food_taster;Food Taster;;;;;;;;;;;Äåãóñòàòîð;;x
title_food_taster_desc;Food tasters have the dubious pleasure of trying all dishes before their master has a bite...;;;;;;;;;;;Ó äåãóñòàòîðà ñîìíèòåëüíîå óäîâîëüñòâèå ïðîáîâàòü âñþ åäó, ïðåæäå ÷åì å¸ ïåðåäàäóò ïîâåëèòåëþ;;x
title_fraticelli_cardinal;Cardinal;;;;;;;;;;;Êàðäèíàë;;x
title_grand_butler;Grand Butler;;;;;;;;;;;Äâîðåöêèé;;x
title_grand_butler_desc;Although most of the household duties were passed over to servants, the butler had the right to pour the liege's wine when at his table. With the ability to grab the liege's ear at the same time, the butler was an important man.;;;;;;;;;;;Êîíå÷íî, áîëüøàÿ ÷àñòü áûòîâûõ õëîïîò ëåæèò íà ïëå÷àõ ñëóã. Íî ïî÷¸òíûå îáÿçàííîñòè, òàêèå êàê ïîäà÷à âèíà ê ñòîëó ïðàâèòåëÿ, äîñòîèí èñïîëíÿòü òîëüêî äâîðåöêèé.;;x
title_guardian_of_knowledge;Guardian of Knowledge;;;;;;;;;;;Õðàíèòåëü çíàíèé;;x
title_guardian_of_knowledge_desc;This honorific is awarded to a person who has shown their wisdom and courage.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äàðóåòñÿ òîìó, êòî ïðîÿâèë ìóäðîñòü è ìóæåñòâî.;;x
title_guardian_of_the_deep;Guardian of the Deep;;;;;;;;;;;Õðàíèòåëü ãëóáèí;;x
title_guardian_of_the_deep_desc;This honorific is awarded to a person who has shown exceptional vigilance and steadfastness.;;;;;;;;;;;Ýòîò ïî÷åòíûé òèòóë ïðèñóæäàåòñÿ ïðîÿâèâøåìó èñêëþ÷èòåëüíóþ áäèòåëüíîñòü è ñòîéêîñòü.;;x
title_guru;Court Guru;;;;;;;;;;;Ïðèäâîðíûé Ãóðó;;x
title_guru_desc;A guru is a wise master or teacher, one who imparts wisdom, usually by giving oral instruction and advice. Having a respected guru residing at your court can be useful, giving you access to sage advice.;;;;;;;;;;;Ãóðó ìóäðûé íàñòàâíèê è ó÷èòåëü, äà¸ò çíàíèÿ, îáû÷íî ñîâåòóÿ èëè äàâàÿ óêàçàíèÿ. Èìåòü óâàæàåìîãî ãóðó ó ñåáÿ ïðè äâîðå ìîæåò áûòü ïîëåçíûì, ýòî äîñòóï ê ìóäðûì ñîâåòàì.;;x
title_hermetics_apprentice;Apprentice;;;;;;;;;;;Ó÷åíèê;;x
title_hermetics_apprentice_desc;Hermetic scholars may chose an apprentice. In exchange for tutoring, the apprentice will take care of one's laboratory and assist during experiments.;;;;;;;;;;;Ãåðìåòèñò ìîæåò âûáðàòü ñåáå ó÷åíèêà, êîòîðûé â îáìåí íà îáó÷åíèå áóäåò çàáîòèòüñÿ î ëàáîðàòîðèè è àññèñòèðîâàòü âî âðåìÿ ýêñïåðèìåíòîâ.;;x
title_high_admiral;High Admiral;;;;;;;;;;;Âåðõîâíûé àäìèðàë;;x
title_high_admiral_desc;The High Admiral is formally the chief of the Admiralty and in charge of the Republic's Navy, though he often relies on a competent staff.;;;;;;;;;;;Âåðõîâíûé àäìèðàë - ôîðìàëüíûé ëèäåð àäìèðàëòåéñòâà, îòâå÷àþùåãî çà ôëîò ðåñïóáëèêè.;;x
title_high_almoner;High Almoner;;;;;;;;;;;Ýëåìîçèíàðèé;;x
title_high_almoner_desc;The handing out of alms was an integral part of rulership and religious observance. The one responsible for this task is a very important personage.;;;;;;;;;;;Ðàçäà÷à ìèëîñòûíè ÿâëÿåòñÿ íåîòúåìëåìîé ÷àñòüþ ïðàâëåíèÿ è ðåëèãèîçíûõ îáðÿäîâ. Îòâåòñòâåííûé çà ýòî ÷åëîâåê î÷åíü âàæåí.;;x
title_high_judge;High Judge;;;;;;;;;;;Âåðõîâíûé ñóäüÿ;;x
title_high_judge_desc;The High Judge is the supreme justice of the Republic, who answers only to the Council in most legal matters.;;;;;;;;;;;Âåðõîâíûé ñóäüÿ - âûñøèé îðãàí þñòèöèè ðåñïóáëèêè â áîëüøèíñòâå ïðàâîâûõ âîïðîñîâ, êîòîðûé îòâå÷àåò òîëüêî ïåðåä ñîâåòîì.;;x
title_hirdman;Hirdman;;;;;;;;;;;Õèðäìàí;;x
title_hirdman_desc;The Hirdmen are seen as the ruler's trusted companions in arms, and the holders of this title command a great deal of respect.;;;;;;;;;;;Õèðäìàíû ÿâëÿþòñÿ íàèáîëåå ïðîâåðåííûìè òîâàðèùàìè ïî îðóæèþ ñâîåãî ãîñïîäèíà, è îáëàäàòåëè ýòîãî òèòóëà âñåãäà î÷åíü óâàæàåìû.;;x
title_historiographer;Historiographer;;;;;;;;;;;Èñòîðèîãðàô;;x
title_historiographer_desc;As the official recorder of history, Historiographer is a title which can be granted to a learned person – their responsibility is to keep a record of important events, for the sake of future generations. However, some might also argue that it is to ensure that a ruler feels worthy of being chronicled.;;;;;;;;;;;ßâëÿÿñü îôèöèàëüíûì ëåòîïèñöåì, Èñòîðèîãðàô - ýòî òèòóë, êîòîðûé ìîæåò áûòü äàí îáðàçîâàííîìó ÷åëîâåêó, — èõ îáÿçàííîñòü ñîñòîèò â òîì, ÷òîáû âåñòè ó÷åò âàæíûõ ñîáûòèé â èíòåðåñàõ áóäóùèõ ïîêîëåíèé. Îäíàêî, íåêîòîðûå ìîãóò óòâåðæäàòü, ÷òî ïðàâèòåëü äîëæåí ÿâëÿòüñÿ äîñòîéíûì õðîíèêè.;;x
title_hypatos;Hypatos;;;;;;;;;;;Èïàò;;x
title_hypatos_desc;Consul: Though only honorary now, it denotes the wearer as an important servant of the Empire.;;;;;;;;;;;Èïàò - ýòî ãðå÷åñêèé âàðèàíò êîíñóëà. Êàê áû òî íè áûëî, ýòîò òèòóë ÿâëÿåòñÿ èñêëþ÷èòåëüíî ïî÷¸òíûì, è íå äàåò êàêîé-ëèáî âëàñòè îáëàäàòåëþ.;;x
title_hypatos_female;Hypatissa;;;;;;;;;;;Èïàòèñà;;x
title_imperial_eunuch;Parakoimomenos;;;;;;;;;;;Ïàðàêèìîìåí;;x
title_imperial_eunuch_desc;"The Parakoimomenos, ""the one who sleeps beside the Emperor's chamber,"" is a prestigious office at the Imperial Court reserved for eunuchs, who are valued for their perceived loyalty and discretion.";;;;;;;;;;;"Ïàðàêèìîìåí, ""êîòîðûé ñïèò ó âõîäà â èìïåðàòîðñêèå ïîêîè"" - ïðåñòèæíàÿ äîëæíîñòü ïðè äâîðå Áàñèëåâñà, ïðåäíàçíà÷åííàÿ äëÿ åâíóõîâ, êîòîðûõ öåíèëè çà èõ âåðíîñòü è îñòîðîæíîñòü.";;x
title_ishad;Ishad;;;;;;;;;;;Èøàä;;x
title_ishad_desc;Ishad is the title given to the highest ranking generals, and as such, it may be regarded as a mark of honor.;;;;;;;;;;;Òèòóë Èøàäà äàðîâàëñÿ ñàìûì ëó÷øèì ãåíåðàëàì, è â êîíå÷íîì èòîãå åãî ìîæíî áûëî ðàññìàòðèâàòü, êàê ñèìâîë ÷åñòè.;;x
title_kardarigan;Kardarigan;;;;;;;;;;;Êàðäàðèãàí;;x
title_kardarigan_desc;This honorific means black hawk and was granted to several gifted Sassanid generals for their achievements on the field of battle. It can only be bestowed upon those with exceptional martial ability.;;;;;;;;;;;"Ýòî ïî÷¸òíîå çâàíèå îçíà÷àåò ""×¸ðíûé îð¸ë"" è äàðóåòñÿ òîëüêî íåêîòîðûì íàèáîëåå îäàð¸ííûì ïîëêîâîäöàì Ñàñàíèäîâ çà èõ ïîäâèãè íà ïîëå áîÿ. Äëÿ ïîëó÷åíèÿ ýòîãî çâàíèÿ íåîáõîäèìî îáëàäàòü âûäàþùèìèñÿ âîèíñêèìè òàëàíòàìè.";;x
title_keeper_of_swans;Keeper of the Swans;;;;;;;;;;;Ñìîòðèòåëü ëåáåäåé;;x
title_keeper_of_swans_desc;With Swan meat being without doubt the finest meat available from either beast or fowl, the need to ensure a steady supply of Swans is important. The post of Master of Swans carries a certain amount of prestige.;;;;;;;;;;;Ñàìûì èçûñêàííûì âèäîì ìÿñà ñ÷èòàåòñÿ ëåáåäèíîå, ïîòîìó òàê âàæíî ñëåäèòü çà åãî ðåãóëÿðíûìè ïîñòàâêàìè ê ñòîëó ïðàâèòåëÿ. Äîëæíîñòü Ñìîòðèòåëÿ ëåáåäåé ïðèíåñ¸ò îïðåäåë¸ííîå êîëè÷åñòâî ïðåñòèæà.;;x
title_keeper_of_the_dead;Keeper of the Dead;;;;;;;;;;;Õðàíèòåëü ì¸ðòâûõ;;x
title_keeper_of_the_dead_desc;The Keeper of the Dead is responsible for the final rest of everyone placed in the §YMausoleum§!.;;;;;;;;;;;Õðàíèòåëü ì¸ðòâûõ îòâå÷àåò çà ïîêîé âñåõ òåõ, êòî íàõîäèòñÿ â §Yìàâçîëåé§!.;;x
title_keeper_of_tomes;Keeper of the Tomes;;;;;;;;;;;Õðàíèòåëü êíèã;;x
title_keeper_of_tomes_desc;This honorific is awarded to a person who has shown great aptitude for learning and all related skills.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äàðóåòñÿ òîìó, êòî ïðîÿâèë áîëüøèå ñïîñîáíîñòè ê îáó÷åíèþ è âñå ñîïóòñòâóþùèå íàâûêè.;;x
title_kouropalates;Kouropalates;;;;;;;;;;;Êóðîïàëàò;;x
title_kouropalates_desc;Kouropalates - 'the One in Charge of the Palace' - is a very prestigious title in the Byzantine Empire.;;;;;;;;;;;Êóðîïàëàò - î÷åíü ïðåñòèæíûé òèòóë â Âèçàíòèéñêîé èìïåðèè.;;x
title_kundur;Kündür;;;;;;;;;;;Êóíäóð;;x
title_kundur_desc;The Kündur is traditionally a high ranking official in the Khan's court, and bestowing it on someone is a sign of approval.;;;;;;;;;;;Êóíäóð îáû÷íî áûë âûñøèì ÷èíîâíèêîì â ñóäå Õàíà, è äàðîâàëñÿ â çíàê îäîáðåíèÿ.;;x
title_lawspeaker;Lawspeaker;;;;;;;;;;;Çàêîííèê;;x
title_lawspeaker_desc;The Lawspeaker memorizes the law of the realm and serves as its highest judicator. Needless to say, this comes with a great amount of prestige and responsibility.;;;;;;;;;;;Çàêîííèê èçó÷àåò çàêîíû ãîñóäàðñòâà è èñòîëêîâûâàåò èõ. Èçëèøíå ãîâîðèòü, ÷òî áîëüøîé àâòîðèòåò è îòâåòñòâåííîñòü ñîïóòñòâóþò åìó.;;x
title_lighthouse_custodian;Lighthouse Custodian;;;;;;;;;;;Õðàíèòåëü Ìàÿêà;;x
