EVTTITLE20003;The Conversion of [converting_king.PrimaryTitle.GetName];;;;;;;;;;;[sponsoring_king.GetMassBaptismEventTitle];;x
EVTDESCHFA20203;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] donates a small sum of money to the Holy Mother Church as a show of [Root.GetHerHisCap] devotion.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;Ïðåâîñõîäíåéø[Root.GetAyaYy] [Root.GetTitledName].\nÄëÿ ìåíÿ áóäåò ÷åñòüþ îôèöèàëüíî êîðîíîâàòü Âàøå [Root.GetHonorific], ïðè óñëîâèè, ÷òî Âû ïîæåðòâóåòå íåáîëüøóþ ñóììó äåíåã Ñâÿòîé Ìàòåðè Öåðêâè â êà÷åñòâå äåìîíñòðàöèè ñâîåé íàáîæíîñòè.\nÂñåãäà ãîòîâ[From.GetAyaYy] ñëóæèòü Âàøåìó [Root.GetHonorificDAT],\n [From.GetTitledFirstName];;x
EVTDESCHFA20204;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] donates a sizable sum of money to the church of [From.Capital.GetName] as a show of [Root.GetHerHisCap] devotion.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;Ïðåâîñõîäíåéø[Root.GetAyaYy] [Root.GetTitledName].\nÄëÿ ìåíÿ áóäåò ÷åñòüþ îôèöèàëüíî êîðîíîâàòü Âàøå [Root.GetHonorific], ïðè óñëîâèè, ÷òî Âû ïîæåðòâóåòå íåêîòîðóþ ñóììó äåíåã [From.PrimaryTitle.GetAdjective]ñêîé Öåðêâè â êà÷åñòâå äåìîíñòðàöèè ñâîåé íàáîæíîñòè.\nÂñåãäà ãîòîâ[From.GetAyaYy] ñëóæèòü Âàøåìó [Root.GetHonorificDAT],\n [From.GetTitledFirstName];;x
EVTDESCHFA20205;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] donates a sizable sum of money to the [From.Religion.GetName] Church as a show of [Root.GetHerHisCap] devotion.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;Ïðåâîñõîäíåéø[Root.GetAyaYy] [Root.GetTitledName].\nÄëÿ ìåíÿ áóäåò ÷åñòüþ îôèöèàëüíî êîðîíîâàòü Âàøå [Root.GetHonorific], ïðè óñëîâèè, ÷òî Âû ïîæåðòâóåòå íåêîòîðóþ ñóììó äåíåã [Root.GetRelAdj]ñêîé Öåðêâè â êà÷åñòâå äåìîíñòðàöèè ñâîåé íàáîæíîñòè.\nÂñåãäà ãîòîâ[From.GetAyaYy] ñëóæèòü Âàøåìó [Root.GetHonorificDAT],\n [From.GetTitledFirstName];;x
EVTDESCHFA20206;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by allowing the Holy Mother Church to initiate one of [Root.GetHerHisCap] children to the blessed life of monastic seclusion.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;Ïðåâîñõîäíåéø[Root.GetAyaYy] [Root.GetTitledName].\nÄëÿ ìåíÿ áóäåò ÷åñòüþ îôèöèàëüíî êîðîíîâàòü Âàøå [Root.GetHonorific], ïðè óñëîâèè, ÷òî â êà÷åñòâå äåìîíñòðàöèè ñâîåé íàáîæíîñòè Âû ïîçâîëèòå Ñâÿòîé Ìàòåðè Öåðêâè ïîñâÿòèòü êîãî-òî èç Âàøèõ äåòåé â äóõîâíûé ñàí.\nÂñåãäà ãîòîâ[From.GetAyaYy] ñëóæèòü Âàøåìó [Root.GetHonorificDAT],\n [From.GetTitledFirstName];;x
EVTDESCHFA20207;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by allowing one of [Root.GetHerHisCap] sons to do his part in the sacred war against the infidels by joining one of our Holy Orders.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;Ïðåâîñõîäíåéø[Root.GetAyaYy] [Root.GetTitledName].\nÄëÿ ìåíÿ áóäåò ÷åñòüþ îôèöèàëüíî êîðîíîâàòü Âàøå [Root.GetHonorific], ïðè óñëîâèè, ÷òî â êà÷åñòâå äåìîíñòðàöèè ñâîåé íàáîæíîñòè Âû ïîçâîëèòå îäíîìó èç ñâîèõ ñûíîâåé ïðèíÿòü ó÷àñòèå â ñâÿùåííîé âîéíå ïðîòèâ èíîâåðöåâ, âñòóïèâ â îäèí èç íàøèõ äóõîâíûõ îðäåíîâ.\nÂñåãäà ãîòîâ[From.GetAyaYy] ñëóæèòü Âàøåìó [Root.GetHonorificDAT],\n [From.GetTitledFirstName];;x
EVTDESCHFA20208;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by organizing a private feast in honor of an ardent servant of the Church such as I am.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;Ïðåâîñõîäíåéø[Root.GetAyaYy] [Root.GetTitledName].\nÄëÿ ìåíÿ áóäåò ÷åñòüþ îôèöèàëüíî êîðîíîâàòü Âàøå [Root.GetHonorific], ïðè óñëîâèè, ÷òî â êà÷åñòâå äåìîíñòðàöèè ñâîåé íàáîæíîñòè Âû îðãàíèçóåòå ïèð âî ñëàâó Ñâÿòîé Ìàòåðè Öåðêâè è ìåíÿ êàê ïðåäàííîãî å¸ ïðåäñòàâèòåëÿ.\nÂñåãäà ãîòîâ[From.GetAyaYy] ñëóæèòü Âàøåìó [Root.GetHonorificDAT],\n [From.GetTitledFirstName];;x
EVTDESCHFA20209;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by expanding the borders of the Bishopric of [From.Capital.GetName].\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;Ïðåâîñõîäíåéø[Root.GetAyaYy] [Root.GetTitledName].\nÄëÿ ìåíÿ áóäåò ÷åñòüþ îôèöèàëüíî êîðîíîâàòü Âàøå [Root.GetHonorific], ïðè óñëîâèè, ÷òî â êà÷åñòâå äåìîíñòðàöèè ñâîåé íàáîæíîñòè Âû ðàñøèðèòå ãðàíèöû [From.PrimaryTitle.GetAdjective]ñêîãî åïèñêîïñòâà.\nÂñåãäà ãîòîâ[From.GetAyaYy] ñëóæèòü Âàøåìó [Root.GetHonorificDAT],\n [From.GetTitledFirstName];;x
EVTDESCHFA20210;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by joining me as a pious member of the [From.Society.GetName].\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;Ïðåâîñõîäíåéø[Root.GetAyaYy] [Root.GetTitledName].\nÄëÿ ìåíÿ áóäåò ÷åñòüþ îôèöèàëüíî êîðîíîâàòü Âàøå [Root.GetHonorific], ïðè óñëîâèè, ÷òî â êà÷åñòâå äåìîíñòðàöèè ñâîåé íàáîæíîñòè Âû ïðèñîåäèíèòåñü êî ìíå, âñòóïèâ â îðäåí [From.GetSocietyNameGEN].\nÂñåãäà ãîòîâ[From.GetAyaYy] ñëóæèòü Âàøåìó [Root.GetHonorificDAT],\n [From.GetTitledFirstName];;x
EVTDESCHFA20211;To [Root.GetTitledName],\nI shall be glad to legitimize your divine right to rule, as soon as you recognize that the Church is no servant to any King or Emperor, but instead watches over the salvation of the souls of all [christian.GetGroupName]s, regardless of their stature. \n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledFirstName].\nÌû ñ ðàäîñòüþ ïðèçíàåì Âàøå çàêîííîå ïðàâî íà òðîí, åñëè Âû ñîãëàñèòåñü ñ òåì, ÷òî Öåðêîâü íå ñëóæèò íè êîðîëÿì, íå èìïåðàòîðàì, à çàáîòèòñÿ ëèøü î ñïàñåíèè âñåõ [_õðèñòèàí], íåçàâèñèìî îò èõ ïîëîæåíèÿ â îáùåñòâå.\nÑ óâàæåíèåì,\n [From.GetTitledFirstName];;x
EVTDESCHFA20212;To [Root.GetTitledName],\nI shall be glad to recognize your divine right to rule, as soon as you donate what is due to the Church. \n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledName].\nÌû ñ ðàäîñòüþ ïðèçíàåì Âàøå ñâÿùåííîå ïðàâî íà òðîí êàê òîëüêî Âû ñäåëàåòå íàäëåæàùåå ïîæåðòâîâàíèå Ñâÿòîé Öåðêâè.\nÑ óâàæåíèåì,\n [From.GetTitledFirstName];;x
EVTDESCHFA20213;To [Root.GetTitledName],\nI shall be glad to recognize your divine right to rule, as soon as you officially proclaim that it is no business of the [Root.GetTitle] to appoint members of the clergy. \n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledName].\nÌû ñ ðàäîñòüþ ïðèçíàåì Âàøå ñâÿùåííîå ïðàâî íà òðîí êàê òîëüêî Âû îôèöèàëüíî îáúÿâèòå, ÷òî íå ñòàíåòå âìåøèâàòüñÿ â íàçíà÷åíèå äóõîâíûõ ëèö.\nÑ óâàæåíèåì, \n [From.GetTitledFirstName];;x
EVTDESCHFA20214;To [Root.GetTitledName],\nI shall be glad to recognize your divine right to rule, as soon as you prove your devotion to the [From.Religion.GetName] faith by waging war against a most impious ruler whose wickedness made worthy of excommunication from Our Holy Church. \n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledName].\nÌû ñ ðàäîñòüþ ïðèçíàåì Âàøå ñâÿùåííîå ïðàâî íà òðîí êàê òîëüêî Âû äîêàæåòå ñâîþ íàáîæíîñòü, îáúÿâèâ âîéíó íå÷åñòèâîìó ïðàâèòåëþ, ÷üÿ èñïîð÷åííîñòü ïðèâåëà ê îòëó÷åíèþ îò íàøåé Ñâÿòîé Öåðêâè.\nÑ óâàæåíèåì,\n [From.GetTitledFirstName];;x
EVTDESCHFA20215;To [Root.GetTitledName],\nI shall be glad to recognize your divine right to rule, as soon as you prove your devotion to the [From.Religion.GetName] faith by deposing the most abominable false Papacy whose existence threatens the very survival of Our Church. \n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledName].\nÌû ñ ðàäîñòüþ ïðèçíàåì Âàøå ñâÿùåííîå ïðàâî íà òðîí êàê òîëüêî Âû äîêàæåòå ñâîþ íàáîæíîñòü, îêàçàâ ïîìîùü â ñâåðæåíèè ëîæíîãî ïàïñòâà, ñàìî ñóùåñòâîâàíèå êîòîðîãî óãðîæàåò íàøåé Ñâÿòîé Öåðêâè.\nÑ óâàæåíèåì,\n [From.GetTitledFirstName];;x
EVTDESCHFA20216;To [Root.GetTitledName],\nI will gladly recognize your divine right to rule, as soon as you return to the Holy See some Italian lands over which you are wrongly proclaiming ownership, a violation of the sacred agreement between Emperor Pepin and Pope Stephanus II.\n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledName].\nÌû ñ ðàäîñòüþ ïðèçíàåì Âàøå ñâÿùåííîå ïðàâî íà òðîí êàê òîëüêî Âû âåðí¸òå Ñâÿòîìó Ïðåñòîëó íåêîòîðûå èòàëüÿíñêèå çåìëè, êîòîðûå Âû íåâåðíî îáúÿâèëè ñâîèìè, â íàðóøåíèå ñâÿùåííîãî ñîãëàøåíèÿ ìåæó èìïåðàòîðîì Ïèïèíîì è ïàïîé Ñòåôàíîì II.\nÑ óâàæåíèåì,\n [From.GetTitledFirstName];;x
EVTDESCHFA20217;To [Root.GetTitledName],\nI will gladly recognize your divine right to rule, as soon as you prove your devotion to the [From.Religion.GetName] by donating land to one of the Holy Orders who so fervently defend Our Church against all the infidels and sinners who would wish it destroyed. \n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledName].\nÌû ñ ðàäîñòüþ ïðèçíàåì Âàøå ñâÿùåííîå ïðàâî íà òðîí êàê òîëüêî Âû äîêàæåòå ñâîþ íàáîæíîñòü, ïîæåðòâîâàâ çåìëþ îäíîìó èç äóõîâíûõ îðäåíîâ, êîòîðûå ñòîëü ñòðàñòíî çàùèùàþò íàøó Ñâÿòóþ Öåðêîâü îò ÿçû÷íèêîâ è èíîâåðöåâ.\nÑ óâàæåíèåì,\n [From.GetTitledFirstName];;x
EVTDESCHFA20218;It appears the Pope was not content with excommunicating me from the Church, he has now enlisted the help of [From.GetTitledFirstName] to unseat me from my very throne.;;;;;;;;;;;Ïîõîæå, Ïàïå íå äîñòàòî÷íî ïðîñòî îòëó÷èòü ìåíÿ îò Öåðêâè, òåïåðü [From.GetTitledFirstName] ïîìîãàåò [FromFrom.GetHerHim] ñìåñòèòü ìåíÿ ñ òðîíà.;;x
EVTDESCHFA20219;The road forward is clear: I must depose the corrupted [From.GetTitledFirstName] from [From.GetHerHis] throne in order to earn my crown. Only once this war has been won will I be able to continue with the preparations for my anointment.;;;;;;;;;;;Òåïåðü ÿñíî, ÷òî êîððóìïèðîâàíí[From.GetAyaYy] [From.GetTitledFirstName] äîëæ[From.GetNaEn] áûòü ñâåðãíóò[From.GetEndA] ñî ñâîåãî òðîíà, è òîãäà ÿ ïîëó÷ó êîðîíó. Ïîáåäà â âîéíå ïîçâîëèò ìíå ïðîäîëæèòü ïîäãîòîâêó ê êîðîíàöèè.;;x
EVTDESCHFA20220;With the wicked ruler having been dealt with, the Pope has finally accepted to crown me [Root.GetTitle]. It is time to sheathe our weapons and let the celebrations begin.;;;;;;;;;;;Òåïåðü, êîãäà ÿ ðàçîáðà[Root.GetLasLsya] ñ íå÷åñòèâöåì, Ïàïà îôèöèàëüíî ïîäòâåðäèë, ÷òî êîðîíóåò ìåíÿ. Íàñòàëî âðåìÿ âëîæèòü îðóæèå â íîæíû è íà÷àòü ïîäãîòîâêó ê öåðåìîíèè.;;x
EVTDESCHFA20221;To [Root.GetTitledName],\nBefore I can recognize your divine right to rule, you must deliver back under Papal control some Italian lands being currently withheld by a wicked ruler against Our wishes, a clear violation of the sacred agreement between Emperor Pepin and Pope Stephanus II.\n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledName].\nÏðåæäå ÷åì ìû ñìîæåì ïîäòâåðäèòü Âàøå ñâÿùåííîå ïðàâî íà òðîí, Âû äîëæíû âåðíóòü íåêîòîðûå èòàëüÿíñêèå çåìëè ïîä êîíòðîëü Ïàïñòâà. Â íàñòîÿùèé ìîìåíò îíè çàõâà÷åíû íå÷åñòèâöåì, êîòîðûé ïîñìåë íàðóøèòü ñîãëàøåíèå ìåæäó èìïåðàòîðîì Ïèïèíîì è ïàïîé Ñòåôàíîì II.\nÑ óâàæåíèåì,\n [From.GetTitledFirstName];;x
EVTDESCHFA20222;The [christian.GetGroupName] Pope has decided to call one of his lackeys to arms against me, in an attempt to reclaim some of the Italian lands currently under my control. [From.GetTitledName] has just declared war against me on the Pope's behalf.;;;;;;;;;;;[GetChristianGroupAdjCap]ñêèé Ïàïà ðåøèë ïðèçâàòü ê îðóæèþ îäíîãî èç ñâîèõ ïðèñïåøíèêîâ, ÷òîáû ïîïûòàòüñÿ îòíÿòü ó ìåíÿ èòàëüÿíñêèå çåìëè. [From.GetTitledFirstName] îáúÿâèë[From.GetEndA] ìíå âîéíó îò èìåíè Ïàïû.;;x
EVTDESCHFA20223;The road forward is clear: I must press the Church's claim over [From.PrimaryTitle.GetName] and restore [From.GetTitledFirstName]'s lands to Papal rule if I wish to be crowned [Root.GetTitle].;;;;;;;;;;;Âñ¸ ïðåäåëüíî ÿñíî. ß äîëæ[Root.GetNaEn] íàñòîÿòü íà ïðåòåíçèÿõ Öåðêâè è âåðíóòü [From.PrimaryTitle.GetAdjective]ñêèå çåìëè ïîä êîíòðîëü Ïàïû. Òîãäà Åãî Ñâÿòåéøåñòâî ïðîâåä¸ò öåðåìîíèþ ìîåé êîðîíàöèè.;;x
EVTDESCHFA20224;I have successfully wrestled Papal lands from infidel control and delivered them back under the blessed authority of the Holy See. Such an act has certainly ensured me a place in Heaven, or at the very least the gratitude of the Pope.;;;;;;;;;;;ß óñïåøíî âûðâàë[Root.GetEndA] Ïàïñêèå çåìëè èç ëàï èíîâåðöåâ è âåðíóë[Root.GetEndA] èõ Ñâÿòîìó Ïðåñòîëó. Ñòîëü áëàãî÷åñòèâûé ïîñòóïîê íàâåðíÿêà îáåñïå÷èë ìíå ìåñòî íà Íåáåñàõ èëè, âî âñÿêîì ñëó÷àå, áëàãîäàðíîñòü Ïàïû.;;x
EVTDESCHFA20225;To [Root.GetTitledName],\nYour request is frankly ludicrous. Emperor Constantine gave full control of the Western Empire to the Papacy when he decided to move his court to the Eastern Provinces. If you wish to have a crown, I urge you to openly submit to the Holy See.\n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledName].\nÂàøà ïðîñüáà, îòêðîâåííî ãîâîðÿ, ñìåõîòâîðíà. Èìïåðàòîð Êîíñòàíòèí ïåðåí¸ñ ñâîé äâîð â âîñòî÷íûå ïðîâèíöèè, òåì ñàìûì äàðîâàë Ïàïñòâó ïîëíûé êîíòðîëü íàä Çàïàäíîé èìïåðèåé. Åñëè Âû õîòèòå êîðîíó, ïðèçûâàþ Âàñ îòêðûòî ïîêîðèòüñÿ Ñâÿòîìó Ïðåñòîëó.\nÑ óâàæåíèåì,\n [From.GetTitledFirstName];;x
EVTDESCHFA20226;As such is the will of the Holy See, I decided to formally submit myself and my Empire to the sacred authority of the Universal Church. From now and forever more, His Holiness [FromFrom.GetTitledName] and His successors will have control over our lands, as it was intended by Emperor Constantine when he originally split the Roman Empire.;;;;;;;;;;;Ïîñêîëüêó òàêîâà âîëÿ Ñâÿòîãî Ïðåñòîëà, ÿ ðåøèë[Root.GetEndA] îôèöèàëüíî ïîä÷èíèòüñÿ ñâÿùåííîìó àâòîðèòåòó Âñåëåíñêîé Öåðêâè. Îòíûíå è íàâñåãäà Åãî Ñâÿòåéøåñòâî [FromFrom.GetTitledFirstName] è Åãî ïðååìíèêè áóäóò êîíòðîëèðîâàòü íàøè çåìëè, êàê ýòî èçíà÷àëüíî çàäóìàë èìïåðàòîð Êîíñòàíòèí, êîãäà ðàçäåëèë Ðèìñêóþ èìïåðèþ.;;x
EVTDESCHFA20230;The Holy See has seen fit to press its ancient claim over my lands, and, in [From.GetHerHis] wisdom, my liege has decided to grant him his request. As such, it appears I have now become a vassal of the Holy See.;;;;;;;;;;;Ñâÿòîé Ïðåñòîë ñ÷¸ë öåëåñîîáðàçíûì íàñòàèâàòü íà ñâî¸ì äðåâíåì ïðàâå íà ìîè çåìëè, è ì[From.GetOyaOy] [From.GetLordLady] â ñâîåé áåçãðàíè÷íîé ìóäðîñòè ðåøèë[From.GetEndA] óäîâëåòâîðèòü åãî ïðîñüáó. Ïîõîæå, ÷òî òåïåðü ÿ ñòàë[Root.GetEndA] âàññàëîì Ñâÿòîãî Ïðåñòîëà.;;x
EVTDESCHFA20232;[From.GetTitledFirstName] has died: with [From.GetHerHim] gone I must find another priest to anoint me [Root.GetTitle].;;;;;;;;;;;[From.GetTitledFirstName] óìåð[From.GetNoneE]. Ïîñëå [From.GetHersHis] ñìåðòè ÿ äîëæ[Root.GetNaEn] íàéòè êàêîãî-íèáóäü äðóãîãî ïðåäñòàâèòåëÿ äóõîâåíñòâà, êîòîðûé ñìîæåò ñîâåðøèòü îáðÿä ìîåé êîðîíàöèè.;;x
EVTDESCHFA20233;With the unexpected death of the priest meant to officiate the ceremony, it looks like [From.GetTitledFirstName] has been forced to postpone [From.GetHerHis] Coronation indefinitely.;;;;;;;;;;;Â ñâÿçè ñî ñìåðòüþ ñâÿùåííîñëóæèòåëÿ, êîòîðûé äîëæåí áûë ïðîâîäèòü öåðåìîíèþ, [From.GetTitledFirstName] âûíóæäåí[From.GetEndA] áûë[From.GetEndA] îòëîæèòü ñâîþ êîðîíàöèþ íà íåîïðåäåë¸ííûé ñðîê.;;x
EVTDESCHFA20235;To [Root.GetTitledName],\nI shall be glad to recognize your divine right to rule, but first, let us celebrate this joyous occasion with a lavish feast. \n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;Óâàæàåì[Root.GetAyaYy] [Root.GetTitledFirstName].\nß ñ óäîâîëüñòâèåì ïðèçíàþ Âàøå ñâÿùåííîå ïðàâî íà òðîí, íî â êà÷åñòâå æåñòà äîáðîâîé âîëè ïðåäëàãàþ Âàì äëÿ íà÷àëà îòìåòèòü ýòî ñîáûòèå ðîñêîøíûì ïèðîì.\n [From.GetTitledFirstName];;x
EVTDESCHFA20236;I can scarcely believe my eyes: the private feast organized by [FromFrom.GetTitledFirstName] is nothing more than a depraved orgy. All sorts of vile and shameless acts are taking place within the holy walls of [FromFrom.Capital.GetName], under the lecherous gaze of my guest.;;;;;;;;;;;ß íå âåðþ ñâîèì ãëàçàì. Ïèð, êîòîðûé îðãàíèçîâàë[FromFrom.GetEndA] [FromFrom.GetTitledFirstName], íå ÷òî èíîå, êàê ðàçâðàòíàÿ îðãèÿ. È âñå ýòè ïîðî÷íûå äåéñòâèÿ ïðîèñõîäÿò â ñâÿùåííûõ [FromFrom.Capital.County.GetAdjective]ñêèõ ñòåíàõ ïðÿìî íà ãëàçàõ ó ãîñòåé.;;x
EVTDESCHFA20237;[Root.GetPapalOrgyIntro] The [coronation_priest.GetTitle] brushes [coronation_priest.GetHerHis] tongue over my neck, whispering an incoherent prayer as [coronation_priest.GetSheHe] beckons me towards the orgy pit.;;;;;;;;;;;"[Root.GetPapalOrgyIntro] [coronation_priest.GetTitle] ïðîâåë[coronation_priest.GetEndA] ÿçûêîì ïî ìîåé øåå è ïðîøåïòàë[coronation_priest.GetEndA] ÷òî-òî íåâíÿòíîå ñëîâíî ìîëèòâó, íàìåêàÿ íà ïðîäîëæåíèå ""âåñåëüÿ"".";;x
EVTDESCHFA20238;This feast has given me much to think about the nature of [Root.Religion.GetHighGodName]. I scarcely believe any heavenly reward could match the delights that [coronation_priest.GetTitledFirstName] has introduced me to.;;;;;;;;;;;Ýòîò ïèð çàñòàâèë ìåíÿ çàäóìàòüñÿ î ïðèðîäå [Root.GetReligionHighGodGEN]. ß ñ òðóäîì ìîãó ïîâåðèòü, ÷òî êàêàÿ-ëèáî íàãðàäà íà Íåáåñàõ ìîæåò ñðàâíèòüñÿ ñ òåìè ïðåëåñòÿìè, êîòîðûå ìíå ïðåäñòàâèë[coronation_priest.GetEndA] [coronation_priest.GetTitledFirstName].;;x
