# Vanilla
alcohol_gift_decision;Send Alcohol Gift;;;;;;;;;;;Ïîäàðèòü [GetAlcoholContainerType] [From.GetAlcoholGEN];;x
celibate_mom_dec_desc;I have faced a particularly troublesome pregnancy. The next one could be lethal. Maybe it would be best to abstain rather than risk death.;;;;;;;;;;;ß ñòîëêíóëàñü ñ òÿæ¸ëîé áåðåìåííîñòüþ. Ñëåäóþùèé ñëó÷àé ìîæåò îêàçàòüñÿ ñìåðòåëüíûì. Âîçìîæíî, ëó÷øå ïðèíÿòü ìåðû, ÷åì ðèñêîâàòü æèçíüþ.;;x
come_out_of_hiding;Come out of Hiding;;;;;;;;;;;Âûéòè èç ïîäïîëüÿ;;x
come_out_of_hiding_desc;Once the threatening danger is over, I may go out of hiding and return to public life.;;;;;;;;;;;Êîãäà îïàñíîñòü ìèíîâàëà, ÿ, ìîãó ïåðåñòàòü ñêðûâàòüñÿ è âåðíóòüñÿ ê îáùåñòâåííîé æèçíè.;;x
commit_suicide;Commit Suicide;;;;;;;;;;;Ñîâåðøèòü ñàìîóáèéñòâî;;x
commit_suicide_desc;Your depression has gotten the better of you and you have decided to end it all.;;;;;;;;;;;Âàøà äåïðåññèÿ ïîãëîòèëà ëó÷øåå, ÷òî áûëî â Âàñ è Âû ðåøèëè ïîêîí÷èòü ñî âñåì ýòèì.;;x
conscript_merchant_ships;Conscript Merchant Ships;;;;;;;;;;;Ïðèâëå÷ü òîðãîâûå êîðàáëè;;x
conscript_merchant_ships_desc;With holdings overseas, my realm has a quite a bit of merchant shipping that can be conscripted in times of war - for a tidy sum of gold, of course...;;;;;;;;;;;Ðàñïîëàãàÿ âëàäåíèÿìè çà ðóáåæîì, ìîÿ äåðæàâà èìååò äîâîëüíî ìíîãî òîðãîâûõ ñóäîâ, êîòîðûå ìîãóò áûòü ïðèâëå÷åíû ê äåéñòâèÿì íà âðåìÿ âîéíû, êîíå÷íî, çà êðóãëåíüêóþ ñóììó çîëîòà...;;x
convert_to_andalusian;Embrace Andalusian Culture;;;;;;;;;;;Ïðèíÿòü àíäàëóçñêóþ êóëüòóðó;;x
convert_to_andalusian_desc;Southern Spain is a melting pot of old and new, Christian and Muslim, Iberian and Arabic. Out of all this, a new Andalusian identity is emerging. Perhaps it is time we recognized it as our own...;;;;;;;;;;;Þæíàÿ Èñïàíèÿ - ýòî ïëàâèëüíûé êîò¸ë ñòàðîãî è íîâîãî, õðèñòèàíñêîãî è ìóñóëüìàíñêîãî, èáåðèéñêîãî è àðàáñêîãî. Èç âñåãî ýòîãî ñêëàäûâàåòñÿ íîâàÿ àíäàëóçñêàÿ èäåíòè÷íîñòü. Âîçìîæíî, ïðèøëî âðåìÿ ïðèçíàòü å¸ êàê íàøó ñîáñòâåííóþ...;;x
convert_to_attacker_religion;Convert to Attacker's Religion;;;;;;;;;;;Ïðèíÿòèå ðåëèãèè çàõâàò÷èêîâ;;x
convert_to_attacker_religion_desc;We are currently under attack for religious reasons. If I accept conversion, I can end this war now and protect my people...;;;;;;;;;;;Ìû àòàêîâàíû èç-çà íàøèõ âåðîâàíèé. Åñëè ÿ ïðèìó âåðó âðàãîâ, ÿ îñòàíîâëþ ýòó âîéíó è çàùèùó ìîé íàðîä...;;x
convert_to_castilian;Embrace Castilian Culture;;;;;;;;;;;Ïðèíÿòü êàñòèëüñêóþ êóëüòóðó;;x
convert_to_castilian_desc;As local traditions evolve, many people in our realm are now identifying themselves as Castilian rather than Visigoths. We could do the same...;;;;;;;;;;;Ïî ìåðå ðàçâèòèÿ ìåñòíûõ îáû÷àåâ, ìíîãèå â íàøåé ñòðàíå òåïåðü ñ÷èòàþò ñåáÿ êàñòèëüöàìè, à íå âèçèãîòàìè. Ìû ìîãëè áû ïîñòóïèòü òàê æå...;;x
convert_to_catalan;Embrace Catalan Culture;;;;;;;;;;;Ïðèíÿòü êàòàëîíñêóþ êóëüòóðó;;x
convert_to_catalan_desc;As local traditions evolve, many people in our realm are now identifying themselves as Catalan rather than Visigoths. We could do the same...;;;;;;;;;;;Ïî ìåðå ðàçâèòèÿ ìåñòíûõ îáû÷àåâ, ìíîãèå â íàøåé ñòðàíå òåïåðü ñ÷èòàþò ñåáÿ êàòàëîíöàìè, à íå âèçèãîòàìè. Ìû ìîãëè áû ïîñòóïèòü òàê æå...;;x
convert_to_danish;Embrace Danish Culture;;;;;;;;;;;Ïðèíÿòü äàòñêóþ êóëüòóðó;;x
convert_to_danish_desc;Our brethren in Norway and Sweden are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;;;Íàøè áðàòüÿ â Íîðâåãèè è Øâåöèè ïðèíèìàþò èíîñòðàííûå îáû÷àè è âñ¸ ÷àùå ãîâîðÿò ñ àêöåíòîì. Âîçìîæíî, ïðèøëî âðåìÿ ðàçâèâàòü ñîáñòâåííóþ ñàìîáûòíóþ êóëüòóðó…;;x
convert_to_dutch;Embrace Dutch Culture;;;;;;;;;;;Ïðèíÿòü ãîëëàíäñêóþ êóëüòóðó;;x
convert_to_dutch_desc;Distinct cultural traditions are evolving in the Low Countries, with many people now calling themselves Dutch. We could embrace this change ourselves...;;;;;;;;;;;Íîâûå îáû÷àè ñòðåìèòåëüíî çàïîëíÿþò Íèæíèå çåìëè, è ìíîãèå òåïåðü ñ÷èòàþò ñåáÿ ãîëëàíäöàìè. Ìû ìîãëè áû ïðèíÿòü ýòî è èçìåíèòüñÿ...;;x
convert_to_feudalism_indep;Adopt Feudalism;;;;;;;;;;;Ïðèíÿòü ôåîäàëèçì;;x
convert_to_feudalism_indep_desc;Adopting Feudalism will convert all my Tribal Holdings into Castles. Where this occurs - if the County is big enough - City and Temple Holdings will also be created if they do not already exist. Your vassals are likely to follow suit if they are of your religion and culture.;;;;;;;;;;;Óñòàíîâëåíèå ôåîäàëüíîãî ïðàâà óòâåðäèò ïîëîæåíèå, ñîãëàñíî êîòîðîìó âñå Âàøè ïëåìåííûå âëàäåíèÿ áóäóò ñ÷èòàòüñÿ çàìêàìè. Äîñòàòî÷íî êðóïíûå ïëåìåííûå îêðóãà, íå èìåþùèå ãîðîäñêèõ è õðàìîâûõ ïîñåëåíèé, îáðåòóò èõ. Âàññàëû, ïðèíàäëåæàùèå Âàøåé ðåëèãèè è êóëüòóðå, ñêëîííû ïðèíèìàòü íîâûé ïðàâîïîðÿäîê.;;x
convert_to_feudalism_vassal;Adopt Feudalism;;;;;;;;;;;Ïðèíÿòü ôåîäàëèçì;;x
convert_to_feudalism_vassal_desc;Adopting Feudalism will convert all my Tribal Holdings into Castles. Where this occurs - if the County is big enough - City and Temple Holdings will also be created if they do not already exist. Your vassals are likely to follow suit if they are of your religion and culture.;;;;;;;;;;;Óñòàíîâëåíèå ôåîäàëüíîãî ïðàâà óòâåðäèò ïîëîæåíèå, ñîãëàñíî êîòîðîìó âñå Âàøè ïëåìåííûå âëàäåíèÿ áóäóò ñ÷èòàòüñÿ çàìêàìè. Äîñòàòî÷íî êðóïíûå ïëåìåííûå îêðóãà, íå èìåþùèå ãîðîäñêèõ è õðàìîâûõ ïîñåëåíèé, îáðåòóò èõ. Âàññàëû, ïðèíàäëåæàùèå Âàøåé ðåëèãèè è êóëüòóðå, ñêëîííû ïðèíèìàòü íîâûé ïðàâîïîðÿäîê.;;x
convert_to_french;Embrace Carolingian Renaissance;;;;;;;;;;;Ïðèíÿòü êàðîëèíãñêîå âîçðîæäåíèå;;x
convert_to_french_desc;In our Realm, latin ways and words are increasingly melding in with our Germanic heritage. This tendency is seen above all in learned texts and matters of state and religion. Perhaps we should take the step in earnest and promote this cultural change...;;;;;;;;;;;Â ïîñëåäíåå âðåìÿ, ëàòèíñêèå îáû÷àè âñ¸ ÷àùå ñëèâàþòñÿ ñ íàøèì ãåðìàíñêèì íàñëåäèåì. Ýòà òåíäåíöèÿ ïðîñëåæèâàåòñÿ ïðåæäå âñåãî â íàó÷íûõ òåêñòàõ, âîïðîñàõ ãîñóäàðñòâà è ðåëèãèè. Âîçìîæíî, íàì ñëåäóåò ñäåëàòü øàã â ýòîì íàïðàâëåíèè è ïîñîäåéñòâîâàòü êóëüòóðíûì ïåðåìåíàì...;;x
convert_to_italian;Embrace Italian Culture;;;;;;;;;;;Ïðèíÿòü èòàëüÿíñêóþ êóëüòóðó;;x
convert_to_italian_desc;More and more of our people are becoming completely latinized, adopting Italian customs and speech. Perhaps it is time we did the same...;;;;;;;;;;;Âñ¸ áîëüøå íàøèõ ëþäåé ëàòèíèçèðóþòñÿ, ïðèíèìàÿ èòàëüÿíñêèé ÿçûê è îáû÷àè. Âîçìîæíî, ïðèøëî âðåìÿ è íàì ïîñòóïèòü òàê æå...;;x
convert_to_liege_culture;Convert to Liege's Culture;;;;;;;;;;;Ïðèíÿòü êóëüòóðó ñþçåðåíà;;x
convert_to_liege_culture_desc;I am impressed with the language and customs of my liege. I wish I were like that...;;;;;;;;;;;ß âïå÷àòë¸í ÿçûêîì è îáû÷àÿìè ìîåãî ñþçåðåíà. Âîò áû ìíå òàê æå...;;x
convert_to_liege_religion;Convert to Liege's Religion;;;;;;;;;;;Ïðèíÿòü âåðó ñþçåðåíà;;x
convert_to_liege_religion_desc;I am sure my liege would be pleased if we had the same faith...;;;;;;;;;;;ß óâåðåí, ìîé ñþçåðåí áûë áû ðàä, åñëè ìû áûëè îäíîé âåðû...;;x
convert_to_norman;Embrace Norman Culture;;;;;;;;;;;Ïðèíÿòü íîðìàíñêóþ êóëüòóðó;;x
convert_to_norman_desc;The ancestral tongue is spoken by ever fewer of our people, yet the old ways are not forgotten. We are something new - they call us 'Normans'.;;;;;;;;;;;"Âñ¸ ìåíüøå íàøèõ ëþäåé ãîâîðèò íà ÿçûêå ïðåäêîâ, íî ñòàðûå îáû÷àè ìû íå îñòàâèëè. Ìû ÷òî-òî íîâîå - îíè íàçûâàþò íàñ ""íîðìàííàìè"".";;x
convert_to_norwegian;Embrace Norwegian Culture;;;;;;;;;;;Ïðèíÿòü íîðâåæñêóþ êóëüòóðó;;x
convert_to_norwegian_desc;Our brethren in Sweden and Denmark are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;;;Íàøè áðàòüÿ â Øâåöèè è Äàíèè ïðèíèìàþò èíîñòðàííûå îáû÷àè è âñ¸ ÷àùå ãîâîðÿò ñ àêöåíòîì. Âîçìîæíî, ïðèøëî âðåìÿ ðàçâèâàòü ñîáñòâåííóþ ñàìîáûòíóþ êóëüòóðó…;;x
convert_to_occitan;Embrace Occitan Culture;;;;;;;;;;;Ïðèíÿòü îêñèòàíñêóþ êóëüòóðó;;x
convert_to_occitan_desc;Under the influence of Latin culture, many people in our realm are now adopting Occitan traditions, no longer identifying themselves as Visigoths. We could do the same...;;;;;;;;;;;Ïîä âëèÿíèåì ëàòèíñêîé êóëüòóðû, ìíîãèå æèòåëè íàøåé ñòðàíû ïðèíèìàþò îêñèòàíñêèå îáû÷àè, çàáûâàÿ î òîì, ÷òî îíè - âèçèãîòû. Ìû ìîãëè áû ïîñòóïèòü òàê æå...;;x
convert_to_parent_religion;Abandon Heresy;;;;;;;;;;;Îòâåðãíóòü åðåñü;;x
convert_to_parent_religion_desc;I will rejoin the one true faith.;;;;;;;;;;;ß æåëàþ ïðèíÿòü åäèíñòâåííî èñòèííóþ âåðó.;;x
convert_to_portuguese;Embrace Portugese Culture;;;;;;;;;;;Ïðèíÿòü ïîðòóãàëüñêóþ êóëüòóðó;;x
convert_to_portuguese_desc;As local traditions evolve, many people in our realm are now identifying themselves as Portuguese. We could do the same...;;;;;;;;;;;Ïî ìåðå ðàçâèòèÿ ìåñòíûõ îáû÷àåâ, ìíîãèå â íàøåé ñòðàíå òåïåðü ñ÷èòàþò ñåáÿ ïîðòóãàëüöàìè. Ìû ìîãëè áû ïîñòóïèòü òàê æå...;;x
convert_to_reformed;Convert to Reformed;;;;;;;;;;;Îáðàòèòüñÿ â ðåôîðìèðîâàííóþ âåðó;;x
convert_to_reformed_desc;I can choose to embrace the Reformed form of the old faith - perhaps better late than never...;;;;;;;;;;;ß ìîãó âûáðàòü ðåôîðìèðîâàííûé âàðèàíò Ñòàðîé Âåðû - âîçìîæíî, ëó÷øå ïîçäíî, ÷åì íèêîãäà.;;x
convert_to_republic_indep;Found Merchant Republic;;;;;;;;;;;Îñíîâàòü òîðãîâóþ ðåñïóáëèêó;;x
convert_to_republic_indep_desc;Founding a Merchant Republic will convert all my Tribal Holdings into Cities. Where this occurs - if the County is big enough - Castle and Temple Holdings will also be created if they do not already exist. Four suitable vassals will found Patrician families.;;;;;;;;;;;Óñòàíîâëåíèå ðåñïóáëèêàíñêîãî ïðàâà óòâåðäèò ïîëîæåíèå, ñîãëàñíî êîòîðîìó âñå Âàøè ïëåìåííûå âëàäåíèÿ áóäóò ñ÷èòàòüñÿ ãîðîäàìè. Äîñòàòî÷íî êðóïíûå ïëåìåííûå îêðóãà, íå èìåþùèå çàìêîâ è õðàìîâ, îáðåòóò èõ. ×åòâåðî èç ñàìûõ çíàòíûõ âàññàëîâ ñòàíóò îñíîâàòåëÿìè íîâûõ êóïå÷åñêèõ äèíàñòèé.;;x
convert_to_russian;Embrace Russian Culture;;;;;;;;;;;Ïðèíÿòü ðóññêóþ êóëüòóðó;;x
convert_to_russian_desc;Many of our subjects are adopting new ways and traditions brought in by foreigners, integrating them with local customs. Perhaps we should do the same...;;;;;;;;;;;Ìíîãèå â íàøèõ çåìëÿõ âíåäðÿþò íîâûå ïóòè è òðàäèöèè, ïðèíåñ¸ííûå ÷óæåñòðàíöàìè, âêëþ÷àÿ èõ â ìåñòíûå îáû÷àÿìè. Âîçìîæíî, è íàì ñëåäóåò ñäåëàòü òî æå ñàìîå...;;x
convert_to_scottish;Embrace Scottish Culture;;;;;;;;;;;Ïðèíÿòü øîòëàíäñêóþ êóëüòóðó;;x
convert_to_scottish_desc;Many of our subjects are adopting new ways and traditions brought in by foreigners, integrating them with local customs. Perhaps we should do the same...;;;;;;;;;;;Ìíîãèå â íàøèõ çåìëÿõ âíåäðÿþò íîâûå ïóòè è òðàäèöèè, ïðèíåñåííûå ÷óæåñòðàíöàìè, âêëþ÷àÿ èõ â ìåñòíûå îáû÷àÿìè. Âîçìîæíî, è íàì ñëåäóåò ñäåëàòü òî æå ñàìîå...;;x
convert_to_swedish;Embrace Swedish Culture;;;;;;;;;;;Ïðèíÿòü øâåäñêóþ êóëüòóðó;;x
convert_to_swedish_desc;Our brethren in Norway and Denmark are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;;;Íàøè áðàòüÿ â Íîðâåãèè è Äàíèè ïðèíèìàþò èíîñòðàííûå îáû÷àè è âñ¸ ÷àùå ãîâîðÿò ñ àêöåíòîì. Âîçìîæíî, ïðèøëî âðåìÿ ðàçâèâàòü ñîáñòâåííóþ ñàìîáûòíóþ êóëüòóðó…;;x
convert_tribal_to_castle;Upgrade to Castle;;;;;;;;;;;Ïîñòðîèòü çàìîê;;x
convert_tribal_to_castle_desc;I can upgrade [Root.GetFullName] to a proper Castle. If it is the County capital and the County is big enough, City and Temple Holdings will also be created if they do not already exist.;;;;;;;;;;;[Root.GetFullName] ìîæåò ïîñëóæèòü îñíîâîé äëÿ çàìêà. Åñëè ýòî ïîñåëåíèå - ñòîëèöà äîñòàòî÷íî êðóïíîãî îêðóãà, íå ñîäåðæàùåãî ãîðîäîâ è õðàìîâ, â ýòîì îêðóãå áóäóò îñíîâàíû õðàìîâûå è ãîðîäñêèå ïîñåëåíèÿ.;;x
convert_tribal_to_castle_named;Upgrade [Root.GetName] to a Castle;;;;;;;;;;;Ïîñòðîèòü çàìîê [This.GetBaseName];;x
convert_tribal_to_city;Upgrade to City;;;;;;;;;;;Îñíîâàòü ãîðîä;;x
convert_tribal_to_city_desc;I can upgrade [Root.GetFullName] to a proper City. If it is the County capital and the County is big enough, Castle and Temple Holdings will also be created if they do not already exist.;;;;;;;;;;;[Root.GetFullName] ìîæåò ïîñëóæèòü îñíîâîé äëÿ ãîðîäà. Åñëè ýòî ïîñåëåíèå - ñòîëèöà äîñòàòî÷íî êðóïíîãî îêðóãà, íå ñîäåðæàùåãî çàìêîâ è õðàìîâ, â ýòîì îêðóãå áóäóò îñíîâàíû ôåîäàëüíûå è ãîðîäñêèå ïîñåëåíèÿ.;;x
convert_tribal_to_city_named;Upgrade [Root.GetName] to a City;;;;;;;;;;;Îñíîâàòü ãîðîä [This.GetBaseName];;x
court_exodus;Ask Courtiers to Leave Court;;;;;;;;;;;Ïîïðîñèòü ïðèäâîðíûõ ïîêèíóòü äâîð;;x
court_exodus_desc;Your court is feeling very crowded. With a small monetary encouragement some of the less influential courtiers could be encouraged to leave court.;;;;;;;;;;;Ïðè íåáîëüøîì äåíåæíîì ïîîùðåíèè íåêîòîðûå èç ìåíåå âëèÿòåëüíûõ ïðèäâîðíûõ ìîãóò ñîãëàñèòüñÿ ïîêèíóòü Âàø äâîð.;;x
create_aragon;Create Aragon;;;;;;;;;;;Ñîçäàòü Àðàãîí;;x
create_aragon_desc;I can begin a new era in these lands by founding the Kingdom of Aragon.;;;;;;;;;;;ß ìîãó îñíîâàòü êîðîëåâñòâî Àðàãîí è äàòü íà÷àëî íîâîé ýðå äëÿ ýòèõ çåìåëü.;;x
create_bosnia;Create Kingdom of Bosnia;;;;;;;;;;;Ñîçäàòü Êîðîëåâñòâî Áîñíèÿ;;x
create_bosnia_desc;For centuries Bosnia has been the battle ground between West and East. No more. It is time for the lords of a united Bosnia to announce their defiance of the regional powers and proclaim themselves as Kings of Bosnia and the Hum at last.;;;;;;;;;;;Íà ïðîòÿæåíèè âåêîâ Áîñíèÿ áûëà ìåñòîì áèòâû ìåæäó Çàïàäîì è Âîñòîêîì, è áîëüøå íè÷åì. Ïðèøëî âðåìÿ äëÿ ëîðäîâ îáúåäèí¸ííîé Áîñíèè çàÿâèòü î ñâî¸ì íåïîâèíîâåíèè ðåãèîíàëüíûì ñèëàì, ïðîâîçãëàñèâ ñåáÿ êîðîëÿìè Áîñíèè è Õóìà.;;x
create_castille;Create Castille;;;;;;;;;;;Ñîçäàòü Êàñòèëèþ;;x
create_castille_desc;I can begin a new era in these lands by founding the Kingdom of Castille.;;;;;;;;;;;ß ìîãó îñíîâàòü êîðîëåâñòâî Êàñòèëèþ è äàòü íà÷àëî íîâîé ýðå äëÿ ýòèõ çåìåëü.;;x
create_portugal;Create Portugal;;;;;;;;;;;Ñîçäàòü Ïîðòóãàëèþ;;x
create_portugal_desc;I can begin a new era in these lands by founding the Kingdom of Portugal.;;;;;;;;;;;ß ìîãó îñíîâàòü êîðîëåâñòâî Ïîðòóãàëèÿ è äàòü íà÷àëî íîâîé ýðå äëÿ ýòèõ çåìåëü.;;x
create_russian_empire;Create the Empire of Russia;;;;;;;;;;;Îñíîâàòü [Root.GetRussiaFullNameACC];;x
create_russian_empire_desc;Holding the Empire of Rus is not enough – some are starting to think that 'the Empire of Russia' has a better ring to it...;;;;;;;;;;;Ïðàâèòü çåìëÿìè Ðóñè íå äîñòàòî÷íî - íåêîòîðûå ãîâîðÿò, ÷òî [Root.GetRussiaFullName] áîëüøå ñîîòâåòñòâóåò íàøèì èíòåðåñàì.;;x
destroy_artifact_desc;§Y[From.GetName]§! is §Rdestroyed§! and §Yremoved§! from §Y[This.GetBestName]§!'s §YTreasury§!.;;;;;;;;;;;Àðòåôàêò §Y[From.GetName]§! áóäåò §Róíè÷òîæåí§! è §Yóäàë¸í§! èç §Yñîêðîâèùíèöû§!, êîòîðîé âëàäååò §Y[This.GetBestName]§!.;;x
drink_from_fountain_of_youth;Drink from the Fountain of Youth;;;;;;;;;;;Èñïèòü èç Ôîíòàíà Þíîñòè;;x
drink_from_fountain_of_youth_desc;The life-giving waters of the fountain are said to be able to wash away the effects of aging in anyone who drinks it.;;;;;;;;;;;Ãîâîðÿò, æèâèòåëüíûå âîäû ýòîãî ôîíòàíà ñïîñîáíû ñìûòü ïîñëåäñòâèÿ ñòàðåíèÿ ëþáîãî, êòî èõ ïü¸ò.;;x
empire_of_bulgaria_decision;Form the Empire of [e_bulgaria.GetName];;;;;;;;;;;Îñíîâàòü [e_bulgaria.GetAdjective]ñêóþ èìïåðèþ;;x
empire_of_bulgaria_decision_desc;Our realm stretches far beyond the capabilities and strength of normal kingdoms. It is time for our realm to be known as the Empire of [e_bulgaria.GetName].;;;;;;;;;;;Ðàçìåðû íàøåé ñòðàíû ïðîñòèðàþòñÿ äàëåêî çà ïðåäåëû îáû÷íûõ ãîñóäàðñòâ. Ïîðà ïðîâîçãëàñèòü å¸ íîâîé èìïåðèåé.;;x
employ_priest;Invite Holy Man to Court;;;;;;;;;;;Ïðèãëàñèòü ñâÿùåííèêà;;x
employ_priest_desc;Scour the land for a holy man to join my court and advise me on religious matters.;;;;;;;;;;;Îòûñêàòü ñâÿùåííèêà, ÷òîáû îí ïðèñîåäèíèëñÿ ê Âàøåìó äâîðó è äàâàë ñîâåòû ïî ðåëèãèîçíûì âîïðîñàì.;;x
employ_soldier;Promote Commander;;;;;;;;;;;Íîâûé ïîëêîâîäåö;;x
employ_soldier_desc;Promote a soldier from the ranks of your army to lead the troops on the battlefield.;;;;;;;;;;;Íàéòè ñðåäè ñîëäàò Âàøåé àðìèè òîãî, êòî áû ìîã êîìàíäîâàòü âîéñêàìè.;;x
employ_steward;Invite Noble to Court;;;;;;;;;;;Ïðèãëàñèòü äâîðÿíèíà;;x
employ_steward_desc;Invite a promising nobleman to court, to aid with matters of administration.;;;;;;;;;;;Ïðèãëàñèòü ìîëîäîãî è ïåðñïåêòèâíîãî äâîðÿíèíà, ÷òîáû îí ïîìîã Âàì â óïðàâëåíèè äåðæàâîé.;;x
establishing_habsburg;Establish Castle Habsburg;;;;;;;;;;;Ïîñòðîèòü çàìîê Ãàáñáóðã;;x
establishing_habsburg_desc;We know just the location where we could raise a new castle, in the province of [c_basel.GetName]. It will be the pride of our family, and we will name ourselves after it and be known as the von Habsburg dynasty.;;;;;;;;;;;Åñòü ïðåêðàñíîå ìåñòî, ãäå ìû ìîãëè áû âîçäâèãíóòü íîâûé çàìîê - ýòî [c_aargau.GetBaseName]. Îí ñòàíåò ãîðäîñòüþ íàøåé ñåìüè. Ìû íàçîâåì ñâîþ äèíàñòèþ â ÷åñòü íåãî.;;x
faction_antiking_ultimatum;Demand the Throne;;;;;;;;;;;Ïîòðåáîâàòü òðîí;;x
faction_antiking_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the throne, the overthrow of antipopes and the institution of Papal Investiture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;§Y[Root.Liege.GetBestName]§! ïîëó÷èò óëüòèìàòóì, òðåáóþùèé îòðå÷åíèÿ îò ïðåñòîëà, ñâåðæåíèÿ àíòèïàïû è ïðèíÿòèÿ çàêîíà î ïàïñêîé èíâåñòèòóðå. Åñëè [Root.Liege.GetSubjectPronoun] îòêàæåòñÿ, Âàøà ôðàêöèÿ ïîäíèìåò âîññòàíèå.;;x
faction_claimant_ultimatum;Demand Installation of Claimant;;;;;;;;;;;Òðåáîâàíèå êîðîíîâàíèÿ ïðåòåíäåíòà.;;x
faction_claimant_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the installation of §Y[Root.SupportedClaimant.GetBestName]§! on the throne of §Y[Root.SupportedClaimantTitle.GetName]§!. If [Root.Liege.GetSubjectPronoun] refuses to comply, the Faction will rise in revolt.;;;;;;;;;;;"Ïîñëàòü óëüòèìàòóì ñþçåðåíó (§Y[Root.Liege.GetBestName]§!), ñ òðåáîâàíèåì êîðîíîâàòü ïðåòåíäåíòà (§Y[Root.SupportedClaimant.GetBestName]§!) íà òèòóë ""§Y[Root.SupportedClaimantTitle.GetName]§!"". Åñëè [Root.Liege.GetSubjectPronoun] îòêàæåò, òî Âàøà ôðàêöèÿ âîññòàíåò.";;x
faction_increase_council_power_ultimatum;Demand Increased Council Power;;;;;;;;;;;Ïîòðåáîâàòü óñèëåíèÿ ñîâåòà;;x
faction_increase_council_power_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding increased power for the Council. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;§Y[Root.Liege.GetBestName]§! ïîëó÷èò óëüòèìàòóì ñ òðåáîâàíèåì ðàñøèðèòü ïîëíîìî÷èÿ ñîâåòà. Åñëè [Root.Liege.GetSubjectPronoun] îòêàæåòñÿ, Âàøà ôðàêöèÿ ïîäíèìåò ìÿòåæ.;;x
