EVTNAME_SoA_101;The Third Temple;;;;;;;;;;;Tðåòèé Õðàì;;x
EVTDESC_SoA_201;A learned [jewish.GetName] man has appeared at your court. He comes highly recommended in the arts of bookkeeping and administration. Already he has suggested several ways of improving the bureaucratic efficiency of the realm, and he could potentially make a fine steward.;;;;;;;;;;;Îáðàçîâàííûé [_åâðåé], èçâåñòíûé ñâîèìè íàâûêàìè âåäåíèÿ áóõãàëòåðñêîãî ó÷¸òà è óïðàâëåíèÿ õîçÿéñòâîì, ïîÿâèëñÿ ïðè Âàøåì äâîðå. Îí óæå ïðåäëîæèë íåñêîëüêî ñïîñîáîâ ïîâûøåíèÿ õîçÿéñòâåííîé ýôôåêòèâíîñòè ñòðàíû, è ìîã áû ñòàòü õîðîøèì óïðàâëÿþùèì.;;x
EVTDESC_SoA_202;A mysterious [jewish.GetName] man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;;;Òàèíñòâåííûé [_åâðåé] ïðåäëîæèë ñâîè óñëóãè Âàøåìó äâîðó. Îí õîðîøî ðàçáèðàåòñÿ â äâîðöîâûõ èíòðèãàõ, à â ïðîøëîì áûë íà¸ìíèêîì è øïèîíîì. Åñëè îí äîñòîèí äîâåðèÿ, ìîæåò îêàçàòüñÿ íåçàìåíèìûì â Âàøåì ñîâåòå...;;x
EVTDESC_SoA_300;The sudden expulsion of several important [jewish.GetName] merchants has done some damage to the economy of your realm. It would seem they played a bigger role in the economic development of [Root.Capital.GetName] than your advisors gave them credit for.;;;;;;;;;;;Âíåçàïíîå èçãíàíèå âàæíûõ [_åâðåé]ñêèõ êóïöîâ íàíåñëî ñåðü¸çíûé óùåðá ýêîíîìèêå ñòðàíû. Îêàçàëîñü, ÷òî îíè èãðàëè áîëåå âàæíóþ ðîëü â ðàçâèòèè [Root.Capital.County.GetAdjective]ñêîé ýêîíîìèêè, ÷åì Âàøè ñîâåòíèêè èì ïðèïèñûâàëè.;;x
EVTDESC_SoA_301;Several of the largest patrons of culture in [Root.Capital.GetName] were apparently [jewish.GetName], something your advisors were ignorant of. Since the expulsion of the [GetJewryName], cultural life all across the realm has suffered.;;;;;;;;;;;Íåñêîëüêî êðóïíåéøèõ ïîêðîâèòåëåé [Root.Capital.County.GetAdjective]ñêîé êóëüòóðû î÷åâèäíî áûëè [GetJewsNameINS], ÷åãî íå çíàëè Âàøè ñîâåòíèêè. È òåïåðü, ñ èçãíàíèåì [GetJewsNameGENACC], ïîñòðàäàëà êóëüòóðíàÿ æèçíü ñòðàíû.;;x
EVTDESC_SoA_302;It would appear that the military of your realm was more dependent on the efforts of [jewish.GetName] men than previously thought. Since the expulsion of the [GetJewryName], several important administrative posts remain vacant and there simply aren't enough qualified men to fill them.;;;;;;;;;;;Ïîõîæå, ÷òî âîåííûå óñïåõè Âàøåé ñòðàíû áîëüøå çàâèñåëè îò [GetJewsNameGENACC], ÷åì ñ÷èòàëîñü ðàíüøå. Ñ èçãíàíèåì [GetJewsNameGENACC], íåñêîëüêî âàæíûõ àäìèíèñòðàòèâíûõ äîëæíîñòåé îñòàëèñü âàêàíòíûìè è ïîïðîñòó íåò äîñòàòî÷íîãî êîëè÷åñòâà êâàëèôèöèðîâàííûõ êàäðîâ, ÷òîáû èõ çàíÿòü.;;x
EVTDESC_SoA_500;More than 2,000 years ago, God aided the Children of Israel in their escape from slavery by inflicting ten plagues upon ancient Egypt. The last of these saw a spirit of the Lord slay every first-born in Egypt, but 'pass over' Jewish homes marked with the blood of a slaughtered lamb. This festival celebrates the return of freedom to the enslaved Jewish people.;;;;;;;;;;;"Áîëåå 2000 ëåò íàçàä Áîã ïîìîã íàðîäó Èçðàèëÿ èçáåæàòü ðàáñòâà, îáðóøèâ äåñÿòü êàçíåé íà Åãèïåò. Ïîñëåäíÿÿ èç ýòèõ êàçíåé - ãèáåëü âñåõ ïåðâåíöåâ Åãèïòà çà èñêëþ÷åíèåì òåõ, ÷òî áûëè â äîìàõ åâðååâ, îòìå÷åííûõ êðîâüþ ÿãí¸íêà, ó êîòîðûõ ñìåðòü ""ïðîøëà ìèìî"". Ýòîò ïðàçäíèê îòìå÷àåò âîçâðàùåíèå ñâîáîäû êîãäà-òî ïîðàáîù¸ííîãî åâðåéñêîãî íàðîäà.";;x
EVTDESC_SoA_501;You have been invited to join your liege, [From.GetTitledFirstName], at the Passover Seder [From.GetSheHe] is hosting this year. This ritual dinner is held on the first night of Passover and involves the retelling of the Exodus from Egypt.;;;;;;;;;;;Âàø ñþçåðåí, [From.GetTitledFirstName], ïðèãëàøàåò Âàñ íà ïàñõàëüíûé Ñåäåð. Ñâÿùåííûé óæèí ïðîâîäèòñÿ â ïåðâóþ íî÷ü Ïåñàõà è âêëþ÷àåò â ñåáÿ ïåðåñêàçûâàíèå èñòîðèé Èñõîäà èç Åãèïòà.;;x
EVTDESC_SoA_502;[From.GetTitledFirstName] has refused your invitation to the Passover Seder, claiming [From.GetSheHe] has other plans.;;;;;;;;;;;[From.GetTitledFirstName] îòêëîíÿåò Âàøå ïðèãëàøåíèå íà ïàñõàëüíûé Ñåäåð, óòâåðæäàÿ, ÷òî ó í[From.GetHersHis] äðóãèå ïëàíû.;;x
EVTDESC_SoA_503;The seder dinner has begun, as is traditional on the first night of the Passover. Matzo flatbread is consumed in liberal amounts together with bitter maror herbs. Everyone is required to drink four cups of wine, each at a specific point during the seder, as the story of the Exodus from Egypt is retold and discussed.;;;;;;;;;;;Ñåäåð íà÷àëñÿ, êàê è ïîëàãàåòñÿ, â ïåðâóþ íî÷ü Ïåñàõà. Îáû÷àé ïðåäïèñûâàåò óïîòðåáëåíèå ìàöû è òðàâû ìàðîð. Êàæäûé äîëæåí âûïèòü ÷åòûðå êóáêà âèíà â îïðåäåëåííûå ìîìåíòû, ïîêà èä¸ò ðàññêàç è îáñóæäåíèå èñòîðèé Èñõîäà èç Åãèïòà.;;x
EVTDESC_SoA_504;The seder lasts well into the night, but all good things must end. Your vassals return home to celebrate the rest of Passover, but most seem to agree that your seder dinner was well worth the trip.;;;;;;;;;;;Ñåäåð äëèòñÿ äî ïîçäíåé íî÷è, íî âñ¸ õîðîøåå êîãäà-íèáóäü êîí÷àåòñÿ. Âàøè âàññàëû âåðíóòñÿ äîìîé, ÷òîáû îòïðàçäíîâàòü îñòàâøóþñÿ ÷àñòü Ïåñàõà. Áîëüøèíñòâî èç íèõ, ïîõîæå, ñîãëàñíû, ÷òî Âàø óæèí áûë õîðîø è ñòîèë ïîåçäêè.;;x
EVTDESC_SoA_505;The seder lasts well into the night, but all good things must end. You return home to celebrate the rest of Passover, but you and most of the other guests seem to agree that the seder dinner was well worth the trip.;;;;;;;;;;;Ñåäåð äëèòñÿ äî ïîçäíåé íî÷è, íî âñ¸ õîðîøåå êîãäà-íèáóäü êîí÷àåòñÿ. Âû âîçâðàùàåòåñü äîìîé, ÷òîáû ïðîäîëæèòü ïðàçäíèê, è, êàê è ìíîãèå äðóãèå ãîñòè, ñîãëàñíû ñ òåì, ÷òî óæèí óäàëñÿ íà ñëàâó è ïîåçäêà òîãî ñòîèëà.;;x
EVTDESC_SoA_550;There has not been a Kohen Gadol – a High Priest of Judaism – since the Romans destroyed the Second Temple roughly a thousand years ago. At long last, this position has been filled and the High Priesthood reconstituted.\n\nLike the Jewish priests of ancient times, the Kohen Gadol was traditionally required to be a descendant of Aaron, the older brother of Moses. Due to a lack of suitable candidates this requirement has been waived, but the new High Priest still enjoys the respect of the Jewish religious communities, and the Priesthood has moved into and established itself at the Third Temple.;;;;;;;;;;;Ñ òåõ ïîð, êàê ðèìëÿíå ðàçðóøèëè Âòîðîé Õðàì òûñÿ÷ó ëåò íàçàä, èóäåéñêèé Ïåðâîñâÿùåííèê - Êîýí Ãàäîëü - ñòàë ëèøü èñòîðèåé. Íî ïðèøëî âðåìÿ, è Ïåðâîñâÿùåíñòâî âîññòàíîâëåíî âíîâü.\nÊàê è â äðåâíèå âðåìåíà, Êîýí Ãàäîëü ïî òðàäèöèè äîëæåí áûòü ïîòîìêîì Ààðîíà, ñòàðøåãî áðàòà Ìîèñåÿ, íî â ñâÿçè ñ îòñóòñòâèåì ïîäõîäÿùèõ êàíäèäàòîâ, òðåáîâàíèå áûëî îòìåíåíî. Òåì íå ìåíåå, íîâûé Ïåðâîñâÿùåííèê ïîëüçóåòñÿ óâàæåíèåì èóäåéñêèõ îáùèí è òåïåðü ïðåáûâàåò â Òðåòüåì Õðàìå.;;x
EVTDESC_SoA_561;The realm has benefitted from the vast network of contacts that [From.GetTitledName], your Jewish [Root.GetMyChancellorName], has fostered abroad. Somehow [From.GetSheHe] always manages to keep up to date on new customs and the latest diplomatic developments.;;;;;;;;;;;Ñòðàíà èçâëåêëà ïîëüçó èç îáøèðíîé ñåòè êîíòàêòîâ, êîòîðóþ [From.GetTitledName], Âàø åâðåéñêèé [Root.GetMyChancellorName], ðàçâèâàåò çà ãðàíèöåé. Êàêèì-òî îáðàçîì [From.GetHerHim] âñåãäà óäà¸òñÿ áûòü â êóðñå íîâûõ ïîðÿäêîâ è ïîñëåäíèõ äèïëîìàòè÷åñêèõ ñîáûòèé.;;x
EVTDESC_SoA_563;[From.GetTitledName], your [Root.GetMyTreasurerName], has several contacts among the Radhanites. This Jewish merchant network supposedly stretches across the entirety of the known world, from Western Europe all the way to distant Cathay, and these contacts have been a great boon to the development of the realm's economy.;;;;;;;;;;;[From.GetTitledName], Âàø [Root.GetMyTreasurerName], äåðæèò ñâÿçü ñ ðàäàíèòàìè. Ýòà åâðåéñêàÿ òîðãîâàÿ ñåòü ïðåäïîëîæèòåëüíî îõâàòûâàåò âåñü èçâåñòíûé ìèð, îò Çàïàäíîé Åâðîïû äî äàëåêîãî Êèòàÿ. Êîíòàêòû ñ íèìè ñòàëè áîëüøèì áëàãîì äëÿ ðàçâèòèÿ ýêîíîìèêè ñòðàíû.;;x
EVTDESC_SoA_565;Your [Root.GetMySpymasterName], [From.GetTitledName], seems to have friends and informants inside every Jewish community in Europe. Messenger pigeons arrive at [From.GetHerHis] abode on a daily basis, often carrying vital intelligence from abroad about new weapons and tactics.;;;;;;;;;;;Ïîõîæå, ÷òî Âàø [Root.GetMySpymasterName], [From.GetTitledName], äåðæèò èíôîðìàòîðîâ â êàæäîé åâðåéñêîé îáùèíå Åâðîïû. Ïî÷òîâûå ãîëóáè êàæäûé äåíü ïðèáûâàþò ê í[From.GetHerHim], ÷àñòî äîñòàâëÿÿ öåííûå èíîñòðàííûå ñâåäåíèÿ î íîâîì âîîðóæåíèè è òàêòèêå.;;x
EVTDESC_SoA_566;It's time to rescind that old and absurd decree banning Jews from the realm.;;;;;;;;;;;Ïîðà îòìåíèòü ñòàðûé è àáñóðäíûé çàêîí, çàïðåùàþùèé åâðåÿì æèòü â íàøåé ñòðàíå.;;x
EVTOPTA_SoA_100;Our people need but wait a little longer.;;;;;;;;;;;Îñòàëîñü æäàòü ñîâñåì íåäîëãî.;;x
EVTOPTA_SoA_101;It is beautiful.;;;;;;;;;;;Îí ïðåêðàñåí.;;x
EVTOPTA_SoA_102;Long live Israel!;;;;;;;;;;;Äà çäðàâñòâóåò Èçðàèëü!;;x
EVTOPTA_SoA_105;It shall go to the Crown.;;;;;;;;;;;Îíî äîëæíî áûòü ïåðåäàíî Êîðîíå.;;x
EVTOPTA_SoA_106;Mistakes were made. Let us not dwell on them.;;;;;;;;;;;Ìû îøèáàëèñü. Äàâàéòå íå áóäåì çàîñòðÿòü âíèìàíèå íà ýòîì.;;x
EVTOPTA_SoA_200;Indeed?;;;;;;;;;;;×òî, ïðàâäà?;;x
EVTOPTA_SoA_300;Fools!;;;;;;;;;;;Ãëóïöû!;;x
EVTOPTA_SoA_301;Who needs culture?;;;;;;;;;;;Äà êîìó íóæíà ýòà êóëüòóðà?;;x
EVTOPTA_SoA_302;Must I do everything myself?;;;;;;;;;;;Òåïåðü âñ¸ äåëàòü ñàìîñòîÿòåëüíî?;;x
EVTOPTA_SoA_500;Send the invitations.;;;;;;;;;;;Ðàçîñëàòü ïðèãëàøåíèÿ.;;x
EVTOPTA_SoA_501;How kind!;;;;;;;;;;;Êàê ëþáåçíî ñ [From.GetHersHis] ñòîðîíû!;;x
EVTOPTA_SoA_503;Pass the matzo, please.;;;;;;;;;;;Ïåðåäàéòå ìàöó, ïîæàëóéñòà.;;x
EVTOPTA_SoA_504;Next year in Jerusalem!;;;;;;;;;;;Â áóäóùåì ãîäó â Èåðóñàëèìå!;;x
EVTOPTA_SoA_550;Long live the Kohen Gadol!;;;;;;;;;;;Äà çäðàâñòâóåò Êîýí Ãàäîëü!;;x
EVTOPTA_SoA_561;Excellent work.;;;;;;;;;;;Îòëè÷íàÿ ðàáîòà.;;x
EVTOPTA_SoA_566;Let such injustices be consigned to history.;;;;;;;;;;;Îñòàâèì ýòî íà ñîâåñòü èñòîðèè.;;x
EVTOPTB_SoA_107;Alas, this means my loan cannot be repaid...;;;;;;;;;;;Óâû, ýòî çíà÷èò, ÿ íå ñìîãó âåðíóòü äîëãè...;;x
EVTOPTB_SoA_501;Unfortunately, I have other plans.;;;;;;;;;;;Ê ñîæàëåíèþ, ó ìåíÿ äðóãèå ïëàíû.;;x
EVTTOOLTIP_SoA_102;The Kingdom of Israel is reborn.;;;;;;;;;;;Öàðñòâî Èçðàèëü âîçðîäèëîñü.;;x
EVTTOOLTIP_SoA_501;Invitations to the Passover Seder dinner are sent.;;;;;;;;;;;Ïðèãëàøåíèÿ íà ïàñõàëüíûé Ñåäåð îòïðàâëåíû.;;x
