EVTTITLE_WoL_5001;The White [Root.GetHuntingQuarryCap];;;;;;;;;;;Áåëûé [Root.GetHuntingQuarryCap];;x
EVTDESC_WoL_5055;You spend weeks in the wilderness searching for any trace of your prey, but are forced to return emptyhanded. You are sure that no one's impressed by your failed adventure.;;;;;;;;;;;Âû ïðîâåëè íåäåëè â äèêîé ìåñòíîñòè â ïîïûòêàõ íàéòè õîòü êàêèå-òî ñëåäû ñâîåé æåðòâû, íî âñ¸ òùåòíî. Âàì ïðèøëîñü âåðíóòüñÿ ñ ïóñòûìè ðóêàìè. Îêðóæàþùèå íåñîìíåííî çàïîìíÿò ýòîò ïðîâàë.;;x
EVTDESC_WoL_5060;Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, an old crone opens. When she sees you and your hunting party, she cackles eerily and says that she has a powerful potion that will make you a stronger hunter, sure to catch any prey.;;;;;;;;;;;Â áåñïëîäíûõ ïîïûòêàõ íàéòè ñëåäû ñâîåé äîáû÷è, Âû îáíàðóæèëè â çàðîñëÿõ ìàëåíüêóþ õèæèíó. Â îòâåò íà ñòóê, äâåðü îòêðûëà êàêàÿ-òî ñòàðóõà. Ïðè âèäå Âàøåãî îòðÿäà, îíà æóòêî çàõèõèêàëà è ïðåäëîæèëà âîñïîëüçîâàòüñÿ çåëüåì, êîòîðîå ñäåëàåò Âàñ óñïåøíûì îõîòíèêîì.;;x
EVTDESC_WoL_5061_bad;You drink the potion down. Soon, you start to feel all queasy, and then you pass out. As you awake, you have a strong headache and no desire to continue your hunting expedition. The old crone has disappeared, your guards don't seem to know how or where to.;;;;;;;;;;;Âûïèâ çåëüå, Âû ÷óâñòâóåòå òîøíîòó è òåðÿåòå ñîçíàíèå. Î÷íóâøèñü, Âû çàìå÷àåòå ñèëüíóþ ãîëîâíóþ áîëü è æåëàíèå ïîñêîðåå çàêîí÷èòü îõîòó. Ñòàðóõà ïðîïàëà, è Âàøà îõðàíà íå èìååò íè ìàëåéøåãî ïîíÿòèÿ êóäà.;;x
EVTDESC_WoL_5061_good;You drink the potion down. Soon, you start to feel all warm inside. The crone whispers: 'See? You know that this will make you stronger, I can see it in your eyes! Now go, great hunter!'.\n\nYou return home, certain in your belief that next time you will find your prey...;;;;;;;;;;;"Âûïèâ çåëüå, Âû ïî÷óñòâîâàëè òåïëîòó âíóòðè. Ñòàðóõà ïðîøåïòàëà: ""Âèäèøü? Îíî äåëàåò òåáÿ ñèëüíåå. ß âèæó ýòî â òâîèõ ãëàçàõ! À òåïåðü ñòóïàé, âåëèêèé îõîòíèê!"".\nÂû âîçâðàùàåòåñü äîìîé, â îæèäàíèè íåèçáåæíîãî óñïåõà íà ñëåäóþùåé îõîòå...";;x
EVTDESC_WoL_5062;You have returned to your court. The hunt for this elusive white beast seems fruitless, but there are many more things out there in the wilds. Maybe next time you will catch your prey...;;;;;;;;;;;Âû âåðíóëèñü äîìîé. Îõîòà çà ýòèì íåóëîâèìûì áåëûì ñóùåñòâîì çàêîí÷èëàñü íåóäà÷åé, íî òàì, â äèêîé ïðèðîäå, åñòü åù¸ ìíîãî íîâûõ îòêðûòèé. Ìîæåò áûòü â ñëåäóþùèé ðàç Âû ïîéìàåòå ñâîþ æåðòâó...;;x
EVTDESC_WoL_5065_female_lover;Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a beautiful young woman opens. She pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?';;;;;;;;;;;"Â áåñïëîäíûõ ïîïûòêàõ íàéòè ñëåäû ñâîåé äîáû÷è, Âû îáíàðóæèëè â çàðîñëÿõ ìàëåíüêóþ õèæèíó. Â îòâåò íà ñòóê, äâåðü îòêðûëà ïðåêðàñíàÿ ìîëîäàÿ äåâóøêà. Ìèíóòó ñïóñòÿ âûðàæåíèå å¸ ëèöà ïðèíÿëî äîáðîæåëàòåëüíûé âèä, è ïðèÿòíûì ãîëîñîì îíà ñêàçàëà: ""Â ýòèõ ìåñòàõ âåñüìà îäèíîêî. Íå æåëàåòå ëè ïåðåíî÷åâàòü çäåñü?""";;x
EVTDESC_WoL_5065_male_lover;Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a handsome young man opens. He pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?';;;;;;;;;;;"Â áåñïëîäíûõ ïîïûòêàõ íàéòè ñëåäû ñâîåé äîáû÷è, Âû îáíàðóæèëè â çàðîñëÿõ ìàëåíüêóþ õèæèíó. Â îòâåò íà ñòóê, äâåðü îòêðûë ïðèâëåêàòåëüíûé þíîøà. Ìèíóòó ñïóñòÿ îí óëûáíóëñÿ è ñêàçàë: ""Â ýòèõ ìåñòàõ äîâîëüíî îäèíîêî. Íå æåëàåòå îñòàíîâèòüñÿ çäåñü íà íî÷ü?""";;x
EVTDESC_WoL_5066;The next morning, you awake with a warm body next to you. You spent a long, pleasant night in the cabin but it's time to get back to the world outside. Your companion looks you in the eyes, caresses you and asks you to stay a little longer...;;;;;;;;;;;Óòðîì Âû ïðîñíóëèñü, îáíèìàÿ ïðåêðàñíîå ìîëîäîå òåëî. Âû ïðîâåëè ïðèÿòíóþ íî÷ü, íî íóæíî âîçâðàùàòüñÿ ê îáû÷íîé æèçíè.;;x
EVTDESC_WoL_5202;Your [puppy_giver.GetRootRelation], [puppy_giver.GetTitledFirstName], has sent you a gift. It is a small puppy, but of the finest pedigree and destined to grow into a great hunting dog.;;;;;;;;;;;[From.GetTitledFirstName], ì[From.GetOyaOy] [From.GetRootRelation] øë¸ò ìíå ïîäàðîê - ýòî ìàëåíüêèé ùåíîê, íî ñ õîðîøåé ðîäîñëîâíîé. Èç íåãî âûðàñòåò õîðîøèé îõîòíè÷èé ï¸ñ.;;x
EVTDESC_WoL_5203;Your new puppy has no name yet, my [Root.GetLordLady]. What will you call it?;;;;;;;;;;;Íîâîìó ùåíêó íóæíà êàêàÿ-íèáóäü êëè÷êà, [Root.PrimaryTitle.GetFOA]. Êàê Âû áóäåòå åãî çâàòü?;;x
EVTDESC_WoL_5204_bad;Your dog is growing quickly and is no longer a little puppy. He runs fast and has a keen nose. He bites hard too, as several of the dog handlers can testify.;;;;;;;;;;;Âàø ï¸ñ - áîëüøå íå ùåíîê, òåïåðü îí áûñòðî áåãàåò è îáëàäàåò õîðîøèì íþõîì. Îäíàêî, îí ÷àñòî è áîëüíî êóñàåòñÿ, ÷òî ïîäòâåðæäàþò Âàøè ïñàðè.;;x
EVTDESC_WoL_5204_good;Your dog is growing quickly and is no longer a little puppy. He runs fast and has a keen nose, and your dog handlers praise his good character.;;;;;;;;;;;Âàø ï¸ñ - áîëüøå íå ùåíîê, òåïåðü îí áûñòðî áåãàåò è îáëàäàåò õîðîøèì íþõîì. Ïñàðè õâàëÿò åãî çà äîáðûé íðàâ.;;x
EVTDESC_WoL_5210;Your faithful hunting dog is always around, and always happy to see you. It is good to have such a faithful friend.;;;;;;;;;;;Âàø îõîòíè÷èé ï¸ñ âñåãäà ðÿäîì è ðàä Âàøåé êîìïàíèè. Õîðîøî èìåòü òàêîãî âåðíîãî äðóãà.;;x
EVTDESC_WoL_5211;Everyone at court loves your dog. Especially the children find much joy in playing with him.;;;;;;;;;;;Ïðèäâîðíûå îáîæàþò Âàøåãî ïñà, îñîáåííî äåòè, êîòîðûå ñ áîëüøèì óäîâîëüñòâèåì èãðàþò ñ íèì.;;x
EVTDESC_WoL_5220;Your hunting dog needs proper training if he is to perform well during hunts. Perhaps you should take a hand in this yourself?;;;;;;;;;;;Âàø ï¸ñ íóæäàåòñÿ â òðåíèðîâêå, ÷òîáû õîðîøî ñëóæèòü âî âðåìÿ îõîòû. Âîçìîæíî, Âàì ñëåäóåò ëè÷íî çàíÿòüñÿ åãî îáó÷åíèåì?;;x
EVTDESC_WoL_5221;In the past months you have been spending a lot of time outside, training your trusty hunting dog. You find that the combination of daily physical exercise and fresh air are doing wonders for your health and constitution.;;;;;;;;;;;Â ïîñëåäíèå ìåñÿöû Âû ïðîâîäèòå ìíîãî âðåìåíè, äðåññèðóÿ ñâîåãî ïñà. Ïîõîæå, åæåäíåâíûå óïðàæíåíèÿ íà ñâåæåì âîçäóõå áëàãîòâîðíî ñêàçàëèñü íà Âàøåì çäîðîâüå.;;x
EVTDESC_WoL_5230;Your hunting dog ran away and went roaming the castle. He was very aggressive, chasing several servants and sending them fleeing in terror. He then came upon the favorite dog of one of your courtiers and attacked it and killed it.;;;;;;;;;;;Âàø îõîòíè÷èé ï¸ñ óáåæàë îò Âàñ è ñòàë áåøåíî íîñèòüñÿ ïî äîìó. Îí àãðåññèâíî ïðåñëåäîâàë ñëóã, âûíóæäàÿ èõ â óæàñå áðîñàòü âñ¸ è ñïàñàòüñÿ. À çàòåì äîáðàëñÿ äî ëþáèìîãî ïñà îäíîãî èç ïðèäâîðíûõ è çàãðûç åãî íàñìåðòü.;;x
EVTDESC_WoL_5231;Today at court, your hunting dog suddenly flew into a rage, tore loose, and attacked one of your courtiers!;;;;;;;;;;;Ñåãîäíÿ Âàø ï¸ñ â î÷åðåäíîì ïðèñòóïå ÿðîñòè íàïàë íà ïðèäâîðíîãî!;;x
EVTDESC_WoL_5290;Your faithful and trusted hunting dog has finally taken his last breath. Long has he served you since you first received him as a puppy, but now it's time to bury your old friend.;;;;;;;;;;;Âàø âåðíûé ï¸ñ ñäåëàë ñâîé ïîñëåäíèé âçäîõ. Îí ñëóæèë Âàì ñ òåõ ïîð, êàê Âû âïåðâûå âçÿëè åãî, åù¸ ùåíêîì. Òåïåðü ïðèøëî âðåìÿ ïîõîðîíèòü ñòàðîãî äðóãà.;;x
EVTOPT_WoL_5221;[Root.GetDogName], catch!;;;;;;;;;;;[Root.GetDogName], âçÿòü!;;x
EVTOPTA_WoL_5001;I must send people out to find it!;;;;;;;;;;;Íóæíî íàéòè åãî!;;x
EVTOPTA_WoL_5004;Saddle my horse!;;;;;;;;;;;Ñåäëàéòå ìîåãî êîíÿ!;;x
EVTOPTA_WoL_5010;An epic hunt it shall be!;;;;;;;;;;;Ýòî áóäåò ýïè÷åñêàÿ îõîòà!;;x
EVTOPTA_WoL_5030;Its head will adorn my wall!;;;;;;;;;;;Åãî ãîëîâà óêðàñèò ìîè ñòåíû!;;x
EVTOPTA_WoL_5035;Now I know my purpose in life!;;;;;;;;;;;Òåïåðü ÿ çíàþ öåëü ñâîåé æèçíè!;;x
EVTOPTA_WoL_5040;Please join me at my court!;;;;;;;;;;;Ñ óäîâîëüñòâèåì. Ïðèñîåäèíÿéòåñü ê íàøåìó äâîðó!;;x
EVTOPTA_WoL_5045;This is pointless...;;;;;;;;;;;Ýòî áåñïîëåçíî...;;x
EVTOPTA_WoL_5050;This is great!;;;;;;;;;;;Íåò õóäà áåç äîáðà!;;x
EVTOPTA_WoL_5055;It's my own failure.;;;;;;;;;;;Íàäî æå òàê îïîçðèòüñÿ!;;x
EVTOPTA_WoL_5060;Sell it to me!;;;;;;;;;;;Ïðîäàé åãî ìíå!;;x
EVTOPTA_WoL_5061;I don't feel well...;;;;;;;;;;;×òî-òî ìíå íåõîðîøî...;;x
EVTOPTA_WoL_5062;I won't give up.;;;;;;;;;;;ß íå ñäàìñÿ!;;x
EVTOPTA_WoL_5065;Of course...;;;;;;;;;;;Êîíå÷íî...;;x
EVTOPTA_WoL_5066;This was nice, but I have to go.;;;;;;;;;;;Ýòî áûëî ÷óäåñíî, íî ìíå ïîðà.;;x
EVTOPTA_WoL_5202;I will accept this gracious gift.;;;;;;;;;;;ß ïðèìó ýòîò ùåäðûé ïîäàðîê.;;x
EVTOPTA_WoL_5203;Faithful.;;;;;;;;;;;Äðóæîê;;x
EVTOPTA_WoL_5204;Good dog!;;;;;;;;;;;Õîðîøèé ï¸ñ!;;x
EVTOPTA_WoL_5210;If only people were as trustworthy.;;;;;;;;;;;Åñëè áû òîëüêî ëþäè áûëè òàêèìè ïðåäàííûìè.;;x
EVTOPTA_WoL_5211;And he loves them.;;;;;;;;;;;Ýòà ëþáîâü âçàèìíà.;;x
EVTOPTA_WoL_5220;Yes, I will train him personally.;;;;;;;;;;;Êîíå÷íî, ÿ åãî îáó÷ó.;;x
EVTOPTA_WoL_5231;Heel!;;;;;;;;;;;Ê íîãå!;;x
EVTOPTA_WoL_5290;I will bury him quietly in the castle garden.;;;;;;;;;;;ß ïîõîðîíþ åãî â ñàäó.;;x
EVTOPTB_WoL_5001;I have no time for dreams and rumors.;;;;;;;;;;;Ó ìåíÿ íåò âðåìåíè íà ýòè ñêàçêè.;;x
EVTOPTB_WoL_5004;I don't have the time now.;;;;;;;;;;;Ñåé÷àñ ìíå íå äî ýòîãî.;;x
EVTOPTB_WoL_5010;This time it will not escape me!;;;;;;;;;;;Íà ýòîò ðàç åìó íå ñêðûòüñÿ!;;x
EVTOPTB_WoL_5030;I cannot slay such a noble animal.;;;;;;;;;;;ß íå ìîãó ïîãóáèòü ñòîëü áëàãîðîäíîå ñîçäàíèå.;;x
EVTOPTB_WoL_5035;I'm sure I'll catch it someday.;;;;;;;;;;;ß ïîéìàþ åãî... ðàíî èëè ïîçäíî.;;x
EVTOPTB_WoL_5040;It's better to hunt alone.;;;;;;;;;;;ß ïðåäïî÷èòàþ îõîòèòüñÿ â îäèíî÷êó.;;x
EVTOPTB_WoL_5055;It's because my retainers are useless!;;;;;;;;;;;Ìåíÿ îêðóæàþò íèê÷¸ìíûå ëþäè!;;x
EVTOPTB_WoL_5060;No, let's go home, this is fruitless.;;;;;;;;;;;Ïîðà âîçâðàùàòüñÿ. Ýòî áåñïîëåçíî.;;x
EVTOPTB_WoL_5065;I really shouldn't.;;;;;;;;;;;Äóìàþ, ìíå íå ñëåäóåò ýòîãî äåëàòü.;;x
EVTOPTB_WoL_5066;Come back to court with me!;;;;;;;;;;;Ïîéä¸ì ñî ìíîé!;;x
EVTOPTB_WoL_5202;Send it back.;;;;;;;;;;;Îòîøëèòå åãî îáðàòíî.;;x
EVTOPTB_WoL_5203;Hunter.;;;;;;;;;;;Îõîòíèê;;x
EVTOPTB_WoL_5204;Hmm...;;;;;;;;;;;Õìì...;;x
EVTOPTB_WoL_5220;No, I have people employed for that.;;;;;;;;;;;Ëó÷øå äîâåðèòü ýòî ïðîôåññèîíàëàì.;;x
EVTOPTB_WoL_5231;Kill! Kill!;;;;;;;;;;;Äà! Âîò òàê! Óáåé!;;x
EVTOPTB_WoL_5290;He deserves a proper funeral.;;;;;;;;;;;Îí çàñëóæèë äîñòîéíûå ïîõîðîíû.;;x
EVTOPTC_WoL_5040;A rival - he must die!;;;;;;;;;;;Ñîïåðíèê... Èçáàâüòåñü îò íåãî.;;x
EVTOPTC_WoL_5061;This feels good...;;;;;;;;;;;ß ÷óâñòâóþ ñåáÿ ïðåêðàñíî...;;x
EVTOPTC_WoL_5065;It's a trap! Attack!;;;;;;;;;;;Ýòî ëîâóøêà! Â àòàêó!;;x
EVTOPTC_WoL_5202;Pay someone to quietly dispose of it...;;;;;;;;;;;Çàïëàòèòå êîìó-íèáóäü, ÷òîáû èçáàâèòüñÿ îò íåãî...;;x
EVTOPTC_WoL_5203;Tricky.;;;;;;;;;;;Ëîâêà÷;;x
EVTOPTC_WoL_5290;A pyramid for [Root.GetDogName]!;;;;;;;;;;;Ïèðàìèäà äëÿ [Root.GetDogName]!;;x
EVTOPTD_WoL_5203;Lucifer.;;;;;;;;;;;Ëþöèôåð;;x
EVTOPTE_WoL_5203;Shaytan.;;;;;;;;;;;Øàéòàí;;x
EVTOPTF_WoL_5203;Fenrir.;;;;;;;;;;;Ôåíðèð;;x
EVTOPTG_WoL_5203;Erlik.;;;;;;;;;;;Ýðëèê;;x
EVTOPTH_WoL_5203;Velnias.;;;;;;;;;;;Âåëüíèàñ;;x
EVTOPTI_WoL_5203;Tuoni.;;;;;;;;;;;Òóîíè;;x
EVTOPTJ_WoL_5203;Xolotl.;;;;;;;;;;;Øîëîòëü;;x
EVTOPTK_WoL_5203;Veles.;;;;;;;;;;;Âåëåñ;;x
EVTOPTL_WoL_5203;Guruhi.;;;;;;;;;;;Ãóðóõè;;x
EVTOPTM_WoL_5203;Darkness.;;;;;;;;;;;Ìðàê;;x
EVTOPTN_WoL_5203;Ahriman.;;;;;;;;;;;Àõðèìàí;;x
EVTOPTO_WoL_5203;Satan.;;;;;;;;;;;Ñàòàíà;;x
EVTOPTP_WoL_5203;Vinayaka.;;;;;;;;;;;Âèíàÿêà;;x
EVTOPTQ_WoL_5203;Mara.;;;;;;;;;;;Ìàðà;;x
EVTOPTR_WoL_5203;Punisher.;;;;;;;;;;;Êàðàòåëü;;x
# No longer needed
# EVTTITLE_WoL_5001_bear;The White Bear;;;;;;;;;;;Måäâåäü;;x
# EVTTITLE_WoL_5001_lion;The White Lion;;;;;;;;;;;Ëåâ;;x
# EVTTITLE_WoL_5001_stag;The White Stag;;;;;;;;;;;Oëåíü;;x
# EVTTITLE_WoL_5001_tiger;The White Tiger;;;;;;;;;;;Tèãð;;x
# EVTDESC_WoL_5001_bear;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white bear, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;;;;;;;;;;;Íåäàâíî äî Âàñ äîøëè ñëóõè, ÷òî êðåñòüÿíå è ïóòåøåñòâåííèêè âèäåëè â ëåñó òàèíñòâåííîå ìèôè÷åñêîå ñóùåñòâî, ñèëüíîå è íåóëîâèìîå. Ýòî áåëûé ìåäâåäü. Ïðîñòîé íàðîä âåðèò, ÷òî îí ïðèõîäèò èç äðóãîãî ìèðà, è ÷òî îõîòíèê, êîòîðûé ñìîæåò åãî ïîéìàòü, ïðîïèòàåòñÿ áîæåñòâåííîé ñèëîé.;;x
# EVTDESC_WoL_5001_lion;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white lion, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;;;;;;;;;;;Íåäàâíî äî Âàñ äîøëè ñëóõè, ÷òî êðåñòüÿíå è ïóòåøåñòâåííèêè âèäåëè òàèíñòâåííîå ìèôè÷åñêîå ñóùåñòâî, ñèëüíîå è íåóëîâèìîå. Ýòî áåëûé ëåâ. Ïðîñòîé íàðîä âåðèò, ÷òî îí ïðèõîäèò èç äðóãîãî ìèðà, è ÷òî îõîòíèê, êîòîðûé ñìîæåò åãî ïîéìàòü, ïðîïèòàåòñÿ áîæåñòâåííîé ñèëîé.;;x
# EVTDESC_WoL_5001_stag;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white stag, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;;;;;;;;;;;Íåäàâíî äî Âàñ äîøëè ñëóõè, ÷òî êðåñòüÿíå è ïóòåøåñòâåííèêè âèäåëè â ëåñó òàèíñòâåííîå ìèôè÷åñêîå ñóùåñòâî, ñèëüíîå è íåóëîâèìîå. Ýòî áåëûé îëåíü. Ïðîñòîé íàðîä âåðèò, ÷òî îí ïðèõîäèò èç äðóãîãî ìèðà, è ÷òî îõîòíèê, êîòîðûé ñìîæåò åãî ïîéìàòü, ïðîïèòàåòñÿ áîæåñòâåííîé ñèëîé.;;x
# EVTDESC_WoL_5001_tiger;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white tiger, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;;;;;;;;;;;Íåäàâíî äî Âàñ äîøëè ñëóõè, ÷òî êðåñòüÿíå è ïóòåøåñòâåííèêè âèäåëè òàèíñòâåííîå ìèôè÷åñêîå ñóùåñòâî, ñèëüíîå è íåóëîâèìîå. Ýòî áåëûé òèãð. Ïðîñòîé íàðîä âåðèò, ÷òî îí ïðèõîäèò èç äðóãîãî ìèðà, è ÷òî îõîòíèê, êîòîðûé ñìîæåò åãî ïîéìàòü, ïðîïèòàåòñÿ áîæåñòâåííîé ñèëîé.;;x
