# Historical
alexander_bloodline;Immortal Blood of Alexander;;;;;;;;;;;Áåññìåðòíàÿ êðîâü Àëåêñàíäðà;;x
arpad_desc;The Kende (sacred ruler) of the Magyar tribes. He went on to conquer the Carpathian Basin, making a new home for the Hungarian people.;;;;;;;;;;;Êåíäå (ñâÿùåííûé ïðàâèòåëü) ìàäüÿðñêèõ ïëåì¸í. Îí çàâîåâàë çåìëè Êàðïàòñêîãî áàññåéíà è òåì ñàìûì ñîçäàë íîâûé äîì äëÿ âåíãåðñêîãî íàðîäà.;;x
arwa;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
arwa_desc;A powerful woman, Arwa was known for her intelligence and knowledge of both heavenly and earthly affairs. She also engaged in several building projects across Yemen.;;;;;;;;;;;Àðâà, ìîãóùåñòâåííàÿ æåíùèíà, áûëà èçâåñòíà ñâîèì óìîì è çíàíèåì íåáåñíûõ è çåìíûõ äåë. Îíà òàêæå ó÷àñòâîâàëà â íåñêîëüêèõ ñòðîèòåëüíûõ ïðîåêòàõ â Éåìåíå..;;x
ashina;Ashina Blood;;;;;;;;;;;Êðîâü Àøèíû;;x
ashina_desc;The Ashina clan rose to prominence after revolting against the Rouran Khaganate. Members of the clan are considered sacred, if not divine, by the people of the steppe.;;;;;;;;;;;Êëàí Àøèíà ïîäíÿëñÿ íà ïåðâîå ìåñòî ïîñëå âîññòàíèÿ ïðîòèâ Ðóðàíñêîãî êàãàíàòà. ×ëåíû êëàíà ñ÷èòàþòñÿ ñâÿùåííûìè, åñëè íå áîæåñòâåííûìè, ëþäüìè ñòåïè.;;x
athelstan;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
athelstan_desc;Famed and respected as the ruler who pushed the vikings out of the British Isles, and the first King of England.;;;;;;;;;;;Ïðîñëàâëåííûé è óâàæàåìûé ïðàâèòåëü, êîòîðûé âûòåñíèë âèêèíãîâ ñ Áðèòàíñêèõ îñòðîâîâ, ïåðâûé êîðîëü Àíãëèè.;;x
attila;Blood of Attila;;;;;;;;;;;Êðîâü Àòèëëû;;x
attila_desc;Kubrat claims descendance from Attila - one of the most feared enemies of ancient Rome, who united numerous tribal clans under his banner.;;;;;;;;;;;Êóáðàò óòâåðæäàë, ÷òî ïðîèñõîäèò îò Àòòèëû - îäíîãî èç ñàìûõ ñòðàøíûõ âðàãîâ äðåâíåãî Ðèìà, êîòîðûé îáúåäèíèë ïîä ñâîèìè çíàì¸íàìè ìíîãî÷èñëåííûå ïëåìåííûå êëàíû.;;x
bagratid;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
bagratid_desc;One of the oldest Christian dynasties in the world. The children of Bagrat have made Georgia flourish throughout the centuries.;;;;;;;;;;;Îäíà èç äðåâíåéøèõ õðèñòèàíñêèõ äèíàñòèé â ìèðå. Äåòè Áàãðàòà ñïîñîáñòâîâàëè ïðîöâåòàíèþ Ãðóçèè íà ïðîòÿæåíèè âåêîâ.;;x
baibars;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
baibars_desc;Once sold in a slave market, Baibars would eventually become the man responsible for both defeating the Mongol advance and removing the Crusader States from the Levant.;;;;;;;;;;;Áóäó÷è îäíàæäû ïðîäàííûì íà ðàáñêîì ðûíêå, Áåéáàðñ â êîíå÷íîì èòîãå ñòàë òåì, êòî íå òîëüêî ïîáåäèë [_ìîíãîëîâ], íî è óíè÷òîæèë ãîñóäàðñòâà êðåñòîíîñöåâ â Ëåâàíòå.;;x
baldouin;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
baldouin_desc;A leader of the Fourth Crusade, Baldouin fought alongside the Venetians to topple the last remnant of the Roman Empire, becoming the first Latin Emperor of Constantinople.;;;;;;;;;;;Ëèäåð ×åòâ¸ðòîãî êðåñòîâîãî ïîõîäà Áîäóýí (îí æå Áàëäóèí) ñðàæàëñÿ áîê î áîê ñ âåíåöèàíöàìè, ÷òîáû ñâåðãíóòü îñòàòêè Âîñòî÷íîé Ðèìñêîé èìïåðèè, ñòàâ ïåðâûì [_ëàòèí]ñêèì èìïåðàòîðîì Êîíñòàíòèíîïîëÿ.;;x
barbarossa;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
barbarossa_desc;An able ruler, Frederick 'Barbarossa' was known both as a warrior who sought to control the rebel Italian princes and as a skilled lawmaker.;;;;;;;;;;;Óìåëûé ïðàâèòåëü, Ôðèäðèõ Áàðáàðîññà, áûë èçâåñòåí íå òîëüêî êàê îïûòíûé çàêîíîäàòåëü, íî è êàê âîèí, êîòîðûé ñòðåìèëñÿ êîíòðîëèðîâàòü ìÿòåæíûõ èòàëüÿíñêèõ ïðèíöåâ.;;x
basil;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
basil_desc;One of the greatest of the East Roman emperors, his rule brought about an era of glory, prosperity, art and imperial might.;;;;;;;;;;;Îäèí èç âåëè÷àéøèõ âîñòî÷íî-ðèìñêèõ èìïåðàòîðîâ, ïðàâëåíèå êîòîðîãî ïðèâåëî ê ýïîõå ñëàâû, ïðîöâåòàíèÿ, èñêóññòâà è ìîãóùåñòâà Âîñòî÷íîé Ðèìñêîé Èìïåðèè.;;x
bayajidda_and_magajiva;Blood of Bayajidda and Magajiva;;;;;;;;;;;Êðîâü Áàÿäæèääû è Ìàãàäæèâû;;x
bayajidda_and_magajiva_desc;The Daura claim descent from Bayajidda and Magajiva – the first of whom slew a great serpent, and the second of whom instituted the matriarchal system of the Hausa people.;;;;;;;;;;;Äàóðà óòâåðæäàþò, ÷òî ïðîèçîøëè îò Áàÿäæèääû è Ìàãàäæèâû, ïåðâûé èç êîòîðûõ óáèë âåëèêîãî çìåÿ, à âòîðàÿ - îñíîâàëà ìàòðèàðõàëüíóþ ñèñòåìó íàðîäà õàóñà.;;x
bohemond;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
bohemond_desc;A major leader of the First Crusade, Bohemond used his legendary martial skill and political cunning to capture Antioch and establish a kingdom for himself in the Levant.;;;;;;;;;;;Êðóïíûé ëèäåð Ïåðâîãî êðåñòîâîãî ïîõîäà, Áîýìîí (Áîýìóíä) èñïîëüçîâàë ñâîè ëåãåíäàðíûå áîåâûå íàâûêè è ïîëèòè÷åñêóþ õèòðîñòü, ÷òîáû çàõâàòèòü Àíòèîõèþ è îñíîâàòü äëÿ ñåáÿ êîðîëåâñòâî â Ëåâàíòå.;;x
boleslaw_the_brave;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
boleslaw_the_brave_desc;A remarkable politician, strategist, and statesman. He successfully turned Poland into a country as powerful as the realms of the west.;;;;;;;;;;;Âûäàþùèéñÿ ïîëèòèê, ñòðàòåã è ãîñóäàðñòâåííûé äåÿòåëü. Îí óñïåøíî ïðåâðàòèë Ïîëüøó â ñòðàíó, ñòîëü æå ìîãóùåñòâåííóþ, êàê è äðóãèå ñòðàíû Çàïàäíîé Åâðîïû.;;x
boudica;The Spirit of Boudica;;;;;;;;;;;Äóõ Áîóäèêè;;x
boudica_desc;[This.GetTitledFirstName] has been proclaimed by the Bards of Britain to be of the same spirit as the great Warrior Queen Boudica, who led a great revolt against the Romans.;;;;;;;;;;;[This.GetTitledFirstName] âîñïåâàåòñÿ áàðäàìè Áðèòàíèè êàê âîïëîùåíèå êîðîëåâû-âîèòåëüíèöû Áîóäèêè, êîòîðàÿ âîçãëàâèëà âîññòàíèå ïðîòèâ ðèìëÿí.;;x
brian_boru;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
brian_boru_desc;An Irish high king of legend. He managed to unify the warring leaders of Ireland and end the Viking occupation of the isle.;;;;;;;;;;;Èðëàíäñêèé âåðõîâíûé êîðîëü, î êîòîðîì õîäÿò ëåãåíäû. Åìó óäàëîñü îáúåäèíèòü âðàæäóþùèõ âîæäåé Èðëàíäèè è ïîëîæèòü êîíåö îêêóïàöèè îñòðîâà âèêèíãàìè.;;x
caratacus;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
caratacus_desc;An ancient British warrior. King of the Catuvellauni tribe when the Romans invaded Britain, he led a resistance that nearly prevented them from conquering the island.;;;;;;;;;;;Äðåâíèé áðèòàíñêèé âîèí, âîæäü ïëåìåíè êàòóâåëëàóíè. Êîãäà ðèìëÿíå âòîðãëèñü â Áðèòàíèþ, îí âîçãëàâèë ñîïðîòèâëåíèå, êîòîðîå ÷óòü íå ïðåäîòâðàòèëî çàâîåâàíèå îñòðîâà.;;x
carolingian;Carolingian Blood;;;;;;;;;;;Êðîâü Êàðîëèíãîâ;;x
carolingian_desc;A brilliant warrior as well as a great statesman, he established the Franks as undisputed masters of Gaul and led the army that defeated the Muslims in the Battle of Tours.;;;;;;;;;;;Âûäàþùèéñÿ âîèí, à òàêæå âåëèêèé ãîñóäàðñòâåííûé äåÿòåëü. Îí ñäåëàë [_ôðàíêîâ] áåññïîðíûìè õîçÿåâàìè Ãàëëèè è âîçãëàâèë àðìèþ, êîòîðàÿ ïîáåäèëà ìóñóëüìàí â áèòâå ïðè Òóðå.;;x
chola;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
chola_desc;One of the greatest rulers India has ever seen. His conquests included the Andamans, Sri Lanka, the Maldives and even territories in Burma, Thailand and Indonesia.;;;;;;;;;;;Îäèí èç âåëè÷àéøèõ ïðàâèòåëåé, êîòîðûõ êîãäà-ëèáî âèäåëà Èíäèÿ. Åãî çàâîåâàíèÿ âêëþ÷àëè Àíäàìàíñêèå îñòðîâà, Øðè-Ëàíêó, Ìàëüäèâû, à òàêæå òåððèòîðèè Áèðìû, Òàèëàíäà è Èíäîíåçèè.;;x
dandolo;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
dandolo_desc;The mastermind behind the Fourth Crusade and the sack of Constantinople, Enrico is remembered as one of the most successful and prosperous doges Venice ever had.;;;;;;;;;;;Ýíðèêî, âäîõíîâèòåëü ×åòâ¸ðòîãî êðåñòîâîãî ïîõîäà è ðàçãðàáëåíèÿ Êîíñòàíòèíîïîëÿ, èçâåñòåí êàê îäèí èç ñàìûõ óñïåøíûõ äîæåé â èñòîðèè Âåíåöèè.;;x
dyre;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
dyre_desc;A legendary Varangian warrior. He ruled over the Kiev area, becoming its first king.;;;;;;;;;;;Ëåãåíäàðíûé âîèí-âàðÿã. Îí ïðàâèë êèåâñêèìè çåìëÿìè, ñòàâ ïåðâûì âåëèêèì êíÿçåì äëÿ ëþäåé, èõ íàñåëÿâøèõ.;;x
el_cid;Blood of El Cid;;;;;;;;;;;Êðîâü Ýëü Ñèäà Êàìïåàäîðà;;x
el_cid_desc;A military leader and hero of great renown. The Moors dubbed him 'El Cid' ('the Lord'), while the Christians called him 'El Campeador' ('Outstanding Warrior').;;;;;;;;;;;Âîåíà÷àëüíèê è âåëèêèé ãåðîé, êîòîðîãî [GetMoors] ïðîçâàëè Ýëü Ñèä (Ãîñïîäèí), â òî âðåìÿ êàê [_õðèñòèàíå] íàçûâàëè åãî Ýëü Êàìïåàäîð (âûäàþùèéñÿ âîèí).;;x
fatimid;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
fatimid_desc;During the tumultuous years of the Abbasid caliphate, the Fatimids rose up in Ifriqiya and established their own Caliphate under [This.GetFullName].;;;;;;;;;;;Â íåñïîêîéíûå ãîäû àááàñèäñêîãî âëàäû÷åñòâà Ôàòèìèäû âîññòàëè â Èôðèêèè è îñíîâàëè ñâîé ñîáñòâåííûé õàëèôàò ïîä íà÷àëîì ýòîãî âåëèêîãî ïðàâèòåëÿ.;;x
garcia;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
garcia_desc;Warrior-king of the Basques and a major sponsor of the Reconquista, Garcia restored Basque control over Navarra after a long period of Aragonese domination.;;;;;;;;;;;Áóäó÷è âîèíñòâåííûì êîðîë¸ì [_áàñêîâ] è ãëàâíûì ñïîíñîðîì Ðåêîíêèñòû, Ãàðöèÿ (îí æå Ãàðñèÿ) âîññòàíîâèë [_áàñê]ñêóþ âëàñòü íàä Íàâàððîé ïîñëå äëèòåëüíîãî ïåðèîäà àðàãîíñêîãî ãîñïîäñòâà.;;x
genghis_khan;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
genghis_khan_desc;The founder of the Mongol Empire, proclaimed 'Genghis Khan' (Universal Ruler) by the many subjugated peoples of the steppe. An extremely brutal and efficient leader.;;;;;;;;;;;Îñíîâàòåëü Ìîíãîëüñêîé èìïåðèè, ïðîâîçãëàøåííûé ×èíãèñõàíîì (âñåëåíñêèì ïðàâèòåëåì) ìíîãèìè ïîêîðåííûìè íàðîäàìè ñòåïè. ×ðåçâû÷àéíî æåñòîêèé è ýôôåêòèâíûé ëèäåð.;;x
ghaznavid;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
ghaznavid_desc;The founder of the Gahznavid dynasty. In his youth he lived as a slave, but in later life came to rule a mighty kingdom which expanded far towards India.;;;;;;;;;;;Îñíîâàòåëü äèíàñòèè Ãàçíåâèäîâ. Â þíîñòè îí æèë êàê ðàá, íî â áîëåå ïîçäíåì âîçðàñòå ñòàë ïðàâèòü ìîãóùåñòâåííûì êîðîëåâñòâîì, êîòîðîå ðàñïðîñòðàíèëîñü äàëåêî, âïëîòü äî Èíäèè.;;x
harald_fairhair;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
harald_fairhair_desc;A legendary ruler who through skill and military might united the Kingdom of Norway and the people therein.;;;;;;;;;;;Ëåãåíäàðíûé ïðàâèòåëü, êîòîðûé ñâîèì óìåíèåì è âîåííûìè äîñòèæåíèÿìè ñìîã îáúåäèíèòü Íîðâåãèþ è ïðîæèâàþùèõ òàì ëþäåé.;;x
james;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
james_desc;Known as James the Conqueror, he established dominance over the Mediterranean Sea. He is also remembered as a sponsor of artists and a notorious lawmaker.;;;;;;;;;;;Èçâåñòíûé êàê Æàóìå (èëè Õàéìå) Çàâîåâàòåëü, îí óñòàíîâèë ãîñïîäñòâî íàä Ñðåäèçåìíûì ìîðåì. Åãî òàêæå ïîìíÿò êàê ñïîíñîðà õóäîæíèêîâ è àêòèâíîãî çàêîíîäàòåëÿ.;;x
jannabid;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
jannabid_desc;He is famed for conquering Bahrein and establishing the Qarmatian Republic. They would go on to haunt their neighbors for many years to come.;;;;;;;;;;;Îí ïðîñëàâèëñÿ òåì, ÷òî ïîêîðèë Áàõðåéí è îñíîâàë [_Êàðìàò]ñêóþ ðåñïóáëèêó, êîòîðàÿ ïðîäîëæàëà ïðåñëåäîâàòü ñâîèõ ñîñåäåé â òå÷åíèå ìíîãèõ ëåò.;;x
mansa_musa;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
mansa_musa_desc;A scholar and conqueror, Musa became a legend in the Islamic world for the vast wealth and majesty of his African kingdom. He also sponsored many construction projects.;;;;;;;;;;;Ó÷¸íûé è çàâîåâàòåëü, Ìóñà ñòàë ëåãåíäîé â [èñëàì]ñêîì ìèðå èç-çà îãðîìíîãî áîãàòñòâà è âåëè÷èÿ ñâîåãî àôðèêàíñêîãî êîðîëåâñòâà. Êðîìå òîãî, îí ñïîíñèðîâàë ìíîæåñòâî ñòðîèòåëüíûõ ïðîåêòîâ.;;x
mardavij;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
mardavij_desc;He was the last Zoroastrian ruler who fought back against the Muslims in Persia, trying to reestablish the Sasanian Empire;;;;;;;;;;;Îí áûë ïîñëåäíèì [çîðîàñòðèé]ñêèì ïðàâèòåëåì, êîòîðûé îòáèâàëñÿ îò [_ìóñóëüìàí] â Ïåðñèè, ïûòàÿñü âîññòàíîâèòü èìïåðèþ Ñàñàíèäîâ.;;x
matilde_bloodline;Blood of [This.GetFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName];;x
matilde_bloodline_desc;By defending the integrity and dignity of the Holy See against its enemies, [This.GetTitledFirstName]'s dynasty has forever bound its fate to the Vatican.;;;;;;;;;;;Çàùèùàÿ åäèíñòâî è àâòîðèòåò Ñâÿòîãî Ïðåñòîëà îò âðàãîâ, [This.GetTitledFirstName] íàâñåãäà ñâÿçàë[This.GetEndA] ñâîþ ñóäüáó ñ Âàòèêàíîì.;;x
matilde_male_bloodline;Blood of [This.GetFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName];;x
matilde_male_bloodline_desc;By defending the integrity and dignity of the Holy See against its enemies, [This.GetTitledFirstName]'s dynasty has forever bound its fate to the Vatican.;;;;;;;;;;;Çàùèùàÿ åäèíñòâî è àâòîðèòåò Ñâÿòîãî Ïðåñòîëà îò âðàãîâ, [This.GetTitledFirstName] íàâñåãäà ñâÿçàë[This.GetEndA] ñâîþ ñóäüáó ñ Âàòèêàíîì.;;x
merovingian;Merovingian Blood;;;;;;;;;;;Êðîâü Ìåðîâèíãîâ;;x
merovingian_desc;The legendary founder of the Merovingian dynasty. He joined his tribal forces with Rome to drive the Huns out of Gaul, ending Attila's ambitions in the area.;;;;;;;;;;;Ëåãåíäàðíûé îñíîâàòåëü äèíàñòèè Ìåðîâèíãîâ. Îí îáúåäèíèë ñâîè ïëåìåííûå ñèëû ñ Ðèìîì, ÷òîáû èçãíàòü ãóííîâ èç Ãàëëèè, ïîëîæèâ êîíåö àìáèöèÿì Àòòèëû â ýòîì ðåãèîíå.;;x
muhammad_the_victorious;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
muhammad_the_victorious_desc;Known as a champion of the faithful, diplomat and friend to Christians, Muhammad managed to keep alive the light of Al-Andalus despite the Castillian invasion.;;;;;;;;;;;Èçâåñòíûé êàê çàùèòíèê ïðàâîâåðíûõ, äèïëîìàòîâ, à òàêæå êàê äðóã [_õðèñòèàí], Ìóõàììàä ñìîã ñîõðàíèòü ñâåò Àëü-Àíäàëóñà íåñìîòðÿ íà âòîðæåíèå Êàñòèëèè.;;x
niall;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
niall_desc;A legendary high king of Ireland and founder of the Uí Néill dynasty. During his rule he won several battles against the Saxons, Scots, Gauls and even the Romans.;;;;;;;;;;;Ëåãåíäàðíûé âåðõîâíûé êîðîëü Èðëàíäèè è îñíîâàòåëü äèíàñòèè Óý Íýëë. Âî âðåìÿ ñâîåãî ïðàâëåíèÿ îí âûèãðàë íåñêîëüêî ñðàæåíèé ïðîòèâ ñàêñîâ, øîòëàíäöåâ, ãàëëîâ è äàæå ðèìëÿí.;;x
otto;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
otto_desc;Conquered Italy, regained the old lands of the Holy Roman Empire and raised its banners once more.;;;;;;;;;;;Çàâîåâàë Èòàëèþ, âåðíóë ïðåæíèå çåìëè Ñâÿùåííîé Ðèìñêîé èìïåðèè è ñíîâà ïîäíÿë å¸ çíàìåíà.;;x
ottoman;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
ottoman_desc;Founder of the Ottoman dynasty, Osman rose to prominence as a daring commander, achieving victories against both Greeks and fellow Turks in his campaigns.;;;;;;;;;;;Áóäó÷è îñíîâàòåëåì Îñìàíñêîé äèíàñòèè, îí ñòàë âûäàþùèìñÿ ïîëêîâîäöåì, îäåðæàâ ïîáåäó íàä ãðåêàìè è äðóãèìè òóðêàìè â ñâîèõ âîåííûõ êàìïàíèÿõ.;;x
pala;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
pala_desc;The founder of the Pala dynasty, said to be descended from the mythical Suryavansha (Sun Dynasty). He came to rule a massive kingdom, encompassing all of Bengal.;;;;;;;;;;;Îñíîâàòåëü äèíàñòèè Ïàëà, êàê ãîâîðÿò, ïðîèçîø¸ë îò ìèôè÷åñêîé Ñóðüÿâàíøè (äèíàñòèè Ñîëíöà). Îí ïðèø¸ë, ÷òîáû ïðàâèòü îãðîìíûì êîðîëåâñòâîì, îõâàòûâàþùèì âñþ Áåíãàëèþ.;;x
parthian;Parthian Blood;;;;;;;;;;;Ïàðôÿíñêàÿ Êðîâü;;x
parthian_desc;A descendant of one of the seven Parthian clans under Sassanid rule. The seven clans, or houses, played key importance in Persian history.;;;;;;;;;;;Ïîòîìîê îäíîãî èç ñåìè ïàðôÿíñêèõ êëàíîâ ïîä âëàñòüþ Ñàñàíèäîâ. Ñåìü êëàíîâ, èëè äîìîâ, èãðàëè êëþ÷åâóþ ðîëü â ïåðñèäñêîé èñòîðèè.;;x
philippe_capet;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
philippe_capet_desc;A pious and respected leader of the Third Crusade, Philippe fought against both heretics and infidels with great success.;;;;;;;;;;;Áëàãî÷åñòèâûé è óâàæàåìûé ëèäåð Òðåòüåãî êðåñòîâîãî ïîõîäà Ôèëèïï âåñüìà óñïåøíî ñðàæàëñÿ ïðîòèâ èíîâåðöåâ è åðåòèêîâ.;;x
premyslid;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
premyslid_desc;Despite his involvement in the murder of his elder brother, Boleslav was a tenacious leader who significantly strengthened the Bohemian realm.;;;;;;;;;;;Íåñìîòðÿ íà ïðè÷àñòíîñòü ê óáèéñòâó ñòàðøåãî áðàòà, Áîëåñëàâ áûë ñòîéêèì ëèäåðîì, çíà÷èòåëüíî óêðåïèâøèì Áîãåìèþ.;;x
