#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTTITLE91241;The Price of Decadence;;;;;;;;;;;Tàêîâà öåíà óïàäêà;;x
EVTDESC91209;Your foul temper is frequently discussed in hushed voices among your palace staff. Furniture, silverware, mirrors - everything is fair game when your mood turns bad and you feel the need to break or throw something. If your palace was ever looted, would anyone be able to tell the difference?;;;;;;;;;;;Âàø äóðíîé íðàâ ÷àñòî ø¸ïîòîì îáñóæäàþò ñðåäè äâîðöîâîé ïðèñëóãè. Ìåáåëü, èçäåëèÿ èç ñåðåáðà, çåðêàëà - âñ¸ ýòî ëèøü áîëüøàÿ èãðà, êîãäà Âàøå íàñòðîåíèå ïîðòèòñÿ è Âû ÷óâñòâóåòå ïîòðåáíîñòü ñëîìàòü èëè âûáðîñèòü ÷òî-íèáóäü. Äàæå åñëè áû Âàø äâîðåö îãðàáèëè, çàìåòèë áû êòî-íèáóäü ðàçíèöó?;;x
EVTDESC91210;You order the construction of a massive bronze statue over the main entrance of [Root.Location.GetName] depicting yourself holding a raised sword, challenging the very heavens to strike you down if they dare. This generous gift to the people will help them remember your splendor and brilliance.;;;;;;;;;;;Âû ïðèêàçàëè óñòàíîâèòü îãðîìíóþ áðîíçîâóþ ñòàòóþ ó âõîäà â ãîðîä [Root.Location.GetName], îíà èçîáðàæàåò Âàñ äåðæàùèì ïîäíÿòûé ìå÷, áðîñàþùåãî âûçîâ ñàìèì íåáåñàì. Åñëè îíè îñìåëÿòñÿ ïðèíÿòü åãî. Ýòîò ùåäðûé äàð ëþäÿì ïîìîæåò èì ïîìíèòü î Âàøåì áëåñêå è âåëèêîëåïèè.;;x
EVTDESC91211;Your deceitfulness and guile sometimes serve you well, but it has also earned you a reputation among your subjects as someone who is not to be trusted. They simply do not see you as a man of honor.;;;;;;;;;;;Âàøà ñêëîííîñòü ê îáìàíó è õèòðîñòè âðåìåíàìè õîðîøà Âàì ñëóæèëà, íî òàêæå ïðèâåëà ê òîìó, ÷òî ñðåäè ïîääàííûõ Âû çàïîëó÷èëè ðåïóòàöèþ íåçàñëóæèâàþùåãî äîâåðèÿ ÷åëîâåêà. Îíè ïðîñòî íå âèäÿò â Âàñ ÷åñòíîãî ÷åëîâåêà.;;x
EVTDESC91212;While there are some rulers who take an active role in military affairs, the safety of the palace life is far more appealing to you. Why, if you ventured beyond the palace gates, something could hurt you!;;;;;;;;;;;Ïóñòü è åñòü íåêîòîðûå ïðàâèòåëè, ïðèíèìàþùèå àêòèâíîå ó÷àñòèå â âîåííûõ ïîõîäàõ, áåçîïàñíàÿ æèçíü âî äâîðöå Âàì êóäà ìèëåå. Âåäü ñòîèò òîëüêî âûéòè çà äâîðöîâûå âîðîòà, òàê ñðàçó êòî-íèáóäü òåáÿ èçóâå÷èò!;;x
EVTDESC91213;While there are always those who moan and mutter about the need to continually better oneself and strive for improvement, you are quite content with the way things are now. The land is yours to rule, you have a beautiful palace and the sun still shines warmly.;;;;;;;;;;;Õîòü è âñåãäà íàéäóòñÿ òå, êòî ñòîíóò è áîðìî÷óò î íåîáõîäèìîñòè áûòü ëó÷øå è ñòðåìèòüñÿ ê áîëüøåìó, Âû âïîëíå äîâîëüíû òåì, ÷òî ó Âàñ åñòü ñåé÷àñ. Çåìëè ïîä Âàøèì êîíòðîëåì, ó Âàñ ïðåêðàñíûé äâîðåö, à Ñîëíöå òàê ïðèÿòíî ñâåòèò.;;x
EVTDESC91214;Justice and the rule of law do not interest you, unless they happen to coincide with your own sense of how things should be. Many of your subjects are grumbling about how you seem to hold yourself above the laws they have to observe.;;;;;;;;;;;Ïðàâîñóäèå è âåðõîâåíñòâî çàêîíà Âàì íåèíòåðåñíû, áûâàåò êîíå÷íî, ÷òî îíè ñîâïàäàþò ñ Âàøèì ÷óâñòâîì òîãî, êàê âñ¸ äîëæíî áûòü. Â Âàøåì îêðóæåíèè ìíîãèå âîð÷àò, ÷òî Âû äåðæèòå ñåáÿ âûøå çàêîíà, êîòîðûé îáÿçàíû ñîáëþäàòü.;;x
EVTDESC91215;Your cynical view of all religious matters has resulted in you only observing those elements of the Muslim faith you find convenient and ignoring the rest. Some of your subjects are muttering about this lack of piousness on your part.;;;;;;;;;;;Âàøå öèíè÷íîå îòíîøåíèå êî âñåì ðåëèãèîçíûì âîïðîñàì ïðèâåëî ê òîìó, ÷òî Âû ñîáëþäàåòå ëèøü òå ýëåìåíòû ìóñóëüìàíñêîé âåðû, êîòîðûå íàõîäèòå óäîáíûìè, èãíîðèðóÿ îñòàëüíîå. Íåêîòîðûå èç Âàøåãî îêðóæåíèÿ ïîãîâàðèâàþò îá îòñóòñòâèè íàáîæíîñòè ñ Âàøåé ñòîðîíû.;;x
EVTDESC91216;You suspect everyone around you of treachery, to the point where your servants and staff are terrified of even breathing in your presence. The size and influence of your palace guard has increased tenfold as everything, good or bad, has to pass through them before reaching you.;;;;;;;;;;;Âû ïîäîçðåâàåòå âñåõ âîêðóã â ïðåäàòåëüñòâå äî òàêîé ñòåïåíè, ÷òî Âàøè ñëóãè áîÿòñÿ äàæå äûøàòü â Âàøåì ïðèñóòñòâèè. ×èñëåííîñòü äâîðöîâîé ñòðàæè è å¸ ïîëíîìî÷èÿ âîçðîñëè äåñÿòèêðàòíî, ëþáîé, áóäü îí äîáðûì èëè çëûì, îáÿçàí ïðîéòè ÷åðåç íå¸, ïðåæäå ÷åì óâèäèò Âàñ.;;x
EVTDESC91217;You take great pleasure in inflicting cruel punishments on your servants and subjects. If there is no reason to punish them, you find it easy enough to invent one.;;;;;;;;;;;Âû ñ áîëüøèì óäîâîëüñòâèåì æåñòîêî íàêàçûâàåòå Âàøèõ ñëóã è áëèçêèõ. Åñëè íèêàêîé ïðè÷èíû äëÿ íàêàçàíèÿ íåò, òî Âû ñ ë¸ãêîñòüþ å¸ âûäóìàåòå.;;x
EVTDESC91218;You always seem to be thinking several steps ahead of the people near you. There are few people alive who can match your mental prowess, and when your intellect is focused on a single problem, people know a solution will be found.;;;;;;;;;;;Ïîõîæå, ÷òî Âû âñåãäà ïðîäóìûâàåòå âñ¸ íà íåñêîëüêî øàãîâ äàëüøå, ÷åì îñòàëüíûå ëþäè. Íà ñâåòå âñåãî íåñêîëüêî ÷åëîâåê ìîãóò ñðàâíèòüñÿ ñ Âàìè â óìñòâåííûõ ñïîñîáíîñòÿõ. Åñëè Âàø óì âçÿëñÿ çà êàêóþ-ëèáî ïðîáëåìó, ëþäè çíàþò, ÷òî ðåøåíèå áóäåò íàéäåíî.;;x
EVTDESC91219;Your decision to put aside your carnal desires and lead a life of celibacy is applauded by the people, either because they admire your sacrifice or because they are relieved you are less likely to procreate.;;;;;;;;;;;Ëþäè àïëîäèðóþò Âàøåìó ðåøåíèþ çàáûòü ïðî ïëîòñêèå æåëàíèÿ è ñîáëþäàòü îáåò áåçáðà÷èÿ ëèáî ïîòîìó, ÷òî âîñõèùàþòñÿ Âàøåé æåðòâîé, ëèáî ïîòîìó, ÷òî îáëåã÷¸ííî âçäîõíóëè, îòòîãî ÷òî ó Âàñ ñêîðåå âñåãî íå áóäåò äåòåé.;;x
EVTDESC91220;As a dedicated scholar, you have gained many valuable insights from all the tomes you have studied. From the Quran to ancient treatises on farming techniques and history, there is great wisdom to be found in all.;;;;;;;;;;;Êàê ïåäàíòè÷íûé ó÷¸íûé, Âû ïî÷åðïíóëè ìíîãî öåííûõ ñîâåòîâ èç âñåõ êíèã, ÷òî ïðî÷ëè. Îò Êîðàíà è äî àíòè÷íûõ òðàêòàòîâ ïî ìåòîäàì âåäåíèÿ ñåëüñêîãî õîçÿéñòâà è èñòîðèè, â íèõ ìîæíî íàéòè âåëèêóþ ìóäðîñòü âî âñ¸ì.;;x
EVTDESC91221;Your chaste and virtuous lifestyle is held as an example even far beyond the borders of those lands belonging to you. If only all men lived thus.;;;;;;;;;;;Âàøà öåëîìóäðåííàÿ è äîáðîäåòåëüíàÿ æèçíü ñòàâèòüñÿ â ïðèìåð äàæå äàëåêî çà ïðåäåëàìè Âàøèõ çåìåëü. Åñëè áû âñå ëþäè æèëè ïîäîáíî Âàì.;;x
EVTDESC91222;Where other rulers often abuse their positions and give in to excess, you have always valued moderation in all things. This quality is admired by the people you rule.;;;;;;;;;;;Â òî âðåìÿ, êîãäà äðóãèå ïðàâèòåëè íåðåäêî çëîóïîòðåáëÿþò ñâîèì ïîëîæåíèåì è ïðåäàþòñÿ èçëèøåñòâàì, Âû âñåãäà öåíèëè óìåðåííîñòü âî âñ¸ì. Ýòî êà÷åñòâî âûçûâàåò âîñõèùåíèå ó ëþäåé, êîòîðûìè Âû ïðàâèòå.;;x
EVTDESC91223;You are always ready to give to those less fortunate than yourself, and when a rockslide destroyed the homes of several poor families in [Root.Location.GetName], you offered them temporary lodgings in your palace.;;;;;;;;;;;Âû âñåãäà ãîòîâû ïîìî÷ü òåì, êîìó ïîâåçëî ìåíüøå, ÷åì Âàì. Êîãäà îïîëçåíü ðàçðóøèë äîìà íåñêîëüêèõ áåäíûõ [Root.Location.County.GetAdjective]ñêèõ ñåìåé, Âû ïðåäëîæèëè èì âðåìåííî ïîæèòü â Âàøåì äâîðöå.;;x
EVTDESC91224;Your tireless and diligent work as their ruler has not gone unnoticed by your people. Some have dubbed you 'He Who Appears Everywhere' and claim you possess supernatural powers to exist in more than one place at once.;;;;;;;;;;;"Âàø íåóòîìèìûé è äîáðîñîâåñòíûé òðóä ïðàâèòåëÿ íå îñòàëñÿ íåçàìå÷åí Âàøèì íàðîäîì. Êîå-êòî ïðîçâàë Âàñ ""Ò[Root.GetEtaEtot], êòî óñïåâàåò ïîâñþäó"", óòâåðæäàþò, ÷òî Âû îáëàäàåòå ñâåðõúåñòåñòâåííûìè ñïîñîáíîñòÿìè, è ìîæåòå áûòü â íåñêîëüêèõ ìåñòàõ îäíîâðåìåííî.";;x
EVTDESC91225;You have become renowned for your kind rule, and your people love you for it. There are those who would call you soft, but even they are impressed by the devotion your subjects show you.;;;;;;;;;;;Âû ïðîñëàâèëèñü ñâîèì äîáðûì ïðàâëåíèåì, Âàø íàðîä ëþáèò Âàñ çà ýòî. Åñòü òå, êòî íàçâàë áû Âàñ ñëàá[Root.GetOyYm], íî è îíè íàõîäÿòñÿ ïîä âïå÷àòëåíèåì îò òîé ïðåäàííîñòè, ÷òî äåìîíñòðèðóþò Âàøè ïîääàííûå.;;x
EVTDESC91226;Your ability to plan for the long-term and see the big picture has served you well as a ruler. Future generations will thank you for the work you do today!;;;;;;;;;;;Âàøà ñïîñîáíîñòü ïëàíèðîâàòü íà äîëãîñðî÷íóþ ïåðñïåêòèâó è âèäåòü îáùóþ êàðòèíó õîðîøî ñëóæèò Âàì, êàê ïðàâèòåëþ. Áóäóùèå ïîêîëåíèÿ áóäóò áëàãîäàðíû Âàì çà òó ðàáîòó, ÷òî Âû äåëàåòå ñåãîäíÿ!;;x
EVTDESC91227;You always strive to be humble, never forgetting the roots of yourself and your ancestors. There are many lessons from the past that must still be heeded today.;;;;;;;;;;;Âû âñåãäà ñòðåìèëèñü áûòü ñêðîìí[Root.GetOyYm], íèêîãäà íå çàáûâàÿ î ñâîèõ êîðíÿõ, ñâîèõ ïðåäêàõ. Åñòü ìíîãî óðîêîâ ïðîøëîãî, êîòîðûå åù¸ äîëæíû áûòü óñëûøàíû ñåãîäíÿ.;;x
EVTDESC91228;Your honest nature and tendency to speak what is on your mind has ruffled a few feathers in the past, but it has also earned you great respect. People know that your words ring true.;;;;;;;;;;;Âàø ÷åñòíûé õàðàêòåð è ñêëîííîñòü ãîâîðèòü òî, ÷òî íà óìå, íåìàëî äîñàæäàëè Âàì â ïðîøëîì, íî òàêæå ñíèñêàëè ãëóáîêîå óâàæåíèå îêðóæàþùèõ. Ëþäè çíàþò, ÷òî â Âàøèõ ñëîâàõ òîëüêî ïðàâäà.;;x
EVTDESC91229;Your enemies would accuse you of many things, but not even they would label you a coward. It is well known that you are fearless and always willing to share the dangers faced by your men.;;;;;;;;;;;Âàøè íåäðóãè ìíîãî â ÷¸ì Âàñ îáâèíÿëè, íî äàæå îíè íå ïîñìåëè áû ñêàçàòü, ÷òî Âû òðóñ. Õîðîøî èçâåñòíî, ÷òî Âû áåññòðàøíû è âñåãäà ãîòîâû ðàçäåëèòü óãðîçû, ñ êîòîðûìè ñòàëêèâàþòñÿ Âàøè ëþäè.;;x
EVTDESC91230;You are an ambitious man, always striving to improve and do better. The people know this, and though some of your decisions may be unpopular, they are usually at least seen as progressive.;;;;;;;;;;;Âû àìáèöèîçíû, âñåãäà ñòðåìèòåñü ñîâåðøåíñòâîâàòüñÿ è áûòü ëó÷øå. Ëþäÿì ýòî èçâåñòíî, ïóñòü íåêîòîðûå èç Âàøèõ ðåøåíèé íåïîïóëÿðíû, îíè, êàê ïðàâèëî, îêàçûâàþòñÿ ïðîãðåññèâíûìè.;;x
EVTDESC91231;Just and fair in all things, your people rest easy in the knowledge that no matter what, you can always be depended on to observe the rule of law.;;;;;;;;;;;Ñïðàâåäëèâîñòü è ÷åñòíîñòü âî âñ¸ì. Âàø íàðîä ñïîêîåí, çíàÿ, ÷òî ÷òîáû íè ñëó÷èëîñü, Âû âñåãäà áóäåòå ÷òèòü âåðõîâåíñòâî çàêîíà.;;x
EVTDESC91232;No one can question your devotion to Allah and the teachings of his Prophet (peace be upon him). You can always be counted on to put your faith ahead of yourself.;;;;;;;;;;;Íèêòî íå ìîæåò ïîñòàâèòü ïîä ñîìíåíèå Âàøó ïðåäàííîñòü Àëëàõó è ó÷åíèþ åãî Ïðîðîêà (ìèð åìó è áëàãîñëîâåíèå). Âû âñåãäà ìîæåòå ðàññ÷èòûâàòü íà òî ,÷òî Âàøà âåðà âåä¸ò Âàñ âïåð¸ä.;;x
EVTDESC91233;You have proven your devotion to Allah (may He be glorified and exalted) by making war against the enemies of Islam. As one of the mujahideen, you are acknowledged to have fought in a Jihad.;;;;;;;;;;;Âû äîêàçàëè ñâîþ ïðåäàííîñòü Àëëàõó (äà áóäåò ñëàâåí Îí è âîçâûøåí!), îáúÿâèâ âîéíó âðàãàì èñëàìà. Êàê îäèí èç ìîäæàõåäîâ, Âû ïðèçíàííûé ó÷àñòíèê Äæèõàäà.;;x
EVTDESC91234;You have completely memorized the Quran, an accomplishment that not only shows your devotion to Allah (glorified and exalted be He), but which has also won you great respect as a ruler.;;;;;;;;;;;Âû ïîìíèòå Êîðàí íàèçóñòü, äîñòèæåíèå, êîòîðîå ïîêàçûâàåò íå òîëüêî Âàøó ïðåäàííîñòü Àëëàõó (äà áóäåò ñëàâåí Îí è âîçâûøåí!), íî òàêæå çàâî¸âûâàåò Âàì óâàæåíèå êàê ïðàâèòåëþ.;;x
EVTDESC91235;It is a well known fact that you have completed the Hajj and thus shown your submission and devotion to Allah (may He be glorified and exalted). Whatever else they may say about you, no one can take this away.;;;;;;;;;;;Õîðîøî èçâåñòíî, ÷òî Âû ñîâåðøèëè õàäæ è òåì ñàìûì ïîêàçàëè Âàøó ïîêîðíîñòü è ïðåäàííîñòü Àëëàõó (äà áóäåò ñëàâåí Îí è âîçâûøåí!). ×òî áû î Âàñ íè ãîâîðèëè, íèêòî ó Âàñ ýòîãî íå îòíèìåò.;;x
EVTDESC91240;After a brutal civil war, the decadent dynasty of my former liege has finally been overthrown by the [Root.Liege.GetOnlyDynastyName] clan. In the transitional chaos, I could probably get away with a declaration of independence...;;;;;;;;;;;Ïîñëå óæàñíîé ãðàæäàíñêîé âîéíû, äèíàñòèÿ ìîåãî áûâøåãî ñþçåðåíà, íàõîäÿùàÿñÿ â óïàäêå, áûëà íàêîíåö ñâåðãíóòà ðîäîì [Root.Liege.GetOnlyDynastyName]. Â õàîñå ìåæäóöàðñòâèÿ, ÿ ìîãó ïðîâîçãëàñèòü íåçàâèñèìîñòü...;;x
EVTDESC91241;The ruling dynasty of [FromFrom.PrimaryTitle.GetName] has been overthrown by the zealous and hard-living tribesmen of the [From.GetOnlyDynastyName] dynasty. Their decadent [FromFrom.PrimaryTitle.GetTier] has been toppled, freeing any vassals from their bondage to the unworthy [FromFrom.GetTitle]. With the [FromFrom.PrimaryTitle.GetTier] gone, time will tell if a worthy dynasty will be up to the task of restoring authority to the region.;;;;;;;;;;;Ïðàâÿùàÿ äèíàñòèÿ [FromFrom.PrimaryTitle.GetAdjective]ñêîãî ãîñóäàðñòâà áûëà ñâåðãíóòà íàáîæíûìè è çíàòíûìè ñîïëåìåííèêàìè èç äèíàñòèè [From.GetOnlyDynastyName]. Òåïåðü âðåìÿ ïîêàæåò, ñïðàâÿòñÿ ëè îíè ñ ýòîé çàäà÷åé, óäàñòñÿ ëè èì âåðíóòü áûëîå âåëè÷èå ýòèõ çåìåëü.;;x
EVTDESC91300;I had the spice merchant beaten for the contemptuous look he gave me. Apparently, there are many who think I have grown soft and decadent, lost to vices and indulging in haram!;;;;;;;;;;;Â÷åðà ÿ èçáèë òîðãîâöà ïðÿíîñòÿìèè çà òî, ÷òî òîò ïîñìåë âçãëÿíóòü ìíå â ãëàçà. Òåïåðü, âåðîÿòíî, ìíîãèå äóìàþò, ÷òî ÿ ðàçìÿê, ïîãðÿç â ãðåõå è ðàçâðàòå. Ñòàë ïðîêëÿòûì äåêàäàíòîì.;;x
EVTDESC91350;My [GetFromFromRelation] [FromFrom.GetBestName] has let me know that my sinful living shames the entire dynasty. [FromFrom.GetSubjectPronounCap] is exerting [FromFrom.GetPossPronoun] influence to shield House [Root.GetDynName], but strongly urges me to seek guidance in the perfect example set by the Prophet (peace be upon him.);;;;;;;;;;;Ì[FromFrom.GetOyaOy] [FromFrom.GetRootRelation] [FromFrom.GetBestName] óòâåðæäàåò, ÷òî ìîé ãðåõîâíûé îáðàç æèçíè ïîçîðèò âñþ äèíàñòèþ. [FromFrom.GetSubjectPronounCap] èñïîëüçóåò ñâî¸ âëèÿíèå, ÷òîáû çàùèòèòü äîì [Root.GetOnlyDynastyName], íî íàñòîÿòåëüíî ðåêîìåíäóåò ìíå èñêàòü íàïóòñòâèÿ â ëèöå èäåàëüíîãî ïðèìåðà, ïîäàííîãî Ïðîðîêîì (äà áëàãîñëîâèò åãî Àëëàõ).;;x
EVTDESC91351;My decadent [GetFromRelation] [From.GetBestName] refuses to change [From.GetPossPronoun] sinful ways. I can declare [From.GetObjectPronoun] a kafir, which will give me a reason to imprison the degenerate... unless there is another way to get through to [From.GetObjectPronoun].;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetBestName] îòâåðãàåò âñÿêóþ âîçìîæíîñòü èçáàâèòüñÿ îò ñâîåãî ãðåõà è ïîðîêà. Çà ýòî ÿ ìîãó îáúÿâèòü [From.GetHersHis] êàôèðîì, ÷òî äàñò ìíå âîçìîæíîñòü áðîñèòü âûðîäêà â òåìíèöó, äî òåõ ïîð ïîêà ÿ íå ïðèäóìàþ äðóãîãî ïóòè äîñòó÷àòüñÿ äî í[From.GetHersHis].;;x
EVTDESC91352;My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetBestName] ïîíèìàåò, ÷òî ïðîæèâàåò ñâîþ æèçíü â ñîîòâåòñòâèè ñ çàïîâåäÿìè õàðàìà, è óáåæäàåò ìåíÿ, ÷òî [From.GetHerHim] óäàëîñü âñòàòü íà äðóãîé ïóòü.;;x
EVTDESC91355;My [GetFromRelation] [From.GetTitledFirstName] just will not give up. [From.GetSubjectPronounCap] makes some most persuasive arguments about why I need to overcome my forbidden, haram, desires. For the sake of my soul, my dynasty and my religion, I need to repent.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName] âñ¸ íèêàê íå ñäà¸òñÿ. [From.GetSubjectPronounCap] ïðèâîäèò âñ¸ íîâûå àðãóìåíòû â ïîëüçó òîãî, ÷òî ìíå ñëåäóåò îòêàçàòüñÿ îò ñâîèõ ãðåõîâíûõ ïðèâû÷åê è íà÷àòü æèçíü, êàê âåëèò õàðàì. Ðàäè ñïàñåíèÿ ñâîåé äóøè, äèíàñòèè è ðåëèãèè, ìíå íóæíî ðàñêàÿòüñÿ.;;x
EVTDESC91356;I just cannot get through to my wastrel [GetFromRelation] [From.GetFirstName]! [From.GetSubjectPronounCap] is simply too weak and obstinate.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] ñëèøêîì ñëàá[From.GetEndA] è óïðÿì[From.GetEndA]. ß íèêàê íå ìîãó äîñòó÷àòüñÿ äî í[From.GetHersHis]!;;x
EVTDESC91357;My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetBestName] îñîçíàë[From.GetEndA], ÷òî äîëæ[From.GetNaEn] ñëåäîâàòü çàâåòàì õàðàìà è çàâåðèë[From.GetEndA] ìåíÿ, ÷òî ñòðåìèòñÿ èçìåíèòüñÿ.;;x
EVTDESC91360;My [GetFromRelation] [From.GetTitledFirstName] is back to persuade my to abandon my forbidden, haram, desires. [From.GetSubjectPronounCap] quotes the Koran and the Hadiths like a mufti and threatens me with the fires of Jehennom in the afterlife...;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName] ñíîâà ïûòàåòñÿ óáåäèòü ìåíÿ îòêàçàòüñÿ îò ìîèõ çàïðåòíûõ õàðàìñêèõ æåëàíèé. [From.GetSubjectPronounCap] öèòèðóåò Êîðàí è Õàäèñ, êàê ìóôòèé è óãðîæàåò ìíå îãíÿìè Äæàõàííàìà â ïîñìåðòèè...;;x
