#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME6301;The Turnip Act;;;;;;;;;;;Båëèêèé Çàêîí Ðåïû.;;x
EVTDESC6021;I was later told that my strange behavior and fear of the moon was caused by the voices in my head. The [Root.Religion.GetPriestTitle] managed to clear my head of voices and now I have total silence.;;;;;;;;;;;Ïîòîì ìíå ðàññêàçàëè, ÷òî ìî¸ ñòðàííîå ïîâåäåíèå è ñòðàõ ïåðåä ëóíîé áûëè âûçâàíû ãîëîñàìè â ìîåé ãîëîâå. [Root.Religion.GetPriestTitle] ñóìåë ïîìî÷ü ìíå ðàçîáðàòüñÿ â ìûñëÿõ, è ãîëîñà ïðîïàëè.;;x
EVTDESC6030;I am speaking in tongues, screaming obscenities at random times, most often when the [Root.Religion.GetPriestTitle] preaches and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.;;;;;;;;;;;ß ãîâîðþ íà íåïîíÿòíûõ ÿçûêàõ è êðè÷ó íåïðèñòîéíîñòè. Êîãäà [Root.Religion.GetPriestTitle] ñêëîíÿåòñÿ íàäî ìíîé è íà÷èíàåò ÷èòàòü ìîëèòâó, ÿ èçâèâàþñü îò áîëè. ß ïëîõî âñ¸ ïîìíþ, íî ëþäè ãîâîðÿò î ìîåé îäåðæèìîñòè.;;x
EVTDESC6030_MUS;I am speaking in tongues, screaming obscenities at random times, most often when the imam is talking and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.;;;;;;;;;;;ß ãîâîðþ íà íåâåäîìûõ ÿçûêàõ, âûêðèêèâàþ íåïðèëè÷íûå ñëîâà â ñëó÷àéíûå ìîìåíòû âðåìåíè, ÷àùå âñåãî, êîãäà ãîâîðèò èìàì, èíîãäà ëåæó íà çåìëå êîð÷àñü îò áîëè. ß ðåäêî ïîìíþ ýòî è ëþäè ñ÷èòàþò ìåíÿ îäåðæèìûì.;;x
EVTDESC6031;Vade retro satana!'\n\nThe priest's exorcism worked beautifully, I haven't spoken in tongues or screamed obscenities for several days!;;;;;;;;;;;Vade retro satana!\n\nÑâÿùåííèê ïðåêðàñíî ïîðàáîòàë. Óæå íåñêîëüêî äíåé ìîè ìûñëè ÿñíû.;;x
EVTDESC6031_ALL;As the [Root.Religion.GetPriestTitle] slowly pulled me out of the holy spring, the water started boiling and frothing, paint running off the arcane runes smeared on my naked body. Filled with wonder, I realized that the gibbering voices in my head had finally fallen silent!;;;;;;;;;;;Êîãäà [Root.Religion.GetPriestTitle] ìåäëåííî âûíóë ìåíÿ èç ñâÿòîãî èñòî÷íèêà, âîäà íà÷àëà êèïåòü è ïåíèòüñÿ, êðàñêà ñòàëà ñìûâàòüñÿ ñ ðóí, íà÷åðòàííûõ íà ìî¸ì òåëå. È òåïåðü â ïîëíîì èçóìëåíèè ÿ íà÷èíàþ îñîçíàâàòü, ÷òî íåâíÿòíûå ãîëîñà â ìîåé ãîëîâå íàêîíåö-òî çàìîë÷àëè.;;x
EVTDESC6031_MUS;By reciting The Throne Verse from the Qur'an and invoking Allah's help the imam managed to repair the damage in me caused by sihr or witchcraft. To be on the safe side, we also recited together the three last suras from the Qur'an: Surat al-Ikhlas (The Fidelity), Surat al-Falaq (The Dawn) and Surat al-Nas (Mankind).;;;;;;;;;;;Öèòèðóÿ àÿò Ïðåñòîëà èç Êîðàíà è ìîëÿ Àëëàõà î ïîìîùè, èìàìó óäàëîñü óñòðàíèòü âðåä, ïðè÷èí¸ííûé ìíå êîëäîâñòâîì èëè ÷¸ðíîé ìàãèåé. Äëÿ ïóùåé áåçîïàñíîñòè, ìû âìåñòå òàêæå ïðî÷ëè òðè ïîñëåäíèå ñóðû èç Êîðàíà: ñóðó àëü-Èõëàñ (Î÷èùåíèå âåðû), ñóðó àëü-Ôàëÿê (Ðàññâåò) è ñóðó àí-Íàñ (Ëþäè).;;x
EVTDESC6040;My moodiness and tendency to lash out at people is getting worse. I sleep too little and can't seem to stop worrying.;;;;;;;;;;;Ìîÿ êàïðèçíîñòü è ïåðåìåí÷èâîñòü íàñòðîåíèÿ óñèëèâàþòñÿ. ß ìàëî ñïëþ, è íå ìîãó ïåðåñòàòü áåñïîêîèòüñÿ.;;x
EVTDESC6041;The world will not weigh me down anymore, I have a new spring in my step, joy in my heart and a smile on my face.;;;;;;;;;;;Ýòîò ìèð áîëüøå ìåíÿ íå òÿãîòèò, äëÿ ìåíÿ íàñòàëà íîâàÿ âåñíà, â ìî¸ì ñåðäöå ïîÿâèëàñü ðàäîñòü, à íà ëèöå óëûáêà.;;x
EVTDESC6050;I find myself lying in bed all day, the act of getting up almost as difficult as that of ruling. Food tastes bland, and my time spent with friends doesn't bring the joy it once did. I don't really understand why, but I hate my life.;;;;;;;;;;;Ïî÷òè âåñü äåíü ÿ íå âûëåçàþ èç ïîñòåëè. Âñòàâàòü ïî÷òè òàê æå ñëîæíî, êàê è óïðàâëÿòü. Åäà ïîòåðÿëà ïðåæíèé âêóñ, à âðåìÿ, ïðîâåä¸ííîå ñ äðóçüÿìè, íå ïðèíîñèò òîé ðàäîñòè, êîòîðàÿ áûëà êîãäà-òî. Íå ïîíèìàþ ïî÷åìó, íî ÿ íåíàâèæó ñâîþ æèçíü...;;x
EVTDESC6051;After a couple of days just spending some time doing things I love, hunting, reading and visiting friends, life does not seem as grey as it did before.;;;;;;;;;;;×åðåç íåñêîëüêî äíåé ïîñëå òîãî êàê ÿ íà÷àë äåëàòü òî, ÷òî ìíå íðàâèòñÿ - îõîòèòüñÿ, ÷èòàòü è ïðîâîäèòü âðåìÿ ñ äðóçüÿìè, æèçíü íà÷àëà êàçàòüñÿ ìíå íå òàêîé ñåðîé êàê ðàíüøå.;;x
EVTDESC6060;I don't feel too well, something is wrong with me. I am burning up with fever, my nose is running and my head feels as if someone is banging something hard against it.;;;;;;;;;;;ß ñåáÿ íå î÷åíü õîðîøî ÷óâñòâóþ. Ñãîðàþ îò æàðà, èç íîñà òå÷¸ò, à ãîëîâà áîëèò òàê, êàê áóäòî ïî íåé óäàðèëè ÷åì-òî òÿæ¸ëûì.;;x
EVTDESC6061;I woke this morning feeling much better. It seems that my illness has passed.;;;;;;;;;;;Ïðîñíóâøèñü ñåãîäíÿ óòðîì, ÿ çàìå÷àþ, ÷òî ÷óâñòâóþ ñåáÿ íàìíîãî ëó÷øå. Õâîðü îòñòóïèëà!;;x
EVTDESC6062;Nana says I am not sick anymore.;;;;;;;;;;;Íÿíÿ ñêàçàëà, ÷òî ÿ áîëüøå íå áîëåþ.;;x
EVTDESC6070;This cough is killing me! It started as chest pain and shortness of breath, then I started coughing up phlegm and now blood!;;;;;;;;;;;Ýòîò êàøåëü ìåíÿ óáèâàåò! Ñíà÷àëà ÿ ÷óâñòâîâàë áîëü â ãðóäè è çàòðóäíåííîå äûõàíèå, çàòåì ÿ íà÷àë[Root.GetEndA] êàøëÿòü ìîêðîòîé, à òåïåðü êðîâüþ!;;x
EVTDESC6071;The cough disappeared, thank [Root.Religion.GetRandomGodName]! I still feel a bit weak but the coughing, the chest pain and the shortness of breath are gone.;;;;;;;;;;;Î, [Root.Religion.GetRandomGodName], íàêîíåö-òî êàøåëü èñ÷åç! ß âñ¸ åù¸ ÷óâñòâóþ ñëàáîñòü, íî áîëü â ãðóäè è îäûøêà èñ÷åçëè.;;x
EVTDESC6080;When the hot cautery touched the open wound, I couldn't hold the scream back. I cursed the doctor who only laughed, told me to take it easy and not pick on the wound.;;;;;;;;;;;Êîãäà ãîðÿ÷åå æåëåçî êîñíóëîñü îòêðûòîé ðàíû, ÿ íå ñìîã[Root.GetNoneE] óäåðæàòüñÿ îò êðèêà. ß ïðîêëèíàë[Root.GetEndA] âðà÷à, êîòîðûé òîëüêî ðàññìåÿëñÿ, ñêàçàë ìíå óñïîêîèòüñÿ è íå òðîãàòü ðàíó.;;x
EVTDESC6081;The old wound has finally healed, leaving a pretty grotesque scar behind.;;;;;;;;;;;Ñòàðàÿ ðàíà îêîí÷àòåëüíî çàæèëà, îñòàâëÿÿ äîâîëüíî ãðîòåñêíûé øðàì.;;x
EVTDESC6082;An old wound is aggravating and painful;;;;;;;;;;;Íîþò ñòàðûå ðàíû.;;x
EVTDESC6100;My body may be sapless and infirm, but my mind is as healthy as ever!;;;;;;;;;;;Ìî¸ òåëî ìîæåò áûòü ñóõîå è íåìîùíîå, íî ìîé óì çäîðîâ, êàê íèêîãäà!;;x
EVTDESC6110;Where am I? Who are these people? Oh, pretty colors...;;;;;;;;;;;Ãäå ÿ? Êòî ýòè ëþäè? Îõ, êàêèå öâåòà...;;x
EVTDESC6111;I haven't coughed for days and the pain is gone. Fate has granted me reprieve.;;;;;;;;;;;ß íå êàøëÿë â òå÷åíèå íåñêîëüêèõ äíåé, è áîëü óøëà. Ñóäüáà ïðåäîñòàâèëà ìíå ïåðåäûøêó.;;x
EVTDESC6112;I feel weak as a babe, but the cursed fever has finally broken!;;;;;;;;;;;ß ÷óâñòâóþ ñëàáîñòü êàê ó ðåá¸íêà, íî ïðîêëÿòàÿ ëèõîðàäêà íàêîíåö-òî ïðîøëà!;;x
EVTDESC6113;The spots are receding and the fever has broken. Am I really cured?;;;;;;;;;;;Ïÿòíà èñ÷åçàþò, è ëèõîðàäêà ïðîõîäèò. ß äåéñòâèòåëüíî èçëå÷è[Root.GetLasLsya]?;;x
EVTDESC6114;I am alive... I AM ALIVE!;;;;;;;;;;;ß æèâ[Root.GetEndA]... ß æèâ[Root.GetEndA]!;;x
EVTDESC6115;It takes more to kill me than measly measles!;;;;;;;;;;;Êàêàÿ-òî íè÷òîæíàÿ êîðü íå ñìîæåò óáèòü ìåíÿ!;;x
EVTDESC6116;I think I made it through this cursed disease.;;;;;;;;;;;ß äóìàþ, ýòà ïðîêëÿòàÿ áîëåçíü óæå ïðîøëà.;;x
EVTDESC6200;This voice calling to me, telling me I was a bad person, telling me how evil I was. I realized that this was no ordinary voice, this was Jesus Christ, our Lord and saviour himself. I knew that I would have to live a better life.;;;;;;;;;;;Ãîëîñ çîâ¸ò ìåíÿ, ãîëîñ ãîâîðèò ìíå, ÷òî ÿ ãðåøíè[Root.GetTsaK], Ãîëîñ ãîâîðèò, êàê íèçêî ÿ ïàë[Root.GetEndA]. Ýòî íå îáû÷íûé ãîëîñ, ýòî ãîëîñ Ãîñïîäà íàøåãî, Èèñóñà Õðèñòà. ß çíàë[Root.GetEndA], ÷òî äëÿ ìåíÿ íàñòàíóò ëó÷øèå âðåìåíà.;;x
EVTDESC6201;Jesus Christ our Lord has commanded me to give more to the poor. I cannot ignore his calling.;;;;;;;;;;;Èèñóñ Õðèñòîñ ïðèêàçàë ìíå æåðòâîâàòü áåäíÿêàì. ß íå ñìåþ îñëóøàòüñÿ.;;x
EVTDESC6202;My sin is too great so I must show repentance. I care not what others think Heaven is only for the truly repentant. I will don the cilice to show the depth of my repentance.;;;;;;;;;;;Ìîé ãðåõ îãðîìåí - íàäî ïîêàÿòüñÿ. ß çàáî÷óñü íå î òîì, ÷òî ïîäóìàþò îñòàëüíûå. Âåäü Ðàé òîëüêî äëÿ èñòèííî ðàñêàÿâøèõñÿ.;;x
EVTDESC6203;I saw a hairy star in the sky, I swear it to be true. 'Twas the color of blood I tell thee. It was if the Lord God himself was bleeding.;;;;;;;;;;;ß âèäåë[Root.GetEndA] óæàñíóþ çâåçäó â íåáå, ÿ êëÿíóñü, ýòî ïðàâäà. Îíà áûëà öâåòà êðîâè. Ýòî ìîãëî ïðîèçîéòè, òîëüêî åñëè Ãîñïîäü èñòåêàåò êðîâüþ.;;x
EVTDESC6204;For too long I have pandered to my lustful yearning, Jesus tells me it is a mortal sin, I must stop it now. ;;;;;;;;;;;Ñëèøêîì äîëãî ìíîþ âëàäåëà æàæäà ïîõîòè. Èèñóñ ãîâîðèò ìíå, ÷òî ýòî - ñìåðòíûé ãðåõ. Ìíå íóæíî îñòàíîâèòü ýòî íåìåäëåííî!;;x
EVTDESC6205;The life of virtuous is not easy, but Jesus commands me to resist the carnal urges.;;;;;;;;;;;Äîáðîäåòåëüíàÿ æèçíü íå ëåãêà, íî Èèñóñ ïîâåëåâàåò ìíå ñîïðîòèâëÿòüñÿ ïëîòñêèì æåëàíèÿì.;;x
EVTDESC6206;I hear him admonish me, I should not be eating for the sole motive of sensual gratification. I must stop.;;;;;;;;;;;ß ñëûøó, êàê îí ãîâîðèò ñî ìíîé. Ìíå íå ñòîèò ñòîëüêî åñòü ñ åäèíñòâåííîé öåëüþ ïîëó÷åíèÿ ïëîòñêèõ óäîâîëüñòâèé. ß äîëæ[Root.GetNaEn] îñòàíîâèòüñÿ.;;x
EVTDESC6207;The road to heaven is hard and demanding. Jesus tells me I must be self controlled and disciplined.;;;;;;;;;;;Äîðîãà â ðàé òÿæåëà è òðóäíà. Èèñóñ ãîâîðèò ìíå êîíòðîëèðîâàòü ñåáÿ è ñòàòü äèñöèïëèíèðîâàííûì ÷åëîâåêîì.;;x
EVTDESC6208;I try to justify it to him, but I know I lie not just to him, but to myself. I condemned things eternal for the sake of temporal things.;;;;;;;;;;;ß ñòàðàþñü îïðàâäàòü ýòî ïåðåä íèì, íî ÿ çíàþ, ÷òî ÿ ëãó íå òîëüêî åìó, íî è ñåáå. ß îáð¸ê âå÷íûå èñòèííû ðàäè âðåìåííûõ çàáàâ.;;x
EVTDESC6209;I feel the love of God infuse my soul. Jesus tells me it is only way to truly glorify God.;;;;;;;;;;;ß ÷óâñòâóþ, ÷òî ëþáîâü ê Áîãó íàïîëíèëà ìîþ äóøó. Èèñóñ ãîâîðèò ìíå, ÷òî ýòî åäèíñòâåííûé ñïîñîá ïî-íàñòîÿùåìó ïðîñëàâèòü Áîãà.;;x
EVTDESC6210;There was a Lion without, I though I would be slain in the Streets, but then the Lion said unto me let go your slothful ways and I realized who the Lion was.;;;;;;;;;;;"Ëåíèâåö ãîâîðèò: ""Ëåâ íà óëèöå! Ïîñðåäè ïëîùàäè óáüþò ìåíÿ!"". Íî ïîñëå Ëåâ ñêàçàë ìíå: îñòàâü ñâîþ ïðàçäíîñòü! È ÿ ïîíÿë[Root.GetEndA], êòî áûë òåì Ëüâîì.";;x
EVTDESC6211;I hear him whispering to me, that it is for me to glory God, not to leave it unto others. I shall do thus and be more diligent in my tasks.;;;;;;;;;;;ß ñëûøó êàê îí øåï÷åò ìíå, ÷òî óñåðäíûé òðóä - ýòî âñåãäà ïðîñëàâëåíèå Áîãà. ß òàê è ñäåëàþ è áóäó áîëåå óñåðäí[Root.GetOyYm] â ñâîèõ òðóäàõ.;;x
EVTDESC6212;My neighbor has quite probably the finest ass around, but then Jesus whispered to me that this was wrong.;;;;;;;;;;;Âïîëíå âîçìîæíî, ÷òî ó ìîåãî ñîñåäà ñàìûå ëó÷øèå îñëû â îêðóãå, íî Èèñóñ øåïíóë ìíå, ÷òî ýòî íå ïðàâèëüíî.;;x
EVTDESC6213;For too long I have felt incomplete, that my spirit was somehow lacking. Then the voice reminded me that the true fruit of the spirit was kindness. ;;;;;;;;;;;Ñëèøêîì äîëãî ìíå êàçàëîñü, ÷òî ÿ íå âñ¸ äåëàþ ïðàâèëüíî, ÷òî ìîåìó äóõó ÷åãî-òî íå õâàòàåò. Çàòåì âíóòðåííèé ãîëîñ íàïîìíèë ìíå, ÷òî íàñòîÿùåå ñîêðîâèùå äóõà - äîáðîòà.;;x
EVTDESC6214;For too long I have directed my anger towards those who dimply do not deserve it. Jesus whispered to me and reminded me that I should direct it those who had sinned.;;;;;;;;;;;Ñëèøêîì äîëãî ìîé ãíåâ íàïðàâëÿëñÿ íà òåõ, êòî ýòîãî íå çàñëóæèâàë. Èèñóñ îáðàòèëñÿ êî ìíå è íàïîìíèë, ÷òî ïðàâåäíûé ãíåâ íàïðàâëÿåòñÿ íà ãðåøíèêîâ.;;x
EVTDESC6215;I have been so quick to judge, I realize it now. The voice reminds me that I should seek what is good for all.;;;;;;;;;;;Òîëüêî ñåé÷àñ ìíå óäàëîñü îñîçíàòü, íàñêîëüêî íåâåðíûìè áûëè ìîè ñóæäåíèÿ. Ìîé âíóòðåííèé ãîëîñ íàïîìèíàåò ìíå, ÷òî íóæíî èñêàòü ðåøåíèå, êîòîðîå óñòðîèò âñåõ.;;x
EVTDESC6216;I am proud and I thought myself noble for I rejected all that was weak and insipid. Then the voice reminded me that I was rejecting God when I worshipped myself thus?;;;;;;;;;;;Ìîÿ ãîðäîñòü èçäàâíà ïîäïèòûâàëàñü ìûñëüþ î ñîáñòâåííîì áëàãîðîäñòâå è ïðåçðåíèè êî âñåìó ñëàáîìó è íèê÷¸ìíîìó. Íî âíóòðåííèé ãîëîñ íàïîìíèë ìíå, ÷òî, îòâåðãàÿ Áîãà, ÿ ïîêëîíÿþñü ñàìîìó ñåáå.;;x
EVTDESC6217;For too long I believed that it was the Greeks who would inherit the earth. Then Jesus whispered that is was simply a typo in my Bible and that in reality it was the meek.;;;;;;;;;;;"Ìíå âñåãäà êàçàëîñü, ÷òî ãðåêè áóäóò òåìè, êòî ïîêîðèò Çåìëþ. Çàòåì Èèñóñ øåïíóë ìíå, ÷òî â ìîåé áèáëèè ïðîñòî îïå÷àòêà, â äåéñòâèòåëüíîñòè ýòî ""êðîòêèå"".";;x
EVTDESC6218;Jesus whispers have become more frantic of late. He is worried that Satan has corrupted his words through his agents at the various ecumenical councils. He has asked me to seek out the good news that Philip brought so that I can understand the true role of Mary.;;;;;;;;;;;Ø¸ïîò Èèñóñà ñòàë íàñòîé÷èâåå â ïîñëåäíåå âðåìÿ. Îí îáåñïîêîåí òåì, ÷òî Ñàòàíà èñêàçèë Åãî ñëîâà ÷åðåç ñâîèõ ïðèñïåøíèêîâ â ðàçíûõ êîíöàõ ìèðà. Îí ïîïðîñèë ìåíÿ ðàçûñêàòü õîðîøèå íîâîñòè, êîòîðûå ïðèí¸ñ Ôèëèï, ÷òîáû ìíå óäàëîñü îáðåñòè ïîíèìàíèå èñòèííîé ðîëè Ìàðèè.;;x
EVTDESC6219;For too long I have felt powerless as our enemies advance, but lately Jesus has been promising me victories if only I can get command.;;;;;;;;;;;Äîëãèå ãîäû áåñïîìîùíîñòü äàâëåëà íàäî ìíîé, â òî âðåìÿ, êàê âðàãè ïðîäâèãàëèñü âïåð¸ä. Íî òåïåðü Èèñóñ ïîîáåùàë ìíå ïîáåäó, åñëè ÿ ñìîãó îáúåäèíèòü ëþäåé âîêðóã ñåáÿ.;;x
EVTDESC6220;Lately Jesus has fallen silent over military matters. I feel somehow lessened because without the Lord who am I?;;;;;;;;;;;Êîãäà íàñòàëî âðåìÿ âîåííûõ ñîâåòîâ, Èèñóñ çàìîë÷àë. ß ÷óâñòâóþ áåççàùèòíîñòü è îäèíî÷åñòâî. Êòî ÿ áåç Ãîñïîäà?;;x
EVTDESC6221;I felt the holy spirit fill me and just like the Apostles of yore I could speak in the tongues of many peoples, as the holy spirit gave me the power to express myself.;;;;;;;;;;;ß ÷óâñòâóþ, êàê Ñâÿòîé Äóõ íàïîëíÿåò ìåíÿ, è, êàê àïîñòîëû ïðîøëîãî, ÿ ìîãó ãîâîðèòü íà ìíîãèõ ÿçûêàõ. Ñâÿòîé Äóõ äàë ìíå ñèëû âûðàçèòü ñåáÿ.;;x
EVTDESC6222;The holy spirit left me and I felt lessened. Some cynics commented that I was finally sober, but they did not understand what the true love of the Lord felt like.;;;;;;;;;;;Ñâÿòîé äóõ ïîêèíóë ìåíÿ è ÿ ÷óâñòâóþ îïóñòîø¸ííîñòü. Íåêîòîðûå öèíèêè ñêàçàëè, ÷òî ýòî òðåçâîñòü, íî îíè ïðîñòî íå ïîíèìàþò, ÷òî çíà÷èò èñïûòûâàòü íàñòîÿùóþ ëþáîâü Ãîñïîäà.;;x
EVTDESC6223;I had been hearing a voice for some time now but I couldn't quite place it. Then I felt its presence fill me and it did not feel divine.;;;;;;;;;;;ß ñëûøó ãîëîñ âíóòðè ñåáÿ íåêîòîðîå âðåìÿ, íî íå óçíàþ åãî. ß ÷óâñòâóþ, ÷òî åãî ïðèñóòñòâèå çàïîëíÿåò ìåíÿ, è ïîíèìàþ, ÷òî íå îùóùàþ íè÷åãî áîæåñòâåííîãî.;;x
EVTDESC6224;I wasn't sure what to do, when [Root.Religion.GetRandomEvilGodName] himself whispered to me. I should talk to one of the denizens of my dungeon.  As I listened to the prisoner's appeal for mercy Satan whispered to me once more that they weren't very sincere. Perchance a little time on the rack would help him.;;;;;;;;;;;ß íå çíàþ, ÷òî äåëàòü, êîãäà ñàì [Root.Religion.GetRandomEvilGodName] øåï÷åò ìíå. Íóæíî ïîãîâîðèòü ñ îäíèì èç îáèòàòåëåé ìîåãî ïîäçåìåëüÿ. ß ñëûøó ìîëüáû ïëåííèêà î ìèëîñåðäèè, à Ñàòàíà øåï÷åò ìíå âíîâü, ÷òî ìîëüáû íå î÷åíü òî è èñêðåííè. Ìîæåò áûòü, íåìíîãî âðåìåíè íà äûáå ìîãëè áû ïîìî÷ü åìó.;;x
EVTDESC6225;He came to me while I slept, it seemed almost as if it was a dream. He had three heads, the body of a man, the legs of a cock and the tail of a serpent. He taught me something about myself that I had always known but denied.;;;;;;;;;;;Ñàòàíà ïðèø¸ë êî ìíå âî ñíå, è îêàçàëñÿ ïî÷òè òàêèì, êàêèì ÿ åãî ïðåäñòàâëÿë[Root.GetEndA] - òðè ãîëîâû, òåëî ÷åëîâåêà, íîãè ïåòóõà è õâîñò çìåè. Îí ïîâåäàë êîå-÷òî îáî ìíå, ÷òî ÿ, êîíå÷íî, è òàê âñåãäà çíàë[Root.getEndA], íî îòêàçûâà[Root.GetLasLsya] ïîâåðèòü.;;x
EVTDESC6226;As I sat and looked at the fish course, the fish spoke to me and reminded me that my neighbor's titles were rich and should be mine.;;;;;;;;;;;ß ñèæó è ñìîòðþ íà ðûáó... È âîò ðûáà çàãîâîðèëà ñî ìíîé è íàïîìíèëà ìíå, ÷òî ó áëèæíåãî ìîåãî åñòü áîãàòûå òèòóëû è îíè äîëæíû áûòü ìîèìè.;;x
EVTDESC6227;Asmodeus asked me why I was denying myself sensual pleasures. I told him it was sin and he reminded me that the Lord God himself had commanded that we should go forth and multiply.;;;;;;;;;;;Àñìîäåé ñïðîñèë ìåíÿ, ïî÷åìó ÿ îòêàçûâàþ ñåáå â ÷óâñòâåííûõ óäîâîëüñòâèÿõ. ß ãîâîðþ åìó, ÷òî ýòî ãðåõ, è îí íàïîìíèë ìíå, ÷òî ñàì Ãîñïîäü Áîã âåëåë íàì, ÷òîáû ìû ïëîäèëèñü è ðàçìíîæàëèñü.;;x
EVTDESC6228;I told Asmodeus that lust is a sin against God, and he whispered quietly that I am made in God's image. If I have these urges then it is only because God does too.;;;;;;;;;;;ß ãîâîðþ Àñìîäåþ, ÷òî ïîõîòü - ãðåõ, ïðîòèâíûé Áîãó, è îí ïðîøåïòàë ñïîêîéíî, ÷òî ÿ - òâîðåíèå, ñîçäàííîå ïî ïîäîáèþ Áîæüåìó. Åñëè ó ìåíÿ åñòü ïîäîáíûå æåëàíèÿ, òî òîëüêî ïîòîìó, ÷òî Áîã èìååò òàêèå æå.;;x
