EVTOPTFUS_FROM_TRUTH_BOMB_TT;§Y[From.GetFirstName]§! might be pleased with you.;;;;;;;;;;;Âîçìîæíî, §Y[This.GetFirstName]§! áóäåò äîâîë[This.GetSoftNaEn] Âàìè.;;x
EVTDESC_ZE_12236;My attemps to make contact with the other prisoner were met only with silence.;;;;;;;;;;;Ìîè ïîïûòêè íàëàäèòü êîíòàêò ñ äðóãèì çàêëþ÷¸ííûì çàêîí÷èëèñü íè÷åì. Â îòâåò íà çîâ, ÿ ñëûøàë[Root.GetEndA] ëèøü òèøèíó.;;x
EVTDESCA_ZE_12000;I've come across [haughty_events_char_1.GetTitledFirstNameWithNick] kissing one of the servant folk in a hallway.;;;;;;;;;;;Íåäàâíî ÿ çàìåòèë[Root.GetEndA], êàê [haughty_events_char_1.GetTitledFirstNameWithNick] öåëóåò êîãî-òî èç ïðèñëóãè â êîðèäîðå.;;x
EVTDESCA_ZE_12002;As I'm spending a pleasant moment alone with the attractive cook, the wretched child [From.GetFirstName] comes upon us and promptly starts chiding me about morals!;;;;;;;;;;;Ñåãîäíÿ, íàñëàæäàÿñü ïðåêðàñíûì ïîöåëóåì, ìíå ïðèøëîñü ïðåðâàòüñÿ, ïîòîìó ÷òî îáíàãëåâø[From.GetAyaIy] [From.GetFirstName] ïîñìåë[From.GetEndA] îò÷èòûâàòü ìåíÿ çà àìîðàëüíîå ïîâåäåíèå!;;x
EVTDESCA_ZE_12004;[From.GetTitledFirstName] didn't take kindly to my chiding. [From.GetSheHeCap] caught me and gave me a good beating.;;;;;;;;;;;[From.GetTitledFirstName] ðàçîçëè[From.GetLasLsya], óñëûøàâ ìîè ñëîâà. [From.GetSheHeCap] äîãíàë[From.GetEndA] è âûïîðîë[From.GetEndA] ìåíÿ.;;x
EVTDESCA_ZE_12006;[From.GetFirstName], the [GetRootFromInsult], went around and told everyone lies about me, as childish revenge for the deserved beating I gave [From.GetHerHim].;;;;;;;;;;;[From.GetFirstName], [GetRootFromInsult], òåïåðü õîäèò è æàëóåòñÿ âñåì íà ìåíÿ, íî âåäü [From.GetSheHe] ñóíóë[From.GetEndA] íîñ íå â ñâî¸ äåëî è çàñëóæèë[From.GetEndA] ýòó ïîðêó!;;x
EVTDESCA_ZE_12010;I have seen [affectionate_events_char_1.GetFirstName] looking at my new wooden toy animals.;;;;;;;;;;;ß âèäåë[Root.GetEndA], êàê [affectionate_events_char_1.GetFirstName] ñìîòðèò íà ìîè íîâûå äåðåâÿííûå èãðóøêè.;;x
EVTDESCA_ZE_12012;[From.GetFirstName] has much nicer toys than me, and [From.GetSheHe] asked me if I want to play with them.;;;;;;;;;;;[From.GetFirstName] ïðåäëîæèë[From.GetEndA] ìíå ïîèãðàòü ñ [From.GetHersHis] èãðóøêàìè. Ó í[From.GetHersHis] îíè ãîðàçäî ëó÷øå ÷åì ó ìåíÿ.;;x
EVTDESCA_ZE_12014;[From.GetFirstName] and me played all day with my toys.;;;;;;;;;;;[From.GetFirstName] è ÿ öåëûé äåíü èãðàëè ñ ìîèìè èãðóøêàìè.;;x
EVTDESCA_ZE_12016;[From.GetFirstName] let me play with [From.GetHerHis] toys all day and it was so much fun.;;;;;;;;;;;[From.GetFirstName] äàë[From.GetEndA] ìíå ïîèãðàòü ñ [From.GetHersHis] èãðóøêàìè âåñü äåíü è ýòî áûëî çäîðîâî.;;x
EVTDESCA_ZE_12020;I saw [timid_events_char_1.GetTitledFirstName] being chided publicly for stealing food from the personal stores of the [Root.Liege.GetTitle], but I know [timid_events_char_1.GetSheHe] was elsewhere at the time.;;;;;;;;;;;"Ïðîõîäÿ ïî êîðèäîðó, ÿ óñëûøàë[Root.GetEndA] êðèêè â õîëëå: ""×òî ñêàæåò [Root.Liege.GetTitle], êîãäà óçíàåò, ÷òî Âû êðàëè åäó èç [Root.Liege.GetHersHis] ëè÷íîé êëàäîâîé? ×åì Âû âîîáùå äóìàëè?!"" — [timid_events_char_1.GetTitledFirstName] âûñëóøèâàë[timid_events_char_1.GetEndA] ïóáëè÷íûå îáâèíåíèÿ, íå â ñèëàõ âîçðàçèòü. Íî ÿ çíàþ, ÷òî [timid_events_char_1.GetSheHe] íå ìîã[timid_events_char_1.GetNoneE] íè÷åãî óêðàñòü, [timid_events_char_1.GetHersHis] òàì âîîáùå íå áûëî.";;x
EVTDESCA_ZE_12022;I was wrongfully accused of stealing fine foods from the personal stores of the [Root.Liege.GetTitle]. I also know that young [From.GetFirstName] can confirm I was elsewhere when it happened, but [From.GetSheHe] has refused to step forward and confirm my innocence.;;;;;;;;;;;Ìíå îáâèíèëè â êðàæå åäû èç ëè÷íûõ çàïàñîâ íàøåãî ñþçåðåíà. ß çíàþ, ÷òî þí[From.GetAyaYy] [From.GetFirstName] ìîæåò ïîäòâåðäèòü, ÷òî ìåíÿ íå áûëî òàì, íî [From.GetSheHe] ïîáîÿ[From.GetLasLsya] âûñòóïèòü â ïîëüçó ìîåé íåâèíîâíîñòè.;;x
EVTDESCA_ZE_12024;[From.GetTitledFirstName] is very angry with me for not speaking up in [From.GetHerHis] defence.;;;;;;;;;;;[From.GetTitledFirstName] çëèòñÿ íà ìåíÿ çà òî, ÷òî ÿ íå âûñòóïèë[Root.GetEndA] â [From.GetHersHis] çàùèòó.;;x
EVTDESCA_ZE_12026;Since [From.GetFirstName] refused to defend me, many people think I'm a thief and I have lost prestige at court.;;;;;;;;;;;Èç-çà òîãî, ÷òî [From.GetFirstName] îòêàçà[From.GetLasLsya] çàùèòèòü ìîþ ÷åñòü, ìíîãèå ñ÷èòàþò, ÷òî ÿ - âîð. Ìîÿ ðåïóòàöèÿ ïðè äâîðå áåçíàä¸æíî èñïîð÷åíà.;;x
EVTDESCA_ZE_12030;[rowdy_events_char_1.GetFirstName] is always so annoying. I think [rowdy_events_char_1.GetSheHe] tries to win against me in games just to spite me!;;;;;;;;;;;[rowdy_events_char_1.GetFirstName] âå÷íî ìåíÿ çàäèðàåò. Äóìàþ, [rowdy_events_char_1.GetSheHe] ïûòàåòñÿ ïîáåäèòü ìåíÿ òîëüêî, ÷òîáû óíèçèòü!;;x
EVTDESCA_ZE_12032;[From.GetFirstName] is angry with me because I am always winning against [From.GetHerHim] in games.;;;;;;;;;;;[From.GetFirstName] çëèòñÿ íà ìåíÿ çà òî, ÷òî ÿ ïîñòîÿííî îáûãðûâàþ [From.GetHersHis] âî âñ¸ì.;;x
EVTDESCA_ZE_12034;[From.GetFirstName] got angry and told me to get lost!;;;;;;;;;;;"[From.GetFirstName] ðàçîçëè[From.GetLasLsya] è ñêàçàë[From.GetEndA], ÷òîáû ÿ ""ïðîâàëèâàë[Root.GetEndA]""!";;x
EVTDESCA_ZE_12036;[From.GetFirstName] went crazy and started a fist fight with me!;;;;;;;;;;;[From.GetFirstName] âçáåñè[From.GetLasLsya] è íà÷àë äðàòüñÿ ñî ìíîé!;;x
EVTDESCA_ZE_12040;[willful_events_char_1.GetFirstName] is frowning at me. 'Waste of time. It will never fit, you've grown out of it.' [willful_events_char_1.GetSheHe] says. But it's my favorite hat!;;;;;;;;;;;" ""Ïóñòàÿ òðàòà âðåìåíè. Îíà íå íàëåçåò. Òû âûðîñ[Root.GetNoneE] èç íå¸"", — çàÿâèë[willful_events_char_1.GetEndA] [willful_events_char_1.GetFirstName], ñëåãêà íàõìóðèâøèñü.\n""Íî ýòî ìîÿ ëþáèìàÿ øëÿïà!"" — âîñêëèêíóë[Root.GetEndA] ÿ.";;x
EVTDESCA_ZE_12042;[From.GetFirstName] insists that I help [From.GetHerHim] get an old hat to fit. A very futile task as [From.GetSheHe]'s too big for it now as I've already told [From.GetHerHim] several times.;;;;;;;;;;;[From.GetFirstName] íàñòàèâàåò, ÷òîáû ÿ ïîìîã[Root.GetNoneE] [From.GetHerHim] íàäåòü ñòàðóþ øëÿïó. Ïóñòàÿ òðàòà âðåìåíè, âåäü [From.GetSheHe] äàâíî âûðîñ[From.GetNoneE] èç íå¸, ìû óæå ãîâîðèëè îá ýòîì ìíîãî ðàç.;;x
EVTDESCA_ZE_12044;[From.GetFirstName] hit me over the head for not listening to [From.GetHerHim].;;;;;;;;;;;[From.GetFirstName] äàë[From.GetEndA] ìíå ïîäçàòûëüíèê çà òî, ÷òî íå ñëóøàþ [From.GetHersHis].;;x
EVTDESCA_ZE_12046;[From.GetFirstName] thinks I'm mean for not helping. [From.GetSheHeCap] even stuck [From.GetHerHis] tongue out at me.;;;;;;;;;;;ß îòêàçà[Root.GetLasLsya] ïîìî÷ü, è òåïåðü [From.GetFirstName] äóìàåò, ÷òî ÿ ïëîõ[Root.GetAyaOy]. [From.GetSheHeCap] äàæå ïîêàçàë[From.GetEndA] ìíå ÿçûê.;;x
EVTDESCA_ZE_12050;[brooding_events_char_1.GetTitledName] promised to take me riding today, but when I came to see [brooding_events_char_1.GetHerHim] [brooding_events_char_1.GetSheHe] was drunk and half asleep.;;;;;;;;;;;[brooding_events_char_1.GetTitledName] îáåùàë[brooding_events_char_1.GetEndA] âçÿòü ìåíÿ ñåãîäíÿ ñ ñîáîé ïîêàòàòüñÿ âåðõîì, íî êîãäà ÿ ïðèø[Root.GetLaYol] ê í[brooding_events_char_1.GetHerHim], [brooding_events_char_1.GetSheHe] áûë[brooding_events_char_1.GetEndA] ïüÿí[brooding_events_char_1.GetEndA] è íå â ñèëàõ äàæå ñòîÿòü íà íîãàõ.;;x
EVTDESCA_ZE_12052;Sure, I forgot about my promise to take [From.GetFirstName] riding. But now... Now [From.GetSheHe] poured water on me when I was resting. I only had a little bit to drink, and and and I am the [Root.PrimaryTitle.GetRulerTitle]!;;;;;;;;;;;Äà, ïðèçíàþ, ÿ çàáûë[Root.GetEndA] î ñâî¸ì îáåùàíèè, [From.GetFirstName] èìååò ïðàâî çëèòüñÿ íà ìåíÿ, ìû äîëæíû áûëè âìåñòå ïîêàòàòüñÿ âåðõîì... Íî... Íî ýòî ïåðåõîäèò âñå ãðàíèöû. [From.GetSheHeCap] îáëèë[From.GetEndA] ìåíÿ âîäîé, ïîêà ÿ ñïàë[Root.GetEndA]. ß íå òàê óæ ìíîãî âûïèë[Root.GetEndA] è... è âîîáùå, ÿ - [Root.PrimaryTitle.GetRulerTitle]!;;x
EVTDESCA_ZE_12054;[From.GetFirstName] tried to say something, but I couldn't hear what it was. Then [From.GetSheHeCap] got up and raised [From.GetHerHis] fist at me before stumbling and falling. Now [From.GetSheHe] is snoring.;;;;;;;;;;;[From.GetFirstName] ïîïûòà[From.GetLasLsya] ïðîáóð÷àòü ÷òî-òî íåäîáðîå â ìîé àäðåñ, íî ÿ íå ñìîã[Root.GetNoneE] ðàçîáðàòü íè ñëîâà. Ïîòîì [From.GetSheHe] çàíåñ[From.GetNoneE] êóëàê íàäî ìíîé, íî ãðîõíó[From.GetLasLsya] íà êóøåòêó è çàõðàïåë[From.GetEndA].;;x
EVTDESCA_ZE_12056;I have a bad headache, and my episode with [From.GetFirstName] is slowly coming back to me. There is no excuse for my behavior. What's worse is that I even got lectured by a child.;;;;;;;;;;;Ãîëîâà âñ¸ åù¸ ðàñêàëûâàåòñÿ, íî ñìóòíûå âîñïîìèíàíèÿ î ñëó÷èâøåìñÿ ïîíåìíîãó âñïëûâàþò â ïàìÿòè. [From.GetFirstName] ïðàâ[From.GetEndA], ìîåìó ïîñòóïêó íåò îïðàâäàíèé, íî ÷òî åù¸ õóæå, ýò[From.GetEtaEtot] [From.GetLadLass] îò÷èòàë[From.GetEndA] ìåíÿ.;;x
EVTDESCA_ZE_12060;[indolent_events_char_1.GetFirstName] has come to get my help, today we are going to cut down some trees. Very hard work [indolent_events_char_1.GetSheHe] says.;;;;;;;;;;;[indolent_events_char_1.GetFirstName] ïîïðîñèë[indolent_events_char_1.GetEndA] ìåíÿ ïîìî÷ü ñ âûðóáêîé äåðåâüåâ. Ñêàçàë[indolent_events_char_1.GetEndA], ÷òî ýòî òÿæ¸ëàÿ ðàáîòà, íî ÿ ñïðàâëþñü.;;x
EVTDESCA_ZE_12062;As soon as I came to pick up [From.GetFirstName] to help me out cutting down some trees [From.GetSheHe] starts complaining. Apparently [From.GetSheHe] has a nasty stomach ache.;;;;;;;;;;;Êîãäà ÿ ïðèø[Root.GetLaYol] çà ïîìîùüþ ñ ðóáêîé äåðåâüåâ, [From.GetFirstName] îòêàçà[From.GetLasLsya] èäòè ñî ìíîé, ñêàçàë[From.GetEndA], ÷òî ó í[From.GetHersHis] æèâîò ðàçáîëåëñÿ.;;x
EVTDESCA_ZE_12064;[From.GetFirstName] spanked me when I complained about my stomach ache. Then [From.GetSheHe] grabbed my arm and told me we were going outside.;;;;;;;;;;;Êîãäà ÿ ñêàçàë[Root.GetEndA], ÷òî ó ìåíÿ áîëèò æèâîò, [From.GetFirstName] îòøë¸ïàë[From.GetEndA] ìåíÿ, ïîòîì ñõâàòèë[From.GetEndA] çà ðóêó è ïîòàùèë[From.GetEndA] âî äâîð.;;x
EVTDESCA_ZE_12066;[From.GetFirstName] apparently has pains in [From.GetHerHis] arm now after I grabbed it and 'cannot use it to cut trees'.;;;;;;;;;;;Íó âîò. Òåïåðü [From.GetFirstName] æàëóåòñÿ, ÷òî ÿ ïîâðåäèë[Root.GetEndA] [From.GetHerHim] ðóêó, êîãäà ïîòàùèë[Root.GetEndA] [From.GetHersHis] ðàáîòàòü â ñàä, è òåïåðü óæ [From.GetSheHe] òî÷íî íå ìîæåò ïîìî÷ü ìíå ñ âûðóáêîé äåðåâüåâ.;;x
EVTDESCA_ZE_12070;It has been a long day outside and [playful_events_char_1.GetTitledName] says it is time to head back home. [playful_events_char_1.GetSheHeCap] is carrying some heavy bags, maybe this time I can beat [playful_events_char_1.GetHerHim].;;;;;;;;;;;Äîëãèé äåíü ïîäõîäèò ê êîíöó, è [playful_events_char_1.GetTitledName], âçâàëèâ íà ñåáÿ òÿæ¸ëûå ñóìêè, íàïîìíèë[playful_events_char_1.GetEndA], ÷òî íàì ïîðà âîçâðàùàòüñÿ äîìîé. Ýòî ìîé øàíñ - ìîæåò â ýòîò ðàç ÿ ñìîãó îáîãíàòü [playful_events_char_1.GetHersHis]?;;x
EVTDESCA_ZE_12072;After I told [From.GetFirstName] it was time to head on home, [From.GetSheHe] looked at me with a grin on [From.GetHerHis] face and told me to race [From.GetHerHim] home, leaving me to carry everything on my own.;;;;;;;;;;;Ïðèøëî âðåìÿ âîçâðàùàòüñÿ äîìîé. [From.GetFirstName] ïîñìîòðåë[From.GetEndA] íà ìåíÿ ñ êîâàðíîé óõìûëêîé è ïðåäëîæèâ äîãíàòü [From.GetHersHis], ïîáåæàë[From.GetEndA] ñî âñåõ íîã, òåì ñàìûì âûíóäèâ ìåíÿ îäí[Root.GetUOgo] òàùèòü âñå ñóìêè.;;x
EVTDESCA_ZE_12074;[From.GetFirstName] chased and caught me. Maybe next time I can run fast enough.;;;;;;;;;;;[From.GetFirstName] âñ¸ ðàâíî äîãíàë[From.GetEndA] è ïîéìàë[From.GetEndA] ìåíÿ. ×òî æ, ìîæåò â äðóãîé ðàç ÿ áóäó áûñòðåå.;;x
EVTDESCA_ZE_12076;[From.GetFirstName] never seems to be grumpy, always playing without a care in the world.;;;;;;;;;;;[From.GetFirstName] íèêîãäà íå áûâàåò ñåðü¸çí[From.GetOyYm]. [From.GetSheHeCap] ïîñòîÿííî èãðàåò, íå çàáîòÿñü íè î ÷¸ì.;;x
EVTDESCA_ZE_12080;I saw that the private chambers of [conscientious_events_char_1.GetFullName] were very messy. Papers, books and things lying around everywhere!;;;;;;;;;;;Íå çíàþ, íàñòîëüêî ëè [conscientious_events_char_1.GetFullName] áåçîòâåòñòâåí[conscientious_events_char_1.GetNaEn] âî âñ¸ì, íî êîãäà ÿ âîø[Root.GetLaYol] â [conscientious_events_char_1.GetHersHis] ëè÷íûå [conscientious_events_char_1.GetChamberACC], òàì áûë óæàñíûé áàðäàê, áóìàãè, âåùè, êíèãè áûëè ðàçáðîñàíû ïîâñþäó!;;x
EVTDESCA_ZE_12082;As I enter my chambers, all of the work I had done in my spare time seems to have been cleaned up and put back. Books are neatly set in alphabetical order and notes have been thrown away. [From.GetFullName] was apparently 'cleaning' earlier.;;;;;;;;;;;"Âîéäÿ â ñâ[Root.GetMyChamberACC], ÿ îáíàðóæèë[Root.GetEndA], ÷òî âñÿ ìîÿ ðàáîòà ïîñëåäíèõ äíåé èñ÷åçëà! Áóìàãè ðàçëîæåíû ïî ìåñòàì, êíèãè ðàññòàâëåíû â àëôàâèòíîì ïîðÿäêå, à çàìåòêè âûáðîøåíû, êàê ìóñîð. Î÷åâèäíî, [From.GetFullName] ""ïðèáèðà[From.GetLasLsya]"" çäåñü.";;x
EVTDESCA_ZE_12084;[From.GetTitledName] didn't like that I was cleaning [From.GetHerHis] chambers, [From.GetSheHe] could not find important books. Now [From.GetSheHe] messed mine up and said I wasn't allowed back in [From.GetHersHis] anymore.;;;;;;;;;;;"[From.GetTitledName] áûë[From.GetEndA] ïðîñòî â áåøåíñòâå èç-çà òîãî, ÷òî ÿ íàâåë[Root.GetEndA] ïîðÿäîê â [From.GetHersHis] êîìíàòå. [From.GetSheHeCap] íå ñìîã[From.GetNoneE] íàéòè ñâîè êíèãè è çàìåòêè. Â îòìåñòêó [From.GetSheHe] ïåðåñòàâèë[From.GetEndA] âñ¸ â ì[Root.GetMyChamberPREP] è ñêàçàë[From.GetEndA], ÷òîáû ÿ ""äåðæà[Root.GetLasLsya] îò í[From.GetHersHis] ïîäàëüøå"".";;x
EVTDESCA_ZE_12086;[From.GetFirstName] is quietly cleaning [From.GetHerHis] chambers after my episode in there. Seems like this is a very thorough child.;;;;;;;;;;;[From.GetFirstName] ñíîâà óáèðàåòñÿ â ñâîåé êîìíàòå ïîñëå òîãî, ÷òî ÿ òàì íàòâîðèë[Root.GetEndA]. Íåâåðîÿòíî ïðèëåæíûé ðåá¸íîê.;;x
EVTDESCA_ZE_12090;It's bedtime but I can't find my favorite toy. I have it when I go to sleep.;;;;;;;;;;;Óæå ïîðà ñïàòü, à ÿ íèêàê íå ìîãó íàéòè ëþáèìóþ èãðóøêó. ×òî æå äåëàòü?;;x
EVTDESCA_ZE_12092;[From.GetFirstName] says [From.GetHerHis] favorite toy is missing and [From.GetSheHe] won't go to bed without it. I may have thrown it out today when I was tidying up.;;;;;;;;;;;[From.GetFirstName] ãîâîðèò, ÷òî íå ìîæåò íàéòè ñâîþ ëþáèìóþ èãðóøêó, à áåç íå¸ íå õî÷åò èäòè ñïàòü. Ñêîðåå âñåãî, ÿ âûáðîñèë[Root.GetEndA] å¸, êîãäà â ïîñëåäíèé ðàç ïðèáèðà[Root.GetLasLsya].;;x
EVTDESCA_ZE_12094;[From.GetFirstName] offered to get me a new toy. [From.GetSheHeCap] said we could go find something nice tomorrow.;;;;;;;;;;;[From.GetFirstName] ïðåäëîæèë[From.GetEndA] êóïèòü ìíå íîâóþ èãðóøêó. [From.GetSheHeCap] ñêàçàë[From.GetEndA], ÷òî ìû ìîæåì ñõîäèòü çà íåé çàâòðà.;;x
EVTDESCA_ZE_12096;My offer to purchase a new toy was rejected by [From.GetFirstName]. [From.GetSheHeCap] is upset I would even suggest such a thing.;;;;;;;;;;;ß ïðåäëîæèë[Root.GetEndA] êóïèòü íîâóþ èãðóøêó, íî [From.GetFirstName] îáèäå[From.GetLasLsya] íà ìåíÿ çà ýòî è îòêàçà[From.GetLasLsya].;;x
EVTDESCA_ZE_12100;Today [curious_events_char_1.GetFullName] said [curious_events_char_1.GetSheHe] had to attend to various important matters, and I would have to spend the day alone.;;;;;;;;;;;Ñåãîäíÿ [curious_events_char_1.GetFullName] ñêàçàë[curious_events_char_1.GetEndA], ÷òî ó í[curious_events_char_1.GetHersHis] êàêèå-òî âàæíûå äåëà, è ìíå ïðèä¸òñÿ ïîáûòü îäíî[Root.GetYMu].;;x
EVTDESCA_ZE_12102;I had told [From.GetFirstName] to stay at home, but just as I finish purchasing my gift to [From.GetHerHim] I turn around and see [From.GetHerHim] trying to hide from me. The surprise is ruined.;;;;;;;;;;;Óâåðåí[Root.GetEndA], [From.GetFirstName] ÿñíî ïîíÿë[From.GetEndA], ÷òî ÿ âåëåë[Root.GetEndA] [From.GetHerHim] îñòàâàòüñÿ äîìà, íî êîãäà ÿ óæå çàêîí÷èë[Root.GetEndA] ñ ïîêóïêîé ïîäàðêà äëÿ í[From.GetHersHis] è îáåðíó[Root.GetLasLsya], ÷òîáû ïîñìîòðåòü êòî çà ìíîé ñëåäèò, òî çàìåòèë, ÷òî [From.GetSheHe] ïðÿ÷åòñÿ çà óãëîì. Ñþðïðèç èñïîð÷åí.;;x
EVTDESCA_ZE_12104;[From.GetTitledName] was buying things at the market and [From.GetSheHe] saw me there. Then [From.GetSheHe] pinched my ear and said I should do what I am told. [From.GetSheHeCap] was getting me a treats at the market but now I won't get any!;;;;;;;;;;;Îêàçûâàåòñÿ, [From.GetTitledName] ïîêóïàë[From.GetEndA] íà ðûíêå âñÿêèå øòóêè. [From.GetSheHeCap] óâèäåë[From.GetEndA], ÷òî ÿ ñëåæó çà í[From.GetEyIm], è îòðóãàë[From.GetEndA] çà ìî¸ íåïîñëóøàíèå. Õóæå òîãî, òå ïîäàðêè, êîòîðûå [From.GetSheHe] ìíå òàì êóïèë[From.GetEndA], ÿ òåïåðü íå ïîëó÷ó!;;x
EVTDESCA_ZE_12106;[From.GetFirstName] didn't react well to my way of correcting [From.GetHerHis] behavior. I fear [From.GetSheHe] is even more suspicious towards me now.;;;;;;;;;;;[From.GetFirstName] îòðåàãèðîâàë[From.GetEndA] íà ìîè ìåòîäû âîñïèòàíèÿ íå ëó÷øèì îáðàçîì. Áîþñü, òåïåðü [From.GetSheHe] åù¸ áîëåå ïîäîçðèòåë[From.GetSoftNaEn] ïî îòíîøåíèþ êî ìíå.;;x
EVTDESCA_ZE_12110;[idolizer_events_char_1.GetTitledName] is so kind to me. And [idolizer_events_char_1.GetSheHe] seems to know so much about everything.;;;;;;;;;;;[idolizer_events_char_1.GetTitledName] òàê äîáð[idolizer_events_char_1.GetEndA] êî ìíå, è [idolizer_events_char_1.GetSheHe] ñòîëüêî çíàåò îáî âñ¸ì.;;x
EVTDESCA_ZE_12112;[From.GetFirstName] has written a song in my honor. Apparently [From.GetSheHe] wants me to know that I'm the best person in the world.;;;;;;;;;;;[From.GetFirstName] ñî÷èíèë[From.GetEndA] ïåñíþ äëÿ ìåíÿ. Ïîõîæå, [From.GetSheHe] ñ÷èòàåò, ÷òî ÿ - ëó÷øèé ÷åëîâåê íà ñâåòå.;;x
