#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC80000;The peasant army ravaging the county of [Root.GetName] is burning down buildings!;;;;;;;;;;;Êðåñòüÿíñêàÿ àðìèÿ îïóñòîøàåò çåìëè îêðóãà [Root.GetName], âûæèãàÿ ïîñòðîéêè äî òëà!;;x
EVTDESC80058;Tired of their old ruler, the peasant rebels of [Root.GetName] have defected and sworn allegiance to me!;;;;;;;;;;;Óñòàâøèå îò ñâîåãî ñòàðîãî ñþçåðåíà, âîññòàâøèå êðåñòüÿíå îêðóãà [Root.GetName] ðåøèëè ïðèñÿãíóòü íà âåðíîñòü ìíå!;;x
EVTDESC80060;The people in [Root.GetName] will no longer let themselves be ruled by someone of another religion! The peasant rebels controlling the county have defected and sworn allegiance to another ruler!;;;;;;;;;;;[From.County.GetAdjective]ñêèé íàðîä íå ìîæåò áîëüøå òåðïåòü âëàñòü ñþçåðåíà-èíîâåðöà! Áóíòîâùèêè, çàõâàòèâøèå êîíòðîëü íàä îêðóãîì, ïðåäàëè ìåíÿ è ïðèñÿãíóëè äðóãîìó ïðàâèòåëþ!;;x
EVTDESC80061;Feeling estranged due to cultural differences in [Root.Holder.Liege.PrimaryTitle.GetName], the peasant rebels of [Root.GetName] have defected and sworn allegiance to another ruler!;;;;;;;;;;;Áóäó÷è íîñèòåëÿìè èíîé êóëüòóðû, âîññòàâøèå êðåñòüÿíå îêðóãà [FromFrom.GetName] ïðåäàëè ìåíÿ è ïðèñÿãíóëè äðóãîìó ïðàâèòåëþ!;;x
EVTDESC80062;Feeling little loyalty to their previous far off ruler, the peasant rebels of [Root.GetName] have defected and sworn allegiance to another ruler!;;;;;;;;;;;Âîññòàâøèå æèòåëè îêðóãà [Root.GetName] ïðèñÿãíóëè íîâîìó ñþçåðåíó.;;x
EVTOPTA80000;Is there anything they won't destroy?;;;;;;;;;;;Îñòàíåòñÿ ëè õîòü ÷òî-íèáóäü, ÷òî îíè íå ðàçðóøàò?;;x
EVTOPTA80005;They killed me?!;;;;;;;;;;;Îíè óáèëè ìåíÿ?!;;x
EVTOPTA80050;How dare they execute a subject of mine!;;;;;;;;;;;Êàê ñìåþò îíè êàçíèòü îäíîãî èç ìîèõ ïîääàííûõ?!;;x
EVTOPTA80051;They sure do...;;;;;;;;;;;Â ñàìîì äåëå...;;x
EVTOPTA80052;This peasant rabble must be stopped!;;;;;;;;;;;Ýòà êðåñòüÿíñêàÿ ÷åðíü äîëæíà áûòü îñòàíîâëåíà!;;x
EVTOPTA80053;Excellent! Or is it...?;;;;;;;;;;;Îòëè÷íî! Èëè...?;;x
EVTOPTA80054;Damn these peasants!;;;;;;;;;;;Ïðîêëÿòûå êðåñòüÿíå!;;x
EVTOPTA80058;Excellent! Or is it...?;;;;;;;;;;;Ïðåâîñõîäíî! Èëè...?;;x
EVTOPTB80000;Bad news, but I am glad it didn't happen to my holdings...;;;;;;;;;;;Ïëîõèå íîâîñòè, íî ÿ ðàä, ÷òî ýòî íå ñëó÷èëîñü ñ ìîèìè âëàäåíèÿìè...;;x
EVTOPTB80005;Damn these rebels!;;;;;;;;;;;×¸ðò ïîáåðè ýòèõ ìÿòåæíèêîâ!;;x
EVTOPTC80005;I am lucky to be alive...;;;;;;;;;;;Ìíå ïîâåçëî, ÷òî îñòàëñÿ æèâ...;;x
