chinese_imperial_government;Chinese Imperial;;;;;;;;;;;Êèòàéñêèé èìïåðèàëèçì;;x
nogovernment;Landless;;;;;;;;;;;Íåò ïîëèòè÷åñêîé ñèñòåìû;;x
nogovernment_desc;This character does not rule nor live under any government.;;;;;;;;;;;Íåò ïîëèòè÷åñêîé ñèñòåìû;;x
nomadic_government;Nomadic;;;;;;;;;;;Êî÷åâîé ñòðîé;;x
nomadic_government_desc;Nomads are not very interested in owning Holdings, only in more grazing land for their sheep and horses. Gameplay centers around the Population of the tribe and the Manpower it provides. Empty Holdings slots in open terrain increases the maximum population. While Nomads can have normal vassals, they are mostly concerned with managing the other, few but powerful, major Clans of the tribe.;;;;;;;;;;;Êî÷åâíèêè íå ñëèøêîì çàèíòåðåñîâàíû â ïîñåëåíèÿõ, îíè ïðåäïî÷èòàþò îáøèðíûå ïàñòáèùà äëÿ ñâîèõ îâåö è ëîøàäåé. Èãðîâîé ïðîöåññ âåðòèòñÿ âîêðóã íàñåëåíèÿ è ëþäñêèõ ðåñóðñîâ, êîòîðûå îíî ïðèíîñèò, à ñâîáîäíûå çåìëè (ïóñòûå ÿ÷åéêè) ïîâûøàþò âîçìîæíîñòè äëÿ åãî ðîñòà. Íåñìîòðÿ íà òî, ÷òî êî÷åâíèêè ìîãóò èìåòü âàññàëîâ, èõ ãîðàçäî áîëüøå áåñïîêîèò áîðüáà ìåæäó âåäóùèìè êëàíàìè ñâîåãî íàðîäà.;;x
nomadic_governments_FEATURES;§Y*§! Can reform to Tribal, Feudal, Iqta and Merchant Republic governments\n§Y*§! Can pillage settlements to gain wealth and technology\n§Y*§! Can abandon provinces to gain increased population and manpower growth;;;;;;;;;;;§Y*§! Ìîæåò ðåôîðìèðîâàòüñÿ è ñòàòü ôåîäàëèçìîì, èêòîé, èëè òîðãîâîé ðåñïóáëèêîé\n§Y*§! Ïîçâîëÿåò ðàçðóøàòü ïîñåëåíèÿ ðàäè áîãàòñòâà è òåõíîëîãèé\n§Y*§!Ìîæåò ïîêèäàòü çåìëè, ÷òîáû ñîáèðàòü íàñåëåíèå, ïðèâëåêàÿ áîëüøå ëþäñêèõ ðåñóðñîâ;;x
order_government;Holy Order;;;;;;;;;;;Äóõîâíûé îðäåí;;x
order_government_desc;The most pious followers of their religion might join Holy Orders in an attempt to defend the faith from outside forces. Coming to the defense of any Lord or Lady who might be attacked by infidels, they are the stalwart protectors of the faithful. These orders have strict hierarchies, passing from one leader to the next within the order.;;;;;;;;;;;Ñàìûå áëàãî÷åñòèâûå ïîñëåäîâàòåëè ñâîåé ðåëèãèè ìîãóò ïðèñîåäèíèòüñÿ ê ñâÿùåííûì îðäåíàì, ïûòàÿñü çàùèòèòü âåðó îò âíåøíèõ ñèë. Èõ ñâÿòîé äîëã - çàùèùàòü ëþáîãî ëîðäà èëè ëåäè, íà êîòîðûõ íàïàëè èíîâåðöû. Ýòè îðäåíû èìåþò ñòðîãóþ èåðàðõèþ. Âëàñòü îñîáûì ïîðÿäêîì ïåðåäà¸òñÿ îò îäíîãî ëèäåðà ê äðóãîìó.;;x
republic_government;Republic;;;;;;;;;;;Ðåñïóáëèêà;;x
republic_government_desc;The leaders of regular republics are randomly chosen from among the citizenry. This kind of republic is not playable, since there is no dynastic persistence between the generations of rulers.;;;;;;;;;;;"Ïðàâèòåëè îáû÷íûõ ðåñïóáëèê ÿâëÿþòñÿ ïðåäñòàâèòåëÿìè ñîáñòâåííîãî ãðàæäàíñêîãî (ãîðîäñêîãî) íàñåëåíèÿ, êîòîðîå èçáèðàåò èõ íà ""îòêðûòûõ âûáîðàõ"". Çà òàêîãî ïðàâèòåëÿ íåëüçÿ èãðàòü, ïîñêîëüêó åãî äèíàñòèÿ íå èìååò ïðååìñòâåííîñòè âëàñòè, à ýòà èãðà ïîñòðîåíà òîëüêî íà íåé.";;x
roman_imperial_government;Imperial;;;;;;;;;;;Èìïåðñêàÿ àäìèíèñòðàöèÿ;;x
roman_imperial_government_desc;An Imperial government differs from its feudal counterpart by placing a larger focus on urban areas and a centralized court whose influence deeply affects internal politics. Councilors and Commanders hold a varying degree of influence, depending on their prestige and competence, which they can use to support or oppose the official heir of the Empire...;;;;;;;;;;;Èìïåðñêàÿ ñèñòåìà îòëè÷àåòñÿ îò ñâîåãî ôåîäàëüíîãî àíàëîãà òåì, ÷òî óäåëÿåò áîëüøå âíèìàíèÿ ãîðîäàì è öåíòðàëèçîâàííîìó ñóäó, âëèÿíèå êîòîðîãî ãëóáîêî çàòðàãèâàåò âñþ âíóòðåííþþ ïîëèòèêó. §YÑîâåòíèêè§! è §Yïîëêîâîäöû§! îáëàäàþò ðàçíîé ñòåïåíüþ âëèÿíèÿ â çàâèñèìîñòè îò èõ §Yïðåñòèæà§! è êîìïåòåíöèè, êîòîðóþ îíè ìîãóò èñïîëüçîâàòü, ÷òîáû ïîääåðæàòü îôèöèàëüíîãî íàñëåäíèêà èëè âûñòóïèòü ïðîòèâ íåãî.;;x
theocracy_government;Theocracy;;;;;;;;;;;Òåîêðàòèÿ;;x
theocracy_government_desc;Theocracies, like minor republics, are unplayable. Rulers are appointed or elected from among the ecclesiarchy, and there is no dynastic persistence between generations of rulers.;;;;;;;;;;;Çà òåîêðàòèè, êàê è çà ðåñïóáëèêè, íåëüçÿ èãðàòü. Ïðàâèòåëè íàçíà÷àþòñÿ ëèáî èçáèðàþòñÿ èç äóõîâåíñòâà áåç êàêîé-ëèáî äèíàñòè÷åñêîé ïðååìñòâåííîñòè âëàñòè, ñòîëü íåîáõîäèìîé äëÿ ðåàëèçàöèè ìåõàíèêè ýòîé èãðû.;;x
monastic_feudal_government;Monastic Feudal;;;;;;;;;;;Ìîíàøåñêèé ôåîäàëèçì;;x
monastic_feudal_government_desc;The Monastic Feudal government, much like the ordinary Feudal government, revolves around the oath between liege and vassal, and Monastic Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... The Monastic Feudal government is unique to [tibetan_group.GetGroupName] of either the [buddhist.GetName] or [bon_pagan.GetName] faiths, and allows holding Temples in addition to Castles. Monastic Feudal rulers can also construct Gompa Monastery buildings in Castle holdings.;;;;;;;;;;;"Ìîíàøåñêî-ôåîäàëüíàÿ ôîðìà ïðàâëåíèÿ âî ìíîãîì ïîõîæà íà îáû÷íûé ôåîäàëèçì, â ïåðâóþ î÷åðåäü - ýòî îáÿçàòåëüñòâà ìåæäó ñþçåðåíîì è âàññàëîì. Ìîíàõè-ôåîäàëû ìîãóò èìåòü ïîä ïðÿìûì óïðàâëåíèå îãðàíè÷åííîå êîëè÷åñòâî âëàäåíèé, ïîòîìó äîëæíû ïîëàãàòüñÿ íà âàññàëîâ, ÷üÿ ëîÿëüíîñòü ìîæåò âàðüèðîâàòüñÿ... Ìîíàøåñêî-ôåîäàëüíàÿ ôîðìà ïðàâëåíèÿ óíèêàëüíà äëÿ [_òèáåòî-áèðìàíöåâ], êîòîðûå ÿâëÿþò ñîáîé [_áóääèñò]îâ è [áîí]ñêèõ âåðóþùèõ, îíà ïîçâîëÿåò äåðæàòü õðàìû â äîïîëíåíèå ê çàìêàì. Ìîíàøåñêî-ôåîäàëüíûå ïðàâèòåëè òàêæå ìîãóò ñòðîèòü ìîíàñòûðè ""ãîìïà"" â çàìêàõ.";;x
tribal_government;Tribal;;;;;;;;;;;Ïëåìåííîé ñòðîé;;x
tribal_government_desc;Tribes are settled, but agrarian. Each County can only have one Tribal 'Holding', representing the entire local tribal population - the more empty Holding slots, the more powerful the Tribal Holding. Tribal rulers are most often seen using the 'Elective Gavelkind' Succession Law, which tends to fragment the realm between sons on the death of the chief.;;;;;;;;;;;Ïëåìåííûå îáùèíû îñåäëû, íî ïðåèìóùåñòâåííî àãðàðíû. Êàæäûé îêðóã ìîæåò èìåòü òîëüêî îäíî ïëåìåííîå ïîñåëåíèå, êîòîðîå ïðåäñòàâëÿåò âñ¸ íàñåëåíèå îáùèíû - ÷åì áîëüøå ñâîáîäíûõ çåìåëü â îêðóãå (ïóñòûõ ÿ÷ååê), òåì ìîãóùåñòâåííåå ýòî ïîñåëåíèå. Ïëåìåííûå ïðàâèòåëè (âîæäè) îáû÷íî îãðàíè÷åíû âûáîðíûì íàñëåäîâàíèåì ñ ðàçäåëîì çåìåëü (âûáîðíûé ðàçäåë), êîòîðîå ÷àñòî ïðèâîäèò ê ðàñêîëó ñòðàíû íà îòäåëüíûå îáùèíû ïîä âëàñòüþ âîæäåé, êîòîðûå ÷àùå âñåãî ÿâëÿþòñÿ ñûíîâüÿìè ïîãèáøåãî âîæäÿ.;;x
tribal_governments_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments;;;;;;;;;;;§Y*§! Ìîæåò ðåôîðìèðîâàòüñÿ è ñòàòü ôåîäàëèçìîì, èêòîé, èëè òîðãîâîé ðåñïóáëèêîé;;x
# CleanSlate
temporary_fake_theocracy_government;Temporary Fake Theocracy;;;;;;;;;;;Âðåìåííàÿ Ïñåâäîòåîêðàòèÿ;;x
temporary_fake_theocracy_government_desc;You should not be seeing this. Please report to the CleanSlate team.;;;;;;;;;;;Âû íå äîëæíû ýòîãî âèäåòü. Ïîæàëóéñòà, ñîîáùèòå îá ýòîì êîìàíäå CleanSlate.;;x
