ABANDON_AMBITION_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! ended [Recipient.GetPossPronoun] plot to [Recipient.GetPlot].;;;;;;;;;;;§Y[Recipient.GetBestName]§W ïðåêðàòèë[Recipient.GetEndA] ñâîé çàãîâîð: §Y[Recipient.GetPlot]§W.;;x
ABSORB_CLAN_INTERACTION_2;Other clan vassals will see this as a tyrannical act, decreasing their Sentiment towards you by §R$VAL$§!.;;;;;;;;;;;Âàññàëüíûå êëàíû âîñïðèìóò ýòî êàê àêò òèðàíèè, óõóäøàÿ ñâî¸ §Yíàñòðîåíèå§! ïî îòíîøåíèþ ê Âàøåìó êëàíó íà §R$VAL$§!.;;x
ABSORB_CLAN_INTERACTION_3;Other clan vassals will not mind, as they think there are too many clans in the realm.;;;;;;;;;;;Âàññàëüíûå êëàíû íå ñòàíóò âîçðàæàòü, ïîñ÷èòàâ, ÷òî â íàøåé ñòðàíå è òàê ñëèøêîì ìíîãî êëàíîâ.;;x
ABSORB_CLAN_INTERACTION_4;Other clan vassals will not oppose the absorption of a traitorous clan.;;;;;;;;;;;Äðóãèå âàññàëüíûå êëàíû íå ñòàíóò âîçðàæàòü ïðîòèâ ïîãëîùåíèÿ ïðåäàòåëüñêîãî êëàíà.;;x
ABSORB_CLAN_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! absorbed the §Y[Recipient.GetOnlyDynastyName]§! clan from §Y[Recipient.GetBestName]§!;;;;;;;;;;;§Y[Actor.GetBestName]§! ïîãëîòèë[Actor.GetEndA] êëàí §Y[Recipient.GetOnlyDynastyName]§!, ëèøèâ âîæäÿ ïî èìåíè §Y[Recipient.GetBestName]§! [Recipient.GetHersHis] ïîëîæåíèÿ.;;x
ABSORB_CLAN_INTERACTION_ACCEPT_SETUP;Clan Absorbed;;;;;;;;;;;Êëàí ïîãëîù¸í;;x
ABSORB_CLAN_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! refused the absorption of the §Y[Recipient.Clan.GetName]§! clan, requested by §Y[Actor.GetBestName]§!;;;;;;;;;;;§Y[Recipient.GetBestName]§! îòêàçàë[Recipient.GetEndA] â ïîãëîùåíèè êëàíà §Y[Recipient.Clan.GetName]§!, íåñìîòðÿ íà òî, ÷òî §Y[Actor.GetBestName]§! òðåáóåò ýòîãî.;;x
ABSORB_CLAN_INTERACTION_DECLINE_SETUP;Clan Absorption Refused;;;;;;;;;;;Â ïîãëîùåíèè êëàíà îòêàçàíî;;x
ABSORB_CLAN_INTERACTION_DESC;Absorb the §Y[Recipient.Clan.GetName]§! Clan - useful if you have too many Clans.;;;;;;;;;;;Ïîãëîòèòü êëàí §Y[Recipient.Clan.GetName]§! - ïîëåçíî, åñëè ó Âàñ ñëèøêîì ìíîãî êëàíîâ.;;x
ABSORB_CLAN_INTERACTION_LETTER;I have decided to seize your lands and merge your clan with mine. Failure to hand over your lands peacefully will lead to war.;;;;;;;;;;;ß çàáèðàþ Âàøè çåìëè è îáúåäèíÿþ íàøè êëàíû ïîä ìîèì íà÷àëîì. Îòêàç ïåðåäàòü èõ äîáðîâîëüíî ïðèâåä¸ò ê âîéíå.;;x
ABSORB_CLAN_INTERACTION_LONG_DESC;Absorbing a Clan is not a popular action, but might be necessary if you have too many Clans.;;;;;;;;;;;Ïîãëîùåíèå êëàíà - íåïîïóëÿðíàÿ ìåðà, íî îíà ìîæåò áûòü íåîáõîäèìà, êîãäà êëàíîâ ñëèøêîì ìíîãî.;;x
ABSORB_CLAN_INTERACTION_TITLE;Absorb Clan;;;;;;;;;;;Ïîãëîòèòü êëàí;;x
APPOINT_COMMANDER_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetTitledFirstName]§! was appointed Commander by §Y[Actor.GetBestName]§!;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§W ñòàë[Recipient.GetEndA] ïîëêîâîäöåì. §Y[Actor.GetBestName]§W íàçíà÷èë[Actor.GetEndA] [Recipient.GetHersHis] íà ýòó äîëæíîñòü.;;x
APPOINT_COMMANDER_INTERACTION_ACCEPT_SETUP;Commander Appointed;;;;;;;;;;;Íàçíà÷åí ïîëêîâîäåö;;x
APPOINT_COMMANDER_INTERACTION_DECLINE_LOG;§Y[Recipient.GetTitledFirstName]§! rejected the Commander appointment by §Y[Actor.GetBestName]§!;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§W îòêàçà[Recipient.GetLasLsya] ïðèíÿòü äîëæíîñòü ïîëêîâîäöà, êîòîðóþ [Recipient.GetHerHim] ïðåäëîæèë[Actor.GetEndA] §Y[Actor.GetBestName]§W;;x
APPOINT_COMMANDER_INTERACTION_DECLINE_SETUP;Commander Appointment Rejected;;;;;;;;;;;Íàçíà÷åíèå ïîëêîâîäöåì îòêëîíåíî;;x
APPOINT_COMMANDER_INTERACTION_DESC;Appoint §Y[Recipient.GetTitledFirstName]§! as one of your Commanders.;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§W ñòàíåò îäíèì èç Âàøèõ ïîëêîâîäöåâ.;;x
APPOINT_COMMANDER_INTERACTION_LETTER;We've decided to offer you the position of commander, do you accept?;;;;;;;;;;;Ìû ïðåäëàãàåì Âàì äîëæíîñòü ïîëêîâîäöà. Âû ñîãëàñíû?;;x
APPOINT_COMMANDER_INTERACTION_LONG_DESC;Only the Ruler, his or her Marshal and those who are appointed Commanders may lead armies into battle.;;;;;;;;;;;Òîëüêî ñàì ïðàâèòåëü, âîåííûé ñîâåòíèê è òå, êòî áûë íàçíà÷åí ïîëêîâîäöàìè ìîãóò êîìàíäîâàòü âîéñêàìè íà ïîëå áîÿ.;;x
APPOINT_COMMANDER_INTERACTION_TITLE;Appoint Commander;;;;;;;;;;;Íàçíà÷èòü ïîëêîâîäöåì;;x
APPOINT_TO_OFFICE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! made §Y[Recipient.GetBestName]§! [ThirdPartyTitle.GetFullName];;;;;;;;;;;§Y[Actor.GetBestName]§W ïîñòàíîâèë[Actor.GetEndA], ÷òî §Y[Recipient.GetBestName]§W - òåïåðü [Actor.GetHersHis] [ThirdPartyTitle.GetFullName].;;x
APPOINT_TO_OFFICE_INTERACTION_ACCEPT_SETUP;Office Accepted;;;;;;;;;;;Ïðåäëîæåíèå ïðèíÿòî;;x
APPOINT_TO_OFFICE_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! declined to become the [ThirdPartyTitle.GetFullName] of §Y[Actor.PrimaryTitle.GetName]§!;;;;;;;;;;;"§Y[Recipient.GetBestName]§W îòêàçà[Recipient.GetLasLsya] çàíÿòü äîëæíîñòü ""[ThirdPartyTitle.GetFullName] ãîñóäàðñòâà §Y[Actor.PrimaryTitle.GetName]§W"".";;x
APPOINT_TO_OFFICE_INTERACTION_DECLINE_SETUP;Office Declined;;;;;;;;;;;Ïðåäëîæåíèå îòâåðãíóòî;;x
APPOINT_TO_OFFICE_INTERACTION_DESC;Appoint a character to a position on your Council;;;;;;;;;;;Ïðåäëîæèòü êîìó-ëèáî ìåñòî â Âàøåì ñîâåòå;;x
APPOINT_TO_OFFICE_INTERACTION_LETTER;We would like to appoint you to [ThirdPartyTitle.GetFullName], what do you say?;;;;;;;;;;;"Ìû õîòèì íàçíà÷èòü Âàñ íà äîëæíîñòü ""[ThirdPartyTitle.GetFullName]"", Âû ñîãëàñíû?";;x
APPOINT_TO_OFFICE_INTERACTION_OFFER;[Actor.GetBestName] wants to appoint us to [ThirdPartyTitle.GetFullName];;;;;;;;;;;"[Actor.GetBestName] ïðåäëàãàåò Âàì äîëæíîñòü ""[ThirdPartyTitle.GetFullName]"".";;x
APPOINT_TO_OFFICE_INTERACTION_TITLE;Appoint to office;;;;;;;;;;;Íàçíà÷èòü íà äîëæíîñòü;;x
ARRANGE_BETROTHAL;Arrange Betrothal;;;;;;;;;;;Ïîìîëâêà;;x
ARRANGE_BETROTHAL_DESC;Arrange a betrothal with the most eligible potential spouse.;;;;;;;;;;;Óñòðîèòü ïîìîëâêó, ïîäîáðàâ ñàìóþ ïîäõîäÿùóþ êàíäèäàòóðó ñðåäè èçâåñòíûõ ëþäåé;;x
ARRANGE_BETROTHAL_INTERACTION_0;Select a future bride and groom.;;;;;;;;;;;Âûáðàòü áóäóùèõ æåíèõà è íåâåñòó.;;x
ARRANGE_BETROTHAL_INTERACTION_1;Select a character from the court of §Y$CHAR$§!.;;;;;;;;;;;Âûáðàòü êàíäèäàòà ïðè äâîðå, ãëàâà êîòîðîãî - §Y$CHAR$§W.;;x
ARRANGE_BETROTHAL_INTERACTION_2A;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§! would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê ðîäñòâåííè[ActorExtra.GetTsaK] îáëàäàòåëÿ òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ ðîäñòâåííè[RecipientExtra.GetTseyKom] îáëàäàòåëÿ òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_BETROTHAL_INTERACTION_2B;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§! and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê ðîäñòâåííè[ActorExtra.GetTsaK] îáëàäàòåëÿ òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W âìåñòå ñ Âàìè ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ ðîäñòâåííè[RecipientExtra.GetTseyKom] îáëàäàòåëÿ òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_BETROTHAL_INTERACTION_2C;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed. As a $MYPARTYTIER$, §Y$MYPARTY$§! would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê îáëàäàòåëü[ActorExtra.GetEndNitsa] òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ ðîäñòâåííè[RecipientExtra.GetTseyKom] îáëàäàòåëÿ òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_BETROTHAL_INTERACTION_2D;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed. As a $MYPARTYTIER$, §Y$MYPARTY$§! and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê îáëàäàòåëü[ActorExtra.GetEndNitsa] òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W âìåñòå ñ Âàìè ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ ðîäñòâåííè[RecipientExtra.GetTseyKom] îáëàäàòåëÿ òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_BETROTHAL_INTERACTION_2E;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§! would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê ðîäñòâåííè[ActorExtra.GetTsaK] îáëàäàòåëÿ òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ îáëàäàòåë[RecipientExtra.GetSoftNitseyEm] òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_BETROTHAL_INTERACTION_2F;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§! and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê ðîäñòâåííè[ActorExtra.GetTsaK] îáëàäàòåëÿ òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W âìåñòå ñ Âàìè ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ îáëàäàòåë[RecipientExtra.GetSoftNitseyEm] òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_BETROTHAL_INTERACTION_2G;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed. As a $MYPARTYTIER$, §Y$MYPARTY$§! would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê îáëàäàòåëü[ActorExtra.GetEndNitsa] òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ îáëàäàòåë[RecipientExtra.GetSoftNitseyEm] òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_BETROTHAL_INTERACTION_2H;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed. As a $MYPARTYTIER$, §Y$MYPARTY$§! and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê îáëàäàòåëü[ActorExtra.GetEndNitsa] òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W âìåñòå ñ Âàìè ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ îáëàäàòåë[RecipientExtra.GetSoftNitseyEm] òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_BETROTHAL_INTERACTION_3;§RChildren born to the couple will not be of your Dynasty - consider a Matrilineal marriage!§!;;;;;;;;;;;§RÄåòè ðîæä¸ííûå îò ýòîé ïàðû íå áóäóò ïðèíàäëåæàòü ê Âàøåé äèíàñòèè - ðàññìîòðèòå âîçìîæíîñòü ìàòðèëèíåéíîé ïîìîëâêè!§!;;x
ARRANGE_BETROTHAL_INTERACTION_4;Marrying a woman as noble as §Y[RecipientExtra.GetFirstName]§! will require a Bride Price of §R$DOWRY$§!¤.;;;;;;;;;;;Ïîìîëâêà ñ æåíùèíîé ñòîëü áëàãîðîäíîé, êàê §Y[RecipientExtra.GetFirstName]§! ïîòðåáóåò âûêóïà â ðàçìåðå §R$DOWRY$§!¤.;;x
ARRANGE_BETROTHAL_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! accepts the suggestion by §Y[Actor.GetBestName]§! that §Y[ActorExtra.GetBestName]§! and §Y[RecipientExtra.GetBestName]§! should get betrothed;;;;;;;;;;;§Y[Recipient.GetBestName]§W ïðèíÿë[Recipient.GetEndA] ïðåäëîæåíèå î ïîìîëâêå, êîòîðóþ ïðåäëîæèë[Actor.GetEndA] [Recipient.GetHerHim] §Y[Actor.GetBestName]§W, §Y[ActorExtra.GetBestName]§W è §Y[RecipientExtra.GetBestName]§W ñòàíóò ïðåêðàñíîé ïàðîé;;x
ARRANGE_BETROTHAL_INTERACTION_ACCEPT_SETUP;Betrothal Offer Accepted;;;;;;;;;;;Ïðåäëîæåíèå î ïîìîëâêå ïðèíÿòî;;x
ARRANGE_BETROTHAL_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! declines the suggestion by §Y[Actor.GetBestName]§! that §Y[ActorExtra.GetBestName]§! and §Y[RecipientExtra.GetBestName]§! should get betrothed;;;;;;;;;;;§Y[Recipient.GetBestName]§W îòêëîíèë[Recipient.GetEndA] ïðåäëîæåíèå î ïîìîëâêå, êîòîðóþ ïðåäëîæèë[Actor.GetEndA] [Recipient.GetHerHim] §Y[Actor.GetBestName]§W, çàÿâèâ, ÷òî §Y[ActorExtra.GetBestName]§W è §Y[RecipientExtra.GetBestName]§W íå ïîäõîäÿò äðóã äðóãó.;;x
ARRANGE_BETROTHAL_INTERACTION_DECLINE_SETUP;Betrothal Offer Declined;;;;;;;;;;;Ïðåäëîæåíèå ïîìîëâêè îòêëîíåíî;;x
ARRANGE_BETROTHAL_INTERACTION_DESC;Arrange a Betrothal between two characters;;;;;;;;;;;Äîãîâîðèòüñÿ î ïîìîëâêå ìåæäó äâóìÿ íåñîâåðøåííîëåòíèìè.;;x
ARRANGE_BETROTHAL_INTERACTION_LETTER;We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed.;;;;;;;;;;;Ìû ïðåäëàãàåì ïîìîëâêó, [ActorExtra.GetBestName] è [RecipientExtra.GetBestName] ñòàíóò ïðåêðàñíîé ïàðîé;;x
ARRANGE_BETROTHAL_INTERACTION_LETTER_BRIDE_PRICE;We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed. Of course, for such a noble Lady, we also offer a Bride Price of $DOWRY$¤;;;;;;;;;;;Ìû ïðåäëàãàåì ïîìîëâêó, [ActorExtra.GetBestName] è [RecipientExtra.GetBestName] ñòàíóò ïðåêðàñíîé ïàðîé. Êîíå÷íî, çà ñòîëü áëàãîðîäíóþ äàìó, ìû òàêæå ïðåäëàãàåì âûêóï $DOWRY$¤;;x
ARRANGE_BETROTHAL_INTERACTION_LONG_DESC;While children are not allowed to marry, they can get betrothed. The betrothal will last until the characters get married, one of them should die, or it is explicitly broken.;;;;;;;;;;;Äåòÿì íåëüçÿ âñòóïàòü â áðàê, íî îíè ìîãóò äîãîâîðèòüñÿ î ïîìîëâêå, êîòîðàÿ îáû÷íî çàêàí÷èâàåòñÿ ñâàäüáîé, ñìåðòüþ îäíîãî èç íèõ èëè ðàñòîðæåíèåì.;;x
ARRANGE_BETROTHAL_INTERACTION_MUSLIM;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed.;;;;;;;;;;;Ïðåäëîæèòü ïîìîëâêó, §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé.;;x
ARRANGE_BETROTHAL_INTERACTION_OFFER;[Actor.GetBestName] proposes that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed;;;;;;;;;;;[Actor.GetBestName] ïðåäëàãàåò ïîìîëâêó, óòâåðæäàÿ, ÷òî [ActorExtra.GetBestName] è [RecipientExtra.GetBestName] ñòàíóò ïðåêðàñíîé ïàðîé.;;x
ARRANGE_BETROTHAL_INTERACTION_TITLE;Arrange Betrothal;;;;;;;;;;;Ïîìîëâêà;;x
ARRANGE_MARRIAGE;Arrange Marriage;;;;;;;;;;;Âñòóïèòü â áðàê;;x
ARRANGE_MARRIAGE_DESC;Arrange a marriage with one of the most eligible potential spouses available.;;;;;;;;;;;Óñòðîèòü áðàê ñ íàèáîëåå ïîäõîäÿùèì êàíäèäàòîì.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_0;Select a future bride and groom.;;;;;;;;;;;Âûáîð áóäóùèõ æåíèõà è íåâåñòû.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_1;Select a character from the court of §Y$CHAR$§!.;;;;;;;;;;;Âûáåðèòå êàíäèäàòà ïðè äâîðå, êîòîðûé âîçãëàâëÿåò §Y$CHAR$§W.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2A;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§! would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ìàòðèëèíåéíóþ ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê ðîäñòâåííè[ActorExtra.GetTsaK] îáëàäàòåëÿ òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ ðîäñòâåííè[RecipientExtra.GetTseyKom] îáëàäàòåëÿ òèòóëà $THEIRPARTYTIER$.;;x
