EVTTITLE23212;The Legend of [Root.GetFirstNameWithNick];;;;;;;;;;;Ëåãåíäà î [Root.GetFirstNameWithNick];;x
EVTDESCAHF23101;For centuries the Church has had free reign to lord over Rome, the ancient capital of my Empire. The influence of the Papacy looms still over the city, as its many churches can attest. Perhaps it is time to reaffirm the authority of the Empire over the Church in incontrovertible terms...;;;;;;;;;;;Íà ïðîòÿæåíèè ñòîëåòèé Öåðêîâü ñâîáîäíî âëàñòâîâàëà íàä Ðèìîì, äðåâíåé ñòîëèöåé ìîåé Èìïåðèè. Âëèÿíèå ïàïñòâà âñ¸ åù¸ îùóùàåòñÿ â ãîðîäå, î ÷¸ì ñâèäåòåëüñòâóþò ìíîãî÷èñëåííûå öåðêâè. Âîçìîæíî, ïðèøëî âðåìÿ ïîäòâåðäèòü íåîñïîðèìóþ âëàñòü Èìïåðèè íàä Öåðêîâüþ...;;x
EVTDESCAHF23102;In order to stamp out any remaining rebellious aspirations and punish past insults against the Empire, [From.GetTitledFirstName] has ordered the destruction of the Holy See itself. After having priests and prelates abandon their churches in a hurry, barely giving them enough time to recover relics and books, [From.Culture.GetName] soldiers consigned the holy buildings to the flames.\nThis abominable act is certain to permanently cripple the authority of the Catholic Church for centuries to come.;;;;;;;;;;;Æåëàÿ èñêîðåíèòü ëþáûå îñòàòêè ìÿòåæíûõ ñèë è íàêàçàòü çà íåïîïðàâèìûé óùåðá, íàíåñ¸ííûé íåêîãäà âåëèêîé Èìïåðèè, [From.GetTitledFirstName] ïðèêàçàë[From.GetEndA] óíè÷òîæèòü ñàì Ñâÿòîé Ïðåñòîë. Ïîñëå òîãî, êàê ñâÿùåííèêè è ïðåëàòû â ñïåøêå ïîêèíóëè ñâîè öåðêâè, åäâà óñïåâ çàáðàòü ðåëèêâèè è êíèãè, [From.PrimaryTitle.GetAdjective]ñêèå ñîëäàòû ïðåäàëè êóëüòîâûå ñîîðóæåíèÿ îãíþ.\nÝòî îòâðàòèòåëüíîå äåÿíèå, ïî-âèäèìîìó, ïîäîðâ¸ò àâòîðèòåò êàòîëè÷åñêîé öåðêâè íà âåêà.;;x
EVTDESCAHF23106;I have restored the Empire, a feat worthy of immortal glory, yet now doubts beset my mind. How can I ensure that this Empire will not fall like it did in the past? When looking for the causes that fragmented and destroyed the old Empire, there is only one thing that appears to be constant...;;;;;;;;;;;ß âîññòàíîâèë[Root.GetEndA] Èìïåðèþ, ñîâåðøèâ ïîäâèã, äîñòîéíûé áåññìåðòíîé ñëàâû, íî òåïåðü ñîìíåíèÿ îäîëåâàþò ìîé ðàçóì. ×òî íóæíî ñäåëàòü, ÷òîáû ýòà èìïåðèÿ íå ïàëà, êàê ýòî ïðîèçîøëî â ïðîøëîì? Åñëè èñêàòü ïðè÷èíû, êîòîðûå ïðèâåëè ê ðàçâàëó íåêîãäà ìîãó÷åé è ïðîñâÿùåííîé ñòðàíû, òî ëèøü îäíà âåùü êàæåòñÿ íåèçìåííîé...;;x
EVTDESCAHF23107;Could it be possible that, by embracing the barbaric Eastern religion of Christ, Emperor Theodosius weakened the Empire, and that, conversely, I might be able to strengthen it by reintroducing the worship of the old gods? My decision could just as easily doom the Empire a second time as I attempt to save it...;;;;;;;;;;;Âîçìîæíî ëè, ÷òî, ïðèíÿâ âàðâàðñêóþ âîñòî÷íóþ ðåëèãèþ [GetChristNameGEN], èìïåðàòîð Ôåîäîñèé îñëàáèë Èìïåðèþ, è ÷òî ÿ ñìîãó, íàîáîðîò, óêðåïèòü å¸, âîçðîäèâ ïîêëîíåíèå ñòàðûì áîãàì? Ìî¸ ðåøåíèå ìîæåò òàê æå ëåãêî ïîãóáèòü èìïåðèþ âî âòîðîé ðàç, äàæå åñëè ýòî áóäåò ïîïûòêîé å¸ ñïàñòè...;;x
EVTDESCAHF23108;[Root.GetTitledName],\nWe have come to the conclusion that Our predecessors' attachment to the barbaric cult of the Galileans is inextricably tied to the fall of this great Empire of ours, and I have come to the resolution that, in order to truly restore the glory of Rome, we must also restore its ancient religion.\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledFirstName],\nÌû ïðèøëè ê âûâîäó, ÷òî ïðèâÿçàííîñòü íàøèõ ïðåäøåñòâåííèêîâ ê âàðâàðñêîìó êóëüòó ãàëèëåÿí íåðàçðûâíî ñâÿçàíà ñ ïàäåíèåì íàøåé âåëèêîé èìïåðèè, è ÿ ðåøèë[Root.GetEndA], ÷òî äëÿ òîãî, ÷òîáû äåéñòâèòåëüíî âîññòàíîâèòü ñëàâó Ðèìà, ìû òàêæå äîëæíû âîññîçäàòü åãî äðåâíþþ ðåëèãèþ.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
EVTDESCAHF23109;I shall not be part of this farce. I am a §Y[From.Religion.GetName]§!, and I will not abandon my faith in [From.Religion.GetHighGodName].\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;ß íå áóäó ó÷àñòâîâàòü â ýòîì ôàðñå. ß èñïîâåäóþ §Y[From.GetReligionFullName]§!, è ÿ íå îòêàæóñü îò ñâîåé âåðû.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
EVTDESCAHF23110;I am happy to stand right beside you for the resurgence of the §YHellenic§! faith, my [Root.GetTitle].\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;ß ñ÷àñòëèâ[From.GetEndA] âñòàòü ðÿäîì ñ Âàìè âî èìÿ âîçðîæäåíèÿ §Y[_ýëëèíèçì]à§!, ì[Root.GetOyaOy] [Root.GetTitle].\nÏîäïèñü:\n [From.GetTitledFirstName];;x
EVTDESCAHF23111;[Root.GetTitledName],\nI have come to the conclusion to abide by the new Imperial decree and convert to the Hellenic faith. I expect all my subordinates to follow me in this decision.\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;[Root.GetTitledFirstName],\nß ðåøèë[Root.GetEndA] ïîä÷èíèòüñÿ íîâîìó èìïåðàòîðñêîìó óêàçó è ïðèíÿòü [_ýëëèíèçì]. ß îæèäàþ, ÷òî âñå ìîè ïîä÷èí¸ííûå ïîñëåäóþò çà ìíîé â ýòîì âîïðîñå.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
EVTDESCAHF23112;The great celebrations across the Christian world after the restoration of the Roman Empire at the hands of [From.GetTitledFirstName] have been cut short by a terrifying and unexpected turn of events. The new [From.GetTitle] has determined that Christianity is a barbarous and seditious cult that has no place in [From.GetHerHis] new Empire. \nIn an effort to rebuild the past glory of Rome in its entirety, [From.GetSheHe] has forsaken [From.GetHerHis] faith in favor of worshiping the old pagan gods of [From.GetHerHis] ancestors.;;;;;;;;;;;Âåëèêèå ïðàçäíîâàíèÿ â [_õðèñòèàí]ñêîì ìèðå ïî ñëó÷àþ âîññòàíîâëåíèÿ Ðèìñêîé Èìïåðèè, áûëè ïðåðâàíû óæàñàþùèì è íåîæèäàííûì ïîâîðîòîì ñîáûòèé. Íîâ[From.GetAyaYy] [From.GetTitle] [From.GetFirstName] ïîñòàíîâèë[From.GetEndA], ÷òî [GetChristendomOrRandom] — ýòî âàðâàðñêèé è ìÿòåæíûé êóëüò, êîòîðîìó íåò ìåñòà â [From.GetHersHis] íîâîé Èìïåðèè.\nÑòðåìÿñü ïîëíîñòüþ âîññòàíîâèòü áûëóþ ñëàâó Ðèìà, [From.GetSheHe] îòêàçà[From.GetLasLsya] îò ïðåæíåé âåðû â ïîëüçó ïîêëîíåíèÿ ñòàðûì ÿçû÷åñêèì áîãàì ñâîèõ ïðåäêîâ.;;x
EVTDESCAHF23118;The Civil War has ended, and [FromFromFrom.GetFirstName] has reaffirmed [FromFromFrom.GetHerHis] authority as our rightful [FromFromFrom.GetTitle]. Perhaps it is time I reconsidered my choice and embraced Hellenism, lest I suffer the [FromFromFrom.GetTitle]'s wrath.;;;;;;;;;;;Ãðàæäàíñêàÿ âîéíà çàêîí÷èëàñü, è [FromFromFrom.GetFirstName] âíîâü ïîäòâåðäèë[From.GetEndA] ñâîè ïîëíîìî÷èÿ â êà÷åñòâå ëåãèòèìí[From.GetOyOgo] [FromFromFrom.GetEmpressEmperorGEN] íàøåé äåðæàâû. Âîçìîæíî, ìíå ïîðà ïåðåñìîòðåòü ñâîþ âåðó è ïðèíÿòü [_ýëëèíèçì], ÷òîáû íå íàâëå÷ü íà ñåáÿ [FromFromFrom.GetHersHis] ãíåâ.;;x
EVTDESCAHF23119;As expected, the reintroduction of ancient Roman law and customs has not been well received by the Galilean moralizers. An entire coalition of Christian priests has petitioned me to put a stop to these new excesses to prevent the damnation of my subjects' souls.;;;;;;;;;;;Êàê è îæèäàëîñü, âîññòàíîâëåíèå äðåâíåðèìñêèõ çàêîíîâ è îáû÷àåâ íå áûëî õîðîøî âîñïðèíÿòî ãàëèëåéñêèìè ìîðàëèçàòîðàìè. Öåëàÿ êîàëèöèÿ [õðèñòèàí]ñêèõ ñâÿùåííèêîâ îáðàòèëàñü êî ìíå ñ ïðîñüáîé ïîëîæèòü êîíåö ýòèì íîâûì ýêñöåññàì, ÷òîáû ïðåäîòâðàòèòü ïðîêëÿòèå äóø ìîèõ ïîääàííûõ.;;x
EVTDESCAHF23212;Many brave Norsemen sail from Scandinavia in search for glory and riches in the prosperous lands of the West. Only a few return from their travels as heroes, but even their stories pale in comparison to mine. \nMy palace is filled with the countless trophies I have gathered through a lifetime of endless plundering. I have laid waste of scores of towns, killed thousands, brought entire realms to their knees... \nThe land-dwellers scare children by telling stories about my exploits, while the Skalds of [Root.PrimaryTitle.GetName] swear that I must be the son of an Aesir, animated by an unquenchable thirst for blood and conquest.;;;;;;;;;;;Ìíîãèå îòâàæíûå íîðìàííû îòïëûâàþò èç Ñêàíäèíàâèè â ïîèñêàõ ñëàâû è áîãàòñòâà â ïðîöâåòàþùèõ çåìëÿõ Çàïàäà. Ëèøü íåìíîãèå âîçâðàùàþòñÿ èç ñòðàíñòâèé ãåðîÿìè, íî äàæå èõ èñòîðèè ìåðêíóò ïî ñðàâíåíèþ ñ ìîåé. \nÌîé äâîðåö ïîëîí áåñ÷èñëåííûõ òðîôååâ, êîòîðûå ÿ ñîáðàë[Root.GetEndA]çà âñþ ñâîþ æèçíü, íàñûùåííóþ áåñêîíå÷íûìè ãðàáåæàìè.ß îïóñòîøèë[Root.GetEndA]äåñÿòêè ãîðîäîâ, óáèâ òûñÿ÷è ëþäåé, ïîñòàâèë[Root.GetEndA]íà êîëåíè öåëûå ñòðàíû... \nÑóõîïóòíûå æèòåëè ïóãàþò äåòåé ðàññêàçàìè î ìîèõ ïîäâèãàõ, à ñêàëüäû èç [Root.PrimaryTitle.GetName] êëÿíóòñÿ, ÷òî ÿ äîëæåí áóäü ñûíîì Àñà, îäóøåâë¸ííîãî íåóòîëèìîé æàæäîé êðîâè è çàâîåâàíèé.;;x
EVTDESCAHF23214;My warriors are already sprawling through the streets of [From.GetName] to take their hard-fought loot, when I receive news that there is still a pocket of defenders hiding in the area. It is a small band of mercenaries, led by a [scoped_pirate_mercenary.GetManWoman] called [scoped_pirate_mercenary.GetFirstName]. Their leader claims that [scoped_pirate_mercenary.GetSheHe] has no quarrel with us, and would in fact be ready to join my army for the right price.;;;;;;;;;;;Ìîè âîèíû óæå ðàçîøëèñü ïî óëèöàì [From.GetName], ÷òîáû çàáðàòü äîáû÷ó, íàãðàáëåííóþ òÿæêèì òðóäîì, êîãäà ÿ ïîëó÷àþ èçâåñòèå, ÷òî â ýòîì ðàéîíå âñ¸ åù¸ ñêðûâàåòñÿ ãðóïïà çàùèòíèêîâ. Ýòî íåáîëüøàÿ ãðóïïà íà¸ìíèêîâ, âîçãëàâëÿåìàÿ [scoped_pirate_mercenary.GetManWoman]îé ïî èìåíè [scoped_pirate_mercenary.GetFirstName]. Èõ ïðåäâîäèòåëü[scoped_pirate_mercenary.GetEndNitsa] óòâåðæäàåò, ÷òî [scoped_pirate_mercenary.GetSheHe] íå èìååò ê íàì íèêàêèõ ïðåòåíçèé è ñ ãîòîâíîñòüþ ïðèñîåäèíèòüñÿ ê ìîåé àðìèè çà ïðèåìëåìóþ öåíó.;;x
EVTDESCAHF23215;It is not hard to persuade [scoped_pirate_mercenary.GetFirstName]. All it takes is a few kind words, firm hands and some time alone in a burned-out hut. Once I am done with [scoped_pirate_mercenary.GetHerHim], [scoped_pirate_mercenary.GetSheHe] is more than willing to follow my army for free.;;;;;;;;;;;Óáåäèòü [scoped_pirate_mercenary.GetFirstName] íåñëîæíî. Âñ¸, ÷òî äëÿ ýòîãî íóæíî, ýòî íåñêîëüêî äîáðûõ ñëîâ, êðåïêîå ðóêîïîæàòèå è íåìíîãî âðåìåíè â îäèíî÷åñòâå â ñãîðåâøåé õèæèíå. Êàê òîëüêî ÿ çàêîí÷ó ñ í[scoped_pirate_mercenary.GetEyIm], [scoped_pirate_mercenary.GetSheHe] âïîëíå îõîòíî ïîñëåäóåò çà ìîåé àðìèåé, ïðè÷¸ì áåñïëàòíî.;;x
EVTDESCAHF23216;For whatever reason, [scoped_pirate_mercenary.GetFirstName] does not look interested in what I have to offer [scoped_pirate_mercenary.GetHerHim]. In fact, my attempts to reach a better arrangement has only managed to upset [scoped_pirate_mercenary.GetHerHim].;;;;;;;;;;;Ïî êàêîé-òî ïðè÷èíå [scoped_pirate_mercenary.GetFirstName] íå âûãëÿäèò çàèíòåðåñîâàíí[scoped_pirate_mercenary.GetOyYm] â òîì, ÷òî ÿ ìîãó ïðåäëîæèòü [scoped_pirate_mercenary.GetHerHim]. Íà ñàìîì äåëå, ìîè ïîïûòêè äîñòè÷ü ëó÷øåãî ñîãëàøåíèÿ òîëüêî ðàññòðîèëè [scoped_pirate_mercenary.GetHerHis].;;x
EVTDESCAHF23217;[scoped_pirate_mercenary.GetFirstName]'s band has grown weary of following me. They claim that they are not receiving their rightful share of loot from our raids. If I do not bribe them with some of my treasure, they will surely leave.;;;;;;;;;;;Áàíäà [scoped_pirate_mercenary.GetFirstName] óñòàëà ñëåäîâàòü çà ìíîé. Å¸ ÷ëåíû óòâåðæäàþò, ÷òî íå ïîëó÷àþò ïîëîæåííóþ èì äîëþ äîáû÷è îò íàøèõ íàáåãîâ. Åñëè ÿ íå ïîäêóïëþ èõ ÷àñòüþ ñâîèõ ñîêðîâèù, îíè íåïðåìåííî óéäóò.;;x
EVTDESCAHF23218;Having proven my worth by defeating their leader, the remaining mercenaries have flocked under my banner, fearing to meet the same end as their former commander.;;;;;;;;;;;Ïîñëå òîãî, êàê ÿ äîêàçàë[Root.GetEndA] ñâîþ çíà÷èìîñòü, ïîáåäèâ èõ ëèäåðà, îñòàâøèåñÿ íà¸ìíèêè ïåðåøëè ïîä ìîè çíàì¸íà, îïàñàÿñü âñòðåòèòü òîò æå êîíåö, ÷òî è èõ áûâøèé êîìàíäèð.;;x
EVTDESCAHF23219;There must be some way to force open the defenses of [From.GetName]. With control over both land and sea, I have a distinct advantage over the defenders of this fortress. I only need to think of a good idea...;;;;;;;;;;;Äîëæåí áûòü êàêîé-òî ñïîñîá ñëîìèòü îáîðîíó [From.GetName]. Îáëàäàÿ êîíòðîëåì êàê íàä ñóøåé, òàê è íàä ìîðåì, ÿ èìåþ ÿâíîå ïðåèìóùåñòâî ïåðåä çàùèòíèêàìè ýòîé êðåïîñòè. Ìíå íóæíî òîëüêî ïðèäóìàòü õîðîøèé ïëàí...;;x
