EVTDESC_SoA_5000;I shall go on a pilgrimage to seek God's grace at one of the holy places of Christianity.;;;;;;;;;;;ß îòïðàâëÿþñü â ïàëîìíè÷åñòâî èñêàòü Áîæüþ áëàãîäàòü â îäíîì èç ñâÿòûõ ìåñò õðèñòèàíñòâà.;;x
EVTDESC_SoA_5025;My things are packed, everything is in order. I am ready to walk the Way of Saint James.;;;;;;;;;;;Âåùè ñîáðàíû, âñ¸ ãîòîâî ê ïóòåøåñòâèþ. Ïîðà ïðîéòè ïóò¸ì ñâÿòîãî Èàêîâà.;;x
EVTDESC_SoA_5026;The rain has been pouring down for days, it's almost impossible to travel the roads. Why does the Lord punish his faithful pilgrims so?;;;;;;;;;;;Äîæäü ëü¸ò óæå íåñêîëüêî äíåé è ñîâåðøåííî íåâîçìîæíî ïóòåøåñòâîâàòü ïî äîðîãàì. Çà ÷òî Ãîñïîäü òàê íàêàçûâàåò âåðíûõ Åìó ïàëîìíèêîâ?;;x
EVTDESC_SoA_5027;You look out across the beautiful valley stretching out before you. It would be a wonderful moment, if not for the fact that there should be no valley here. You are a pilgrim in an unfamiliar land and you have no idea where you are.;;;;;;;;;;;Âû ñìîòðèòå íà æèâîïèñíóþ äîëèíó, êîòîðàÿ ïðîñòèðàåòñÿ ïåðåä Âàìè. Çàìå÷àòåëüíûé ìîìåíò, åñëè áû íå òîò ôàêò, ÷òî çäåñü íå äîëæíî áûòü íèêàêèõ äîëèí. Âû - ïàëîìíèê â íåçíàêîìîé ñòðàíå, è ïîíÿòèÿ íå èìååòå, ãäå íàõîäèòåñü.;;x
EVTDESC_SoA_5028;Sleeping at the pilgrim's inn, you dream a beautiful dream. You are walking through a dense wood, filled with the wonderful sounds and smells of nature. Little squirrels run across your path and birds sing in the trees. You keep walking through the wood, and then you notice a new and strange but familiar smell. You can't quite put your finger on what it is, though. Hmm, it's something you should know, something important... Hmm... yes, it's... it's... it's fire! You are instantly wide awake. The room is hot, you can hear the sound of crackling flames and a moment later you also hear people screaming. Indeed, the inn is on fire!;;;;;;;;;;;Ïðîâîäÿ íî÷ü â òðàêòèðå äëÿ ïàëîìíèêîâ, Âû âèäèòå ïðåêðàñíûé ñîí - ãóñòîé ëåñ, íàïîëíåííûé ïðåêðàñíûìè çâóêàìè è çàïàõàìè ïðèðîäû, áåëêè ïðîáåãàþò ìèìî, ïòèöû ïîþò. Âû ïðîäîëæàåòå èäòè ÷åðåç ëåñ è âäðóã çàìå÷àåòå íîâûé ñòðàííûé, íî çíàêîìûé çàïàõ. Âû íå ìîæåòå òî÷íî ñêàçàòü, ÷òî ýòî òàêîå. Õì, ýòî ÷òî-òî çíàêîìîå... Âàæíîå... äà, ýòî... ýòî îãîíü! Âû ìãíîâåííî ïðîñûïàåòåñü. Â êîìíàòå æàðêî è ñëûøåí òðåñê ïëàìåíè. ×åðåç ìãíîâåíèå Âû ñëûøèòå êðèêè. Âåñü ïîñòîÿëûé äâîð â îãíå!;;x
EVTDESC_SoA_5029;They said this was a lawless stretch of road, but you still feel rather unlucky to be in this situation. The robbers are many and armed, and they demand that you pay a 'toll' before you are allowed to pass.;;;;;;;;;;;"Ãîâîðÿò, ýòîò ó÷àñòîê äîðîãè âñåãäà êèøèë áàíäèòàìè, íî Âû ñ÷èòàåòå ýòî íåâåçåíèåì. Ãðàáèòåëåé ìíîãî, îíè âîîðóæåíû è òðåáóþò çàïëàòèòü èì ""ïîøëèíó"" çà ïðîõîä.";;x
EVTDESC_SoA_5030;The old wooden bridge has carried many pilgrims in its day. It creaks suspiciously as you step on it.;;;;;;;;;;;Ýòîò ñòàðûé äåðåâÿííûé ìîñò ïðîâ¸ë ìíîãèõ ïàëîìíèêîâ â ñâî¸ âðåìÿ, íî ïîäîçðèòåëüíî çàñêðèïåë, êîãäà Âû ñòóïèëè íà íåãî.;;x
EVTDESC_SoA_5031;You lay awake at night reflecting on your pilgrimage. It's an inner journey as well as a physical one, but can you be sure of which destination it will take you to? And do you even want to have that certainty?;;;;;;;;;;;Âû íå ñïèòå ïî íî÷àì, ÷òî îòðàæàåòñÿ íà Âàøåì ïàëîìíè÷åñòâå. Ýòî ïóòåøåñòâèå íå òîëüêî ôèçè÷åñêîå, íî è äóõîâíîå. Äà è ìîæåòå ëè Âû ñ îïðåäåë¸ííîñòüþ ñêàçàòü êóäà îíî Âàñ ïðèâåä¸ò? È íóæíà ëè Âàì ýòà îïðåäåë¸ííîñòü?;;x
EVTDESC_SoA_5032;Travelling down a long and lonesome road, you come upon a man lying in a ditch. He seems to have been robbed and beaten up quite badly.;;;;;;;;;;;Ïóòåøåñòâóÿ ïî äîëãîé íåèçâåñòíîé äîðîãå, Âû çàìåòèëè ÷åëîâåêà, ëåæàùåãî â êàíàâå. Ïîõîæå, ÷òî åãî îãðàáèëè è ñèëüíî èçáèëè.;;x
EVTDESC_SoA_5033;There have been strong rains in the area lately, and the valley that you need to cross has been transformed into a sizeable lake. The water is still rising, so you start to build a large raft in order to cross. When you're almost finished building it, a group of farmers show up and explain that they also need to cross the valley in order to get back to their homes. They bring with them a number of animals that they've rescued from the flood.;;;;;;;;;;;Â ïîñëåäíåå âðåìÿ â ýòèõ ìåñòàõ øëè ñèëüíûå äîæäè, è äîëèíà, êîòîðóþ Âàì ïðåäñòîÿëî ïåðåéòè, ïðåâðàòèëàñü â áîëüøîå îçåðî. Âîäà äî ñèõ ïîð ïðèáûâàåò, è Âû ðåøèëè ïîñòðîèòü áîëüøîé ïëîò. Êîãäà ñòðîèòåëüñòâî óæå ïî÷òè çàêîí÷èëîñü, âäðóã îáúÿâèëàñü ãðóïïà êðåñòüÿí, êîòîðûì íóæíî ïåðåñå÷ü äîëèíó, ÷òîáû âåðíóòüñÿ îáðàòíî â ñâîè äîìà. Îíè ïðèâåëè ñ ñîáîé æèâîòíûõ, êîòîðûõ ñïàñëè îò íàâîäíåíèÿ.;;x
EVTDESC_SoA_5034;At your camp at night, a large group of fellow pilgrims appear. They have travelled far and are hungry and out of food. You look through your supplies, but you have only just over half a dozen loaves of bread and a few fishes.;;;;;;;;;;;Íî÷üþ ê ëàãåðþ ïðèáûâàåò áîëüøàÿ ãðóïïà ïàëîìíèêîâ. Îíè ïðèøëè èçäàëåêà è ó íèõ çàêîí÷èëàñü åäà. Îñìîòðåâ ñâîè ïðèïàñû, Âû îáíàðóæèâàåòå, ÷òî îñòàëîñü ïîëäþæèíû õëåáîâ è ñîâñåì íåìíîãî ðûáû.;;x
EVTDESC_SoA_5035;You have spent the last fews days of your journey on water. The vessel you are travelling on rocks gently in the breeze, as the sailors go about their business. Being on board ship is quite unlike being on land – so much is different, so many strange words for all the things here. Starboard? Abaft? Aground? What does it all mean?;;;;;;;;;;;Âû ïðîâåëè íåñêîëüêî äíåé ïóòåøåñòâèÿ íà âîäå. Êîðàáëü ìÿãêî ñêîëüçèò íà âåòðó, ïîêà ìîðÿêè ñóåòÿòñÿ âîêðóã. Íàõîäèòüñÿ íà áîðòó ñóäíà - ñîâñåì íå òî, ÷òî õîäèòü ïî çåìëå, ñòîëüêî íîâîãî è íåîáû÷íîãî. Øòèðáîðò, êîðìà, ìåëü - ÷òî âñ¸ ýòî çíà÷èò?;;x
EVTDESC_SoA_5036;As you stop to make camp near a river crossing along with other pilgrims, you observe a group of builders working on a new bridge just upstream. You walk up to them and see that the arches of the bridge are already half completed. The master builder notices your interest and walks up to you and offers to tell you about the construction techniques they are using.;;;;;;;;;;;Âû îñòàíàâëèâàåòåñü, ÷òîáû ðàçáèòü ëàãåðü âîçëå ïåðåïðàâû ÷åðåç ðåêó ñ äðóãèìè ïàëîìíèêàìè è çàìå÷àåòå ãðóïïó ñòðîèòåëåé, ðàáîòàþùèõ íàä íîâûì ìîñòîì. Âû ïîäõîäèòå ê íèì è âèäèòå, ÷òî àðêè ìîñòà óæå íàïîëîâèíó çàâåðøåíû. Ãëàâíûé àðõèòåêòîð îáðàùàåò âíèìàíèå íà Âàø èíòåðåñ, ïîäõîäèò ê Âàì è ïðåäëàãàåò ðàññêàçàòü î ìåòîäàõ ñòðîèòåëüñòâà, êîòîðûå îíè èñïîëüçóþò.;;x
EVTDESC_SoA_5037;The journey is long and hard. Your feet are sore, and your back as well. Far from the castle kitchens the food is barely edible, and on top of that you seem to feel cold all the time. Perhaps you were not quite cut out for this pilgrimage thing?;;;;;;;;;;;Ïóòåøåñòâèå âûäàëîñü äîëãèì è òÿæ¸ëûì, ó Âàñ áîëÿò íîãè è ñïèíà. Âäàëè îò ïðèâû÷íîãî Âàì êîìôîðòà ïèùà åäâà ñúåäîáíà, íå ãîâîðÿ óæå î òîì, ÷òî Âàì âñ¸ âðåìÿ õîëîäíî. Âîçìîæíî, Âû ïðîñòî íå ñîçäàíû äëÿ ïàëîìíè÷åñòâà.;;x
EVTDESC_SoA_5038;As you pass through a small village along the pilgrim's path, an old woman comes up to you. She has recognized you as a pilgrim and explains that her daughter and her family live close to your destination. They are suffering hard times and she asks you to bring them a large purse of money.;;;;;;;;;;;Ïðîõîäÿ ïî íåáîëüøîé äåðåâíå âäîëü ïóòè ïàëîìíèêà, Âû âñòðå÷àåòå ñòàðóõó. Îíà ïðèçíà¸ò â Âàñ ïàëîìíèêà è îáúÿñíÿåò, ÷òî å¸ äî÷ü ñ ñåìü¸é æèâ¸ò áëèçêî îò ìåñòà íàçíà÷åíèÿ. Îíè ïåðåæèâàþò òðóäíûå âðåìåíà, è îíà ïðîñèò Âàñ ïåðåäàòü èì áîëüøîé êîøåë¸ê ñ äåíüãàìè.;;x
EVTDESC_SoA_5039;There is a star shining unusually bright in the clear sky. You see it every night, and its position coincides more or less with the direction to the destination of your pilgrimage.;;;;;;;;;;;Êàæäóþ íî÷ü Âû âèäèòå íåîáû÷àéíî ÿðêóþ çâåçäó, ñèÿþùóþ íà ÿñíîì íåáå. Å¸ ïîëîæåíèå áîëåå èëè ìåíåå ñîâïàäàåò ñ íàïðàâëåíèåì Âàøåãî ïóòåøåñòâèÿ.;;x
EVTDESC_SoA_5045;Thundering hooves are heard down the road. The pilgrims look with apprehension at the rising dust cloud. As the riders close, steel armour and steel-tipped lances reflect the bright sunlight. The tension rises, but then a collective sigh of relief is heard as the banner of the holy knights is seen flying above the mass of armored men. The knights halt before the pilgrims and graciously offer to accompany you on the road.;;;;;;;;;;;Ñòóê êîïûò ñëûøåí ñî ñòîðîíû äîðîãè, è ïàëîìíèêè îïàñëèâî ñìîòðÿò íà ïîäíèìàþùååñÿ îáëàêî ïûëè. Êîãäà âñàäíèêè ïðèáëèæàþòñÿ, èõ áðîíÿ è êîïüÿ íà÷èíàþò áëåñòåòü íà ñîëíöå. Íàïðÿæ¸ííîñòü âîçðàñòàåò, íî çàòåì âñå âçäûõàþò ñ îáëåã÷åíèåì, óâèäåâ çíàìÿ ñâÿòûõ ðûöàðåé. Îíè îñòàíàâëèâàþòñÿ ïåðåä ïàëîìíèêàìè è ëþáåçíî ïðåäëàãàþò ñîïðîâîæäàòü Âàñ â ïóòè.;;x
EVTDESC_SoA_5046;As the evening approaches after a long day on the road, you come upon several campfires. Around the fires you find a group of holy knights, resting after a long day's ride. They invite you to share their meal and trade stories.;;;;;;;;;;;Ñ íàñòóïëåíèåì âå÷åðà, Âû îáíàðóæèâàåòå íåñêîëüêî êîñòðîâ, âîêðóã êîòîðûõ ãðóïïà ñâÿòûõ ðûöàðåé îòäûõàåò ïîñëå äîëãîé äíåâíîé ïîåçäêè. Îíè ïðèãëàøàþò ïðèñîåäèíèòüñÿ ê íèì, ïðåäëàãàÿ ñâîþ åäó è èíòåðåñíûå èñòîðèè.;;x
EVTDESC_SoA_5047;During the last couple of days, you have made company on the road with a holy knight on his way to the same destination. You have lively and interesting conversations, and you find that you have many things in common.;;;;;;;;;;;Â òå÷åíèå íåñêîëüêèõ äíåé ñâÿòûå ðûöàðè ñîñòàâëÿëè Âàì êîìïàíèþ â ïóòåøåñòâèè. Âû âåëè æèâûå è èíòåðåñíûå áåñåäû è çàìåòèëè, ÷òî ó âàñ ìíîãî îáùåãî.;;x
EVTDESC_SoA_5050;You have finally arrived at Canterbury! It is beautifully situated on the river Stour in Kent in southeast England. The town itself and the surrounding meadows are full of pilgrims from all over Europe. You start to make your way through the hustle and bustle, eager to see the famous cathedral and contemplate the tomb of the martyr Thomas Becket, who was viciously murdered inside the cathedral itself.;;;;;;;;;;;Íàêîíåö-òî Âû â Êåíòåðáåðè! Îí ðàñïîëîæåí íà ðåêå Ñòàóð â Êåíòå íà þãî-âîñòîêå Àíãëèè. Ñàì ãîðîä è îêðåñòíûå ëóãà çàïîëíåíû ïàëîìíèêàìè ñî âñåé Åâðîïû. Âû ïûòàåòåñü ïðîáèòüñÿ ÷åðåç øóìíóþ òîëïó, ÷òîáû ïîñìîòðåòü íà çíàìåíèòûé ñîáîð è óâèäåòü ìîãèëó ìó÷åíèêà Òîìàñà Áåêåòà, êîòîðûé áûë æåñòîêî óáèò â í¸ì.;;x
EVTDESC_SoA_5051;You have finally arrived at Jerusalem! Passing by the Mount of Olives, you enter through the city gate and are immediately overcome by a feeling of having made a truly epic journey. The city is filled with people of all creeds and colors, the air heavy with smells of strange spices and foreign plants. You make your way through the throng of people and animals, excited by the knowledge that you are now close to the Via Dolorosa and the other holy places. You plan to also visit the Church of the Nativity in Bethlehem, but first of all you need to find someplace to stay. After all, you wouldn't want to be forced to sleep in a stable, would you?;;;;;;;;;;;Íàêîíåö-òî Âû äîñòèãëè Èåðóñàëèìà! Ïðîõîäÿ ìèìî Ìàñëè÷íîé ãîðû, Âû âõîäèòå ÷åðåç ãîðîäñêèå âîðîòà è ñðàçó ÷óâñòâóåòå, ÷òî ñîâåðøèëè äåéñòâèòåëüíî ýïè÷åñêîå ïóòåøåñòâèå. Ãîðîä íàïîëíåí ëþäüìè âñåõ âåðîèñïîâåäàíèé, à âîçäóõ - çàïàõàìè ñòðàííûõ ñïåöèé è äèêîâèííûõ ðàñòåíèé. Âû ïðîáèâàåòåñü ñêâîçü òîëïó ëþäåé è æèâîòíûõ, çíàÿ, íàñêîëüêî ñåé÷àñ áëèçêè ê Âèà Äîëîðîñà è äðóãèì ñâÿòûì ìåñòàì. Êðîìå òîãî, Âû õîòèòå ïîñåòèòü öåðêîâü Ðîæäåñòâà â Âèôëååìå, íî â ïåðâóþ î÷åðåäü íóæíî íàéòè ìåñòî, ãäå îñòàíîâèòüñÿ. Â êîíöå êîíöîâ, Âû æå íå ñîáèðàåòåñü ñïàòü â õëåâó, íå òàê ëè?;;x
EVTDESC_SoA_5052;You have finally arrived at Köln! The mighty cathedral housing the relics of the Three Kings is still under construction, but it is an impressive structure nonetheless. The city itself lies on the mighty river Rhine, and busy commerce mingles with the flow of pilgrims.;;;;;;;;;;;Íàêîíåö-òî Âû â Ê¸ëüíå! Ìîãó÷èé ñîáîð, ñîäåðæàùèé ìîùè Òð¸õ Êîðîëåé, âñ¸ åù¸ ñòðîèòñÿ, íî ýòî óæå äîâîëüíî âïå÷àòëÿþùåå ñîîðóæåíèå. Ñàì ãîðîä ðàñïîëîæåí íà ðåêå Ðåéí, ãäå îæèâë¸ííàÿ òîðãîâëÿ òåñíî ïåðåïëåòàåòñÿ ñ ïîòîêîì ïàëîìíèêîâ.;;x
EVTDESC_SoA_5053;You have finally arrived at Rome! As you enter the Eternal City, you are struck by the many ancient buildings and monuments that you pass by. It is truly impressive, and you try to imagine how the apostles felt when they first came here on their holy mission at a time when the city's power was at its peak. Though large areas seem to be depopulated, the city still boasts an impressive population concentrated around the Tiber river. The holy sites you want to visit are primarily the basilicas of Saint Peter and Saint Paul, as well as other early churches and places connected to the martyrs. You start making your way to the center of the city, hoping that you won't get lost in traffic as the crowds start to get more dense.;;;;;;;;;;;Íàêîíåö-òî ïåðåä Âàìè Ðèì! Âû âõîäèòå â Âå÷íûé ãîðîä è ïîðàæàåòåñü âèäîì ñòàðèííûõ çäàíèé è ïàìÿòíèêîâ, ïðîõîäÿ ìèìî. Ýòî äåéñòâèòåëüíî âïå÷àòëÿåò, è òåïåðü Âû ïîíèìàåòå, êàê àïîñòîëû ÷óâñòâîâàëè ñåáÿ, êîãäà âïåðâûå ïðèáûëè ñþäà ñî ñâÿùåííîé ìèññèåé â òå âðåìåíà, êîãäà ãîðîä áûë íà ïèêå ñâîåé âëàñòè. Õîòÿ áîëüøèå ïëîùàäè îïóñòåëè, ãîðîä âñ¸ åùå ìîæåò ïîõâàñòàòüñÿ ñâîèì íàñåëåíèåì, ñêîíöåíòðèðîâàííûì ó ðåêè Òèáð. Ñâÿòûå ìåñòà, êîòîðûå Âû õîòèòå ïîñåòèòü â ïåðâóþ î÷åðåäü - ýòî áàçèëèêè ñâÿòûõ Ïåòðà è Ïàâëà, äðóãèå ðàííèå öåðêâè è ìåñòà, ñâÿçàííûå ñ ìó÷åíèêàìè. Âû äâèãàåòåñü ê öåíòðó ãîðîäà, íàäåÿñü íå ïîòåðÿòüñÿ â òîëïå, êîòîðàÿ ñòàíîâèòñÿ âñ¸ áîëåå ïëîòíîé.;;x
EVTDESC_SoA_5054;You have finally arrived at Santiago, the oldest major pilgrimage site in the West. It is an inland town close to the Atlantic Ocean, with origins going back at least to the Roman Empire. The fabled Way of Saint James is a long road to travel, and you have passed through many towns and villages on your way here.\n\nThe legend holds that as Saint James' remains were brought here by ship from Jerusalem, they were lost at sea due to a storm. But soon after they were miraculously washed ashore, covered in scallops. Because of this, scallop shells have become a popular souvenir among pilgrims.\n\nYour mind dwells on the legends of this holy place, as you make your way through the crowds towards the center of town.;;;;;;;;;;;Âû íàêîíåö-òî ïðèáûëè â Ñàíòüÿãî, äðåâíåéøåå ìåñòî ïàëîìíè÷åñòâà íà Çàïàäå. Ýòîò ãîðîä, ðàñïîëîæåííûé íåïîäàë¸êó îò Àòëàíòè÷åñêîãî îêåàíà, âîçâðàùàåò Âàñ êî âðåìåíàì Ðèìñêîé èìïåðèè. Ëåãåíäàðíûé ïóòü ñâÿòîãî Èàêîâà - äîëãàÿ äîðîãà, è Âû ïðîøëè ÷åðåç ìíîãèå ãîðîäà è äåðåâíè, ÷òîáû ïîïàñòü ñþäà.\nËåãåíäà ãëàñèò, ÷òî, êîãäà îñòàíêè ñâÿòîãî Èàêîâà âåçëè íà êîðàáëå èç Èåðóñàëèìà, îíè áûëè ïîòåðÿíû â ìîðå èç-çà øòîðìà. Íî âñêîðå ïîñëå ýòîãî èõ ÷óäåñíûì îáðàçîì ïðèáèëî ê áåðåãó âìåñòå ñ ðàêóøêàìè. Èç-çà ýòîãî, ìîðñêèå ðàêóøêè ñòàëè ïîïóëÿðíûìè ñóâåíèðàìè ñðåäè ïàëîìíèêîâ.\nÏîêà Âû ïðîáèðàåòåñü ÷åðåç òîëïó ê öåíòðó ãîðîäà, Âàøè ìûñëè çàíÿòû ëåãåíäàìè îá ýòîì ñâÿòîì ìåñòå.;;x
EVTDESC_SoA_5056;As you walk around on this holy ground, you ponder the secrets and the essence of God. The teachings of the holy church have never felt more relevant to you than now. Imagine the knowledge contained in the scriptures stored here!;;;;;;;;;;;Ñòóïàÿ ïî ñâÿòîé çåìëå, Âû ðàçìûøëÿåòå î òàéíå è ñóùíîñòè Áîãà. Íèêîãäà åù¸ ó÷åíèÿ ñâÿòîé Öåðêâè íå áûëè òàê àêòóàëüíû äëÿ Âàñ, êàê ñåé÷àñ. Òîëüêî ïðåäñòàâüòå ñåáå âñå çíàíèÿ, êîòîðûå ñîäåðæàòñÿ â ïèñàíèÿõ, õðàíÿùèõñÿ çäåñü!;;x
EVTDESC_SoA_5057;The saints, this holy ground, how it all moves my soul! I realize now that all my life up to this point has only been a preparation for this journey. How wondrous that the light of the Lord truly shines in me, a poor sinner. From now on I shall always do His work.;;;;;;;;;;;Ñâÿòûå, ýòî ñâÿòàÿ çåìëÿ, êàê æå âñ¸ ýòî ïîòðÿñàåò ìîþ äóøó! Òåïåðü ÿ ïîíèìàþ, ÷òî âñÿ ìîÿ æèçíü äî ýòîãî ìîìåíòà áûëà ëèøü ïîäãîòîâêîé ê ýòîìó ïóòåøåñòâèþ. Êàê ÷óäåñíî, ÷òî ñâåò Ãîñïîäà ñèÿåò âî ìíå, áåäíîì ãðåøíèêå. Îòíûíå ÿ âñåãäà áóäó äåëàòü Åãî ðàáîòó.;;x
EVTDESC_SoA_5058;Traveling all this way to see the holy places, you had hoped for more than this. It's just lots of people, some churches and a few bones that really look quite suspicious. Before coming, you had read the exalted stories of other pilgrims, but this just isn't like they described it.;;;;;;;;;;;Ïðîéäÿ âåñü ýòîò ïóòü, ÷òîáû óâèäåòü ñâÿòûå ìåñòà, Âû íàäåÿëèñü íà áîëüøåå, à ýòî ïðîñòî ìàññà ëþäåé, öåðêâè è êîñòè, êîòîðûå âûãëÿäÿò âåñüìà ïîäîçðèòåëüíî. Ïåðåä ïóòåøåñòâèåì, Âû ÷èòàëè âîçâûøåííûå èñòîðèè äðóãèõ ïàëîìíèêîâ, íî âñ¸ îêàçàëîñü íå òàêèì, êàê îíè îïèñûâàëè.;;x
EVTDESC_SoA_5059;As you approach the holy temple, you overhear a theological discussion between several priests. You stop and eagerly engage them in conversation, expanding upon several of your favorite topics. They are very impressed by your knowledge and invite you to hold a lecture for a group of assembled religious scholars.;;;;;;;;;;;Ïðèáëèæàÿñü ê ñâÿòîìó õðàìó, Âû óñëûøàëè, êàê íåñêîëüêî ñâÿùåííèêîâ âñòóïèëè â áîãîñëîâñêèé ñïîð. Âû îñòàíîâèëèñü è ñ íåòåðïåíèåì âêëèíèëèñü â èõ ðàçãîâîð, ðàñøèðèâ åãî ñâîèìè ëþáèìûìè òåìàìè. Âàøè çíàíèÿ âïå÷àòëèëè èõ, è îíè ïðèãëàñèëè Âàñ ïðîâåñòè ëåêöèþ ñðåäè ó÷¸íûõ.;;x
EVTDESC_SoA_5060;The bustling mass of pilgrims is impressive, as are the many languages, colors and ways of dress present. People come here from west, east, north and south. You are standing at a place where the roads meet, and that is where people and ideas meet.;;;;;;;;;;;Îæèâëåííàÿ ìàññà ïàëîìíèêîâ âïå÷àòëÿåò, êàê è ðàçíîîáðàçèå ÿçûêîâ, âíåøíîñòè ïðèñóòñòâóþùèõ è èõ ìàíåðû îäåâàòüñÿ. Ëþäè ïðèõîäÿò ñþäà ñî âñåõ êîíöîâ ñâåòà. Âû ñòîèòå ïðÿìî íà ïåðåñå÷åíèè ïóòåé, ãäå ëþäè è èäåè íàõîäÿò äðóã äðóãà.;;x
EVTDESC_SoA_5061;The stories of other pilgrims all spoke of how impressive this place is. Now that you can see it with your own eyes, you can only join in their praise. You are glad that you came here, to one of Christianity's holiest places.;;;;;;;;;;;Äðóãèå ïàëîìíèêè ãîâîðèëè î òîì, êàê âïå÷àòëÿåò ýòî ìåñòî. Òåïåðü, Âû ìîæåòå óâèäåòü åãî ñâîèìè ãëàçàìè è ïðèñîåäèíèòüñÿ ê èõ ïîõâàëàì. Âû ðàäû, ÷òî ïðèøëè ñþäà, ê îäíîìó èç ñâÿòûõ ìåñò õðèñòèàíñòâà.;;x
EVTDESC_SoA_5062;So far from home, all alone, and so many lovely people in the same situation as me. It's a great opportunity for some fun, isn't it?;;;;;;;;;;;Òàê äàëåêî îò äîìà, â ïîëíîì îäèíî÷åñòâå, è òàê ìíîãî ïðåêðàñíûõ ëþäåé â òîé æå ñèòóàöèè, ÷òî è ÿ. Îòëè÷íàÿ âîçìîæíîñòü ïîðàçâëå÷üñÿ, íå òàê ëè?;;x
