EVTTITLEHF25800;The Children's Crusade;;;;;;;;;;;Kðåñòîâûé ïîõîä äåòåé;;x
EVTDESCAHF25806;Something has happened to my beloved [GetFromRelation] [From.GetFirstName].\n\n[From.GetSheHeCap] claims that the Holy Ghost visited [From.GetHerHim] last night, ordering [From.GetHerHim] to take up arms, gather all the true followers and lead a Crusade against the infidels who are desecrating the hallowed soil of Jerusalem.\n\n[From.GetSheHeCap] has even had the gall to demand money, weapons and troops from me to show my support to this sacred quest of [From.GetHersHis]. [From.GetSheHeCap] will not listen to reason and is very determined to leave [Root.Capital.GetName] immediately.;;;;;;;;;;;×òî-òî ñëó÷èëîñü ñ ìî[From.GetEyIm] âîçëþáëåíí[From.GetOyYm] [From.GetRootRelation] [From.GetFirstName].\n\n[From.GetSheHeCap] óòâåðæäàåò, ÷òî Ñâÿòîé Äóõ ïîñåòèë [From.GetHerHis] ïðîøëîé íî÷üþ è ïðèêàçàë [From.GetHerHim] âçÿòüñÿ çà îðóæèå, ñîáðàòü âñåõ èñòèííûõ ïîñëåäîâàòåëåé è âîçãëàâèòü Êðåñòîâûé ïîõîä ïðîòèâ íåâåðíûõ, îñêâåðíÿþùèõ ñâÿùåííóþ çåìëþ Èåðóñàëèìà.\n\n[From.GetSheHeCap] äàæå èìåë[From.GetEndA] íàãëîñòü òðåáîâàòü îò ìåíÿ äåíüãè, îðóæèå è âîéñêà, ÷òîáû ïîêàçàòü ñâîþ ïîääåðæêó ýòîé [From.GetHersHis] ñâÿùåííîé ìèññèè. [From.GetSheHeCap] íå ñëóøàåò äîâîäîâ è ðåøèòåëüíî íàñòðî[From.GetNaEn] íåìåäëåííî ïîêèíóòü [Root.Capital.GetName].;;x
EVTDESCAHF25807;News have reached us that a [FromFrom.GetBoyGirl] from [FromFrom.Capital.GetName] has received a vision from the Holy Ghost, compelling [FromFrom.GetHerHim] to pick up arms, gather the true followers of Christ and lead a Crusade against the infidels who desecrate the sacred soil of Jerusalem.\nThe [FromFrom.GetBoyGirl] has gathered many followers amongst the peasantry and has embarked on great journey to reach the Holy Land, claiming that the sea itself will open at [FromFrom.GetHerHis] passage.;;;;;;;;;;;Äî íàñ äîøëè íîâîñòè î òîì, ÷òî [FromFrom.GetBoyGirl] èç [FromFrom.Capital.GetName] ïîëó÷èë[FromFrom.GetEndA] âèäåíèå îò Ñâÿòîãî Äóõà, ïîáóæäàþùåå [FromFrom.GetHerHim] âçÿòü â ðóêè îðóæèå, ñîáðàòü èñòèííûõ ïîñëåäîâàòåëåé Õðèñòà è âîçãëàâèòü Êðåñòîâûé ïîõîä ïðîòèâ íåâåðíûõ, îñêâåðíÿþùèõ ñâÿùåííóþ çåìëþ Èåðóñàëèìà.\n[FromFrom.GetBoyGirl] ñîáðàë[FromFrom.GetEndA] ìíîæåñòâî ïîñëåäîâàòåëåé ñðåäè êðåñòüÿí è îòïðàâè[FromFrom.GetLasLsya] â áîëüøîå ïóòåøåñòâèå, ÷òîáû äîñòè÷ü Ñâÿòîé Çåìëè, óòâåðæäàÿ, ÷òî ñàìî ìîðå îòêðîåòñÿ ïåðåä í[FromFrom.GetEyIm].;;x
EVTDESCAHF25810;The ragtag army of [childrens_crusade_leader.GetFirstName] has reached [Root.Capital.GetName]. As if the parade of dirty peasants and screeching children hadn't already caused enough problems, their unlikely leader has requested an audience with me, claiming that I should provide supplies and lodging for [childrens_crusade_leader.GetHerHis] holy warriors.;;;;;;;;;;;Ðàçíîø¸ðñòíàÿ àðìèÿ [childrens_crusade_leader.GetFirstName] äîñòèãëà [Root.Capital.GetName]. Êàê áóäòî øåñòâèå ãðÿçíûõ êðåñòüÿí è âèçæàùèõ äåòåé íå ñîçäàëî äîñòàòî÷íî ïðîáëåì, èõ íåîæèäàííûé ëèäåð ïðîñèò ó ìåíÿ àóäèåíöèè, óòâåðæäàÿ, ÷òî ÿ äîëæ[Root.GetNaEn] ïðåäîñòàâèòü ïðèïàñû è íî÷ëåã äëÿ [childrens_crusade_leader.GetHerHis] ñâÿòûõ âîèíîâ.;;x
EVTDESCAHF25811;The ragtag army of [childrens_crusade_leader.GetFirstName] has reached [Root.Capital.GetName]. As if the parade of dirty peasants and screeching children hadn't already caused enough problems, their unlikely leader has requested an audience with me, claiming that I should provide troops and armaments for [childrens_crusade_leader.GetHerHis] holy quest.;;;;;;;;;;;Ðàçíîø¸ðñòíàÿ àðìèÿ [childrens_crusade_leader.GetFirstName] äîñòèãëà [Root.Capital.GetName]. Êàê áóäòî øåñòâèå ãðÿçíûõ êðåñòüÿí è âèçæàùèõ äåòåé íå ñîçäàëî äîñòàòî÷íî ïðîáëåì, èõ íåîæèäàííûé ëèäåð ïðîñèò ó ìåíÿ àóäèåíöèè, óòâåðæäàÿ, ÷òî ÿ äîëæ[Root.GetNaEn] ïðåäîñòàâèòü âîéñêà è âîîðóæåíèå äëÿ [childrens_crusade_leader.GetHerHis] ñâÿùåííîãî ïîõîäà.;;x
EVTDESCAHF25812;Ever since the ragtag army of [childrens_crusade_leader.GetFirstName] has reached [Root.Capital.GetName], I have received no shortage of complaints from [child_outraged_priest.GetTitledFirstName] regarding how heretical this Crusade is, and how I should make an example of its young leader to prevent my subjects from falling to [childrens_crusade_leader.GetHerHis] sinful words.;;;;;;;;;;;Ñ òåõ ïîð, êàê ðàçíîø¸ðñòíàÿ àðìèÿ [childrens_crusade_leader.GetFirstName] äîáðàëàñü äî [Root.Capital.GetName], ÿ íå ïåðåñòàþ ïîëó÷àòü æàëîáû îò [child_outraged_priest.GetTitledFirstName] îòíîñèòåëüíî òîãî, íàñêîëüêî åðåòè÷åí ýòîò Êðåñòîâûé ïîõîä, è ÷òî ìíå ñëåäóåò ïîäàòü ïðèìåð äëÿ åãî ìîëîäîãî ëèäåðà, ÷òîáû ìîé íàðîä íå ïîääàëñÿ íà [childrens_crusade_leader.GetHerHis] ãðåõîâíûå ñëîâà.;;x
EVTDESCAHF25813;Ever since the ragtag army of [childrens_crusade_leader.GetFirstName] has reached [Root.Capital.GetName], I felt drawn to the words of its leader. Jesus surely speaks for [childrens_crusade_leader.GetHerHim].;;;;;;;;;;;Ñ òåõ ïîð, êàê ðàçíîø¸ðñòíàÿ àðìèÿ [childrens_crusade_leader.GetFirstName] äîñòèãëà [Root.Capital.GetName], ÿ ïî÷óâñòâîâàë[Root.GetEndA], ÷òî ìåíÿ ïðèâëåêàþò ñëîâà å¸ ëèäåðà. Èèñóñ, íåñîìíåííî, ãîâîðèò îò [childrens_crusade_leader.GetHerHis] èìåíè.;;x
EVTDESCAHF25814;Tragedy has struck me! My [GetFromRelation] [From.GetFirstName], swayed by the words of [childrens_crusade_leader.GetFirstName], has decided to flee [From.GetHerHis] home to join the Children's Crusade.;;;;;;;;;;;Ìåíÿ ïîñòèãëà òðàãåäèÿ! Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName], ïîä âëèÿíèåì ñëîâ [childrens_crusade_leader.GetFirstName], ðåøèë[From.GetEndA] ïîêèíóòü ñâîé äîì, ÷òîáû ïðèñîåäèíèòüñÿ ê Äåòñêîìó êðåñòîâîìó ïîõîäó.;;x
EVTDESCAHF25815;[From.GetFirstName] claimed that the tides of the Mediterranean Sea would split open at the arrival of [From.GetHerHis] army, allowing [From.GetHerHis] warriors to cross unscathed and march all the way to the Holy Land.\nUnfortunately, the Lord did not fulfill the promise made to the young Crusader, and now the large force of peasants and children languishes in Genoa, looking for a way to travel to Asia.\nSome of the less determined members of the Crusade have already lost their faith, but [From.GetFirstName] remains strong in [From.GetHerHis] conviction, persuading new, hopeless recruits every day.;;;;;;;;;;;[From.GetFirstName] óòâåðæäàë[From.GetEndA], ÷òî ïðèëèâû Ñðåäèçåìíîãî ìîðÿ ðàçîéäóòñÿ ñ ïðèáûòèåì [From.GetHerHis] àðìèè, ÷òî ïîçâîëèò [From.GetHerHis] âîèíàì ïåðåñå÷ü íåâðåäèìûìè è ïðîéòè âåñü ïóòü äî Ñâÿòîé Çåìëè.\nÊ ñîæàëåíèþ, Ãîñïîäü íå èñïîëíèë îáåùàíèå, äàííîå þíîìó êðåñòîíîñöó, è òåïåðü áîëüøàÿ ãðóïïà êðåñòüÿí è äåòåé òîìèòñÿ â Ãåíóå, èùà ñïîñîá äîáðàòüñÿ äî Àçèè.\nÍåêîòîðûå ìåíåå ðåøèòåëüíûå ó÷àñòíèêè Êðåñòîâîãî ïîõîäà óæå óòðàòèëè âåðó, íî [From.GetFirstName] îñòà¸òñÿ òâåðä[From.GetEndA] â ñâîèõ óáåæäåíèÿõ, êàæäûé äåíü óáåæäàÿ íîâûõ, áåçíàä¸æíûõ íîâîáðàíöåâ.;;x
EVTDESCAHF25816;After having finally managed to book a passage through the Mediterranean Sea in order to reach the Holy Land, the Children's Crusade has been forced to an unfortunate detour to Greece after their ships crashed on the coasts of Achaia after a terrible storm. Reports from the army are scant, although there are rumors saying that many have started to doubt [From.GetFirstName]'s leadership. \n\nAnd yet, this unlikely horde of youths and peasants is still marching on towards Jerusalem.;;;;;;;;;;;Ïîñëå òîãî, êàê, íàêîíåö-òî, óäàëîñü îðãàíèçîâàòü ïóòü ÷åðåç Ñðåäèçåìíîå ìîðå, ÷òîáû äîáðàòüñÿ äî Ñâÿòîé Çåìëè, Äåòñêèé êðåñòîâûé ïîõîä áûë âûíóæäåí ñîâåðøèòü íåóäà÷íûé êðþê â Ãðåöèþ ïîñëå òîãî, êàê èõ êîðàáëè ïîòåðïåëè êðóøåíèå ó áåðåãîâ Àõåè ïîñëå óæàñíîãî øòîðìà. Îò÷¸òû èç àðìèè ñêóäíû, õîòÿ õîäÿò ñëóõè, ÷òî ìíîãèå íà÷àëè ñîìíåâàòüñÿ â ëèäåðñòâå [From.GetFirstName].\n\nÍî òåì íå ìåíåå, ýòà íåâåðîÿòíàÿ îðäà þíîøåé è êðåñòüÿí âñ¸ åù¸ äâèæåòñÿ ê Èåðóñàëèìó.;;x
EVTDESCAHF25817;Despite all adversities and many attempts to undermine [From.GetHerHis] divinely-inspired leadership, [From.GetFirstName] has been able to march [From.GetHerHis] army all the way to Nikaea. \nWith the Holy Land finally within reach, the Crusaders' resolve has been strengthened. Their leader is certain that the infidels will not dare to raise their arms against them once they realize their holy mandate, and instead will open the doors of Jerusalem at their very arrival.;;;;;;;;;;;Íåñìîòðÿ íà âñå íåâçãîäû è ìíîãî÷èñëåííûå ïîïûòêè ïîäîðâàòü [From.GetHerHis] áîãîâäîõíîâåííîå ðóêîâîäñòâî, [From.GetFirstName] ñìîã[From.GetNoneE] ïðîâåñòè ñâîþ àðìèþ äî ñàìîé Íèêåè.\nÏîñêîëüêó Ñâÿòàÿ Çåìëÿ íàêîíåö-òî îêàçàëàñü â ïðåäåëàõ äîñÿãàåìîñòè, ðåøèìîñòü Êðåñòîíîñöåâ óêðåïèëàñü. Èõ ïðåäâîäèòåëü[From.GetEndNitsa] óâåðåí[From.GetEndA], ÷òî íåâåðíûå íå ïîñìåþò ïîäíÿòü ïðîòèâ íèõ îðóæèå, êàê òîëüêî îñîçíàþò ñâîé ñâÿùåííûé äîëã, à âìåñòî ýòîãî îòêðîþò äâåðè Èåðóñàëèìà ïðè èõ ïðèáûòèè.;;x
EVTDESCAHF25818;After receiving a vision of the Archangel Gabriel, who helped [From.GetHerHim] lead [From.GetHerHis] army through the treacherous path leading to Outremer, the children of [From.GetFirstName] have miraculously managed to reach Antioch before being spotted by the infidels.\nIn spite of the [From.GetBoyGirl]'s claim that the infidels would forsake the Devil upon their very arrival without the need for a fight, the heathens occupying Jerusalem have begun mobilizing their army, ready and eager to slaughter the innocent souls marching against them, in order to protect their ill-gotten land.\nThe world will soon see whether [From.GetFirstName] was truly blessed by the Lord.;;;;;;;;;;;Ïîñëå âèäåíèÿ àðõàíãåëà Ãàâðèèëà, êîòîðûé ïîìîã [From.GetHerHim] ïðîâåñòè [From.GetHerHis] àðìèþ ÷åðåç êîâàðíûé ïóòü, âåäóùèé â Óòðåìåð, äåòè [From.GetFirstName] ÷óäåñíûì îáðàçîì ñóìåëè äîáðàòüñÿ äî Àíòèîõèè, ïðåæäå ÷åì èõ çàìåòèëè íåâåðíûå.\nÍåñìîòðÿ íà çàÿâëåíèå [From. GetBoyGirl] î òîì, ÷òî íåâåðíûå áåç áîÿ îòêàæóòñÿ îò Äüÿâîëà ïî ïðèáûòèè âîéñê, ÿçû÷íèêè, îêêóïèðîâàâøèå Èåðóñàëèì, íà÷àëè ìîáèëèçàöèþ ñâîåé àðìèè, ãîòîâîé è æàæäóùåé óáèâàòü íåâèííûå äóøè, èäóùèå ïðîòèâ íèõ. ×òîáû çàùèòèòü ñâîè íåçàêîííî îáðåò¸ííûå çåìëè.\nÑêîðî ìèð óâèäèò, äåéñòâèòåëüíî ëè [From.GetFirstName] áûë[From.GetEndA] áëàãîñëîâëåí[From.GetEndA] Ãîñïîäîì.;;x
EVTDESCAHF25819;It appears that whatever impetus had driven so many to follow [From.GetFirstName] has dissipated. The Children's Crusade is no more, its army scattered and broken, its main supporters dead or missing.\nThe leader [From.GetHerselfHimself], [From.GetFirstName], still convinced to be the messenger of the Lord, is now derided by most as a raving lunatic who spends most of [From.GetHerHis] days yelling at people from street corners, lamenting about the depravity of the Church and the nearing end of our world.;;;;;;;;;;;Ïîõîæå, ÷òî ñòèìóë, ïîáóäèâøèé ìíîãèõ ïîñëåäîâàòü çà [From.GetFirstName], òåïåðü ðàññåÿëñÿ. Äåòñêîãî êðåñòîâîãî ïîõîäà áîëüøå íåò, åãî àðìèÿ ðàññåÿíà è ðàçáèòà, åãî ãëàâíûå ñòîðîííèêè ìåðòâû èëè ïðîïàëè áåç âåñòè.\nÑàì[From.GetEndA] ëèäåð[From.GetEndSha], [From.GetFirstName], âñ¸ åù¸ óáåæä¸íí[From.GetAyaYy] â òîì, ÷òî îí[From.GetEndA] ïîñëàííè[From.GetTsaK] Ãîñïîäà, òåïåðü âîñïðèíèìàåòñÿ áîëüøèíñòâîì êàê áóéí[From.GetAyaYy] ñóìàñøåäø[From.GetAyaIy], êîòîð[From.GetAyaYy] ïðîâîäèò áîëüøóþ ÷àñòü ñâîèõ äíåé, êðè÷à íà ëþäåé ñ óãëîâ óëèö, ñåòóÿ íà ïîðî÷íîñòü Öåðêâè è ïðèáëèæàþùèéñÿ êîíåö íàøåãî ìèðà.;;x
EVTDESCAHF25823;Facing against the concrete threat of a heathen army, the Children's Crusade shattered in a thousand crying pieces.\nWithout proper leadership, equipment, or trained soldiers, [From.GetFirstName] was unable to stand against [From.GetHerHis] foes. Despite being able to lead [From.GetHerHis] followers all the way to the Holy Land, [From.GetHerHis] dreams of a Christian Jerusalem will go unfulfilled.\nAbandoned by most of [From.GetHerHis] supporters, the [From.GetBoyGirl] has been sold into slavery, alongside many other children captured by the infidels after their defeat.;;;;;;;;;;;Ñòîëêíóâøèñü ñ ðåàëüíîé óãðîçîé ÿçû÷åñêîé àðìèè, Äåòñêèé êðåñòîâûé ïîõîä ðàçëåòåëñÿ íà òûñÿ÷è êðè÷àùèõ îñêîëêîâ.\nÁåç íàäëåæàùåãî ðóêîâîäñòâà, ñíàðÿæåíèÿ è îáó÷åííûõ ñîëäàò [From.GetFirstName] íå ñìîã[From.GetNoneE] ïðîòèâîñòîÿòü ñâîèì âðàãàì. Íåñìîòðÿ íà âîçìîæíîñòü âåñòè ñâîèõ ïîñëåäîâàòåëåé íà âñ¸ì ïóòè ê Ñâÿòîé çåìëå, [From.GetHerHis] ìå÷òû î õðèñòèàíñêîì Èåðóñàëèìå òàê è îñòàíóòñÿ íåðåàëèçîâàííûìè.\nÏîêèíóò[From.GetAyaYy] áîëüøèíñòâîì ñâîèõ ñòîðîííèêîâ, [From.GetBoyGirl] áûë[From.GetEndA] ïðîäàí[From.GetEndA] â ðàáñòâî âìåñòå ñî ìíîãèìè äðóãèìè äåòüìè, çàõâà÷åííûìè íåâåðíûìè ïîñëå ïîðàæåíèÿ êðåñòîâîãî ïîõîäà.;;x
EVTDESCAHF25824;An insane child, clearly under the influence of [Root.Religion.GetRandomEvilGodName], has managed to reach Jerusalem at the head of a large army of beggars and youths, claiming that it is [From.GetHerHis] sacred duty to retake the Holy Land in the name of [From.GetHerHis] god.\nWhile the number of gullible fools who have fallen for this [From.GetBoyGirl]'s words is alarming, the idea that a mob of starving peasants will be capable of defeating a mighty [Root.Religion.GetName] army in open battle is laughable.;;;;;;;;;;;Áåçóìíûé ðåá¸íîê, ÿâíî íàõîäÿùèéñÿ ïîä âëèÿíèåì [Root.Religion.GetRandomEvilGodName], ñóìåë äîáðàòüñÿ äî Èåðóñàëèìà âî ãëàâå áîëüøîé àðìèè íèùèõ è þíöîâ, óòâåðæäàÿ, ÷òî [From.GetHerHis] ñâÿùåííûé äîëã - âåðíóòü Ñâÿòóþ çåìëþ âî ñëàâó [From.GetHerHis] áîãà.\nÕîòÿ êîëè÷åñòâî ëåãêîâåðíûõ ãëóïöîâ, êóïèâøèõñÿ íà ñëîâà ýò[From.GetOyOgo] [From.GetBoyGirl], âûçûâàåò òðåâîãó, èäåÿ î òîì, ÷òî òîëïà ãîëîäíûõ êðåñòüÿí ñìîæåò ïîáåäèòü ìîãó÷óþ àðìèþ [Root.Religion.GetName] â îòêðûòîì áîþ, ñìåõîòâîðíà.;;x
EVTDESCAHF25825;Facing against the concrete threat of a heathen army, the Children's Crusade shattered in a thousand crying pieces.\nWithout proper leadership, equipment, or trained soldiers, [From.GetFirstName] was unable to stand against [From.GetHerHis] foes. Despite being able to lead [From.GetHerHis] followers all the way to the Holy Land, [From.GetHerHis] dreams of a Christian Jerusalem will go unfulfilled.\nThe heathens slaughtered all of the adults who were foolish enough to follow [From.GetHerHim] and captured the children in the army, selling all of them as slaves.;;;;;;;;;;;Ñòîëêíóâøèñü ñ ðåàëüíîé óãðîçîé ÿçû÷åñêîé àðìèè, Äåòñêèé êðåñòîâûé ïîõîä ðàçëåòåëñÿ íà òûñÿ÷è êðè÷àùèõ îñêîëêîâ.\nÁåç íàäëåæàùåãî ðóêîâîäñòâà, ñíàðÿæåíèÿ è îáó÷åííûõ ñîëäàò [From.GetFirstName] íå óäàëîñü ïðîòèâîñòîÿòü ñâîèì âðàãàì. Íåñìîòðÿ íà [From.GetHerHis] âîçìîæíîñòü âåñòè ïîñëåäîâàòåëåé äî ñàìîé Ñâÿòîé Çåìëè, [From.GetHerHis] ìå÷òû î õðèñòèàíñêîì Èåðóñàëèìå òàê è îñòàíóòñÿ íåðåàëèçîâàííûìè.\nßçû÷íèêè âûðåçàëè âñåõ âçðîñëûõ, êîòîðûå áûëè äîñòàòî÷íî ãëóïû, ÷òîáû ñëåäîâàòü çà í[From.GetHerHim] è èõ àðìèÿ çàõâàòèëà äåòåé, ïðîäàâ èõ âñåõ â ðàáñòâî.;;x
EVTDESCAHF25826;As was expected, the fools who entrusted their lives in the hands of a child were promptly slaughtered by the armies of the faithful.\nThis Crusade against Jerusalem was bound to be short-lived and one-sided. Our enemies had no skilled commanders, no weapons, no armors, no siege engines, no food... That they were able to reach their destination in the first place was something of a miracle by itself.\nThe few survivors amongst the children have been sold into slavery, never to return to their homeland.;;;;;;;;;;;Êàê è îæèäàëîñü, ãëóïöû, äîâåðèâøèå ñâîþ æèçíü â ðóêè ðåá¸íêà, áûëè íåìåäëåííî ïåðåáèòû àðìèÿìè ïðàâîâåðíûõ.\nÝòîò Êðåñòîâûé ïîõîä íà Èåðóñàëèì äîëæåí áûë áûòü íåäîëãèì è îäíîñòîðîííèì. Ó íàøèõ âðàãîâ íå áûëî íè îïûòíûõ êîìàíäèðîâ, íè îðóæèÿ, íè äîñïåõîâ, íè îñàäíûõ îðóäèé, íè ïðîäîâîëüñòâèÿ... Òî, ÷òî îíè ñìîãëè äîáðàòüñÿ äî ìåñòà íàçíà÷åíèÿ, ñàìî ïî ñåáå áûëî ÷åì-òî âðîäå ÷óäà.\nÍåìíîãî÷èñëåííûå âûæèâøèå, èç ÷èñëà äåòåé, áûëè ïðîäàíû â ðàáñòâî, ÷òîáû íèêîãäà íå âåðíóòüñÿ íà ñâîþ ðîäèíó.;;x
EVTDESCAHF25827;Against all odds, the children of Christ have succeeded in their misbegotten quest to reconquer Jerusalem! \nHosts of archangels with shining armor and flaming swords have been reported to have descended upon the walls of the holy city during the final battle, smiting the infidels, turning the defenders' weapons into rust and melting their eyes out.\nA child now rules over the Kingdom of Heaven, and few doubt that it was through divine intervention that [From.GetSheHe] was put there.;;;;;;;;;;;Íåñìîòðÿ íè íà ÷òî, äåòè [GetChristNameGEN] ïðåóñïåëè â ñâî¸ì îøèáî÷íîì ñòðåìëåíèè îòâîåâàòü Èåðóñàëèì! Ñîîáùàåòñÿ, ÷òî âîèíñòâà àðõàíãåëîâ â ñèÿþùèõ äîñïåõàõ ñ ïûëàþùèìè ìå÷àìè ñïóñòèëèñü íà ñòåíû ñâÿùåííîãî ãîðîäà âî âðåìÿ ôèíàëüíîé áèòâû, ïîðàçèëè íåâåðíûõ, ïðåâðàòèëè èõ îðóæèå â ðæàâ÷èíó è âûæãëè èì ãëàçà.\nÒåïåðü äèòÿ ïðàâèò çåìëÿìè ó ïîäíîæèÿ Öàðñòâà Íåáåñíîãî, è ìàëî êòî ñîìíåâàåòñÿ, ÷òî [From.GetSheHe] áûë[From.GetEndA] ïîñòàâëåí[From.GetEndA] òóäà áëàãîäàðÿ áîæåñòâåííîìó âìåøàòåëüñòâó.;;x
