action_administer_realm;Administer Realm;;;;;;;;;;;Àäìèíèñòðèðîâàòü âëàäåíèÿ;;x
action_organize_raid;Organize Raid;;;;;;;;;;;Îðãàíèçîâàòü íàáåã;;x
action_organize_raid_desc;Have your [GetMarshalName] gather men for a great raid, for plunder and glory! If you don't use these troops for raiding, they will get angry at you and take your gold instead.;;;;;;;;;;;Ïóñòü [GetMyMarshalName] ñîáåð¸ò ëþäåé äëÿ íàáåãà çà äîáû÷åé è ñëàâîé! Åñëè Âû íå èñïîëüçóåòå ýòè âîéñêà äëÿ íàáåãîâ, îíè îáðàòÿò ñâîé ãíåâ íà Âàñ è çàáåðóò Âàøå çîëîòî.;;x
action_organize_spies;Build Spy Network;;;;;;;;;;;Ñîçäàòü øïèîíñêóþ ñåòü;;x
action_organize_spies_desc;Have your [GetSpymasterName] focus his attention on the local nobles in a county, increasing the likelihood of intrigue events against them.;;;;;;;;;;;Ïóñòü [GetSpymasterName] èçó÷àåò ìåñòíóþ çíàòü, ÷òîáû óâåëè÷èòü âåðîÿòíîñòü äëÿ ñîáûòèé, ñâÿçàííûõ ñ èíòðèãàìè.;;x
action_organize_spies_mystics;Build Spy Network;;;;;;;;;;;Ñîçäàòü øïèîíñêóþ ñåòü;;x
action_organize_spies_mystics_desc;Have your [GetSpymasterName] focus his attention on the local nobles in a county, increasing the likelihood of intrigue events against them. This will also discourage vassals from associating with Factions, or give you the opportunity to recruit new members for your own.;;;;;;;;;;;Ïóñòü [GetSpymasterName] èçó÷àåò ìåñòíóþ çíàòü, ÷òîáû óâåëè÷èòü âåðîÿòíîñòü äëÿ ñîáûòèé, ñâÿçàííûõ ñ çàãîâîðàìè ïðîòèâ íèõ. Ýòî òàêæå ïîìîæåò îòäàëèòü âàññàëîâ îò ôðàêöèé èëè çàâåðáîâàòü íîâûõ ëþäåé â ñâîè ðÿäû.;;x
action_oversee_construction;Oversee Construction;;;;;;;;;;;Îñóùåñòâëÿòü íàäçîð çà ñòðîèòåëüñòâîì;;x
action_oversee_construction_desc;Send your [GetTreasurerName] to speed up the construction of buildings and holdings in a county.;;;;;;;;;;;Ïóñòü [GetTreasurerName] îòïðàâèòñÿ â óêàçàííûé îêðóã äëÿ óñêîðåíèÿ ñòðîèòåëüñòâà âëàäåíèé èëè çäàíèé â íåé.;;x
action_sabotage_province;Sabotage Province;;;;;;;;;;;Ïîäîðâàòü èíôðàñòðóêòóðó îêðóãà;;x
action_sabotage_province_desc;The [GetSpymasterName] is sent to infiltrate a province and sabotage its operations.;;;;;;;;;;;[GetSpymasterName] ïîïûòàåòñÿ âíåäðèòüñÿ â ìåñòíóþ èíôðàñòóêòóðó è ñàáîòèðîâàòü å¸ ôóíêöèîíèðîâàíèå.;;x
action_settle_tribe;Settle Tribe;;;;;;;;;;;Ïîñåëèòü ïëåìÿ;;x
action_settle_tribe_desc;Assign your [GetMyTreasurerName] to settle members of your tribe in the county, increasing the chance that its culture will change to §Y[Culture.GetName]§!.;;;;;;;;;;;Ïóñòü [GetMyTreasurerName] ðàññåëèò Âàøèõ ñîïëåìåííèêîâ â íóæíîé ìåñòíîñòè, ïîâûñèâ øàíñû íà òî, ÷òî å¸ êóëüòóðà ñòàíåò §Y[GetCultureAdj]îé§!.;;x
action_sow_dissent;Sow Dissent;;;;;;;;;;;Ñåÿòü ðàçäîð;;x
action_sow_dissent_desc;Have your [GetMyChancellorName] sow dissent between local nobles and their lieges.;;;;;;;;;;;Ïóñòü [GetMyChancellorName] ñååò ðàçäîð ìåæäó ìåñòíîé çíàòüþ è èõ ñþçåðåíîì.;;x
action_squeeze_peasants;Collect Taxes;;;;;;;;;;;Ñîáèðàòü íàëîãè;;x
action_squeeze_peasants_desc;Send your [GetTreasurerName] to ensure efficient taxation in the county.;;;;;;;;;;;Ïóñòü [GetTreasurerName] ñîáèðàåò íàëîãè â óêàçàííîì îêðóãå.;;x
action_statecraft;Perform Statecraft;;;;;;;;;;;Çàíèìàòüñÿ ãîñóäàðñòâåííûìè äåëàìè;;x
action_statecraft_desc;Work to improve relations with random vassals, neighboring rulers, and your liege – and lower threat.;;;;;;;;;;;Ðàáîòàòü íàä óëó÷øåíèåì îòíîøåíèé ñ âàññàëàìè, à òàêæå ïðàâèòåëÿìè áëèçëåæàùèõ ãîñóäàðñòâ, äàáû óñûïèòü èõ áäèòåëüíîñòü è ðåæå âîñïðèíèìàòü Âàøó ñòðàíó êàê óãðîçó ìèðîïîðÿäêó.;;x
action_study_technology;Study Technology;;;;;;;;;;;Èçó÷àòü òåõíîëîãèè;;x
action_study_technology_desc;Send your [GetSpymasterName] to study technological marvels in a county, increasing the chance of spreading them to your capital.;;;;;;;;;;;Ïóñòü [GetSpymasterName] èçó÷àåò ÷óäåñà òåõíîëîãèè â ñîñåäíèõ ðåãèîíàõ, óâåëè÷èâàÿ âåðîÿòíîñòü ðàñïðîñòðàíåíèÿ èõ íà Âàøó ñòîëèöó.;;x
action_train_troops;Train Troops;;;;;;;;;;;Òðåíèðîâàòü îïîë÷åíèå;;x
action_train_troops_desc;Send your [GetMarshalName] to increase the size of your levies in a county.;;;;;;;;;;;Ïóñòü [GetMarshalName] óâåëè÷èâàåò ÷èñëåííîñòü îïîë÷åíöåâ â âûáðàííîì îêðóãå.;;x
action_train_troops_nomadic;Train Warriors;;;;;;;;;;;Òðåíèðîâàòü âîèíîâ;;x
action_train_troops_nomadic_desc;Send your [GetMarshalName] to increase your manpower regrowth.;;;;;;;;;;;Ïóñòü Âàø [GetMarshalName] çàéì¸òñÿ ëþäñêèìè ðåñóðñàìè.;;x
action_uncover_plots;Scheme;;;;;;;;;;;Ðàñêðûâàòü çàãîâîðû;;x
action_uncover_plots_desc;Dispatch your [GetSpymasterName] to discourage vassals from associating with Factions, or to recruit new members for your own. This will also increase the likelihood of uncovering the plots of local nobles.;;;;;;;;;;;Âàø [GetSpymasterName] îòïðàâèòñÿ ñ ìèññèåé ïî ïðåïÿòñòâîâàíèþ äåÿòåëüíîñòè ôðàêöèé. Ýòî äàñò âîçìîæíîñòü ìåøàòü èì âåðáîâàòü íîâûõ ÷ëåíîâ, òàê æå ýòî ïîìîæåò âûÿâèòü óæå èìåþùèõñÿ ÷ëåíîâ ôðàêöèé.;;x
action_uncover_plots_offmap;Scheme;;;;;;;;;;;Ðàñêðûâàòü çàãîâîðû;;x
action_uncover_plots_offmap_desc;Order your [GetSpymasterName] to uncover plots and discourage vassals from associating with Factions.;;;;;;;;;;;Ïóñòü [GetSpymasterName] ðàñêðûâàåò çàãîâîðû è ìåøàåò âàññàëàì âñòóïàòü âî ôðàêöèè.;;x
# Tooltips
JOB_PROSELYTIZE_CONVERT_INDEPENDENT;Proselytize: §GIndependent ruler can be converted. Current religion: §!§Y[Root.Holder.Religion.GetName]§!;;;;;;;;;;;Ïðàâèòåëü[Root.Holder.GetEndNitsa] ýòîãî îêðóãà ìîæåò áûòü §Gîáðàùåí[Root.Holder.GetEndA] â [From.GetReligionFullName]§!, ñåé÷àñ [Root.Holder.GetSheHe] èñïîâåäóåò §Y[Root.Holder.GetReligionFullName]§!;;x
JOB_PROSELYTIZE_DIFFERENT_RELIGION;Proselytize: §GProvince can be converted. Current religion: §!§Y[Root.Religion.GetName]§!;;;;;;;;;;;Îêðóã ìîæåò áûòü §Gîáðàù¸í â [From.GetReligionFullName]§!, ñåé÷àñ æèòåëè èñïîâåäóþò §Y[Root.GetReligionFullName]§!;;x
JOB_PROSELYTIZE_SAME_RELIGION;Proselytize: §YProvince already converted.§!;;;;;;;;;;;Îêðóã óæå §Yèñïîâåäóåò [From.GetReligionFullName]§! è íåò ñìûñëà §Yîáðàùàòü§! åãî.;;x
