#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
# job_spymaster.txt
#########################
#
#	Spymaster events
#
#########################
# Plot Uncovered
evt_spymaster_001_title;Plot Uncovered;;;;;;;;;;;Pàñêðûò çàãîâîð.;;x
evt_spymaster_207_option_a;Oh my! I swear it! I swear it!!;;;;;;;;;;;Ìàòü ìîÿ, æåíùèíà... ß êëÿíóñü!;;x
evt_spymaster_207_option_b;I know [From.GetSheHe] isn't bluffing...;;;;;;;;;;;ß çíàþ, ÷òî [From.GetSheHe] íå áëåôóåò...;;x
evt_spymaster_207_option_c;It's not worth dying for if there's no afterlife...;;;;;;;;;;;Íåò ïðè÷èí óìèðàòü, åñëè ïîñëå ñìåðòè íåò æèçíè...;;x
evt_spymaster_207_option_d;There is no shame in backing down over this...;;;;;;;;;;;Íåò íèêàêîãî ñòûäà â îòñòóïëåíèè...;;x
evt_spymaster_207_option_e;Forming a faction is too much work anyway...;;;;;;;;;;;Êàê íè êðóòè, îïïîçèöèÿ — äåëî íåïðîñòîå.;;x
# Liege Informed: Successful Threat
evt_spymaster_208_desc_a;Honoured [Root.GetTitle],\n\nI ask your forgiveness if I have done something to offend. I obviously wouldn't dream of associating with any faction conspiring against you or your enlightened rule.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÏðîñòèòå, åñëè ÷òî-òî íå òàê. Ðàçóìååòñÿ, ìíå è â ãîëîâó íå ïðèøëî áû ñâÿçàòüñÿ ñ ôðàêöèåé, íàïðàâëåííîé ïðîòèâ Âàñ è Âàøåãî ïðîñâåòë¸ííîãî ïðàâëåíèÿ.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
evt_spymaster_208_option_a;You are forgiven.;;;;;;;;;;;Ïðîùàþ.;;x
# Faction Member Confronted: Ask Nicely
evt_spymaster_209_desc_a;My dear [Root.GetTitle],\n\nI have learned that there are certain factions within the realm working to undermine my rule. If you are involved or planning to become so, I trust that your complicity in these matters ends now.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;Ì[Root.GetOyaOy] [Root.GetTitle],\n êàê ìíå ñòàëî èçâåñòíî, íåêîòîðûå ëþäè â íàøèõ çåìëÿõ çàìûøëÿþò èçìåíó. ß âåðþ â Âàøó ÷åñòíîñòü è áëàãîðàçóìèå, è íàäåþñü, ÷òî åñëè áû Âû áûëè âîâëå÷åíû â çàãîâîð, Âû ïîëîæèëè áû ýòîìó êîíåö è áîëüøå íå ñòàëè áû åãî ñîó÷àñòíè[Root.GetTseyKom].\nÏîäïèñü:\n [From.GetTitledName];;x
evt_spymaster_209_option_a;Best not to risk it...;;;;;;;;;;;Ëó÷øå íå ðèñêîâàòü...;;x
evt_spymaster_209_option_b;Ha! This letter was an act of desperation.;;;;;;;;;;;Õà! Ýòî ïèñüìî - íå áîëåå ÷åì àêò îò÷àÿíèÿ.;;x
evt_spymaster_209_option_b_tooltip;You refuse this outrageous demand.;;;;;;;;;;;Âû îòêàçûâàåòåñü îò ýòîãî âîçìóòèòåëüíîãî òðåáîâàíèÿ.;;x
# Liege Informed: Failed Request
evt_spymaster_210_desc_a;Honoured [Root.GetTitle],\n\nDo not speak to me of obligations and duties! I may be your vassal, but that does not make me your slave. I am within my full right to associate with whichever faction I wish.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÍå ãîâîðèòå ìíå ïðî îáÿçàííîñòè è äîëã. ß ìîãó áûòü Âàøèì âàññàëîì, íî ýòî íå äåëàåò ìåíÿ Âàøèì ðàáîì. Ó ìåíÿ åñòü ïîëíîå ïðàâî ñîñòîÿòü â òîé ôðàêöèè, â êîòîðîé ïîæåëàþ.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
evt_spymaster_210_option_a;That little...!;;;;;;;;;;;Ìåëêàÿ ãíè...;;x
# Unused
EVTDESC9009;Honoured [Root.GetTitle],\n\nYour pitiful threats against myself and my loved ones have revealed your true nature once and for all. I shall never submit. Do your worst.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÂàøè æàëêèå óãðîçû â ìîé àäðåñ ïîêàçàëè Âàøó èñòèííóþ ñóùíîñòü. Äåëàéòå, ÷òî õîòèòå.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
EVTOPTA9009;The insolence!;;;;;;;;;;;Êàêàÿ íàãëîñòü!;;x
# Faction Recruitment - Spymaster finds Faction Member
evt_spymaster_301_title;Noble Encouraged to Join Your Faction;;;;;;;;;;;Hîâûé êàíäèäàò íà âñòóïëåíèå â Âàøó ôðàêöèþ.;;x
evt_spymaster_301_desc_a;You have spent some time in [Root.Location.GetName], and you feel that you have found a promising candidate for membership in potential factions supported by your liege. A small amount of persuation will be necessary, however.;;;;;;;;;;;Âû ïðîâåëè íåêîòîðîå âðåìÿ â ãîðîäå [Root.Location.GetName], è êàæåòñÿ, Âû íàøëè ïðåêðàñíîãî êàíäèäàòà íà âñòóïëåíèå â Âàøó ôðàêöèþ. Íî ïðèä¸òñÿ ïîòðóäèòüñÿ, ÷òîáû åãî óáåäèòü.;;x
evt_spymaster_301_option_a;I will inform my liege at once.;;;;;;;;;;;ß ñðàçó äîëîæó ñþçåðåíó.;;x
# Liege is informed
evt_spymaster_302_desc_a;My liege,\n\nI have discovered a promising candidate that could potentially be strong-armed into joining factions that you support. How do you wish to proceed?\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nß íàø¸ë ïðåêðàñíûõ êàíäèäàòîâ, êîòîðûå áûëè áû çíà÷èìîé ñèëîé â íàøåé ãðóïïèðîâêå. Æåëàåòå èõ ïðèãëàñèòü?\nÂàø ñêðîìíûé [Root.GetSpymasterName],\n[From.GetTitledFirstName];;x
evt_spymaster_302_option_a;Blackmail the noble.;;;;;;;;;;;Øàíòàæèðîâàòü äâîðÿíèíà;;x
evt_spymaster_302_option_a_tooltip;You use blackmail to gain a leverage on the noble.;;;;;;;;;;;Âû èñïîëüçóåòå ðû÷àãè âëèÿíèÿ íà äâîðÿíèíå.;;x
evt_spymaster_302_option_b;Threaten the noble.;;;;;;;;;;;Óãðîæàòü äâîðÿíèíó;;x
evt_spymaster_302_option_b_tooltip;You use threats to gain a leverage on the noble.;;;;;;;;;;;Âû óãðîçàìè äîáèâàåòåñü âëèÿíèÿ íà äâîðÿíèíà.;;x
evt_spymaster_302_option_c;Obligate the noble.;;;;;;;;;;;Ñïðîñèòü âåæëèâî;;x
evt_spymaster_302_option_c_tooltip;You use legalism to gain a leverage on the noble.;;;;;;;;;;;Ïîñëàòü âåæëèâóþ ïðîñüáó.;;x
evt_spymaster_302_option_d;No, let us not go down this path...;;;;;;;;;;;Íåò, äàâàéòå íå áóäåì èäòè ïî ýòîìó ïóòè.;;x
# Liege Informed: Successful Blackmail
evt_spymaster_304_desc_a;Honored [Root.GetTitle],\n\nThough I curse your name, I will promise to support any faction of yours when called upon. Just... keep the sensitive information to yourself.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nß ïðîêëèíàþ Âàñ, è îáåùàþ âñòóïèòü â ëþáóþ ôðàêöèþ, êóäà áû Âû ìåíÿ íå ïîçâàëè. Òîëüêî áû ñîõðàíèòü ñâîþ èìÿ íåçàïÿòíàííûì.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
# Liege Informed: Successful Request
evt_spymaster_308_desc_a;Honored [Root.GetTitle],\n\nFine! I do not like this, but for the sake of the continued prosperity of the realm, I will agree to support any faction of yours. Please don't make me regret this.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÕîòü ÿ è íå â âîñòîðãå îò ýòîãî, íî ðàäè ïðîöâåòàíèÿ íàøåé äåðæàâû ñîãëàøóñü ïîääåðæàòü ëþáûå Âàøè íà÷èíàíèÿ. Ïðîøó Âàñ òîëüêî îá îäíîì: íå çàñòàâëÿéòå ìåíÿ ïîòîì ïîæàëåòü îá ýòîì.\nÏîäïèñü:\n [From.GetTitledName];;x
# Liege Informed: Failed Request
evt_spymaster_309_desc_a;Honored [Root.GetTitle],\n\nYour legalistic nonsense will not be enough to manipulate me into picking up your banner. I will not pledge unquestioning support to your schemes.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÂàøåé þðèäè÷åñêîé ÷óøè íåäîñòàòî÷íî, ÷òîáû çàñòàâèòü ìåíÿ âñòàòü ïîä Âàøè çíàì¸íà. ß íå ãàðàíòèðóþ áåñïðåêîñëîâíîé ïîääåðæêè Âàøèõ çàãîâîðîâ.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
# Liege Informed: Successful Threat
evt_spymaster_306_desc_a;Honored [Root.GetTitle],\n\nI obviously stand together with you and your confederates. Before you do something hasty that we shall both regret, permit me to offer my pledge to support your faction when called upon.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nß õî÷ó ñòîÿòü ðÿäîì ñ Âàìè è Âàøèìè åäèíîìûøëåííèêàìè. Ïðåæäå ÷åì Âû ñäåëàåòå ÷òî-ëèáî, î ÷¸ì ìû îáà áóäåì ñîæàëåòü, ïîçâîëüòå ìíå äàòü ãàðàíòèè òîãî, ÷òî ÿ ïîääåðæó Âàøó ôðàêöèþ â ñëó÷àå íåîáõîäèìîñòè.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
evt_spymaster_306_option_a;Wise choice.;;;;;;;;;;;Ìóäðûé âûáîð.;;x
# Unused
EVTOPTG9002;Perhaps it is best not to take a chance on this...;;;;;;;;;;;Âîçìîæíî, ëó÷øå íå ó÷àñòâîâàòü â ýòîì.;;x
EVTOPTF9005;Perhaps [From.GetSheHe] has a point...;;;;;;;;;;;Âîçìîæíî, â ýòîì åñòü çäðàâûé ñìûñë.;;x
EVTOPTG9005;Ha!;;;;;;;;;;;Õà!;;x
EVTOPTF9008;No point in risking my neck over this.;;;;;;;;;;;Íåò ïðè÷èíû ðèñêîâàòü ñâîåé øååé.;;x
EVTOPTG9008;Do your worst.;;;;;;;;;;;Íó ïîïðîáóéòå!;;x
EVTDESC9029;Honored [Root.GetTitle],\n\nYour pitiful threats have revealed your true nature once and for all. I shall never submit. Do your worst.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÂàøè æàëêèå óãðîçû â àäðåñ ìåíÿ è ìîèõ áëèçêèõ ðàç è íàâñåãäà ïîêàçàëè Âàøó ñóùíîñòü. Äåëàéòå, ÷òî õîòèòå.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
# The Spymaster studies foreign technology
evt_spymaster_401_title;Spymaster Study Technology;;;;;;;;;;;Tàéíûé ñîâåòíèê êðàäåò òåõíîëîãèè;;x
